,Cluster,Stage,Turn,word_count,Sentiment,Contested
0,Unproductive Engagement,Stage 1,1,1,0.0,0.0
1,Productive Disagreement,Stage 1,1,1,0.0,0.0
2,Unproductive Engagement,Stage 1,2,1,0.0,0.0
3,Productive Disagreement,Stage 1,2,1,0.0,0.0
4,Unproductive Engagement,Stage 1,3,4,0.0,0.0
5,Productive Disagreement,Stage 1,3,4,0.0,0.0
6,Unproductive Engagement,Stage 1,4,1,0.0,0.0
7,Productive Disagreement,Stage 1,4,1,0.0,0.0
8,Unproductive Engagement,Stage 1,5,51,0.39,0.0
9,Productive Disagreement,Stage 1,5,51,0.39,0.0
10,Unproductive Engagement,Stage 1,5,1,0.0,0.0
11,Productive Disagreement,Stage 1,5,1,0.0,0.0
12,Unproductive Engagement,Stage 1,6,19,0.4166666666666667,0.0
13,Productive Disagreement,Stage 1,6,19,0.4166666666666667,0.0
14,Unproductive Engagement,Stage 1,7,20,0.45,0.0
15,Productive Disagreement,Stage 1,7,20,0.45,0.0
16,Unproductive Engagement,Stage 1,8,29,0.0554545454545454,0.0
17,Productive Disagreement,Stage 1,8,29,0.0554545454545454,0.0
18,Unproductive Engagement,Stage 1,9,11,0.0,0.0
19,Productive Disagreement,Stage 1,9,11,0.0,0.0
20,Unproductive Engagement,Stage 1,10,5,-0.5,0.0
21,Productive Disagreement,Stage 1,10,5,-0.5,0.0
22,Unproductive Engagement,Stage 1,11,9,0.0,0.0
23,Productive Disagreement,Stage 1,11,9,0.0,0.0
24,Unproductive Engagement,Stage 1,12,68,-0.0439682539682539,0.0
25,Productive Disagreement,Stage 1,12,68,-0.0439682539682539,0.0
26,Unproductive Engagement,Stage 1,13,53,0.25,0.0
27,Productive Disagreement,Stage 1,13,53,0.25,0.0
28,Unproductive Engagement,Stage 1,14,102,-0.1416666666666666,0.0
29,Productive Disagreement,Stage 1,14,102,-0.1416666666666666,0.0
30,Unproductive Engagement,Stage 1,15,40,-0.5,0.0
31,Productive Disagreement,Stage 1,15,40,-0.5,0.0
32,Unproductive Engagement,Stage 1,16,55,0.0866666666666666,0.0
33,Productive Disagreement,Stage 1,16,55,0.0866666666666666,0.0
34,Unproductive Engagement,Stage 1,17,25,0.5,0.0
35,Productive Disagreement,Stage 1,17,25,0.5,0.0
36,Unproductive Engagement,Stage 1,17,1,0.0,0.0
37,Productive Disagreement,Stage 1,17,1,0.0,0.0
38,Unproductive Engagement,Stage 1,18,23,0.2,0.0
39,Productive Disagreement,Stage 1,18,23,0.2,0.0
40,Unproductive Engagement,Stage 1,18,1,0.0,0.0
41,Productive Disagreement,Stage 1,18,1,0.0,0.0
42,Unproductive Engagement,Stage 1,19,54,0.08,0.0
43,Productive Disagreement,Stage 1,19,54,0.08,0.0
44,Unproductive Engagement,Stage 1,20,75,-0.025,0.0
45,Productive Disagreement,Stage 1,20,75,-0.025,0.0
46,Unproductive Engagement,Stage 1,21,23,0.2,0.0
47,Productive Disagreement,Stage 1,21,23,0.2,0.0
48,Unproductive Engagement,Stage 1,22,66,0.0284848484848484,0.0
49,Productive Disagreement,Stage 1,22,66,0.0284848484848484,0.0
50,Unproductive Engagement,Stage 1,23,61,0.25,0.0
51,Productive Disagreement,Stage 1,23,61,0.25,0.0
52,Unproductive Engagement,Stage 1,24,40,-0.4,0.0
53,Productive Disagreement,Stage 1,24,40,-0.4,0.0
54,Unproductive Engagement,Stage 1,25,52,0.2,0.0
55,Productive Disagreement,Stage 1,25,52,0.2,0.0
56,Unproductive Engagement,Stage 1,26,10,0.0,0.0
57,Productive Disagreement,Stage 1,26,10,0.0,0.0
58,Unproductive Engagement,Stage 1,27,7,0.4,0.0
59,Productive Disagreement,Stage 1,27,7,0.4,0.0
60,Unproductive Engagement,Stage 1,28,2,-0.5,0.0
61,Productive Disagreement,Stage 1,28,2,-0.5,0.0
62,Unproductive Engagement,Stage 1,29,10,0.4,0.0
63,Productive Disagreement,Stage 1,29,10,0.4,0.0
64,Unproductive Engagement,Stage 1,30,13,0.0,0.0
65,Productive Disagreement,Stage 1,30,13,0.0,0.0
66,Unproductive Engagement,Stage 1,31,12,0.0,0.0
67,Productive Disagreement,Stage 1,31,12,0.0,0.0
68,Unproductive Engagement,Stage 1,32,69,0.0,0.0
69,Productive Disagreement,Stage 1,32,69,0.0,0.0
70,Unproductive Engagement,Stage 1,33,56,0.225,0.0
71,Productive Disagreement,Stage 1,33,56,0.225,0.0
72,Unproductive Engagement,Stage 1,34,38,0.15625,0.0
73,Productive Disagreement,Stage 1,34,38,0.15625,0.0
74,Unproductive Engagement,Stage 1,35,13,0.2,0.0
75,Productive Disagreement,Stage 1,35,13,0.2,0.0
76,Unproductive Engagement,Stage 1,36,33,0.0,0.0
77,Productive Disagreement,Stage 1,36,33,0.0,0.0
78,Unproductive Engagement,Stage 1,37,11,-0.125,0.0
79,Productive Disagreement,Stage 1,37,11,-0.125,0.0
80,Unproductive Engagement,Stage 1,38,29,-0.1666666666666666,0.0
81,Productive Disagreement,Stage 1,38,29,-0.1666666666666666,0.0
82,Unproductive Engagement,Stage 1,39,41,0.325,0.0
83,Productive Disagreement,Stage 1,39,41,0.325,0.0
84,Unproductive Engagement,Stage 1,40,29,0.0,0.0
85,Productive Disagreement,Stage 1,40,29,0.0,0.0
86,Unproductive Engagement,Stage 1,41,74,0.3,0.0
87,Productive Disagreement,Stage 1,41,74,0.3,0.0
88,Unproductive Engagement,Stage 1,42,24,0.0,0.0
89,Productive Disagreement,Stage 1,42,24,0.0,0.0
90,Unproductive Engagement,Stage 1,43,43,0.1,0.0
91,Productive Disagreement,Stage 1,43,43,0.1,0.0
92,Unproductive Engagement,Stage 1,44,100,-0.056,0.0
93,Productive Disagreement,Stage 1,44,100,-0.056,0.0
94,Unproductive Engagement,Stage 1,45,62,0.2777597402597402,0.0
95,Productive Disagreement,Stage 1,45,62,0.2777597402597402,0.0
96,Unproductive Engagement,Stage 1,46,44,0.2540625,0.0
97,Productive Disagreement,Stage 1,46,44,0.2540625,0.0
98,Unproductive Engagement,Stage 2,47,156,0.1903950216450216,0.0
99,Productive Disagreement,Stage 2,47,156,0.1903950216450216,0.0
