,discussionDepth,discussionDisagreement,discussionEnjoy,discussionTension,selfAnxious,selfInsight,selfLearned,selfSpeakUp,selfVoice,defensive,liking,partnerListening,partnerPerspectiveTaking,partnerTalking,polite,selfPerspectiveTaking,agreement_binary,conflict_1,conflict_2,conflict_3,conflict_4,decision_leadership_1,decision_leadership_2,goal_similarity,viability_1,viability_2,Cluster
0,4.0,3.0,3.0,4,3.0,3.0,2.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,6.0,6.0,2.0,2.0,3.0,2.0,4.0,6.0,6.0,"Unconstructive
Disagreement"
1,3.0,4.0,3.0,3,2.0,2.0,2.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,6.0,6.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,"Unconstructive
Disagreement"
2,5.0,5.0,3.0,3,2.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,1.0,7.0,6.0,3.0,3.0,6.0,2.0,3.0,6.0,5.0,"Unconstructive
Disagreement"
3,6.0,5.0,4.0,4,2.0,2.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,1.0,7.0,6.0,2.0,6.0,2.0,6.0,6.0,6.0,6.0,"Unconstructive
Disagreement"
4,3.0,3.0,3.0,2,4.0,2.0,5.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,0.0,6.0,7.0,5.0,4.0,5.0,2.0,2.0,3.0,4.0,"Constructive
Disagreement"
5,5.0,2.0,4.0,3,3.0,2.0,2.0,5.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,5.0,6.0,1.0,1.0,2.0,5.0,7.0,6.0,6.0,"Unconstructive
Disagreement"
6,6.0,2.0,5.0,5,1.0,5.0,3.0,5.0,4.0,1.0,5.0,5.0,4.0,3.0,5.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,7.0,5.0,7.0,4.0,"Open
Collaboration"
7,5.0,3.0,4.0,5,1.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,1.0,6.0,6.0,1.0,1.0,3.0,1.0,6.0,1.0,7.0,"Open
Collaboration"
8,5.0,4.0,4.0,4,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,6.0,6.0,5.0,5.0,7.0,6.0,3.0,3.0,6.0,"Unconstructive
Disagreement"
11,4.0,3.0,4.0,3,2.0,3.0,2.0,4.0,3.0,1.0,4.0,5.0,4.0,3.0,4.0,4.0,1.0,6.0,5.0,2.0,2.0,5.0,3.0,5.0,6.0,5.0,"Unconstructive
Disagreement"
12,6.0,3.0,5.0,5,1.0,3.0,4.0,5.0,4.0,1.0,5.0,5.0,4.0,3.0,5.0,5.0,1.0,6.0,2.0,1.0,1.0,3.0,2.0,7.0,7.0,7.0,"Open
Collaboration"
13,5.0,1.0,4.0,4,1.0,4.0,2.0,5.0,3.0,1.0,5.0,5.0,4.0,3.0,5.0,4.0,1.0,4.0,1.0,1.0,1.0,5.0,3.0,5.0,7.0,7.0,"Open
Collaboration"
14,5.0,3.0,4.0,3,1.0,3.0,2.0,5.0,4.0,2.0,4.0,5.0,3.0,3.0,5.0,4.0,1.0,6.0,5.0,1.0,1.0,6.0,6.0,5.0,7.0,7.0,"Open
Collaboration"
15,3.0,4.0,2.0,4,2.0,2.0,6.0,5.0,4.0,3.0,3.0,4.0,4.0,3.0,5.0,4.0,1.0,7.0,5.0,1.0,1.0,7.0,3.0,2.0,7.0,6.0,"Unconstructive
Disagreement"
16,5.0,3.0,5.0,4,2.0,4.0,4.0,5.0,4.0,2.0,4.0,5.0,4.0,3.0,5.0,4.0,1.0,4.0,5.0,1.0,1.0,1.0,4.0,4.0,5.0,5.0,"Open
Collaboration"
17,4.0,2.0,3.0,4,3.0,3.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,6.0,5.0,1.0,1.0,5.0,4.0,2.0,6.0,6.0,"Unconstructive
Disagreement"
18,4.0,2.0,5.0,4,1.0,3.0,2.0,5.0,4.0,1.0,5.0,5.0,5.0,3.0,5.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,"Open
Collaboration"
19,4.0,5.0,3.0,4,2.0,1.0,4.0,4.0,3.0,1.0,4.0,5.0,5.0,3.0,5.0,5.0,1.0,7.0,3.0,1.0,2.0,7.0,6.0,5.0,6.0,6.0,"Unconstructive
Disagreement"
20,4.0,3.0,4.0,5,2.0,2.0,4.0,5.0,4.0,1.0,5.0,5.0,4.0,3.0,5.0,4.0,1.0,6.0,4.0,1.0,1.0,6.0,4.0,6.0,6.0,7.0,"Open
Collaboration"
21,3.0,2.0,4.0,4,3.0,3.0,5.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,5.0,5.0,5.0,5.0,"Unconstructive
Disagreement"
22,3.0,4.0,2.0,1,4.0,3.0,4.0,4.0,3.0,2.0,5.0,4.0,4.0,3.0,4.0,2.0,1.0,7.0,5.0,2.0,6.0,3.0,3.0,5.0,5.0,5.0,"Unconstructive
Disagreement"
23,6.0,4.0,4.0,4,4.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,5.0,4.0,1.0,6.0,6.0,3.0,2.0,6.0,3.0,5.0,5.0,6.0,"Unconstructive
Disagreement"
24,4.0,3.0,4.0,4,3.0,3.0,2.0,4.0,3.0,2.0,4.0,5.0,3.0,3.0,4.0,4.0,1.0,5.0,5.0,3.0,1.0,6.0,4.0,6.0,5.0,6.0,"Unconstructive
Disagreement"
