Feature,Frequency,Stability Score
discussionDepth,0,0.0
discussionDisagreement,0,0.0
viability_1,0,0.0
goal_similarity,0,0.0
decision_leadership_2,0,0.0
decision_leadership_1,0,0.0
conflict_4,0,0.0
conflict_3,0,0.0
conflict_2,0,0.0
conflict_1,0,0.0
agreement_binary,0,0.0
selfPerspectiveTaking,0,0.0
polite,0,0.0
partnerTalking,0,0.0
partnerPerspectiveTaking,0,0.0
partnerListening,0,0.0
liking,0,0.0
defensive,0,0.0
selfVoice,0,0.0
selfSpeakUp,0,0.0
selfLearned,0,0.0
selfInsight,0,0.0
selfAnxious,0,0.0
discussionTension,0,0.0
discussionEnjoy,0,0.0
viability_2,0,0.0
