Cluster,Feature,Frequency,Mean SHAP Importance
0,discussionDepth,0,
0,discussionDisagreement,7,0.5351704061031342
0,discussionEnjoy,21,0.8559144020080567
0,discussionTension,7,0.7184037804603577
0,selfAnxious,1,0.40886589884757996
0,selfInsight,3,0.7717185616493225
0,selfLearned,0,
0,selfSpeakUp,5,0.49342046678066254
0,selfVoice,0,
0,defensive,25,0.8230248639980952
0,liking,2,0.6473448872566223
0,partnerListening,25,0.9476571860520736
0,partnerPerspectiveTaking,9,0.767515846661159
0,partnerTalking,0,
0,polite,23,0.9818918950417462
0,selfPerspectiveTaking,12,0.695901408791542
0,agreement_binary,0,
0,conflict_1,17,0.9171036009987196
0,conflict_2,3,0.9905630946159363
0,conflict_3,24,1.4313644731746
0,conflict_4,14,0.7624249241568826
0,decision_leadership_1,0,
0,decision_leadership_2,17,0.6668795744578043
0,goal_similarity,20,0.8589336554209391
0,viability_1,5,0.7746842503547668
0,viability_2,10,0.7211011151472727
1,discussionDepth,0,
1,discussionDisagreement,7,0.8387449582417806
1,discussionEnjoy,7,0.6741332232952117
1,discussionTension,1,0.4480568468570709
1,selfAnxious,5,0.6207615017890931
1,selfInsight,0,
1,selfLearned,9,0.7856077126094273
1,selfSpeakUp,0,
1,selfVoice,2,
1,defensive,26,1.1258217522076197
1,liking,0,
1,partnerListening,22,0.790174663066864
1,partnerPerspectiveTaking,5,0.6730926334857941
1,partnerTalking,3,0.49679236114025116
1,polite,25,0.9230263605713844
1,selfPerspectiveTaking,7,0.6520529538393021
1,agreement_binary,0,
1,conflict_1,24,1.0439691953361034
1,conflict_2,13,0.8706037662923336
1,conflict_3,28,1.3106375472112135
1,conflict_4,10,0.8037910982966423
1,decision_leadership_1,1,0.36808526515960693
1,decision_leadership_2,26,1.0353853807729834
1,goal_similarity,9,0.774172306060791
1,viability_1,4,1.001848081747691
1,viability_2,16,0.8394125252962112
2,discussionDepth,5,0.10300672550996144
2,discussionDisagreement,14,0.1607073855896791
2,discussionEnjoy,11,0.10447254404425621
2,discussionTension,12,0.08373111635446548
2,selfAnxious,7,0.09085236489772797
2,selfInsight,5,0.059243266781171165
2,selfLearned,15,0.1002486375245181
2,selfSpeakUp,3,0.08124525845050812
2,selfVoice,12,0.16527250595390797
2,defensive,10,0.1415102958679199
2,liking,1,
2,partnerListening,7,0.10001864731311798
2,partnerPerspectiveTaking,11,0.12272076521600996
2,partnerTalking,2,
2,polite,8,0.06992975994944572
2,selfPerspectiveTaking,3,0.1617080122232437
2,agreement_binary,1,0.0
2,conflict_1,21,0.14391515304644903
2,conflict_2,18,0.13079649209976196
2,conflict_3,22,0.1493806652724743
2,conflict_4,18,0.14293161779642105
2,decision_leadership_1,1,0.0
2,decision_leadership_2,0,
2,goal_similarity,12,0.13909567253930227
2,viability_1,22,0.10156437456607818
2,viability_2,9,0.07908029109239578
