,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
discussionDepth,0.20444911197675594,0.2530455212906855,-0.14231732881231327,0.10298373254032649,-0.1285697277603993,-0.27367039652498915,-0.13527466734989152,-0.0732393180976036,0.16244463734358291,0.271448712016304,0.01108254557698208,-0.024608286776172408,-0.06617363841537827,0.19183497395370933,0.2709734929144224,0.03105003698635003
discussionDisagreement,-0.07283785868538165,0.36113321249786295,-0.07098478782773994,0.19941991854434185,-0.044440401682815066,-0.13192779249053693,0.2187811383524349,-0.06409620033182852,0.23898088709506063,-0.1181917015236472,-0.0162738761905769,0.24441637456756457,0.2133090634413021,-0.2993208260302038,-0.11761011735631899,0.4510117818743033
discussionEnjoy,0.25343097536988485,0.10463325111423596,-0.09856500664564703,0.16579356603017734,-0.14444208344691215,0.21247254640292948,-0.21091649288820488,-0.20139240003926584,-0.15322573428465275,0.06670569314253179,-0.03444275476235191,-0.16875777565389072,-0.08581274379321177,0.044555826562956716,-0.004087871581494778,-0.07178340657518406
discussionTension,0.22719526923689023,-0.16464941487738766,-0.14521316397943426,0.12616571193353962,0.12676908647191934,-0.09256710413178325,0.004870730227962434,-0.4239667025671788,0.2019003649828396,-0.16302425634207107,0.1930747112915576,0.0307191530276274,0.052133048973368935,-0.05730957305920801,-0.33532986849549157,-0.29564006315532165
selfAnxious,-0.11332056910348225,0.27472047418548284,0.031254915692010894,-0.32752750057526187,0.1179143136770742,0.14609227940146147,-0.15823393623489398,0.48164474360443904,0.01507506454419086,-0.13803928496182757,-0.1925777401713149,-0.11503581786464526,-0.03796298502488872,0.09089533838697976,-0.31308198788856384,-0.10154697024090205
selfInsight,0.12382599864429883,0.2124630899991877,-0.259333097823355,-0.27063776861961064,-0.04069301975198844,-0.41386493707288496,-0.05733959699939814,-0.15831366775731182,-0.22411295021942162,0.2688489994900906,-0.30536019406812837,0.13029807348885822,0.24999640512430238,0.1017481229396501,-0.2961500303843942,0.04400925092868441
selfLearned,-0.11915855919312943,-0.13566441402432672,-0.42204890726381333,0.10995693539396142,-0.10061762245880042,-0.31484956818518217,0.12339122157851302,0.4262546417760328,0.38519797863080724,0.046160865555043916,-0.03754217331484263,-0.2433931524610708,-0.0143828927598397,-0.05805322562808693,-0.03501673288233576,-0.3228916595130882
selfSpeakUp,0.25217718316122256,0.17977164206585325,-0.09392419100396186,0.017195114289978903,0.0015488385388183132,-0.20426793596512416,0.1527804635394287,-0.007541734255868401,-0.1573830265386538,-0.2252500863654633,-0.06183375337415598,-0.19473327815425368,-0.10598387095129373,-0.23495162725643992,0.030212337637514124,-0.24390422527471675
selfVoice,0.003206056797320397,-0.2682040191566784,-0.15446668371456762,0.42173799247160304,0.2299385544293059,-0.2151777111662864,-0.11235877702748931,0.2076378024011636,-0.3161252552384274,0.12132513612630456,0.09749009960141435,0.021119542167174706,0.04142225125308136,0.3407423928570267,-0.09479785670402566,0.22793919585264952
defensive,-0.15649017901792672,0.320297624473504,-0.17057332770910946,0.18220149117319082,0.1201644532753359,-0.008269602240410371,-0.07255016730487027,0.029099778887468942,-0.09737097698426735,-0.037688466128232,0.273400043915017,-0.04209736803718058,-0.03223681355742274,-0.08539556483790058,0.4307135881109917,-0.12493998569576371
liking,0.2630171372821307,0.11785690063283275,-0.0378638061872067,0.0169525531994342,-0.1660072145100584,0.32293260526672274,-0.2337630855705029,-0.04012964012749823,0.17457946642617198,0.03750475724577145,-0.08566829652156932,0.040492024912369765,-0.0058719492034499535,0.04334197106264612,-0.18761220765432443,-0.08089224833678281
partnerListening,0.29396480666829866,0.0796166539094428,0.09156682496041775,0.0357744714075704,0.11284515235991015,0.03167749722692287,0.17841431150279025,0.08676294221027403,0.06699179354896216,-0.06886579359759523,0.13691621499788223,0.06984160473007002,-0.029323745692616112,0.05748004060216008,0.07937900308645265,-0.0929393918810769
partnerPerspectiveTaking,0.24663053498442378,0.07123641061091443,-0.11696547921337995,-0.02350973112030359,0.0642665466256585,0.13793713407087377,0.05062144725129855,0.25093871095601866,0.18350836757478386,0.29830511711719193,0.45180278206125973,0.06907014512826658,-0.34402080338353325,-0.059101492767171325,-0.2821931632326116,0.32589538153374104
partnerTalking,0.04027747722157208,0.38752977790745113,-0.120801410446184,0.0793934618776361,0.3461315942978672,0.10404218252836861,-0.011825540141792963,-0.020066838255106852,-0.1745190966555386,-0.017713790985979454,-0.16177870906945194,-0.15365971129172748,-0.16083742132029558,0.08220344061156439,0.14836327455924495,0.018619463326508903
polite,0.2515874156210815,0.0827904772833916,0.05374691806385968,-0.0534515212145516,0.23498318100978763,-0.0635567524760251,0.24785224206364492,-0.06693692765254103,0.25383305212934765,-0.36541634793836575,-0.06381134314708203,-0.29995516393743327,0.06524597656770519,0.16776127290259515,0.016109916985555296,0.22795449828527187
selfPerspectiveTaking,0.2097821088211285,0.11290577779648506,0.0005024823933873347,-0.273988046121215,-0.2696596719971517,0.03656052970313758,0.31824608381353614,0.12618874853691125,-0.3227251326013566,0.23725833620893744,0.25131075039494133,-0.15654494770931315,0.15518890417827017,-0.18564117751149903,0.0721799388965829,0.0056884392017693824
agreement_binary,0.23901354491037125,0.12005303067945919,-0.0794952159606911,0.02739855048034311,0.3451776090909826,0.05449920094236899,-0.08976163068297738,0.1824035295944376,-0.09763472088324582,-0.13602284723416913,0.06239618705896556,0.47838811853003144,0.08461109500579761,0.08206241711227931,-0.06137839587111379,-0.26668629007906836
conflict_1,0.018061282624756436,0.2334499043384445,0.36514248763043705,0.29399640156607915,-0.3783528448069991,-0.13720335288819918,0.06816658625318282,0.08012048712386673,0.14987251640862684,0.06581316233582887,-0.2052040783954703,0.271550077648133,-0.3298152540572181,0.1751975759728298,-0.019160624942636224,-0.1912187724808898
conflict_2,-0.1591456649627241,0.2495564671226195,0.2913913213915282,-0.01705777571313823,-0.13473249239542281,-0.16209412824390795,0.04822703176385042,-0.013290365459369806,-0.012806063513148593,-0.1594570215583238,0.4292510506865209,-0.15741766197711005,0.2809498084464674,0.5253959603569258,-0.1603930858820779,-0.06811922315727009
conflict_3,-0.2619053271026344,0.13387603012117502,-0.03474365980778453,-0.10080550963796829,0.1314926771421631,0.07948750872515092,0.08700294454726418,-0.18432483075738673,0.06324233236293819,0.280137613439946,0.3011641900921509,0.11081868124839228,0.09317940444367558,-0.06492086979303269,-0.08437255331883672,-0.37841105587385415
conflict_4,-0.23812861928551501,0.1946811179164353,-0.09152406369021276,0.010267480820787019,0.11697101190807294,0.12226954965325323,-0.31490692945726295,-0.04023695891557044,0.30294817906719906,0.09960064074582117,-0.014342478627548064,0.029028724923364436,0.28429090678771113,-0.07906969893326067,0.09668016070987272,0.08557011849094381
decision_leadership_1,-0.07616378333553198,0.07930090736597947,0.45867576048338565,0.24560740292922123,0.41011829729473037,-0.12370865923167647,0.13252784582434615,-0.036666546536758084,-0.026910917649162737,0.3940748833751851,-0.14946736413584244,-0.25191819724748454,-0.04950959305620468,-0.2532881367286052,-0.24276895957696817,-0.09299515297140615
decision_leadership_2,-0.09982354145930504,0.027828659925320832,-0.2715142125800799,0.2810995775041909,-0.06756412914832721,0.4739568355065009,0.5578829623628394,-0.002804879382229537,-0.043166870464436374,0.1273819468049892,-0.2403678619861313,0.028495899714196533,0.2102179631736637,0.26263025658367783,-0.06986843780988271,-0.07371675157651061
goal_similarity,0.18275624665920398,-0.14989022183541423,0.09972799351073489,-0.3379285587035962,0.2538301597286497,-0.009971868088484319,0.14212168964887165,-0.06657858660681794,0.33023859349563256,0.32762245131555023,-0.12430684204370987,0.04763274714307185,0.031044756811151823,0.2955331180263728,0.34571379821765214,-0.017988579877900496
