Word,Start Time,End Time,start_time_diff,Speaker_A,Speaker_B,PairID,PersonID,Speaker,Speaker_original,Backchannel,Overlap,Turn,Contested,Normalized_Start,Normalized_End,Sent,Turn Start,Turn End,Speaker_original_turn,Speaker_turn,Sentiment,word_count,Turn_Boundary
hello,0.7580412,0.99742264,0.0,0,1,20240521_1823_WBLMay0KGC4N,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,B,0,0,1,0,0.0,0.0,hello,0.0,0.0,B_1,B_1,0.0,1,0.0
hello,2.1898148,2.5083334,0.0,1,0,20240521_1823_WBLMay0KGC4N,1716394507208-35c603e4-2275-4f7b-a2bb-c2333fa0f95d-cam-audio-1716394508197,A,A,0,0,2,0,0.0007994480886525201,0.0008436494012081944,hello,0.0007994480886525201,0.0008436494012081944,A_2,A_2,0.0,1,0.0004218247006040972
can,3.0720618,3.2316494,2.3140206,0,1,20240521_1823_WBLMay0KGC4N,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,B,0,0,3,0,0.0012920613606596445,0.0012475283902520647,can you hear me,0.0012920613606596445,0.0014703012253503417,B_3,B_3,0.0,4,0.0011348746570014308
you,3.2316494,3.391237,0.1595875999999996,0,1,20240521_1823_WBLMay0KGC4N,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,B,0,0,3,0,0.001381169025302045,0.0013366375466262327,can you hear me,0.0012920613606596445,0.0014703012253503417,B_3,B_3,0.0,4,0.0011348746570014308
hear,3.391237,3.4710307,0.1595876,0,1,20240521_1823_WBLMay0KGC4N,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,B,0,0,3,0,0.001470276689944446,0.0013811920689761738,can you hear me,0.0012920613606596445,0.0014703012253503417,B_3,B_3,0.0,4,0.0011348746570014308
me,3.4710307,3.6306183,0.0797937000000001,0,1,20240521_1823_WBLMay0KGC4N,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,B,0,0,3,0,0.0015148304664294383,0.0014703012253503417,can you hear me,0.0012920613606596445,0.0014703012253503417,B_3,B_3,0.0,4,0.0011348746570014308
yes,4.3398147,4.578704,2.1499999,1,0,20240521_1823_WBLMay0KGC4N,1716394507208-35c603e4-2275-4f7b-a2bb-c2333fa0f95d-cam-audio-1716394508197,A,A,0,0,4,0,0.0019999265097227987,0.0019996851931361375,yes,0.0019999265097227987,0.0019996851931361375,A_4,A_4,0.0,1,0.0016458732768978909
okay,5.386082,5.54567,1.9150513,0,1,20240521_1823_WBLMay0KGC4N,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,B,0,0,5,0,0.0025841224979744563,0.0025396113810260707,okay great so thank you so much for taking the time to meet with me today i heard that you're interested in requesting a sa and a bio of your patent interest is that correct so how much were you thinking for in in terms of the buyout for your patent,0.0025841224979744563,0.013279461468992022,B_5,B_5,0.39,51,0.011137552779205775
great,5.7850513,5.9446387,0.3989693000000001,0,1,20240521_1823_WBLMay0KGC4N,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,B,0,0,5,0,0.0028068918270890827,0.002762384104450061,okay great so thank you so much for taking the time to meet with me today i heard that you're interested in requesting a sa and a bio of your patent interest is that correct so how much were you thinking for in in terms of the buyout for your patent,0.0025841224979744563,0.013279461468992022,B_5,B_5,0.39,51,0.011137552779205775
so,6.343608,6.662783,0.5585566999999996,0,1,20240521_1823_WBLMay0KGC4N,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,B,0,0,5,0,0.003118768709173694,0.0031633753639709605,okay great so thank you so much for taking the time to meet with me today i heard that you're interested in requesting a sa and a bio of your patent interest is that correct so how much were you thinking for in in terms of the buyout for your patent,0.0025841224979744563,0.013279461468992022,B_5,B_5,0.39,51,0.011137552779205775
thank,6.662783,6.822371,0.3191750000000004,0,1,20240521_1823_WBLMay0KGC4N,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,B,0,0,5,0,0.003296983926786079,0.0032524847436937003,okay great so thank you so much for taking the time to meet with me today i heard that you're interested in requesting a sa and a bio of your patent interest is that correct so how much were you thinking for in in terms of the buyout for your patent,0.0025841224979744563,0.013279461468992022,B_5,B_5,0.39,51,0.011137552779205775
you,6.822371,6.9819584,0.1595880000000002,0,1,20240521_1823_WBLMay0KGC4N,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,B,0,0,5,0,0.003386091814773313,0.0033415937883935817,okay great so thank you so much for taking the time to meet with me today i heard that you're interested in requesting a sa and a bio of your patent interest is that correct so how much were you thinking for in in terms of the buyout for your patent,0.0025841224979744563,0.013279461468992022,B_5,B_5,0.39,51,0.011137552779205775
so,6.9819584,7.1415462,0.1595873999999995,0,1,20240521_1823_WBLMay0KGC4N,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,B,0,0,5,0,0.0034751993677432967,0.0034307030564420353,okay great so thank you so much for taking the time to meet with me today i heard that you're interested in requesting a sa and a bio of your patent interest is that correct so how much were you thinking for in in terms of the buyout for your patent,0.0025841224979744563,0.013279461468992022,B_5,B_5,0.39,51,0.011137552779205775
much,7.1415462,7.3011336,0.1595877999999997,0,1,20240521_1823_WBLMay0KGC4N,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,B,0,0,5,0,0.0035643071440581136,0.0035198121011419175,okay great so thank you so much for taking the time to meet with me today i heard that you're interested in requesting a sa and a bio of your patent interest is that correct so how much were you thinking for in in terms of the buyout for your patent,0.0025841224979744563,0.013279461468992022,B_5,B_5,0.39,51,0.011137552779205775
for,7.3011336,7.4607215,0.1595874000000003,0,1,20240521_1823_WBLMay0KGC4N,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,B,0,0,5,0,0.0036534146970280982,0.0036089214250275142,okay great so thank you so much for taking the time to meet with me today i heard that you're interested in requesting a sa and a bio of your patent interest is that correct so how much were you thinking for in in terms of the buyout for your patent,0.0025841224979744563,0.013279461468992022,B_5,B_5,0.39,51,0.011137552779205775
taking,7.4607215,7.700103,0.1595879,0,1,20240521_1823_WBLMay0KGC4N,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,B,0,0,5,0,0.003742522529179124,0.0037425852154259094,okay great so thank you so much for taking the time to meet with me today i heard that you're interested in requesting a sa and a bio of your patent interest is that correct so how much were you thinking for in in terms of the buyout for your patent,0.0025841224979744563,0.013279461468992022,B_5,B_5,0.39,51,0.011137552779205775
the,7.700103,7.85969,0.2393815000000003,0,1,20240521_1823_WBLMay0KGC4N,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,B,0,0,5,0,0.0038761840819789336,0.0038316940367772185,okay great so thank you so much for taking the time to meet with me today i heard that you're interested in requesting a sa and a bio of your patent interest is that correct so how much were you thinking for in in terms of the buyout for your patent,0.0025841224979744563,0.013279461468992022,B_5,B_5,0.39,51,0.011137552779205775
time,7.85969,8.178865,0.1595869999999992,0,1,20240521_1823_WBLMay0KGC4N,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,B,0,0,5,0,0.003965291411604084,0.004009912237851269,okay great so thank you so much for taking the time to meet with me today i heard that you're interested in requesting a sa and a bio of your patent interest is that correct so how much were you thinking for in in terms of the buyout for your patent,0.0025841224979744563,0.013279461468992022,B_5,B_5,0.39,51,0.011137552779205775
to,8.178865,8.258659,0.3191750000000004,0,1,20240521_1823_WBLMay0KGC4N,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,B,0,0,5,0,0.00414350662921647,0.004054466927712638,okay great so thank you so much for taking the time to meet with me today i heard that you're interested in requesting a sa and a bio of your patent interest is that correct so how much were you thinking for in in terms of the buyout for your patent,0.0025841224979744563,0.013279461468992022,B_5,B_5,0.39,51,0.011137552779205775
meet,8.258659,8.498041,0.0797939999999997,0,1,20240521_1823_WBLMay0KGC4N,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,B,0,0,5,0,0.0041880605732100866,0.004188130997296749,okay great so thank you so much for taking the time to meet with me today i heard that you're interested in requesting a sa and a bio of your patent interest is that correct so how much were you thinking for in in terms of the buyout for your patent,0.0025841224979744563,0.013279461468992022,B_5,B_5,0.39,51,0.011137552779205775
with,8.498041,8.737422,0.2393820000000008,0,1,20240521_1823_WBLMay0KGC4N,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,B,0,0,5,0,0.004321722405190937,0.0043217945085094285,okay great so thank you so much for taking the time to meet with me today i heard that you're interested in requesting a sa and a bio of your patent interest is that correct so how much were you thinking for in in terms of the buyout for your patent,0.0025841224979744563,0.013279461468992022,B_5,B_5,0.39,51,0.011137552779205775
me,8.737422,9.056598,0.2393809999999998,0,1,20240521_1823_WBLMay0KGC4N,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,B,0,0,5,0,0.004455383678809706,0.004500013267954907,okay great so thank you so much for taking the time to meet with me today i heard that you're interested in requesting a sa and a bio of your patent interest is that correct so how much were you thinking for in in terms of the buyout for your patent,0.0025841224979744563,0.013279461468992022,B_5,B_5,0.39,51,0.011137552779205775
today,9.056598,9.216186,0.3191759999999988,0,1,20240521_1823_WBLMay0KGC4N,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,B,0,0,5,0,0.0046335994547841725,0.004589122647677648,okay great so thank you so much for taking the time to meet with me today i heard that you're interested in requesting a sa and a bio of your patent interest is that correct so how much were you thinking for in in terms of the buyout for your patent,0.0025841224979744563,0.013279461468992022,B_5,B_5,0.39,51,0.011137552779205775
i,9.934329,10.173711,0.8777310000000007,0,1,20240521_1823_WBLMay0KGC4N,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,B,0,0,5,0,0.005123691163627711,0.005123777250899797,okay great so thank you so much for taking the time to meet with me today i heard that you're interested in requesting a sa and a bio of your patent interest is that correct so how much were you thinking for in in terms of the buyout for your patent,0.0025841224979744563,0.013279461468992022,B_5,B_5,0.39,51,0.011137552779205775
heard,10.173711,10.413093,0.2393820000000008,0,1,20240521_1823_WBLMay0KGC4N,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,B,0,0,5,0,0.0052573529956085625,0.005257441320483907,okay great so thank you so much for taking the time to meet with me today i heard that you're interested in requesting a sa and a bio of your patent interest is that correct so how much were you thinking for in in terms of the buyout for your patent,0.0025841224979744563,0.013279461468992022,B_5,B_5,0.39,51,0.011137552779205775
that,10.413093,10.652473,0.2393819999999991,0,1,20240521_1823_WBLMay0KGC4N,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,B,0,0,5,0,0.005391014827589412,0.005391104273325157,okay great so thank you so much for taking the time to meet with me today i heard that you're interested in requesting a sa and a bio of your patent interest is that correct so how much were you thinking for in in terms of the buyout for your patent,0.0025841224979744563,0.013279461468992022,B_5,B_5,0.39,51,0.011137552779205775
you're,10.652473,11.051443,0.2393800000000006,0,1,20240521_1823_WBLMay0KGC4N,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,B,0,0,5,0,0.0055246755428460985,0.005613877722632007,okay great so thank you so much for taking the time to meet with me today i heard that you're interested in requesting a sa and a bio of your patent interest is that correct so how much were you thinking for in in terms of the buyout for your patent,0.0025841224979744563,0.013279461468992022,B_5,B_5,0.39,51,0.011137552779205775
interested,11.051443,11.530206,0.3989700000000002,0,1,20240521_1823_WBLMay0KGC4N,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,B,0,0,5,0,0.005747445262814183,0.005881205303428796,okay great so thank you so much for taking the time to meet with me today i heard that you're interested in requesting a sa and a bio of your patent interest is that correct so how much were you thinking for in in terms of the buyout for your patent,0.0025841224979744563,0.013279461468992022,B_5,B_5,0.39,51,0.011137552779205775
in,11.530206,11.929174,0.4787629999999989,0,1,20240521_1823_WBLMay0KGC4N,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,B,B,0,0,5,0,0.006014768368413801,0.006103977635992785,okay great so thank you so much for taking the time to meet with me today i heard that you're interested in requesting a sa and a bio of your patent interest is that correct so how much were you thinking for in in terms of the buyout for your patent,0.0025841224979744563,0.013279461468992022,B_5,B_5,0.39,51,0.011137552779205775
