Word,Start Time,End Time,start_time_diff,Speaker_A,Speaker_B,PairID,PersonID,Speaker,Speaker_original,Backchannel,Overlap,Turn,Contested,Speaker_turn
hello,3.9569817,4.3566766,0.0,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,1,0,A_1
hi,4.9164453,5.4164453,0.0,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,2,0,B_2
how,6.035396,6.1952744,2.0784143000000004,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,3,0,A_3
are,6.1952744,6.355152,0.1598783999999993,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,3,0,A_3
you,6.355152,6.5949693,0.1598776000000006,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,3,0,A_3
good,7.1548266,7.234769,2.2383812999999995,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,4,0,B_4
how,7.4745955,7.554538,0.3197689000000006,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,4,0,B_4
are,7.554538,7.7144217,0.0799424999999995,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,4,0,B_4
you,7.7144217,7.874306,0.1598836999999999,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,4,0,B_4
hear,8.433567,8.673384,2.078415,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,5,0,A_5
you,8.673384,8.833262,0.2398170000000004,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,5,0,A_5
okay,9.47315,9.633035,1.7587283000000005,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,6,0,B_6
perfect,9.792919,10.19263,0.3197689999999991,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,6,0,B_6
how's,13.32439,13.483902,4.651005999999999,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,7,0,A_7
is,13.483902,13.563659,0.1595120000000012,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,7,0,A_7
your,13.563659,13.72317,0.0797569999999989,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,7,0,A_7
morning,13.72317,14.042195,0.1595110000000001,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,7,0,A_7
it's,15.56364,15.80345,5.770721,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,8,0,B_8
being,15.80345,16.043259,0.2398100000000003,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,8,0,B_8
good,16.043259,16.123196,0.2398089999999992,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,8,0,B_8
how,16.363007,16.842627,0.3197480000000006,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,8,0,B_8
it's,17.39195,17.551464,3.6687800000000017,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,9,0,A_9
been,17.551464,17.950245,0.1595139999999979,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,9,0,A_9
alright,17.950245,18.109756,0.3987809999999996,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,9,0,A_9
i'm,18.349024,18.849024,0.3987790000000011,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,9,0,A_9
i'm,19.06683,19.385853,0.7178059999999995,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,9,0,A_9
till,19.385853,19.885853,0.3190230000000014,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,9,0,A_9
okay,20.999336,21.079273,4.636329,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,10,0,B_10
same,21.39902,21.638828,0.3996840000000006,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,10,0,B_10
i'm,30.08916,30.248714,10.703307,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,11,0,A_11
just,30.248714,30.408268,0.1595539999999999,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,11,0,A_11
looking,30.408268,30.567822,0.1595539999999999,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,11,0,A_11
at,30.567822,30.80715,0.1595539999999999,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,11,0,A_11
the,30.80715,31.206032,0.2393280000000004,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,11,0,A_11
the,31.206032,31.365585,0.3988820000000004,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,11,0,A_11
dealer,31.365585,31.604916,0.1595529999999989,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,11,0,A_11
notes,31.604916,31.844246,0.2393309999999999,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,11,0,A_11
on,31.844246,31.92402,0.2393299999999989,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,11,0,A_11
the,31.92402,32.163353,0.0797740000000004,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,11,0,A_11
side,32.163353,32.482456,0.239333000000002,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,11,0,A_11
because,32.482456,32.562233,0.3191029999999983,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,11,0,A_11
i,32.721786,32.801563,0.2393300000000024,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,11,0,A_11
didn't,32.801563,33.040894,0.0797769999999999,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,11,0,A_11
see,33.040894,33.200447,0.2393309999999999,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,11,0,A_11
hi,41.835,41.915,8.794106,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,11,0,A_11
well,42.155,42.235,0.3200000000000003,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,11,0,A_11
well,42.395,42.475,0.240000000000002,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,11,0,A_11
how,42.555,42.635,0.1599999999999966,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,11,0,A_11
are,42.635,42.795,0.0799999999999983,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,11,0,A_11
you,42.795,42.875,0.1600000000000037,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,11,0,A_11
doing,42.875,43.274998,0.0799999999999983,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,11,0,A_11
today,43.274998,43.434998,0.3999979999999965,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,11,0,A_11
miss,43.755,43.915,0.480002000000006,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,11,0,A_11
provost,43.995,44.475,0.2399999999999948,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,11,0,A_11
i'm,45.1377,45.456898,23.73868,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,12,0,B_12
going,45.456898,45.696297,0.3191980000000001,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,12,0,B_12
well,45.696297,45.8559,0.2393989999999988,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,12,0,B_12
start,46.0953,46.334698,0.3990030000000004,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,12,0,B_12
buying,46.334698,46.6539,0.2393980000000013,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,12,0,B_12
this,46.6539,46.8135,0.3192019999999971,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,12,0,B_12
thank,48.075,48.315,4.080000000000005,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,13,0,A_13
you,48.315,48.555,0.2399999999999948,1,0,20240521_1823_WBLMay8MQZR5,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,A,A,0,0,13,0,A_13
alright,50.883297,51.122696,4.229396999999999,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,14,0,B_14
so,51.521698,52.021698,0.6384010000000018,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,14,0,B_14
to,52.479298,52.718697,0.9575999999999992,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,14,0,B_14
begin,52.718697,53.0379,0.2393989999999988,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,14,0,B_14
with,53.0379,53.1975,0.3192030000000017,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,14,0,B_14
i,54.0753,54.234898,1.037399999999998,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,14,0,B_14
know,54.234898,54.394497,0.1595980000000025,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,14,0,B_14
you,54.394497,54.474297,0.159599,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,14,0,B_14
put,54.474297,54.5541,0.0797999999999987,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,14,0,B_14
in,54.5541,54.7137,0.0798029999999982,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,14,0,B_14
a,54.7137,55.112698,0.1596000000000046,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,14,0,B_14
request,55.112698,55.511696,0.3989979999999988,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,14,0,B_14
for,55.511696,55.990498,0.3989979999999988,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,14,0,B_14
a,55.990498,56.4693,0.4788020000000017,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,14,0,B_14
sa,56.4693,56.7087,0.4788019999999946,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,14,0,B_14
synthetic,56.7087,57.2087,0.2394000000000034,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,14,0,B_14
very,59.918613,60.31829,3.209913,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,14,0,B_14
exciting,60.31829,60.558098,0.3996769999999969,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,14,0,B_14
very,60.797905,61.117645,0.4796150000000025,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,14,0,B_14
exciting,61.117645,61.43739,0.319740000000003,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,14,0,B_14
moment,61.43739,61.677193,0.3197449999999975,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,14,0,B_14
i,62.476547,62.63642,1.039156999999996,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,14,0,B_14
was,62.63642,62.716354,0.1598730000000046,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,14,0,B_14
just,62.716354,62.87623,0.0799340000000015,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,14,0,B_14
wondering,62.87623,63.19597,0.159875999999997,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,14,0,B_14
if,63.19597,63.275906,0.319740000000003,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,14,0,B_14
you,63.275906,63.435776,0.0799359999999964,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,14,0,B_14
could,63.435776,63.51571,0.1598699999999979,0,1,20240521_1823_WBLMay8MQZR5,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,B,B,0,0,14,0,B_14
