Word,Start Time,End Time,start_time_diff,Speaker_A,Speaker_B,PairID,PersonID,Speaker,Speaker_original,Backchannel,Overlap,Turn,Contested,Speaker_turn
hi,2.1122963,2.3514242,0.0,0,1,20240521_1823_WBLMayBQ5GX2,1716394601678-ee104f96-6e22-4f19-9b30-b9af27e3e319-cam-audio-1716394602677,B,B,0,0,1,0,B_1
hi,2.1157937,2.2754762,0.0,1,0,20240521_1823_WBLMayBQ5GX2,1716394601678-324b2168-4b73-4a62-aca9-97c36159e72e-cam-audio-1716394604919,A,A,0,1,2,0,A_2
how,2.515,2.5948412,0.3992062999999999,1,0,20240521_1823_WBLMayBQ5GX2,1716394601678-324b2168-4b73-4a62-aca9-97c36159e72e-cam-audio-1716394604919,A,A,0,0,2,0,A_2
are,2.5948412,2.7545238,0.0798411999999997,1,0,20240521_1823_WBLMayBQ5GX2,1716394601678-324b2168-4b73-4a62-aca9-97c36159e72e-cam-audio-1716394604919,A,A,0,0,2,0,A_2
you,2.7545238,2.9940476,0.1596826,1,0,20240521_1823_WBLMayBQ5GX2,1716394601678-324b2168-4b73-4a62-aca9-97c36159e72e-cam-audio-1716394604919,A,A,0,0,2,0,A_2
good,4.2644477,4.4238663,2.1521514,0,1,20240521_1823_WBLMayBQ5GX2,1716394601678-ee104f96-6e22-4f19-9b30-b9af27e3e319-cam-audio-1716394602677,Both,B,0,0,2,1,Both_2
how,4.583285,4.7427034,0.3188373000000002,0,1,20240521_1823_WBLMayBQ5GX2,1716394601678-ee104f96-6e22-4f19-9b30-b9af27e3e319-cam-audio-1716394602677,Both,B,0,0,2,1,Both_2
i'm,4.6707144,4.9900794,1.9161906,1,0,20240521_1823_WBLMayBQ5GX2,1716394601678-324b2168-4b73-4a62-aca9-97c36159e72e-cam-audio-1716394604919,Both,A,0,1,2,1,Both_2
are,4.7427034,4.8224125,0.1594183999999998,0,1,20240521_1823_WBLMayBQ5GX2,1716394601678-ee104f96-6e22-4f19-9b30-b9af27e3e319-cam-audio-1716394602677,Both,B,0,1,2,1,Both_2
you,4.8224125,4.981831,0.0797091000000005,0,1,20240521_1823_WBLMayBQ5GX2,1716394601678-ee104f96-6e22-4f19-9b30-b9af27e3e319-cam-audio-1716394602677,B,B,0,0,3,0,B_3
