Word,Start Time,End Time,start_time_diff,Speaker_A,Speaker_B,PairID,PersonID,Speaker,Speaker_original,Backchannel,Overlap,Turn,Contested,Speaker_turn
hi,2.5905523,2.8296802,0.0,0,1,20240521_1823_WBLMayMCMS5M,1716396074631-03fabe6a-5cac-4260-bb7d-66ee770c9446-cam-audio-1716396075694,B,B,0,0,1,0,B_1
so,18.02634,18.52634,0.0,1,0,20240521_1823_WBLMayMCMS5M,1716396074631-a97bb73a-de37-419c-b56a-9a3cf8c43d30-cam-audio-1716396075691,A,A,0,0,2,0,A_2
i'm,19.621464,19.780975,1.5951239999999984,1,0,20240521_1823_WBLMayMCMS5M,1716396074631-a97bb73a-de37-419c-b56a-9a3cf8c43d30-cam-audio-1716396075691,A,A,0,0,2,0,A_2
not,19.780975,20.099998,0.1595110000000019,1,0,20240521_1823_WBLMayMCMS5M,1716396074631-a97bb73a-de37-419c-b56a-9a3cf8c43d30-cam-audio-1716396075691,A,A,0,0,2,0,A_2
promised,20.099998,20.599998,0.3190229999999978,1,0,20240521_1823_WBLMayMCMS5M,1716396074631-a97bb73a-de37-419c-b56a-9a3cf8c43d30-cam-audio-1716396075691,A,A,0,0,2,0,A_2
this,20.817804,21.317804,0.7178059999999995,1,0,20240521_1823_WBLMayMCMS5M,1716396074631-a97bb73a-de37-419c-b56a-9a3cf8c43d30-cam-audio-1716396075691,A,A,0,0,2,0,A_2
exercise,22.492683,22.811707,1.674879000000001,1,0,20240521_1823_WBLMayMCMS5M,1716396074631-a97bb73a-de37-419c-b56a-9a3cf8c43d30-cam-audio-1716396075691,A,A,0,0,2,0,A_2
so,25.443657,25.523415,2.950974000000002,1,0,20240521_1823_WBLMayMCMS5M,1716396074631-a97bb73a-de37-419c-b56a-9a3cf8c43d30-cam-audio-1716396075691,A,A,0,0,2,0,A_2
i,25.682926,25.762682,0.2392689999999966,1,0,20240521_1823_WBLMayMCMS5M,1716396074631-a97bb73a-de37-419c-b56a-9a3cf8c43d30-cam-audio-1716396075691,A,A,0,0,2,0,A_2
guess,25.762682,26.081707,0.0797560000000032,1,0,20240521_1823_WBLMayMCMS5M,1716396074631-a97bb73a-de37-419c-b56a-9a3cf8c43d30-cam-audio-1716396075691,A,A,0,0,2,0,A_2
we,26.081707,26.241219,0.3190249999999999,1,0,20240521_1823_WBLMayMCMS5M,1716396074631-a97bb73a-de37-419c-b56a-9a3cf8c43d30-cam-audio-1716396075691,A,A,0,0,2,0,A_2
just,26.241219,26.40073,0.1595119999999994,1,0,20240521_1823_WBLMayMCMS5M,1716396074631-a97bb73a-de37-419c-b56a-9a3cf8c43d30-cam-audio-1716396075691,A,A,0,0,2,0,A_2
