Word,Start Time,End Time,start_time_diff,Speaker_A,Speaker_B,PairID,PersonID,Speaker,Speaker_original,Backchannel,Overlap,Turn,Contested,Speaker_turn
hello,1.9568181,2.436039,0.0,0,1,20240521_1823_WBLMayS5EFYJ,1716395262753-a9148940-30ab-4dae-9502-52fb6494fa06-cam-audio-1716395263701,B,B,0,0,1,0,B_1
can,4.113312,4.1931815,2.1564939,0,1,20240521_1823_WBLMayS5EFYJ,1716395262753-a9148940-30ab-4dae-9502-52fb6494fa06-cam-audio-1716395263701,B,B,0,0,1,0,B_1
you,4.1931815,4.432792,0.0798695,0,1,20240521_1823_WBLMayS5EFYJ,1716395262753-a9148940-30ab-4dae-9502-52fb6494fa06-cam-audio-1716395263701,B,B,0,0,1,0,B_1
hear,4.432792,4.592532,0.2396105000000004,0,1,20240521_1823_WBLMayS5EFYJ,1716395262753-a9148940-30ab-4dae-9502-52fb6494fa06-cam-audio-1716395263701,B,B,0,0,1,0,B_1
me,4.592532,4.7522726,0.1597400000000002,0,1,20240521_1823_WBLMayS5EFYJ,1716395262753-a9148940-30ab-4dae-9502-52fb6494fa06-cam-audio-1716395263701,B,B,0,0,1,0,B_1
i,7.3081164,7.467857,2.7155844,0,1,20240521_1823_WBLMayS5EFYJ,1716395262753-a9148940-30ab-4dae-9502-52fb6494fa06-cam-audio-1716395263701,B,B,0,0,1,0,B_1
can't,7.467857,7.707467,0.1597406000000001,0,1,20240521_1823_WBLMayS5EFYJ,1716395262753-a9148940-30ab-4dae-9502-52fb6494fa06-cam-audio-1716395263701,B,B,0,0,1,0,B_1
hear,7.707467,7.8672075,0.2396099999999998,0,1,20240521_1823_WBLMayS5EFYJ,1716395262753-a9148940-30ab-4dae-9502-52fb6494fa06-cam-audio-1716395263701,B,B,0,0,1,0,B_1
you,7.8672075,8.026948,0.1597404999999998,0,1,20240521_1823_WBLMayS5EFYJ,1716395262753-a9148940-30ab-4dae-9502-52fb6494fa06-cam-audio-1716395263701,B,B,0,0,1,0,B_1
can,17.474998,17.634998,9.6077905,0,1,20240521_1823_WBLMayS5EFYJ,1716395262753-a9148940-30ab-4dae-9502-52fb6494fa06-cam-audio-1716395263701,B,B,0,0,1,0,B_1
you,17.634998,17.795,0.1600000000000001,0,1,20240521_1823_WBLMayS5EFYJ,1716395262753-a9148940-30ab-4dae-9502-52fb6494fa06-cam-audio-1716395263701,B,B,0,0,1,0,B_1
hear,17.795,17.955,0.1600020000000022,0,1,20240521_1823_WBLMayS5EFYJ,1716395262753-a9148940-30ab-4dae-9502-52fb6494fa06-cam-audio-1716395263701,B,B,0,0,1,0,B_1
me,17.955,18.195,0.1599999999999966,0,1,20240521_1823_WBLMayS5EFYJ,1716395262753-a9148940-30ab-4dae-9502-52fb6494fa06-cam-audio-1716395263701,B,B,0,0,1,0,B_1
now,18.195,18.275,0.240000000000002,0,1,20240521_1823_WBLMayS5EFYJ,1716395262753-a9148940-30ab-4dae-9502-52fb6494fa06-cam-audio-1716395263701,B,B,0,0,1,0,B_1
chan,18.626102,18.705975,0.0,1,0,20240521_1823_WBLMayS5EFYJ,1716395262753-0f5cb81b-102e-4344-9e53-317ec65118cf-cam-audio-1716395263700,A,A,0,0,2,0,A_2
i,18.945583,19.025454,0.3194809999999997,1,0,20240521_1823_WBLMayS5EFYJ,1716395262753-0f5cb81b-102e-4344-9e53-317ec65118cf-cam-audio-1716395263700,A,A,0,0,2,0,A_2
can,19.025454,19.185194,0.0798710000000006,1,0,20240521_1823_WBLMayS5EFYJ,1716395262753-0f5cb81b-102e-4344-9e53-317ec65118cf-cam-audio-1716395263700,A,A,0,0,2,0,A_2
hear,19.185194,19.344934,0.1597399999999993,1,0,20240521_1823_WBLMayS5EFYJ,1716395262753-0f5cb81b-102e-4344-9e53-317ec65118cf-cam-audio-1716395263700,A,A,0,0,2,0,A_2
you,19.344934,19.504675,0.1597399999999993,1,0,20240521_1823_WBLMayS5EFYJ,1716395262753-0f5cb81b-102e-4344-9e53-317ec65118cf-cam-audio-1716395263700,A,A,0,0,2,0,A_2
can,19.664415,19.744286,0.3194810000000032,1,0,20240521_1823_WBLMayS5EFYJ,1716395262753-0f5cb81b-102e-4344-9e53-317ec65118cf-cam-audio-1716395263700,A,A,0,0,2,0,A_2
you,19.744286,19.904026,0.0798709999999971,1,0,20240521_1823_WBLMayS5EFYJ,1716395262753-0f5cb81b-102e-4344-9e53-317ec65118cf-cam-audio-1716395263700,A,A,0,0,2,0,A_2
hear,19.904026,20.063766,0.1597400000000028,1,0,20240521_1823_WBLMayS5EFYJ,1716395262753-0f5cb81b-102e-4344-9e53-317ec65118cf-cam-audio-1716395263700,A,A,0,0,2,0,A_2
me,20.063766,20.223507,0.1597399999999993,1,0,20240521_1823_WBLMayS5EFYJ,1716395262753-0f5cb81b-102e-4344-9e53-317ec65118cf-cam-audio-1716395263700,A,A,0,0,2,0,A_2
yes,20.515,20.595,2.3200000000000003,0,1,20240521_1823_WBLMayS5EFYJ,1716395262753-a9148940-30ab-4dae-9502-52fb6494fa06-cam-audio-1716395263701,B,B,0,0,3,0,B_3
i,20.914999,20.994999,0.3999990000000011,0,1,20240521_1823_WBLMayS5EFYJ,1716395262753-a9148940-30ab-4dae-9502-52fb6494fa06-cam-audio-1716395263701,B,B,0,0,3,0,B_3
can,20.994999,21.154999,0.0799999999999983,0,1,20240521_1823_WBLMayS5EFYJ,1716395262753-a9148940-30ab-4dae-9502-52fb6494fa06-cam-audio-1716395263701,B,B,0,0,3,0,B_3
hear,21.154999,21.314999,0.1600000000000001,0,1,20240521_1823_WBLMayS5EFYJ,1716395262753-a9148940-30ab-4dae-9502-52fb6494fa06-cam-audio-1716395263701,B,B,0,0,3,0,B_3
you,21.314999,21.395,0.1600000000000001,0,1,20240521_1823_WBLMayS5EFYJ,1716395262753-a9148940-30ab-4dae-9502-52fb6494fa06-cam-audio-1716395263701,B,B,0,0,3,0,B_3
now,21.395,21.555,0.0800009999999993,0,1,20240521_1823_WBLMayS5EFYJ,1716395262753-a9148940-30ab-4dae-9502-52fb6494fa06-cam-audio-1716395263701,B,B,0,0,3,0,B_3
okay,21.501427,21.661167,1.4376609999999983,1,0,20240521_1823_WBLMayS5EFYJ,1716395262753-0f5cb81b-102e-4344-9e53-317ec65118cf-cam-audio-1716395263700,Both,A,0,1,3,1,Both_3
it's,21.90078,22.140388,0.3993530000000014,1,0,20240521_1823_WBLMayS5EFYJ,1716395262753-0f5cb81b-102e-4344-9e53-317ec65118cf-cam-audio-1716395263700,A,A,0,0,4,0,A_4
