Word,Start Time,End Time,start_time_diff,Speaker_A,Speaker_B,PairID,PersonID,Speaker,Speaker_original,Backchannel,Overlap,Turn,Contested,Speaker_turn
hello,1.7187784,2.038551,0.0,0,1,20240522_1325_S3WBLM1GW0BF,1716394836688-40702634-31f3-41bf-8cb8-47db3919c928-cam-audio-1716394837698,B,B,0,0,1,0,B_1
hi,2.44,2.76,0.0,1,0,20240522_1325_S3WBLM1GW0BF,1716394836688-f2949717-a15e-4dbe-af88-7c256113aadf-cam-audio-1716394837700,A,A,0,0,2,0,A_2
how's,3.797301,3.9571874,2.0785226000000003,0,1,20240522_1325_S3WBLM1GW0BF,1716394836688-40702634-31f3-41bf-8cb8-47db3919c928-cam-audio-1716394837698,B,B,0,0,3,0,B_3
he,3.9571874,4.1970167,0.1598863999999999,0,1,20240522_1325_S3WBLM1GW0BF,1716394836688-40702634-31f3-41bf-8cb8-47db3919c928-cam-audio-1716394837698,B,B,0,0,3,0,B_3
gone,4.1970167,4.356903,0.2398292999999998,0,1,20240522_1325_S3WBLM1GW0BF,1716394836688-40702634-31f3-41bf-8cb8-47db3919c928-cam-audio-1716394837698,B,B,0,0,3,0,B_3
good,4.68,4.8399997,2.24,1,0,20240522_1325_S3WBLM1GW0BF,1716394836688-f2949717-a15e-4dbe-af88-7c256113aadf-cam-audio-1716394837700,A,A,0,0,4,0,A_4
how,5.0,5.08,0.3200000000000003,1,0,20240522_1325_S3WBLM1GW0BF,1716394836688-f2949717-a15e-4dbe-af88-7c256113aadf-cam-audio-1716394837700,A,A,0,0,4,0,A_4
are,5.08,5.24,0.08,1,0,20240522_1325_S3WBLM1GW0BF,1716394836688-f2949717-a15e-4dbe-af88-7c256113aadf-cam-audio-1716394837700,A,A,0,0,4,0,A_4
you,5.24,5.4,0.1600000000000001,1,0,20240522_1325_S3WBLM1GW0BF,1716394836688-f2949717-a15e-4dbe-af88-7c256113aadf-cam-audio-1716394837700,A,A,0,0,4,0,A_4
benoit,6.355483,6.595312,2.1584663000000006,0,1,20240522_1325_S3WBLM1GW0BF,1716394836688-40702634-31f3-41bf-8cb8-47db3919c928-cam-audio-1716394837698,B,B,0,0,5,0,B_5
okay,7.9543467,8.194176,1.5988637,0,1,20240522_1325_S3WBLM1GW0BF,1716394836688-40702634-31f3-41bf-8cb8-47db3919c928-cam-audio-1716394837698,B,B,0,0,5,0,B_5
to,14.603367,14.683116,6.6490203,0,1,20240522_1325_S3WBLM1GW0BF,1716394836688-40702634-31f3-41bf-8cb8-47db3919c928-cam-audio-1716394837698,B,B,0,0,5,0,B_5
we,14.683116,14.922361,0.0797489999999996,0,1,20240522_1325_S3WBLM1GW0BF,1716394836688-40702634-31f3-41bf-8cb8-47db3919c928-cam-audio-1716394837698,B,B,0,0,5,0,B_5
to,14.922361,15.241357,0.2392450000000003,0,1,20240522_1325_S3WBLM1GW0BF,1716394836688-40702634-31f3-41bf-8cb8-47db3919c928-cam-audio-1716394837698,B,B,0,0,5,0,B_5
restart,15.241357,15.560351,0.3189960000000003,0,1,20240522_1325_S3WBLM1GW0BF,1716394836688-40702634-31f3-41bf-8cb8-47db3919c928-cam-audio-1716394837698,B,B,0,0,5,0,B_5
yeah,16.775,17.095,11.534999999999998,1,0,20240522_1325_S3WBLM1GW0BF,1716394836688-f2949717-a15e-4dbe-af88-7c256113aadf-cam-audio-1716394837700,A,A,0,0,6,0,A_6
so,17.975,18.215,1.2000000000000028,1,0,20240522_1325_S3WBLM1GW0BF,1716394836688-f2949717-a15e-4dbe-af88-7c256113aadf-cam-audio-1716394837700,A,A,0,0,6,0,A_6
oh,18.112312,18.351559,2.8709549999999986,0,1,20240522_1325_S3WBLM1GW0BF,1716394836688-40702634-31f3-41bf-8cb8-47db3919c928-cam-audio-1716394837698,Both,B,0,1,6,1,Both_6
you're,18.215,18.375,0.2399999999999984,1,0,20240522_1325_S3WBLM1GW0BF,1716394836688-f2949717-a15e-4dbe-af88-7c256113aadf-cam-audio-1716394837700,Both,A,0,1,6,1,Both_6
yeah,18.351559,18.511055,0.2392470000000024,0,1,20240522_1325_S3WBLM1GW0BF,1716394836688-40702634-31f3-41bf-8cb8-47db3919c928-cam-audio-1716394837698,Both,B,0,1,6,1,Both_6
the,18.375,18.615,0.1600000000000001,1,0,20240522_1325_S3WBLM1GW0BF,1716394836688-f2949717-a15e-4dbe-af88-7c256113aadf-cam-audio-1716394837700,Both,A,0,1,6,1,Both_6
scientist,18.615,19.095,0.2399999999999984,1,0,20240522_1325_S3WBLM1GW0BF,1716394836688-f2949717-a15e-4dbe-af88-7c256113aadf-cam-audio-1716394837700,A,A,0,0,6,0,A_6
yeah,19.787035,20.10603,1.4354759999999978,0,1,20240522_1325_S3WBLM1GW0BF,1716394836688-40702634-31f3-41bf-8cb8-47db3919c928-cam-audio-1716394837698,B,B,0,0,7,0,B_7
okay,22.855,23.015,4.240000000000002,1,0,20240522_1325_S3WBLM1GW0BF,1716394836688-f2949717-a15e-4dbe-af88-7c256113aadf-cam-audio-1716394837700,A,A,0,0,8,0,A_8
so,23.335,23.494999,0.4800000000000004,1,0,20240522_1325_S3WBLM1GW0BF,1716394836688-f2949717-a15e-4dbe-af88-7c256113aadf-cam-audio-1716394837700,A,A,0,0,8,0,A_8
i,23.654999,23.814999,0.3199989999999992,1,0,20240522_1325_S3WBLM1GW0BF,1716394836688-f2949717-a15e-4dbe-af88-7c256113aadf-cam-audio-1716394837700,A,A,0,0,8,0,A_8
have,23.814999,23.895,0.1600000000000001,1,0,20240522_1325_S3WBLM1GW0BF,1716394836688-f2949717-a15e-4dbe-af88-7c256113aadf-cam-audio-1716394837700,A,A,0,0,8,0,A_8
a,23.895,24.055,0.0800009999999993,1,0,20240522_1325_S3WBLM1GW0BF,1716394836688-f2949717-a15e-4dbe-af88-7c256113aadf-cam-audio-1716394837700,A,A,0,0,8,0,A_8
few,24.055,24.294998,0.1600000000000001,1,0,20240522_1325_S3WBLM1GW0BF,1716394836688-f2949717-a15e-4dbe-af88-7c256113aadf-cam-audio-1716394837700,A,A,0,0,8,0,A_8
notes,24.294998,24.615,0.2399979999999999,1,0,20240522_1325_S3WBLM1GW0BF,1716394836688-f2949717-a15e-4dbe-af88-7c256113aadf-cam-audio-1716394837700,A,A,0,0,8,0,A_8
let,25.575,25.735,1.2800019999999996,1,0,20240522_1325_S3WBLM1GW0BF,1716394836688-f2949717-a15e-4dbe-af88-7c256113aadf-cam-audio-1716394837700,A,A,0,0,8,0,A_8
me,25.735,26.235,0.1600000000000001,1,0,20240522_1325_S3WBLM1GW0BF,1716394836688-f2949717-a15e-4dbe-af88-7c256113aadf-cam-audio-1716394837700,A,A,0,0,8,0,A_8
refer,26.294998,26.455,0.5599980000000002,1,0,20240522_1325_S3WBLM1GW0BF,1716394836688-f2949717-a15e-4dbe-af88-7c256113aadf-cam-audio-1716394837700,A,A,0,0,8,0,A_8
to,26.455,26.615,0.1600019999999986,1,0,20240522_1325_S3WBLM1GW0BF,1716394836688-f2949717-a15e-4dbe-af88-7c256113aadf-cam-audio-1716394837700,A,A,0,0,8,0,A_8
those,26.615,26.855,0.1600000000000001,1,0,20240522_1325_S3WBLM1GW0BF,1716394836688-f2949717-a15e-4dbe-af88-7c256113aadf-cam-audio-1716394837700,A,A,0,0,8,0,A_8
okay,28.869396,29.029053,2.254396,1,0,20240522_1325_S3WBLM1GW0BF,1716394836688-f2949717-a15e-4dbe-af88-7c256113aadf-cam-audio-1716394837700,A,A,0,0,8,0,A_8
so,29.587845,29.7475,0.7184490000000032,1,0,20240522_1325_S3WBLM1GW0BF,1716394836688-f2949717-a15e-4dbe-af88-7c256113aadf-cam-audio-1716394837700,A,A,0,0,8,0,A_8
i,29.907156,30.146639,0.319310999999999,1,0,20240522_1325_S3WBLM1GW0BF,1716394836688-f2949717-a15e-4dbe-af88-7c256113aadf-cam-audio-1716394837700,A,A,0,0,8,0,A_8
understand,30.146639,30.38612,0.2394829999999999,1,0,20240522_1325_S3WBLM1GW0BF,1716394836688-f2949717-a15e-4dbe-af88-7c256113aadf-cam-audio-1716394837700,A,A,0,0,8,0,A_8
that,30.38612,30.625603,0.2394809999999978,1,0,20240522_1325_S3WBLM1GW0BF,1716394836688-f2949717-a15e-4dbe-af88-7c256113aadf-cam-audio-1716394837700,A,A,0,0,8,0,A_8
