Word,Start Time,End Time,start_time_diff,Speaker_A,Speaker_B,PairID,PersonID,Speaker,Speaker_original,Backchannel,Overlap,Turn,Contested,Normalized_Start,Normalized_End,Sent,Turn Start,Turn End,Speaker_original_turn,Speaker_turn,Sentiment,word_count,Turn_Boundary
i,0.19926035,0.35866866,0.0,1,0,20240522_1325_S3WBLMC0HDVA,1716394852639-ed4106b1-dbdd-42b7-8b8c-54dd3ebae144-cam-audio-1716394854650,A,A,0,0,1,0,0.0,0.0,i,0.0,0.0,A_1,A_1,0.0,1,0.0
hi,1.3168269,1.3966346,0.0,0,1,20240522_1325_S3WBLMC0HDVA,1716394852639-512a7da4-a19c-4993-8923-5c201bff74e2-cam-audio-1716394854649,B,B,0,0,2,0,0.001097762055667943,0.0010193320493001837,hi how are you,0.001097762055667943,0.0016463317860424837,B_2,B_2,0.0,4,0.0008231658930212419
how,1.55625,1.6360576,0.2394231,0,1,20240522_1325_S3WBLMC0HDVA,1716394852639-512a7da4-a19c-4993-8923-5c201bff74e2-cam-audio-1716394854649,B,B,0,0,2,0,0.0013329423180249288,0.0012544568523737776,hi how are you,0.001097762055667943,0.0016463317860424837,B_2,B_2,0.0,4,0.0008231658930212419
are,1.6360576,1.795673,0.0798076,0,1,20240522_1325_S3WBLMC0HDVA,1716394852639-512a7da4-a19c-4993-8923-5c201bff74e2-cam-audio-1716394854649,B,B,0,0,2,0,0.0014113356405826996,0.0014112067865593527,hi how are you,0.001097762055667943,0.0016463317860424837,B_2,B_2,0.0,4,0.0008231658930212419
you,1.795673,2.0350962,0.1596154,0,1,20240522_1325_S3WBLMC0HDVA,1716394852639-512a7da4-a19c-4993-8923-5c201bff74e2-cam-audio-1716394854649,B,B,0,0,2,0,0.0015681224821540237,0.0016463317860424837,hi how are you,0.001097762055667943,0.0016463317860424837,B_2,B_2,0.0,4,0.0008231658930212419
good,3.1483138,3.3874261,2.94905345,1,0,20240522_1325_S3WBLMC0HDVA,1716394852639-ed4106b1-dbdd-42b7-8b8c-54dd3ebae144-cam-audio-1716394854650,A,A,0,0,3,0,0.0028967930165292076,0.0029743842347547335,good how are you,0.0028967930165292076,0.003444023891084281,A_3,A_3,0.7,4,0.002270892973376112
how,3.3874261,3.4671302,0.2391122999999999,1,0,20240522_1325_S3WBLMC0HDVA,1716394852639-ed4106b1-dbdd-42b7-8b8c-54dd3ebae144-cam-audio-1716394854650,A,A,0,0,3,0,0.0031316679866001088,0.003052657461707274,good how are you,0.0028967930165292076,0.003444023891084281,A_3,A_3,0.7,4,0.002270892973376112
are,3.4671302,3.7062426,0.0797041000000002,1,0,20240522_1325_S3WBLMC0HDVA,1716394852639-ed4106b1-dbdd-42b7-8b8c-54dd3ebae144-cam-audio-1716394854650,A,A,0,0,3,0,0.0032099596432904093,0.003287477240769663,good how are you,0.0028967930165292076,0.003444023891084281,A_3,A_3,0.7,4,0.002270892973376112
you,3.7062426,3.865651,0.2391123999999997,1,0,20240522_1325_S3WBLMC0HDVA,1716394852639-ed4106b1-dbdd-42b7-8b8c-54dd3ebae144-cam-audio-1716394854650,A,A,0,0,3,0,0.003444834711589201,0.003444023891084281,good how are you,0.0028967930165292076,0.003444023891084281,A_3,A_3,0.7,4,0.002270892973376112
go,4.8283653,5.2274036,3.0326923,0,1,20240522_1325_S3WBLMC0HDVA,1716394852639-512a7da4-a19c-4993-8923-5c201bff74e2-cam-audio-1716394854649,B,B,0,0,4,0,0.0045470721773255025,0.004781329880525372,go,0.0045470721773255025,0.004781329880525372,B_4,B_4,0.0,1,0.00383906144852729
