Word,Start Time,End Time,start_time_diff,Speaker_A,Speaker_B,PairID,PersonID,Speaker,Speaker_original,Backchannel,Overlap,Turn,Contested,Normalized_Start,Normalized_End,Sent,Turn Start,Turn End,Speaker_original_turn,Speaker_turn,Sentiment,word_count,Turn_Boundary
hello,1.4780526,1.637842,0.0,0,1,20240522_1325_S3WBLMCJ9QDR,1716395294891-28e80318-c304-4b03-9381-86bd8903e244-cam-audio-1716395299552,B,B,0,0,1,0,0.0,0.0,hello how's it going i'm doing well,0.0,0.002254746194082684,B_1,B_1,0.0,7,0.0
how's,1.8775263,1.9574211,0.3994736999999999,0,1,20240522_1325_S3WBLMCJ9QDR,1716395294891-28e80318-c304-4b03-9381-86bd8903e244-cam-audio-1716395299552,B,B,0,0,1,0,0.00028910352845801473,0.00023125611082317247,hello how's it going i'm doing well,0.0,0.002254746194082684,B_1,B_1,0.0,7,0.0
it,1.9574211,2.0373158,0.0798947999999999,0,1,20240522_1325_S3WBLMCJ9QDR,1716395294891-28e80318-c304-4b03-9381-86bd8903e244-cam-audio-1716395299552,B,B,0,0,1,0,0.00034692427757228024,0.00028907008425693,hello how's it going i'm doing well,0.0,0.002254746194082684,B_1,B_1,0.0,7,0.0
going,2.0373158,2.3568947,0.0798947000000001,0,1,20240522_1325_S3WBLMCJ9QDR,1716395294891-28e80318-c304-4b03-9381-86bd8903e244-cam-audio-1716395299552,B,B,0,0,1,0,0.0004047449543154414,0.0005203260503546742,hello how's it going i'm doing well,0.0,0.002254746194082684,B_1,B_1,0.0,7,0.0
i'm,4.1145787,4.2743683,2.0772629,0,1,20240522_1325_S3WBLMCJ9QDR,1716395294891-28e80318-c304-4b03-9381-86bd8903e244-cam-audio-1716395299552,B,B,0,0,1,0,0.001908083056235363,0.001907861991666568,hello how's it going i'm doing well,0.0,0.002254746194082684,B_1,B_1,0.0,7,0.0
doing,4.2743683,4.5939474,0.1597895999999998,0,1,20240522_1325_S3WBLMCJ9QDR,1716395294891-28e80318-c304-4b03-9381-86bd8903e244-cam-audio-1716395299552,B,B,0,0,1,0,0.0020237245544638943,0.0021391181024897404,hello how's it going i'm doing well,0.0,0.002254746194082684,B_1,B_1,0.0,7,0.0
well,4.5939474,4.753737,0.3195791000000003,0,1,20240522_1325_S3WBLMCJ9QDR,1716395294891-28e80318-c304-4b03-9381-86bd8903e244-cam-audio-1716395299552,B,B,0,0,1,0,0.0022550074785498524,0.002254746194082684,hello how's it going i'm doing well,0.0,0.002254746194082684,B_1,B_1,0.0,7,0.0
hello,6.0885,6.327265,0.0,1,0,20240522_1325_S3WBLMCJ9QDR,1716395294891-01b432f6-d66b-4655-8200-25bef827e588-cam-audio-1716395295876,A,A,0,0,2,0,0.003336631700935706,0.0033933937638122597,hello how you,0.003336631700935706,0.003911723254519034,A_2,A_2,0.0,3,0.001955861627259517
how,6.5660295,6.804794,0.4775295000000001,1,0,20240522_1325_S3WBLMCJ9QDR,1716395294891-01b432f6-d66b-4655-8200-25bef827e588-cam-audio-1716395295876,A,A,0,0,2,0,0.00368222507389816,0.0037389467093749676,hello how you,0.003336631700935706,0.003911723254519034,A_2,A_2,0.0,3,0.001955861627259517
you,6.804794,7.0435586,0.2387645000000002,1,0,20240522_1325_S3WBLMCJ9QDR,1716395294891-01b432f6-d66b-4655-8200-25bef827e588-cam-audio-1716395295876,A,A,0,0,2,0,0.0038550215794516266,0.003911723254519034,hello how you,0.003336631700935706,0.003911723254519034,A_2,A_2,0.0,3,0.001955861627259517
