Word,Start Time,End Time,start_time_diff,Speaker_A,Speaker_B,PairID,PersonID,Speaker,Speaker_original,Backchannel,Overlap,Turn,Contested,Normalized_Start,Normalized_End,Sent,Turn Start,Turn End,Speaker_original_turn,Speaker_turn,Sentiment,word_count,Turn_Boundary
hello,7.8747606,8.194548,0.0,0,1,20240522_1325_S3WBLMJ9ZP9P,1716395237689-9c110cd1-6e87-4e29-a2d2-e1fe3955cfd5-cam-audio-1716395241664,B,B,0,0,1,0,0.0,0.0,hello hi,0.0,0.00881441850732274,B_1,B_1,0.0,2,0.009854612234993492
hi,15.7233,16.0425,7.8485394,0,1,20240522_1325_S3WBLMJ9ZP9P,1716395237689-9c110cd1-6e87-4e29-a2d2-e1fe3955cfd5-cam-audio-1716395241664,B,B,1,0,1,0,0.008815072528346596,0.00881441850732274,hello hi,0.0,0.00881441850732274,B_1,B_1,0.0,2,0.009854612234993492
hello,17.575,17.895,0.0,1,0,20240522_1325_S3WBLMJ9ZP9P,1716395237689-91d8c598-6197-45c4-b3c7-8b4199acdc3d-cam-audio-1716395238126,A,A,0,0,1,0,0.010894805962664244,0.010895051809465178,hello,0.010894805962664244,0.010895051809465178,A_1,A_1,0.0,1,0.010894805962664244
okay,21.1497,21.3093,5.426399999999999,0,1,20240522_1325_S3WBLMJ9ZP9P,1716395237689-9c110cd1-6e87-4e29-a2d2-e1fe3955cfd5-cam-audio-1716395241664,B,B,0,0,2,0,0.01490972366404962,0.014729819034029246,okay i wrote how we'd would to start this but do you wanna like i don't know do wanna begin or,0.01490972366404962,0.022192694089044448,B_2,B_2,0.5,21,0.011096347044522224
i,21.7881,21.9477,0.6384000000000007,0,1,20240522_1325_S3WBLMJ9ZP9P,1716395237689-9c110cd1-6e87-4e29-a2d2-e1fe3955cfd5-cam-audio-1716395241664,B,B,0,0,2,0,0.01562674144472057,0.015446837279690644,okay i wrote how we'd would to start this but do you wanna like i don't know do wanna begin or,0.01490972366404962,0.022192694089044448,B_2,B_2,0.5,21,0.011096347044522224
wrote,21.9477,22.426498,0.159600000000001,0,1,20240522_1325_S3WBLMJ9ZP9P,1716395237689-9c110cd1-6e87-4e29-a2d2-e1fe3955cfd5-cam-audio-1716395241664,B,B,0,0,2,0,0.015805995889888305,0.015984598717638923,okay i wrote how we'd would to start this but do you wanna like i don't know do wanna begin or,0.01490972366404962,0.022192694089044448,B_2,B_2,0.5,21,0.011096347044522224
how,22.426498,22.745699,0.4787979999999976,0,1,20240522_1325_S3WBLMJ9ZP9P,1716395237689-9c110cd1-6e87-4e29-a2d2-e1fe3955cfd5-cam-audio-1716395241664,B,B,0,0,2,0,0.016343756979095205,0.016343108963618503,okay i wrote how we'd would to start this but do you wanna like i don't know do wanna begin or,0.01490972366404962,0.022192694089044448,B_2,B_2,0.5,21,0.011096347044522224
we'd,22.745699,23.245699,0.3192009999999996,0,1,20240522_1325_S3WBLMJ9ZP9P,1716395237689-9c110cd1-6e87-4e29-a2d2-e1fe3955cfd5-cam-audio-1716395241664,B,B,0,0,2,0,0.01670226699257883,0.01690468340414278,okay i wrote how we'd would to start this but do you wanna like i don't know do wanna begin or,0.01490972366404962,0.022192694089044448,B_2,B_2,0.5,21,0.011096347044522224
would,23.3841,23.5437,0.6384010000000018,0,1,20240522_1325_S3WBLMJ9ZP9P,1716395237689-9c110cd1-6e87-4e29-a2d2-e1fe3955cfd5-cam-audio-1716395241664,B,B,0,0,2,0,0.017419285896397928,0.01723938289384413,okay i wrote how we'd would to start this but do you wanna like i don't know do wanna begin or,0.01490972366404962,0.022192694089044448,B_2,B_2,0.5,21,0.011096347044522224
to,23.5437,23.7033,0.159600000000001,0,1,20240522_1325_S3WBLMJ9ZP9P,1716395237689-9c110cd1-6e87-4e29-a2d2-e1fe3955cfd5-cam-audio-1716395241664,B,B,0,0,2,0,0.017598540341565667,0.017418637455259477,okay i wrote how we'd would to start this but do you wanna like i don't know do wanna begin or,0.01490972366404962,0.022192694089044448,B_2,B_2,0.5,21,0.011096347044522224
start,23.7033,24.0225,0.1595999999999975,0,1,20240522_1325_S3WBLMJ9ZP9P,1716395237689-9c110cd1-6e87-4e29-a2d2-e1fe3955cfd5-cam-audio-1716395241664,B,B,0,0,2,0,0.0177777947867334,0.017777146578090177,okay i wrote how we'd would to start this but do you wanna like i don't know do wanna begin or,0.01490972366404962,0.022192694089044448,B_2,B_2,0.5,21,0.011096347044522224
this,24.0225,24.182098,0.3192000000000021,0,1,20240522_1325_S3WBLMJ9ZP9P,1716395237689-9c110cd1-6e87-4e29-a2d2-e1fe3955cfd5-cam-audio-1716395241664,B,B,0,0,2,0,0.018136303677068873,0.017956398893207763,okay i wrote how we'd would to start this but do you wanna like i don't know do wanna begin or,0.01490972366404962,0.022192694089044448,B_2,B_2,0.5,21,0.011096347044522224
but,24.3417,24.8417,0.3191999999999986,0,1,20240522_1325_S3WBLMJ9ZP9P,1716395237689-9c110cd1-6e87-4e29-a2d2-e1fe3955cfd5-cam-audio-1716395241664,B,B,0,0,2,0,0.018494812567404345,0.018697230141445146,okay i wrote how we'd would to start this but do you wanna like i don't know do wanna begin or,0.01490972366404962,0.022192694089044448,B_2,B_2,0.5,21,0.011096347044522224
do,25.6185,25.6983,1.2768000000000015,0,1,20240522_1325_S3WBLMJ9ZP9P,1716395237689-9c110cd1-6e87-4e29-a2d2-e1fe3955cfd5-cam-audio-1716395241664,B,B,0,0,2,0,0.019928848128746235,0.019659319472951336,okay i wrote how we'd would to start this but do you wanna like i don't know do wanna begin or,0.01490972366404962,0.022192694089044448,B_2,B_2,0.5,21,0.011096347044522224
you,25.6983,25.7781,0.0797999999999987,0,1,20240522_1325_S3WBLMJ9ZP9P,1716395237689-9c110cd1-6e87-4e29-a2d2-e1fe3955cfd5-cam-audio-1716395241664,B,B,0,0,2,0,0.0200184753513301,0.01974894675365901,okay i wrote how we'd would to start this but do you wanna like i don't know do wanna begin or,0.01490972366404962,0.022192694089044448,B_2,B_2,0.5,21,0.011096347044522224
wanna,25.7781,26.017498,0.0797999999999987,0,1,20240522_1325_S3WBLMJ9ZP9P,1716395237689-9c110cd1-6e87-4e29-a2d2-e1fe3955cfd5-cam-audio-1716395241664,B,B,0,0,2,0,0.020108102573913968,0.02001782634948427,okay i wrote how we'd would to start this but do you wanna like i don't know do wanna begin or,0.01490972366404962,0.022192694089044448,B_2,B_2,0.5,21,0.011096347044522224
like,26.0973,26.1771,0.3192000000000021,0,1,20240522_1325_S3WBLMJ9ZP9P,1716395237689-9c110cd1-6e87-4e29-a2d2-e1fe3955cfd5-cam-audio-1716395241664,B,B,0,0,2,0,0.020466611464249444,0.02019708315719738,okay i wrote how we'd would to start this but do you wanna like i don't know do wanna begin or,0.01490972366404962,0.022192694089044448,B_2,B_2,0.5,21,0.011096347044522224
i,26.3367,26.4165,0.2393999999999998,0,1,20240522_1325_S3WBLMJ9ZP9P,1716395237689-9c110cd1-6e87-4e29-a2d2-e1fe3955cfd5-cam-audio-1716395241664,B,B,0,0,2,0,0.020735493132001046,0.020465964999320404,okay i wrote how we'd would to start this but do you wanna like i don't know do wanna begin or,0.01490972366404962,0.022192694089044448,B_2,B_2,0.5,21,0.011096347044522224
don't,26.4165,26.5761,0.0797999999999987,0,1,20240522_1325_S3WBLMJ9ZP9P,1716395237689-9c110cd1-6e87-4e29-a2d2-e1fe3955cfd5-cam-audio-1716395241664,B,B,0,0,2,0,0.020825120354584913,0.020645219560735756,okay i wrote how we'd would to start this but do you wanna like i don't know do wanna begin or,0.01490972366404962,0.022192694089044448,B_2,B_2,0.5,21,0.011096347044522224
know,26.5761,26.6559,0.159600000000001,0,1,20240522_1325_S3WBLMJ9ZP9P,1716395237689-9c110cd1-6e87-4e29-a2d2-e1fe3955cfd5-cam-audio-1716395241664,B,B,0,0,2,0,0.021004374799752652,0.020734846841443427,okay i wrote how we'd would to start this but do you wanna like i don't know do wanna begin or,0.01490972366404962,0.022192694089044448,B_2,B_2,0.5,21,0.011096347044522224
do,26.815498,26.895298,0.2393980000000013,0,1,20240522_1325_S3WBLMJ9ZP9P,1716395237689-9c110cd1-6e87-4e29-a2d2-e1fe3955cfd5-cam-audio-1716395241664,B,B,0,0,2,0,0.021273254221207953,0.02100372643726869,okay i wrote how we'd would to start this but do you wanna like i don't know do wanna begin or,0.01490972366404962,0.022192694089044448,B_2,B_2,0.5,21,0.011096347044522224
wanna,26.895298,27.2145,0.0797999999999987,0,1,20240522_1325_S3WBLMJ9ZP9P,1716395237689-9c110cd1-6e87-4e29-a2d2-e1fe3955cfd5-cam-audio-1716395241664,B,B,0,0,2,0,0.02136288144379182,0.02136223780639715,okay i wrote how we'd would to start this but do you wanna like i don't know do wanna begin or,0.01490972366404962,0.022192694089044448,B_2,B_2,0.5,21,0.011096347044522224
begin,27.2145,27.2943,0.3192020000000006,0,1,20240522_1325_S3WBLMJ9ZP9P,1716395237689-9c110cd1-6e87-4e29-a2d2-e1fe3955cfd5-cam-audio-1716395241664,B,B,0,0,2,0,0.021721392580423597,0.021451865087104824,okay i wrote how we'd would to start this but do you wanna like i don't know do wanna begin or,0.01490972366404962,0.022192694089044448,B_2,B_2,0.5,21,0.011096347044522224
or,27.4539,27.9539,0.2393999999999998,0,1,20240522_1325_S3WBLMJ9ZP9P,1716395237689-9c110cd1-6e87-4e29-a2d2-e1fe3955cfd5-cam-audio-1716395241664,B,B,0,0,2,0,0.0219902742481752,0.022192694089044448,okay i wrote how we'd would to start this but do you wanna like i don't know do wanna begin or,0.01490972366404962,0.022192694089044448,B_2,B_2,0.5,21,0.011096347044522224
so,36.747353,36.98655,19.172353,1,0,20240522_1325_S3WBLMJ9ZP9P,1716395237689-91d8c598-6197-45c4-b3c7-8b4199acdc3d-cam-audio-1716395238126,A,A,0,0,3,0,0.03242819881714407,0.032337704829447644,so i'm proposing to just sell my patents for a four hundred k because recently another scientist sold their patents for four hundred k but they're less valuable and i need it to fund my,0.03242819881714407,0.053372441407322085,A_3,A_3,-0.08333333333333333,35,0.03414108253568585
i'm,37.146015,37.646015,0.3986620000000016,1,0,20240522_1325_S3WBLMJ9ZP9P,1716395237689-91d8c598-6197-45c4-b3c7-8b4199acdc3d-cam-audio-1716395238126,A,A,0,0,3,0,0.03287595530598781,0.03307838220628832,so i'm proposing to just sell my patents for a four hundred k because recently another scientist sold their patents for four hundred k but they're less valuable and i need it to fund my,0.03242819881714407,0.053372441407322085,A_3,A_3,-0.08333333333333333,35,0.03414108253568585
proposing,37.704144,38.204144,0.558129000000001,1,0,20240522_1325_S3WBLMJ9ZP9P,1716395237689-91d8c598-6197-45c4-b3c7-8b4199acdc3d-cam-audio-1716395238126,A,A,0,0,3,0,0.03350281686129498,0.03370524416811907,so i'm proposing to just sell my patents for a four hundred k because recently another scientist sold their patents for four hundred k but they're less valuable and i need it to fund my,0.03242819881714407,0.053372441407322085,A_3,A_3,-0.08333333333333333,35,0.03414108253568585
to,39.715,39.875,2.010856000000004,1,0,20240522_1325_S3WBLMJ9ZP9P,1716395237689-91d8c598-6197-45c4-b3c7-8b4199acdc3d-cam-audio-1716395238126,A,A,0,0,3,0,0.03576130606300058,0.03558186421491233,so i'm proposing to just sell my patents for a four hundred k because recently another scientist sold their patents for four hundred k but they're less valuable and i need it to fund my,0.03242819881714407,0.053372441407322085,A_3,A_3,-0.08333333333333333,35,0.03414108253568585
just,39.875,40.115,0.1599999999999966,1,0,20240522_1325_S3WBLMJ9ZP9P,1716395237689-91d8c598-6197-45c4-b3c7-8b4199acdc3d-cam-audio-1716395238126,A,A,0,0,3,0,0.03594100976742938,0.03585141994636398,so i'm proposing to just sell my patents for a four hundred k because recently another scientist sold their patents for four hundred k but they're less valuable and i need it to fund my,0.03242819881714407,0.053372441407322085,A_3,A_3,-0.08333333333333333,35,0.03414108253568585
sell,40.115,40.435,0.240000000000002,1,0,20240522_1325_S3WBLMJ9ZP9P,1716395237689-91d8c598-6197-45c4-b3c7-8b4199acdc3d-cam-audio-1716395238126,A,A,0,0,3,0,0.036210565324072595,0.03621082758829952,so i'm proposing to just sell my patents for a four hundred k because recently another scientist sold their patents for four hundred k but they're less valuable and i need it to fund my,0.03242819881714407,0.053372441407322085,A_3,A_3,-0.08333333333333333,35,0.03414108253568585
my,40.435,40.755,0.3200000000000003,1,0,20240522_1325_S3WBLMJ9ZP9P,1716395237689-91d8c598-6197-45c4-b3c7-8b4199acdc3d-cam-audio-1716395238126,A,A,0,0,3,0,0.03656997273293021,0.03657023523023506,so i'm proposing to just sell my patents for a four hundred k because recently another scientist sold their patents for four hundred k but they're less valuable and i need it to fund my,0.03242819881714407,0.053372441407322085,A_3,A_3,-0.08333333333333333,35,0.03414108253568585
patents,40.755,41.255,0.3200000000000003,1,0,20240522_1325_S3WBLMJ9ZP9P,1716395237689-91d8c598-6197-45c4-b3c7-8b4199acdc3d-cam-audio-1716395238126,A,A,0,0,3,0,0.03692938014178783,0.03713180967075934,so i'm proposing to just sell my patents for a four hundred k because recently another scientist sold their patents for four hundred k but they're less valuable and i need it to fund my,0.03242819881714407,0.053372441407322085,A_3,A_3,-0.08333333333333333,35,0.03414108253568585
for,41.475002,41.715,0.7200020000000009,1,0,20240522_1325_S3WBLMJ9ZP9P,1716395237689-91d8c598-6197-45c4-b3c7-8b4199acdc3d-cam-audio-1716395238126,A,A,0,0,3,0,0.03773804905801377,0.03764845815604166,so i'm proposing to just sell my patents for a four hundred k because recently another scientist sold their patents for four hundred k but they're less valuable and i need it to fund my,0.03242819881714407,0.053372441407322085,A_3,A_3,-0.08333333333333333,35,0.03414108253568585
a,41.715,42.115,0.2399979999999999,1,0,20240522_1325_S3WBLMJ9ZP9P,1716395237689-91d8c598-6197-45c4-b3c7-8b4199acdc3d-cam-audio-1716395238126,A,A,0,0,3,0,0.03800760236836068,0.038097717708461085,so i'm proposing to just sell my patents for a four hundred k because recently another scientist sold their patents for four hundred k but they're less valuable and i need it to fund my,0.03242819881714407,0.053372441407322085,A_3,A_3,-0.08333333333333333,35,0.03414108253568585
four,42.115,42.435,0.3999999999999986,1,0,20240522_1325_S3WBLMJ9ZP9P,1716395237689-91d8c598-6197-45c4-b3c7-8b4199acdc3d-cam-audio-1716395238126,A,A,0,0,3,0,0.038456861629432695,0.03845712535039662,so i'm proposing to just sell my patents for a four hundred k because recently another scientist sold their patents for four hundred k but they're less valuable and i need it to fund my,0.03242819881714407,0.053372441407322085,A_3,A_3,-0.08333333333333333,35,0.03414108253568585
hundred,42.435,42.915,0.3200000000000003,1,0,20240522_1325_S3WBLMJ9ZP9P,1716395237689-91d8c598-6197-45c4-b3c7-8b4199acdc3d-cam-audio-1716395238126,A,A,0,0,3,0,0.038816269038290316,0.03899623681329992,so i'm proposing to just sell my patents for a four hundred k because recently another scientist sold their patents for four hundred k but they're less valuable and i need it to fund my,0.03242819881714407,0.053372441407322085,A_3,A_3,-0.08333333333333333,35,0.03414108253568585
k,42.915,43.155003,0.4799999999999969,1,0,20240522_1325_S3WBLMJ9ZP9P,1716395237689-91d8c598-6197-45c4-b3c7-8b4199acdc3d-cam-audio-1716395238126,A,A,0,0,3,0,0.03935538015157673,0.03926579591419822,so i'm proposing to just sell my patents for a four hundred k because recently another scientist sold their patents for four hundred k but they're less valuable and i need it to fund my,0.03242819881714407,0.053372441407322085,A_3,A_3,-0.08333333333333333,35,0.03414108253568585
