Word,Start Time,End Time,start_time_diff,Speaker_A,Speaker_B,PairID,PersonID,Speaker,Speaker_original,Backchannel,Overlap,Turn,Contested,Normalized_Start,Normalized_End,Sent,Turn Start,Turn End,Speaker_original_turn,Speaker_turn,Sentiment,word_count,Turn_Boundary
hi,6.2476764,6.6456175,0.0,0,1,20240522_1325_S3WBLMMSXASK,1716394940868-5349d99f-1db8-4d3b-9c69-a1fdab8f96eb-cam-audio-1716394943894,B,B,0,0,1,0,0.0,0.0,hi,0.0,0.0,B_1,B_1,0.0,1,0.0
hi,9.4,9.559999,0.0,1,0,20240522_1325_S3WBLMMSXASK,1716394940868-b7d813dc-5d36-45e5-b11d-1f13af1ce55e-cam-audio-1716394941842,A,A,0,0,2,0,0.0038731619372046715,0.0035815132612026304,hi,0.0038731619372046715,0.0035815132612026304,A_2,A_2,0.0,1,0.0017907566306013152
where,9.431206,9.510794,3.1835296,0,1,20240522_1325_S3WBLMMSXASK,1716394940868-5349d99f-1db8-4d3b-9c69-a1fdab8f96eb-cam-audio-1716394943894,Both,B,0,1,2,1,0.003911503778572863,0.003521044732968605,where,0.003911503778572863,0.003521044732968605,B_2_contested,Both_2,0.0,1,0.0036971033350866383
am,9.510794,9.6699705,0.0795880000000011,0,1,20240522_1325_S3WBLMMSXASK,1716394940868-5349d99f-1db8-4d3b-9c69-a1fdab8f96eb-cam-audio-1716394943894,B,B,0,0,3,0,0.004009291078156653,0.003716658363381033,am about,0.004009291078156653,0.004010078501772117,B_3,B_3,0.0,2,0.00396079114017249
about,9.6699705,9.908735,0.1591764999999991,0,1,20240522_1325_S3WBLMMSXASK,1716394940868-5349d99f-1db8-4d3b-9c69-a1fdab8f96eb-cam-audio-1716394943894,B,B,0,0,3,0,0.004204866291658673,0.004010078501772117,am about,0.004009291078156653,0.004010078501772117,B_3,B_3,0.0,2,0.00396079114017249
are,9.88,10.04,0.4800000000000004,1,0,20240522_1325_S3WBLMMSXASK,1716394940868-b7d813dc-5d36-45e5-b11d-1f13af1ce55e-cam-audio-1716394941842,Both,A,0,1,3,1,0.004462923004202439,0.0041713914040917895,are you,0.004462923004202439,0.004564642680077738,A_3_contested,Both_3,0.0,2,0.004286966879117195
are,9.88,10.04,0.4800000000000004,1,0,20240522_1325_S3WBLMMSXASK,1716394940868-b7d813dc-5d36-45e5-b11d-1f13af1ce55e-cam-audio-1716394941842,Both,A,0,1,3,1,0.004462923004202439,0.0041713914040917895,you,0.004498228804744481,0.004303499254618322,B_3_contested,Both_3,0.0,1,0.0043832111294103806
you,9.908735,10.1475,0.2387645000000002,0,1,20240522_1325_S3WBLMMSXASK,1716394940868-5349d99f-1db8-4d3b-9c69-a1fdab8f96eb-cam-audio-1716394943894,Both,B,0,1,3,1,0.004498228804744481,0.004303499254618322,are you,0.004462923004202439,0.004564642680077738,A_3_contested,Both_3,0.0,2,0.004286966879117195
you,9.908735,10.1475,0.2387645000000002,0,1,20240522_1325_S3WBLMMSXASK,1716394940868-5349d99f-1db8-4d3b-9c69-a1fdab8f96eb-cam-audio-1716394943894,Both,B,0,1,3,1,0.004498228804744481,0.004303499254618322,you,0.004498228804744481,0.004303499254618322,B_3_contested,Both_3,0.0,1,0.0043832111294103806
you,10.04,10.36,0.1599999999999983,1,0,20240522_1325_S3WBLMMSXASK,1716394940868-b7d813dc-5d36-45e5-b11d-1f13af1ce55e-cam-audio-1716394941842,Both,A,0,1,3,1,0.004659510026535026,0.004564642680077738,are you,0.004462923004202439,0.004564642680077738,A_3_contested,Both_3,0.0,2,0.004286966879117195
