Word,Start Time,End Time,start_time_diff,Speaker_A,Speaker_B,SourceFile,Speaker,Backchannel,Overlap,Turn,Contested,Sent,Turn Start,Turn End,Sentiment,word_count,Time_Boundary
hi,2.1146193,2.35401,0.0,0,1,1716395083742-d5bd0f20-31de-4980-8491-4769a26f28e9-cam-audio-1716395084729,B,0,0,1,0,hi can you hear me,2.1146193,3.2317767,0.0,5,2.1146193
can,2.673198,2.8327918,0.5585787,0,1,1716395083742-d5bd0f20-31de-4980-8491-4769a26f28e9-cam-audio-1716395084729,B,0,0,1,0,hi can you hear me,2.1146193,3.2317767,0.0,5,2.1146193
you,2.8327918,2.9125888,0.1595937999999996,0,1,1716395083742-d5bd0f20-31de-4980-8491-4769a26f28e9-cam-audio-1716395084729,B,0,0,1,0,hi can you hear me,2.1146193,3.2317767,0.0,5,2.1146193
hear,2.9125888,3.0721827,0.0797970000000001,0,1,1716395083742-d5bd0f20-31de-4980-8491-4769a26f28e9-cam-audio-1716395084729,B,0,0,1,0,hi can you hear me,2.1146193,3.2317767,0.0,5,2.1146193
me,3.0721827,3.2317767,0.1595938999999999,0,1,1716395083742-d5bd0f20-31de-4980-8491-4769a26f28e9-cam-audio-1716395084729,B,0,0,1,0,hi can you hear me,2.1146193,3.2317767,0.0,5,2.1146193
yes,3.9440322,4.262742,0.0,1,0,1716395083742-f7b8be61-b042-4877-bcce-3f228c060c0e-cam-audio-1716395084728,A,0,0,2,0,yes,3.9440322,4.262742,0.0,1,3.58790445
okay,5.1469035,5.226701,2.0747208,0,1,1716395083742-d5bd0f20-31de-4980-8491-4769a26f28e9-cam-audio-1716395084729,B,0,0,3,0,okay awesome,5.1469035,5.865076,0.75,2,4.70482275
awesome,5.4660916,5.865076,0.3191881000000007,0,1,1716395083742-d5bd0f20-31de-4980-8491-4769a26f28e9-cam-audio-1716395084729,B,0,0,3,0,okay awesome,5.1469035,5.865076,0.75,2,4.70482275
okay,9.202742,9.362097,5.2587098,1,0,1716395083742-f7b8be61-b042-4877-bcce-3f228c060c0e-cam-audio-1716395084728,A,0,0,4,0,okay,9.202742,9.362097,0.5,1,7.533909
do,13.844771,13.924568,8.3786794,0,1,1716395083742-d5bd0f20-31de-4980-8491-4769a26f28e9-cam-audio-1716395084729,B,0,0,5,0,do we just start,13.844771,14.642741,0.0,4,11.603434
we,13.924568,14.084163,0.079797000000001,0,1,1716395083742-d5bd0f20-31de-4980-8491-4769a26f28e9-cam-audio-1716395084729,B,0,0,5,0,do we just start,13.844771,14.642741,0.0,4,11.603434
just,14.084163,14.403351,0.1595949999999995,0,1,1716395083742-d5bd0f20-31de-4980-8491-4769a26f28e9-cam-audio-1716395084729,B,0,0,5,0,do we just start,13.844771,14.642741,0.0,4,11.603434
start,14.403351,14.642741,0.3191880000000004,0,1,1716395083742-d5bd0f20-31de-4980-8491-4769a26f28e9-cam-audio-1716395084729,B,0,0,5,0,do we just start,13.844771,14.642741,0.0,4,11.603434
i,15.355,15.595,6.152258,1,0,1716395083742-f7b8be61-b042-4877-bcce-3f228c060c0e-cam-audio-1716395084728,A,0,0,6,0,i think so i've never done one of these before so,15.355,19.135,0.0,11,14.998870499999999
think,15.595,15.915,0.2400000000000002,1,0,1716395083742-f7b8be61-b042-4877-bcce-3f228c060c0e-cam-audio-1716395084728,A,0,0,6,0,i think so i've never done one of these before so,15.355,19.135,0.0,11,14.998870499999999
so,15.915,16.075,0.3199999999999985,1,0,1716395083742-f7b8be61-b042-4877-bcce-3f228c060c0e-cam-audio-1716395084728,A,0,0,6,0,i think so i've never done one of these before so,15.355,19.135,0.0,11,14.998870499999999
i've,17.115,17.275,1.1999999999999993,1,0,1716395083742-f7b8be61-b042-4877-bcce-3f228c060c0e-cam-audio-1716395084728,A,0,0,6,0,i think so i've never done one of these before so,15.355,19.135,0.0,11,14.998870499999999
never,17.275,17.515,0.1600000000000001,1,0,1716395083742-f7b8be61-b042-4877-bcce-3f228c060c0e-cam-audio-1716395084728,A,0,0,6,0,i think so i've never done one of these before so,15.355,19.135,0.0,11,14.998870499999999
done,17.515,17.755,0.240000000000002,1,0,1716395083742-f7b8be61-b042-4877-bcce-3f228c060c0e-cam-audio-1716395084728,A,0,0,6,0,i think so i've never done one of these before so,15.355,19.135,0.0,11,14.998870499999999
