Word,Start Time,End Time,start_time_diff,Speaker_A,Speaker_B,SourceFile,Speaker,Backchannel,Overlap,Turn,Contested,Sent,Turn Start,Turn End,Sentiment,word_count,Time_Boundary
hi,1.7153513,1.7951351,0.0,0,1,1716394944722-3787afa3-0344-4f0a-abba-0979b0af1ff9-cam-audio-1716394945697,B,0,0,1,0,hi how are you,1.7153513,2.592973,0.0,4,1.7153513
how,2.0344865,2.1940541,0.3191351999999998,0,1,1716394944722-3787afa3-0344-4f0a-abba-0979b0af1ff9-cam-audio-1716394945697,B,0,0,1,0,hi how are you,1.7153513,2.592973,0.0,4,1.7153513
are,2.1940541,2.3536215,0.1595675999999999,0,1,1716394944722-3787afa3-0344-4f0a-abba-0979b0af1ff9-cam-audio-1716394945697,B,0,0,1,0,hi how are you,1.7153513,2.592973,0.0,4,1.7153513
you,2.3536215,2.592973,0.1595674000000002,0,1,1716394944722-3787afa3-0344-4f0a-abba-0979b0af1ff9-cam-audio-1716394945697,B,0,0,1,0,hi how are you,1.7153513,2.592973,0.0,4,1.7153513
hi,3.3019564,3.4610868,0.0,1,0,1716394944722-d5f4414f-2cab-41fd-ad1c-68a28de1818c-cam-audio-1716394945695,A,0,0,2,0,hi i'm doing alright how are you doing,3.3019564,4.8932605,0.0,8,2.9474647000000003
i'm,3.620217,3.7793477,0.3182605999999999,1,0,1716394944722-d5f4414f-2cab-41fd-ad1c-68a28de1818c-cam-audio-1716394945695,A,0,0,2,0,hi i'm doing alright how are you doing,3.3019564,4.8932605,0.0,8,2.9474647000000003
doing,3.7793477,4.018043,0.1591307000000004,1,0,1716394944722-d5f4414f-2cab-41fd-ad1c-68a28de1818c-cam-audio-1716394945695,A,0,0,2,0,hi i'm doing alright how are you doing,3.3019564,4.8932605,0.0,8,2.9474647000000003
alright,4.018043,4.1771736,0.2386952999999994,1,0,1716394944722-d5f4414f-2cab-41fd-ad1c-68a28de1818c-cam-audio-1716394945695,A,0,0,2,0,hi i'm doing alright how are you doing,3.3019564,4.8932605,0.0,8,2.9474647000000003
how,4.336304,4.415869,0.3182610000000005,1,0,1716394944722-d5f4414f-2cab-41fd-ad1c-68a28de1818c-cam-audio-1716394945695,A,0,0,2,0,hi i'm doing alright how are you doing,3.3019564,4.8932605,0.0,8,2.9474647000000003
are,4.415869,4.4954343,0.0795649999999996,1,0,1716394944722-d5f4414f-2cab-41fd-ad1c-68a28de1818c-cam-audio-1716394945695,A,0,0,2,0,hi i'm doing alright how are you doing,3.3019564,4.8932605,0.0,8,2.9474647000000003
