Word,Start Time,End Time,start_time_diff,Speaker_A,Speaker_B,SourceFile,Speaker,Backchannel,Overlap,Turn,Contested,Sent,Turn Start,Turn End,Sentiment,word_count,Time_Boundary
hi,1.6387724,2.038473,0.0,0,1,1716394930538-48a51402-8bba-41b7-aff3-0f0a9797a10b-cam-audio-1716394931501,B,0,0,1,0,hi,1.6387724,2.038473,0.0,1,1.6387724
hey,2.836141,3.2355976,0.0,1,0,1716394930538-935c5110-54ed-4aed-a425-cd62f29fa870-cam-audio-1716394931499,A,0,0,2,0,hey i'm just going,2.836141,5.892663,0.0,4,2.437307
i'm,4.8334236,5.0730977,1.9972826,1,0,1716394930538-935c5110-54ed-4aed-a425-cd62f29fa870-cam-audio-1716394931499,A,0,0,2,0,hey i'm just going,2.836141,5.892663,0.0,4,2.437307
just,5.0730977,5.392663,0.2396741000000002,1,0,1716394930538-935c5110-54ed-4aed-a425-cd62f29fa870-cam-audio-1716394931499,A,0,0,2,0,hey i'm just going,2.836141,5.892663,0.0,4,2.437307
going,5.392663,5.892663,0.3195652999999998,1,0,1716394930538-935c5110-54ed-4aed-a425-cd62f29fa870-cam-audio-1716394931499,A,0,0,2,0,hey i'm just going,2.836141,5.892663,0.0,4,2.437307
good,6.75494,6.91482,5.116167600000001,0,1,1716394930538-48a51402-8bba-41b7-aff3-0f0a9797a10b-cam-audio-1716394931501,B,0,0,3,0,good to see you again,6.75494,7.634281,0.7,5,6.3238015
to,6.91482,7.0747004,0.1598799999999993,0,1,1716394930538-48a51402-8bba-41b7-aff3-0f0a9797a10b-cam-audio-1716394931501,B,0,0,3,0,good to see you again,6.75494,7.634281,0.7,5,6.3238015
see,7.0747004,7.2345805,0.1598804000000004,0,1,1716394930538-48a51402-8bba-41b7-aff3-0f0a9797a10b-cam-audio-1716394931501,B,0,0,3,0,good to see you again,6.75494,7.634281,0.7,5,6.3238015
you,7.2345805,7.474401,0.1598800999999996,0,1,1716394930538-48a51402-8bba-41b7-aff3-0f0a9797a10b-cam-audio-1716394931501,B,0,0,3,0,good to see you again,6.75494,7.634281,0.7,5,6.3238015
again,7.474401,7.634281,0.2398205000000004,0,1,1716394930538-48a51402-8bba-41b7-aff3-0f0a9797a10b-cam-audio-1716394931501,B,0,0,3,0,good to see you again,6.75494,7.634281,0.7,5,6.3238015
know,8.827989,9.067663,3.4353260000000008,1,0,1716394930538-935c5110-54ed-4aed-a425-cd62f29fa870-cam-audio-1716394931499,A,0,0,4,0,know,8.827989,9.067663,0.0,1,8.231135
okay,11.951048,12.110928,4.476647,0,1,1716394930538-48a51402-8bba-41b7-aff3-0f0a9797a10b-cam-audio-1716394931501,B,0,0,5,0,okay but so do we do we start now or do we take notes yeah i'm a little bit confused,11.951048,20.205,-0.029166666666666674,20,10.5093555
but,13.565,13.804999,1.6139519999999994,0,1,1716394930538-48a51402-8bba-41b7-aff3-0f0a9797a10b-cam-audio-1716394931501,B,0,0,5,0,okay but so do we do we start now or do we take notes yeah i'm a little bit confused,11.951048,20.205,-0.029166666666666674,20,10.5093555
so,13.804999,14.205,0.2399990000000009,0,1,1716394930538-48a51402-8bba-41b7-aff3-0f0a9797a10b-cam-audio-1716394931501,B,0,0,5,0,okay but so do we do we start now or do we take notes yeah i'm a little bit confused,11.951048,20.205,-0.029166666666666674,20,10.5093555
do,14.205,14.365,0.4000009999999996,0,1,1716394930538-48a51402-8bba-41b7-aff3-0f0a9797a10b-cam-audio-1716394931501,B,0,0,5,0,okay but so do we do we start now or do we take notes yeah i'm a little bit confused,11.951048,20.205,-0.029166666666666674,20,10.5093555
we,14.365,14.525,0.1600000000000001,0,1,1716394930538-48a51402-8bba-41b7-aff3-0f0a9797a10b-cam-audio-1716394931501,B,0,0,5,0,okay but so do we do we start now or do we take notes yeah i'm a little bit confused,11.951048,20.205,-0.029166666666666674,20,10.5093555
do,15.485,15.6449995,1.1199999999999992,0,1,1716394930538-48a51402-8bba-41b7-aff3-0f0a9797a10b-cam-audio-1716394931501,B,0,0,5,0,okay but so do we do we start now or do we take notes yeah i'm a little bit confused,11.951048,20.205,-0.029166666666666674,20,10.5093555
we,15.6449995,15.885,0.1599995000000014,0,1,1716394930538-48a51402-8bba-41b7-aff3-0f0a9797a10b-cam-audio-1716394931501,B,0,0,5,0,okay but so do we do we start now or do we take notes yeah i'm a little bit confused,11.951048,20.205,-0.029166666666666674,20,10.5093555
start,15.885,16.205,0.2400004999999989,0,1,1716394930538-48a51402-8bba-41b7-aff3-0f0a9797a10b-cam-audio-1716394931501,B,0,0,5,0,okay but so do we do we start now or do we take notes yeah i'm a little bit confused,11.951048,20.205,-0.029166666666666674,20,10.5093555
now,16.205,16.705,0.3199999999999985,0,1,1716394930538-48a51402-8bba-41b7-aff3-0f0a9797a10b-cam-audio-1716394931501,B,0,0,5,0,okay but so do we do we start now or do we take notes yeah i'm a little bit confused,11.951048,20.205,-0.029166666666666674,20,10.5093555
or,16.765,17.265,0.5600000000000023,0,1,1716394930538-48a51402-8bba-41b7-aff3-0f0a9797a10b-cam-audio-1716394931501,B,0,0,5,0,okay but so do we do we start now or do we take notes yeah i'm a little bit confused,11.951048,20.205,-0.029166666666666674,20,10.5093555
do,17.645,17.805,0.879999999999999,0,1,1716394930538-48a51402-8bba-41b7-aff3-0f0a9797a10b-cam-audio-1716394931501,B,0,0,5,0,okay but so do we do we start now or do we take notes yeah i'm a little bit confused,11.951048,20.205,-0.029166666666666674,20,10.5093555
we,17.805,18.045,0.1600000000000001,0,1,1716394930538-48a51402-8bba-41b7-aff3-0f0a9797a10b-cam-audio-1716394931501,B,0,0,5,0,okay but so do we do we start now or do we take notes yeah i'm a little bit confused,11.951048,20.205,-0.029166666666666674,20,10.5093555
take,18.045,18.285,0.240000000000002,0,1,1716394930538-48a51402-8bba-41b7-aff3-0f0a9797a10b-cam-audio-1716394931501,B,0,0,5,0,okay but so do we do we start now or do we take notes yeah i'm a little bit confused,11.951048,20.205,-0.029166666666666674,20,10.5093555
notes,18.285,18.445,0.2399999999999984,0,1,1716394930538-48a51402-8bba-41b7-aff3-0f0a9797a10b-cam-audio-1716394931501,B,0,0,5,0,okay but so do we do we start now or do we take notes yeah i'm a little bit confused,11.951048,20.205,-0.029166666666666674,20,10.5093555
yeah,18.845,18.925,0.5599999999999987,0,1,1716394930538-48a51402-8bba-41b7-aff3-0f0a9797a10b-cam-audio-1716394931501,B,0,0,5,0,okay but so do we do we start now or do we take notes yeah i'm a little bit confused,11.951048,20.205,-0.029166666666666674,20,10.5093555
i'm,19.164999,19.244999,0.3199990000000028,0,1,1716394930538-48a51402-8bba-41b7-aff3-0f0a9797a10b-cam-audio-1716394931501,B,0,0,5,0,okay but so do we do we start now or do we take notes yeah i'm a little bit confused,11.951048,20.205,-0.029166666666666674,20,10.5093555
a,19.244999,19.325,0.0799999999999983,0,1,1716394930538-48a51402-8bba-41b7-aff3-0f0a9797a10b-cam-audio-1716394931501,B,0,0,5,0,okay but so do we do we start now or do we take notes yeah i'm a little bit confused,11.951048,20.205,-0.029166666666666674,20,10.5093555
little,19.325,19.564999,0.0800009999999993,0,1,1716394930538-48a51402-8bba-41b7-aff3-0f0a9797a10b-cam-audio-1716394931501,B,0,0,5,0,okay but so do we do we start now or do we take notes yeah i'm a little bit confused,11.951048,20.205,-0.029166666666666674,20,10.5093555
bit,19.564999,19.965,0.2399990000000009,0,1,1716394930538-48a51402-8bba-41b7-aff3-0f0a9797a10b-cam-audio-1716394931501,B,0,0,5,0,okay but so do we do we start now or do we take notes yeah i'm a little bit confused,11.951048,20.205,-0.029166666666666674,20,10.5093555
confused,19.965,20.205,0.4000009999999996,0,1,1716394930538-48a51402-8bba-41b7-aff3-0f0a9797a10b-cam-audio-1716394931501,B,0,0,5,0,okay but so do we do we start now or do we take notes yeah i'm a little bit confused,11.951048,20.205,-0.029166666666666674,20,10.5093555
yeah,21.710192,22.189861,12.882203,1,0,1716394930538-935c5110-54ed-4aed-a425-cd62f29fa870-cam-audio-1716394931499,A,0,0,6,0,yeah i was writing for plan and then and like popped into this page,21.710192,28.745358,0.0,14,20.957596
i,22.669533,22.749477,0.959341000000002,1,0,1716394930538-935c5110-54ed-4aed-a425-cd62f29fa870-cam-audio-1716394931499,A,0,0,6,0,yeah i was writing for plan and then and like popped into this page,21.710192,28.745358,0.0,14,20.957596
was,22.749477,23.069258,0.0799439999999975,1,0,1716394930538-935c5110-54ed-4aed-a425-cd62f29fa870-cam-audio-1716394931499,A,0,0,6,0,yeah i was writing for plan and then and like popped into this page,21.710192,28.745358,0.0,14,20.957596
writing,23.069258,23.569258,0.3197810000000025,1,0,1716394930538-935c5110-54ed-4aed-a425-cd62f29fa870-cam-audio-1716394931499,A,0,0,6,0,yeah i was writing for plan and then and like popped into this page,21.710192,28.745358,0.0,14,20.957596
for,24.268433,24.428324,1.1991750000000003,1,0,1716394930538-935c5110-54ed-4aed-a425-cd62f29fa870-cam-audio-1716394931499,A,0,0,6,0,yeah i was writing for plan and then and like popped into this page,21.710192,28.745358,0.0,14,20.957596
mh,24.365,24.685,4.399999999999999,0,1,1716394930538-48a51402-8bba-41b7-aff3-0f0a9797a10b-cam-audio-1716394931501,Both,0,1,6,1,mh my,24.365,24.748104,0.0,2,26.555179
my,24.428324,24.748104,0.1598909999999982,1,0,1716394930538-935c5110-54ed-4aed-a425-cd62f29fa870-cam-audio-1716394931499,Both,0,1,6,1,mh my,24.365,24.748104,0.0,2,26.555179
plan,24.748104,25.067884,0.3197800000000015,1,0,1716394930538-935c5110-54ed-4aed-a425-cd62f29fa870-cam-audio-1716394931499,A,0,0,6,0,yeah i was writing for plan and then and like popped into this page,21.710192,28.745358,0.0,14,20.957596
and,25.30772,25.547554,0.5596159999999983,1,0,1716394930538-935c5110-54ed-4aed-a425-cd62f29fa870-cam-audio-1716394931499,A,0,0,6,0,yeah i was writing for plan and then and like popped into this page,21.710192,28.745358,0.0,14,20.957596
then,25.547554,26.047554,0.2398340000000018,1,0,1716394930538-935c5110-54ed-4aed-a425-cd62f29fa870-cam-audio-1716394931499,A,0,0,6,0,yeah i was writing for plan and then and like popped into this page,21.710192,28.745358,0.0,14,20.957596
and,26.42695,26.506895,0.8793959999999998,1,0,1716394930538-935c5110-54ed-4aed-a425-cd62f29fa870-cam-audio-1716394931499,A,0,0,6,0,yeah i was writing for plan and then and like popped into this page,21.710192,28.745358,0.0,14,20.957596
like,26.58684,26.74673,0.1598899999999972,1,0,1716394930538-935c5110-54ed-4aed-a425-cd62f29fa870-cam-audio-1716394931499,A,0,0,6,0,yeah i was writing for plan and then and like popped into this page,21.710192,28.745358,0.0,14,20.957596
popped,26.90662,27.386292,0.3197800000000015,1,0,1716394930538-935c5110-54ed-4aed-a425-cd62f29fa870-cam-audio-1716394931499,A,0,0,6,0,yeah i was writing for plan and then and like popped into this page,21.710192,28.745358,0.0,14,20.957596
into,27.386292,27.54618,0.4796720000000007,1,0,1716394930538-935c5110-54ed-4aed-a425-cd62f29fa870-cam-audio-1716394931499,A,0,0,6,0,yeah i was writing for plan and then and like popped into this page,21.710192,28.745358,0.0,14,20.957596
this,27.54618,27.945906,0.1598879999999987,1,0,1716394930538-935c5110-54ed-4aed-a425-cd62f29fa870-cam-audio-1716394931499,A,0,0,6,0,yeah i was writing for plan and then and like popped into this page,21.710192,28.745358,0.0,14,20.957596
page,28.505522,28.745358,0.9593419999999996,1,0,1716394930538-935c5110-54ed-4aed-a425-cd62f29fa870-cam-audio-1716394931499,A,0,0,6,0,yeah i was writing for plan and then and like popped into this page,21.710192,28.745358,0.0,14,20.957596
