Word,Start Time,End Time,start_time_diff,Speaker_A,Speaker_B,SourceFile,Speaker,Backchannel,Overlap,Turn,Contested,Sent,Turn Start,Turn End,Sentiment,word_count,Time_Boundary
how,0.35999998,0.44,0.0,0,1,1716394560967-3eaedfba-769c-423e-a160-b3a56bac9f3a-cam-audio-1716394561996,B,0,0,1,0,how are you,0.35999998,0.76,0.0,3,0.35999998
are,0.44,0.52,0.08000002,0,1,1716394560967-3eaedfba-769c-423e-a160-b3a56bac9f3a-cam-audio-1716394561996,B,0,0,1,0,how are you,0.35999998,0.76,0.0,3,0.35999998
you,0.52,0.76,0.08,0,1,1716394560967-3eaedfba-769c-423e-a160-b3a56bac9f3a-cam-audio-1716394561996,B,0,0,1,0,how are you,0.35999998,0.76,0.0,3,0.35999998
hi,1.7106521,1.7902173,0.0,1,0,1716394560967-4e5e9388-c491-4632-b5c8-3531540a82cf-cam-audio-1716394561995,A,0,0,2,0,hi i'm doing good,1.7106521,2.5858693,0.7,4,1.2353260499999998
i'm,1.9493477,2.108478,0.2386956,1,0,1716394560967-4e5e9388-c491-4632-b5c8-3531540a82cf-cam-audio-1716394561995,A,0,0,2,0,hi i'm doing good,1.7106521,2.5858693,0.7,4,1.2353260499999998
doing,2.108478,2.3471737,0.1591302999999999,1,0,1716394560967-4e5e9388-c491-4632-b5c8-3531540a82cf-cam-audio-1716394561995,A,0,0,2,0,hi i'm doing good,1.7106521,2.5858693,0.7,4,1.2353260499999998
good,2.3471737,2.5858693,0.2386957,1,0,1716394560967-4e5e9388-c491-4632-b5c8-3531540a82cf-cam-audio-1716394561995,A,0,0,2,0,hi i'm doing good,1.7106521,2.5858693,0.7,4,1.2353260499999998
okay,4.92,5.08,4.4,0,1,1716394560967-3eaedfba-769c-423e-a160-b3a56bac9f3a-cam-audio-1716394561996,B,0,0,3,0,okay let's see what's on the side so what are your what are your thoughts so far,4.92,28.930033,0.3,17,3.7529346500000003
let's,5.4,5.64,0.4800000000000004,0,1,1716394560967-3eaedfba-769c-423e-a160-b3a56bac9f3a-cam-audio-1716394561996,B,0,0,3,0,okay let's see what's on the side so what are your what are your thoughts so far,4.92,28.930033,0.3,17,3.7529346500000003
see,5.64,5.96,0.2399999999999993,0,1,1716394560967-3eaedfba-769c-423e-a160-b3a56bac9f3a-cam-audio-1716394561996,B,0,0,3,0,okay let's see what's on the side so what are your what are your thoughts so far,4.92,28.930033,0.3,17,3.7529346500000003
what's,6.3599997,6.8399997,0.7199997000000007,0,1,1716394560967-3eaedfba-769c-423e-a160-b3a56bac9f3a-cam-audio-1716394561996,B,0,0,3,0,okay let's see what's on the side so what are your what are your thoughts so far,4.92,28.930033,0.3,17,3.7529346500000003
on,6.8399997,7.08,0.4799999999999995,0,1,1716394560967-3eaedfba-769c-423e-a160-b3a56bac9f3a-cam-audio-1716394561996,B,0,0,3,0,okay let's see what's on the side so what are your what are your thoughts so far,4.92,28.930033,0.3,17,3.7529346500000003
the,7.08,7.3999996,0.2400003000000001,0,1,1716394560967-3eaedfba-769c-423e-a160-b3a56bac9f3a-cam-audio-1716394561996,B,0,0,3,0,okay let's see what's on the side so what are your what are your thoughts so far,4.92,28.930033,0.3,17,3.7529346500000003
side,7.3999996,7.7999997,0.3199996,0,1,1716394560967-3eaedfba-769c-423e-a160-b3a56bac9f3a-cam-audio-1716394561996,B,0,0,3,0,okay let's see what's on the side so what are your what are your thoughts so far,4.92,28.930033,0.3,17,3.7529346500000003
so,26.858475,27.336527,19.4584754,0,1,1716394560967-3eaedfba-769c-423e-a160-b3a56bac9f3a-cam-audio-1716394561996,B,0,0,3,0,okay let's see what's on the side so what are your what are your thoughts so far,4.92,28.930033,0.3,17,3.7529346500000003
what,27.336527,27.495876,0.4780520000000017,0,1,1716394560967-3eaedfba-769c-423e-a160-b3a56bac9f3a-cam-audio-1716394561996,B,0,0,3,0,okay let's see what's on the side so what are your what are your thoughts so far,4.92,28.930033,0.3,17,3.7529346500000003
are,27.495876,27.575552,0.1593489999999988,0,1,1716394560967-3eaedfba-769c-423e-a160-b3a56bac9f3a-cam-audio-1716394561996,B,0,0,3,0,okay let's see what's on the side so what are your what are your thoughts so far,4.92,28.930033,0.3,17,3.7529346500000003
your,27.575552,27.894255,0.0796759999999991,0,1,1716394560967-3eaedfba-769c-423e-a160-b3a56bac9f3a-cam-audio-1716394561996,B,0,0,3,0,okay let's see what's on the side so what are your what are your thoughts so far,4.92,28.930033,0.3,17,3.7529346500000003
what,27.894255,28.053604,0.3187030000000028,0,1,1716394560967-3eaedfba-769c-423e-a160-b3a56bac9f3a-cam-audio-1716394561996,B,0,0,3,0,okay let's see what's on the side so what are your what are your thoughts so far,4.92,28.930033,0.3,17,3.7529346500000003
are,28.053604,28.13328,0.1593489999999988,0,1,1716394560967-3eaedfba-769c-423e-a160-b3a56bac9f3a-cam-audio-1716394561996,B,0,0,3,0,okay let's see what's on the side so what are your what are your thoughts so far,4.92,28.930033,0.3,17,3.7529346500000003
your,28.13328,28.292631,0.0796759999999991,0,1,1716394560967-3eaedfba-769c-423e-a160-b3a56bac9f3a-cam-audio-1716394561996,B,0,0,3,0,okay let's see what's on the side so what are your what are your thoughts so far,4.92,28.930033,0.3,17,3.7529346500000003
thoughts,28.292631,28.531656,0.1593510000000009,0,1,1716394560967-3eaedfba-769c-423e-a160-b3a56bac9f3a-cam-audio-1716394561996,B,0,0,3,0,okay let's see what's on the side so what are your what are your thoughts so far,4.92,28.930033,0.3,17,3.7529346500000003
so,28.531656,28.770683,0.2390250000000016,0,1,1716394560967-3eaedfba-769c-423e-a160-b3a56bac9f3a-cam-audio-1716394561996,B,0,0,3,0,okay let's see what's on the side so what are your what are your thoughts so far,4.92,28.930033,0.3,17,3.7529346500000003
