Word,Start Time,End Time,start_time_diff,Speaker_A,Speaker_B,SourceFile,Speaker,Backchannel,Overlap,Turn,Contested,Sent,Turn Start,Turn End,Sentiment,word_count,Time_Boundary
hello,2.0312068,2.3498275,0.0,0,1,1716394420177-9d86f106-9e93-49eb-8bec-b0a2b89f001c-cam-audio-1716394421794,B,0,0,1,0,hello,2.0312068,2.3498275,0.0,1,2.0312068
sorry,4.498269,4.6575,0.0,1,0,1716394420177-0034cd93-7d3f-4f75-8fc4-2a2f9470b784-cam-audio-1716394421126,A,0,0,2,0,sorry i was them,4.498269,5.6925,-0.5,4,3.42404825
i,4.896346,4.9759617,0.3980770000000007,1,0,1716394420177-0034cd93-7d3f-4f75-8fc4-2a2f9470b784-cam-audio-1716394421126,A,0,0,2,0,sorry i was them,4.498269,5.6925,-0.5,4,3.42404825
was,4.9759617,5.4759617,0.0796156999999997,1,0,1716394420177-0034cd93-7d3f-4f75-8fc4-2a2f9470b784-cam-audio-1716394421126,A,0,0,2,0,sorry i was them,4.498269,5.6925,-0.5,4,3.42404825
them,5.5332694,5.6925,0.5573077,1,0,1716394420177-0034cd93-7d3f-4f75-8fc4-2a2f9470b784-cam-audio-1716394421126,A,0,0,2,0,sorry i was them,4.498269,5.6925,-0.5,4,3.42404825
awesome,9.120517,9.439137,7.0893102,0,1,1716394420177-9d86f106-9e93-49eb-8bec-b0a2b89f001c-cam-audio-1716394421794,B,0,0,3,0,awesome alright so i think we're supposed to negotiate for nothing,9.120517,15.595,1.0,11,12.0722255
alright,10.6339655,10.872931,1.5134485000000009,0,1,1716394420177-9d86f106-9e93-49eb-8bec-b0a2b89f001c-cam-audio-1716394421794,B,0,0,3,0,awesome alright so i think we're supposed to negotiate for nothing,9.120517,15.595,1.0,11,12.0722255
so,11.032241,11.510172,0.3982755000000004,0,1,1716394420177-9d86f106-9e93-49eb-8bec-b0a2b89f001c-cam-audio-1716394421794,B,0,0,3,0,awesome alright so i think we're supposed to negotiate for nothing,9.120517,15.595,1.0,11,12.0722255
i,11.669482,11.828793,0.6372409999999995,0,1,1716394420177-9d86f106-9e93-49eb-8bec-b0a2b89f001c-cam-audio-1716394421794,B,0,0,3,0,awesome alright so i think we're supposed to negotiate for nothing,9.120517,15.595,1.0,11,12.0722255
think,11.828793,12.067759,0.1593109999999988,0,1,1716394420177-9d86f106-9e93-49eb-8bec-b0a2b89f001c-cam-audio-1716394421794,B,0,0,3,0,awesome alright so i think we're supposed to negotiate for nothing,9.120517,15.595,1.0,11,12.0722255
we're,12.067759,12.386379,0.2389660000000013,0,1,1716394420177-9d86f106-9e93-49eb-8bec-b0a2b89f001c-cam-audio-1716394421794,B,0,0,3,0,awesome alright so i think we're supposed to negotiate for nothing,9.120517,15.595,1.0,11,12.0722255
supposed,12.386379,12.54569,0.3186199999999992,0,1,1716394420177-9d86f106-9e93-49eb-8bec-b0a2b89f001c-cam-audio-1716394421794,B,0,0,3,0,awesome alright so i think we're supposed to negotiate for nothing,9.120517,15.595,1.0,11,12.0722255
to,12.54569,13.023621,0.1593110000000006,0,1,1716394420177-9d86f106-9e93-49eb-8bec-b0a2b89f001c-cam-audio-1716394421794,B,0,0,3,0,awesome alright so i think we're supposed to negotiate for nothing,9.120517,15.595,1.0,11,12.0722255
negotiate,13.023621,13.523621,0.4779309999999999,0,1,1716394420177-9d86f106-9e93-49eb-8bec-b0a2b89f001c-cam-audio-1716394421794,B,0,0,3,0,awesome alright so i think we're supposed to negotiate for nothing,9.120517,15.595,1.0,11,12.0722255
for,14.155,14.655,1.131378999999999,0,1,1716394420177-9d86f106-9e93-49eb-8bec-b0a2b89f001c-cam-audio-1716394421794,B,0,0,3,0,awesome alright so i think we're supposed to negotiate for nothing,9.120517,15.595,1.0,11,12.0722255
mh,14.624754,15.023934,9.0914846,1,0,1716394420177-0034cd93-7d3f-4f75-8fc4-2a2f9470b784-cam-audio-1716394421126,A,1,0,3,0,mh,14.624754,15.023934,0.0,1,10.158627
nothing,15.195,15.595,1.040000000000001,0,1,1716394420177-9d86f106-9e93-49eb-8bec-b0a2b89f001c-cam-audio-1716394421794,B,0,0,3,0,awesome alright so i think we're supposed to negotiate for nothing,9.120517,15.595,1.0,11,12.0722255
yeah,17.019836,17.33918,2.395082000000002,1,0,1716394420177-0034cd93-7d3f-4f75-8fc4-2a2f9470b784-cam-audio-1716394421126,A,0,0,4,0,yeah,17.019836,17.33918,0.0,1,16.307418000000002
yeah,18.235,18.475,3.039999999999999,0,1,1716394420177-9d86f106-9e93-49eb-8bec-b0a2b89f001c-cam-audio-1716394421794,B,0,0,5,0,yeah,18.235,18.475,0.0,1,17.78709
i,18.696394,18.856066,1.676558,1,0,1716394420177-0034cd93-7d3f-4f75-8fc4-2a2f9470b784-cam-audio-1716394421126,A,0,0,6,0,i can start that my starting negotiation is four hundred thousand dollars because there was someone one similar in my field who was also scientists but has less patents than me and got a deal of four hundred thousand dollars so i would like to just start with that,18.696394,35.17,-0.05555555555555555,49,18.585697000000003
can,18.856066,19.255245,0.1596719999999969,1,0,1716394420177-0034cd93-7d3f-4f75-8fc4-2a2f9470b784-cam-audio-1716394421126,A,0,0,6,0,i can start that my starting negotiation is four hundred thousand dollars because there was someone one similar in my field who was also scientists but has less patents than me and got a deal of four hundred thousand dollars so i would like to just start with that,18.696394,35.17,-0.05555555555555555,49,18.585697000000003
start,19.255245,19.654427,0.3991790000000002,1,0,1716394420177-0034cd93-7d3f-4f75-8fc4-2a2f9470b784-cam-audio-1716394421126,A,0,0,6,0,i can start that my starting negotiation is four hundred thousand dollars because there was someone one similar in my field who was also scientists but has less patents than me and got a deal of four hundred thousand dollars so i would like to just start with that,18.696394,35.17,-0.05555555555555555,49,18.585697000000003
that,19.654427,19.814098,0.3991819999999997,1,0,1716394420177-0034cd93-7d3f-4f75-8fc4-2a2f9470b784-cam-audio-1716394421126,A,0,0,6,0,i can start that my starting negotiation is four hundred thousand dollars because there was someone one similar in my field who was also scientists but has less patents than me and got a deal of four hundred thousand dollars so i would like to just start with that,18.696394,35.17,-0.05555555555555555,49,18.585697000000003
my,21.730164,22.230164,2.075737,1,0,1716394420177-0034cd93-7d3f-4f75-8fc4-2a2f9470b784-cam-audio-1716394421126,A,0,0,6,0,i can start that my starting negotiation is four hundred thousand dollars because there was someone one similar in my field who was also scientists but has less patents than me and got a deal of four hundred thousand dollars so i would like to just start with that,18.696394,35.17,-0.05555555555555555,49,18.585697000000003
starting,22.289017,22.789017,0.5588530000000027,1,0,1716394420177-0034cd93-7d3f-4f75-8fc4-2a2f9470b784-cam-audio-1716394421126,A,0,0,6,0,i can start that my starting negotiation is four hundred thousand dollars because there was someone one similar in my field who was also scientists but has less patents than me and got a deal of four hundred thousand dollars so i would like to just start with that,18.696394,35.17,-0.05555555555555555,49,18.585697000000003
