Word,Start Time,End Time,start_time_diff,Speaker_A,Speaker_B,SourceFile,Speaker,Backchannel,Overlap,Turn,Contested,Sent,Turn Start,Turn End,Sentiment,word_count,Time_Boundary
hi,2.1122963,2.3514242,0.0,0,1,1716394601678-ee104f96-6e22-4f19-9b30-b9af27e3e319-cam-audio-1716394602677,B,0,0,1,0,hi,2.1122963,2.3514242,0.0,1,2.1122963
hi,2.1157937,2.2754762,0.0,1,0,1716394601678-324b2168-4b73-4a62-aca9-97c36159e72e-cam-audio-1716394604919,A,0,1,2,0,hi how are you i'm,2.1157937,4.9900794,0.0,5,2.23360895
how,2.515,2.5948412,0.3992062999999999,1,0,1716394601678-324b2168-4b73-4a62-aca9-97c36159e72e-cam-audio-1716394604919,A,0,0,2,0,hi how are you i'm,2.1157937,4.9900794,0.0,5,2.23360895
are,2.5948412,2.7545238,0.0798411999999997,1,0,1716394601678-324b2168-4b73-4a62-aca9-97c36159e72e-cam-audio-1716394604919,A,0,0,2,0,hi how are you i'm,2.1157937,4.9900794,0.0,5,2.23360895
you,2.7545238,2.9940476,0.1596826,1,0,1716394601678-324b2168-4b73-4a62-aca9-97c36159e72e-cam-audio-1716394604919,A,0,0,2,0,hi how are you i'm,2.1157937,4.9900794,0.0,5,2.23360895
good,4.2644477,4.4238663,2.1521514,0,1,1716394601678-ee104f96-6e22-4f19-9b30-b9af27e3e319-cam-audio-1716394602677,B,0,0,2,1,good how are,4.2644477,4.8224125,0.7,3,4.62726355
how,4.583285,4.7427034,0.3188373000000002,0,1,1716394601678-ee104f96-6e22-4f19-9b30-b9af27e3e319-cam-audio-1716394602677,B,0,0,2,1,good how are,4.2644477,4.8224125,0.7,3,4.62726355
i'm,4.6707144,4.9900794,1.9161906,1,0,1716394601678-324b2168-4b73-4a62-aca9-97c36159e72e-cam-audio-1716394604919,A,0,1,2,1,hi how are you i'm,2.1157937,4.9900794,0.0,5,2.23360895
are,4.7427034,4.8224125,0.1594183999999998,0,1,1716394601678-ee104f96-6e22-4f19-9b30-b9af27e3e319-cam-audio-1716394602677,B,0,1,2,1,good how are,4.2644477,4.8224125,0.7,3,4.62726355
you,4.8224125,4.981831,0.0797091000000005,0,1,1716394601678-ee104f96-6e22-4f19-9b30-b9af27e3e319-cam-audio-1716394602677,B,0,0,3,0,you,4.8224125,4.981831,0.0,1,4.8224125
alright,4.9900794,5.0699205,0.3193650000000003,1,0,1716394601678-324b2168-4b73-4a62-aca9-97c36159e72e-cam-audio-1716394604919,A,0,0,4,0,alright don't wanna alright okay so,4.9900794,10.02008,0.5,6,4.985955199999999
don't,5.3892856,5.469127,0.3992062,1,0,1716394601678-324b2168-4b73-4a62-aca9-97c36159e72e-cam-audio-1716394604919,A,0,0,4,0,alright don't wanna alright okay so,4.9900794,10.02008,0.5,6,4.985955199999999
wanna,5.469127,5.788492,0.0798414000000002,1,0,1716394601678-324b2168-4b73-4a62-aca9-97c36159e72e-cam-audio-1716394604919,A,0,0,4,1,alright don't wanna alright okay so,4.9900794,10.02008,0.5,6,4.985955199999999
alright,5.788492,5.9481745,0.3193649999999994,1,0,1716394601678-324b2168-4b73-4a62-aca9-97c36159e72e-cam-audio-1716394604919,A,0,0,4,1,alright don't wanna alright okay so,4.9900794,10.02008,0.5,6,4.985955199999999
okay,9.38135,9.541032,3.592858,1,0,1716394601678-324b2168-4b73-4a62-aca9-97c36159e72e-cam-audio-1716394604919,A,0,0,4,0,alright don't wanna alright okay so,4.9900794,10.02008,0.5,6,4.985955199999999
so,9.780556,10.02008,0.3992060000000013,1,0,1716394601678-324b2168-4b73-4a62-aca9-97c36159e72e-cam-audio-1716394604919,A,0,0,4,0,alright don't wanna alright okay so,4.9900794,10.02008,0.5,6,4.985955199999999
right,10.003517,10.083226,5.1811045,0,1,1716394601678-ee104f96-6e22-4f19-9b30-b9af27e3e319-cam-audio-1716394602677,B,0,1,4,1,right,10.003517,10.083226,0.2857142857142857,1,10.011798500000001
i,10.322354,10.402063,0.3188370000000002,0,1,1716394601678-ee104f96-6e22-4f19-9b30-b9af27e3e319-cam-audio-1716394602677,B,0,0,5,0,i guess we can get started so thank you so much for,10.322354,13.691889,0.2,12,11.9277245
guess,10.402063,10.561482,0.0797089999999993,0,1,1716394601678-ee104f96-6e22-4f19-9b30-b9af27e3e319-cam-audio-1716394602677,B,0,0,5,1,i guess we can get started so thank you so much for,10.322354,13.691889,0.2,12,11.9277245
we,10.561482,10.720901,0.1594189999999997,0,1,1716394601678-ee104f96-6e22-4f19-9b30-b9af27e3e319-cam-audio-1716394602677,B,0,0,5,1,i guess we can get started so thank you so much for,10.322354,13.691889,0.2,12,11.9277245
can,10.720901,10.88032,0.1594189999999997,0,1,1716394601678-ee104f96-6e22-4f19-9b30-b9af27e3e319-cam-audio-1716394602677,B,0,0,5,1,i guess we can get started so thank you so much for,10.322354,13.691889,0.2,12,11.9277245
get,10.88032,11.119447,0.1594189999999997,0,1,1716394601678-ee104f96-6e22-4f19-9b30-b9af27e3e319-cam-audio-1716394602677,B,0,0,5,1,i guess we can get started so thank you so much for,10.322354,13.691889,0.2,12,11.9277245
yeah,11.058016,11.29754,1.2774599999999996,1,0,1716394601678-324b2168-4b73-4a62-aca9-97c36159e72e-cam-audio-1716394604919,A,0,1,5,1,yeah i'm just trying to figure out what we're supposed,11.058016,13.533095,0.0,10,10.570621
started,11.119447,11.438284,0.2391269999999998,0,1,1716394601678-ee104f96-6e22-4f19-9b30-b9af27e3e319-cam-audio-1716394602677,B,0,1,5,1,i guess we can get started so thank you so much for,10.322354,13.691889,0.2,12,11.9277245
i'm,11.537064,11.696746,0.4790480000000006,1,0,1716394601678-324b2168-4b73-4a62-aca9-97c36159e72e-cam-audio-1716394604919,A,0,0,5,1,yeah i'm just trying to figure out what we're supposed,11.058016,13.533095,0.0,10,10.570621
just,11.696746,11.856429,0.1596819999999983,1,0,1716394601678-324b2168-4b73-4a62-aca9-97c36159e72e-cam-audio-1716394604919,A,0,0,5,1,yeah i'm just trying to figure out what we're supposed,11.058016,13.533095,0.0,10,10.570621
trying,11.856429,12.016111,0.1596830000000011,1,0,1716394601678-324b2168-4b73-4a62-aca9-97c36159e72e-cam-audio-1716394604919,A,0,0,5,1,yeah i'm just trying to figure out what we're supposed,11.058016,13.533095,0.0,10,10.570621
so,11.996249,12.235377,0.8768020000000014,0,1,1716394601678-ee104f96-6e22-4f19-9b30-b9af27e3e319-cam-audio-1716394602677,B,0,1,5,1,i guess we can get started so thank you so much for,10.322354,13.691889,0.2,12,11.9277245
to,12.016111,12.175794,0.1596820000000001,1,0,1716394601678-324b2168-4b73-4a62-aca9-97c36159e72e-cam-audio-1716394604919,A,0,1,5,1,yeah i'm just trying to figure out what we're supposed,11.058016,13.533095,0.0,10,10.570621
figure,12.175794,12.335476,0.1596829999999993,1,0,1716394601678-324b2168-4b73-4a62-aca9-97c36159e72e-cam-audio-1716394604919,A,0,0,5,1,yeah i'm just trying to figure out what we're supposed,11.058016,13.533095,0.0,10,10.570621
thank,12.235377,12.394796,0.2391279999999991,0,1,1716394601678-ee104f96-6e22-4f19-9b30-b9af27e3e319-cam-audio-1716394602677,B,0,1,5,1,i guess we can get started so thank you so much for,10.322354,13.691889,0.2,12,11.9277245
out,12.335476,12.575,0.1596820000000001,1,0,1716394601678-324b2168-4b73-4a62-aca9-97c36159e72e-cam-audio-1716394604919,A,0,1,5,1,yeah i'm just trying to figure out what we're supposed,11.058016,13.533095,0.0,10,10.570621
you,12.394796,12.5542145,0.1594189999999997,0,1,1716394601678-ee104f96-6e22-4f19-9b30-b9af27e3e319-cam-audio-1716394602677,B,0,1,5,1,i guess we can get started so thank you so much for,10.322354,13.691889,0.2,12,11.9277245
so,12.5542145,12.873052,0.159418500000001,0,1,1716394601678-ee104f96-6e22-4f19-9b30-b9af27e3e319-cam-audio-1716394602677,B,0,0,5,1,i guess we can get started so thank you so much for,10.322354,13.691889,0.2,12,11.9277245
what,12.575,12.734683,0.2395239999999994,1,0,1716394601678-324b2168-4b73-4a62-aca9-97c36159e72e-cam-audio-1716394604919,A,0,1,5,1,yeah i'm just trying to figure out what we're supposed,11.058016,13.533095,0.0,10,10.570621
we're,12.734683,13.213731,0.1596830000000011,1,0,1716394601678-324b2168-4b73-4a62-aca9-97c36159e72e-cam-audio-1716394604919,A,0,0,5,1,yeah i'm just trying to figure out what we're supposed,11.058016,13.533095,0.0,10,10.570621
much,12.873052,13.191889,0.318837499999999,0,1,1716394601678-ee104f96-6e22-4f19-9b30-b9af27e3e319-cam-audio-1716394602677,B,0,1,5,1,i guess we can get started so thank you so much for,10.322354,13.691889,0.2,12,11.9277245
for,13.191889,13.691889,0.3188370000000002,0,1,1716394601678-ee104f96-6e22-4f19-9b30-b9af27e3e319-cam-audio-1716394602677,B,0,0,5,1,i guess we can get started so thank you so much for,10.322354,13.691889,0.2,12,11.9277245
supposed,13.213731,13.533095,0.4790479999999988,1,0,1716394601678-324b2168-4b73-4a62-aca9-97c36159e72e-cam-audio-1716394604919,A,0,1,5,1,yeah i'm just trying to figure out what we're supposed,11.058016,13.533095,0.0,10,10.570621
to,13.533095,13.852461,0.3193640000000002,1,0,1716394601678-324b2168-4b73-4a62-aca9-97c36159e72e-cam-audio-1716394604919,A,0,0,6,0,to,13.533095,13.852461,0.0,1,13.612492
i,22.305092,22.384907,9.113203,0,1,1716394601678-ee104f96-6e22-4f19-9b30-b9af27e3e319-cam-audio-1716394602677,B,0,0,7,0,i think we just start with the negotiation i guess so you know thank you yeah so thank you so much for like making the time to meet with me i think out of this meeting my main priority is to make sure that you have what you need to seed and we'd love to retain you at the university so what i can offer you from discussions with our team is that we can we could offer like a buyout of your entire portfolio at a hundred and seventy five thousand or whatever percentage scale to that amount that works for you as well as four months of paid sa and up to twelve months of unpaid and any additional offers that might be important to you like having ra and post stocks on your team lab equipment or conference funds so yeah,22.305092,82.000854,0.25833333333333336,144,23.873686
think,22.384907,22.624352,0.0798149999999999,0,1,1716394601678-ee104f96-6e22-4f19-9b30-b9af27e3e319-cam-audio-1716394602677,B,0,0,7,0,i think we just start with the negotiation i guess so you know thank you yeah so thank you so much for like making the time to meet with me i think out of this meeting my main priority is to make sure that you have what you need to seed and we'd love to retain you at the university so what i can offer you from discussions with our team is that we can we could offer like a buyout of your entire portfolio at a hundred and seventy five thousand or whatever percentage scale to that amount that works for you as well as four months of paid sa and up to twelve months of unpaid and any additional offers that might be important to you like having ra and post stocks on your team lab equipment or conference funds so yeah,22.305092,82.000854,0.25833333333333336,144,23.873686
we,22.624352,22.704166,0.2394449999999999,0,1,1716394601678-ee104f96-6e22-4f19-9b30-b9af27e3e319-cam-audio-1716394602677,B,0,0,7,0,i think we just start with the negotiation i guess so you know thank you yeah so thank you so much for like making the time to meet with me i think out of this meeting my main priority is to make sure that you have what you need to seed and we'd love to retain you at the university so what i can offer you from discussions with our team is that we can we could offer like a buyout of your entire portfolio at a hundred and seventy five thousand or whatever percentage scale to that amount that works for you as well as four months of paid sa and up to twelve months of unpaid and any additional offers that might be important to you like having ra and post stocks on your team lab equipment or conference funds so yeah,22.305092,82.000854,0.25833333333333336,144,23.873686
just,22.704166,22.943611,0.0798140000000025,0,1,1716394601678-ee104f96-6e22-4f19-9b30-b9af27e3e319-cam-audio-1716394602677,B,0,0,7,0,i think we just start with the negotiation i guess so you know thank you yeah so thank you so much for like making the time to meet with me i think out of this meeting my main priority is to make sure that you have what you need to seed and we'd love to retain you at the university so what i can offer you from discussions with our team is that we can we could offer like a buyout of your entire portfolio at a hundred and seventy five thousand or whatever percentage scale to that amount that works for you as well as four months of paid sa and up to twelve months of unpaid and any additional offers that might be important to you like having ra and post stocks on your team lab equipment or conference funds so yeah,22.305092,82.000854,0.25833333333333336,144,23.873686
start,22.943611,23.183056,0.2394449999999999,0,1,1716394601678-ee104f96-6e22-4f19-9b30-b9af27e3e319-cam-audio-1716394602677,B,0,0,7,0,i think we just start with the negotiation i guess so you know thank you yeah so thank you so much for like making the time to meet with me i think out of this meeting my main priority is to make sure that you have what you need to seed and we'd love to retain you at the university so what i can offer you from discussions with our team is that we can we could offer like a buyout of your entire portfolio at a hundred and seventy five thousand or whatever percentage scale to that amount that works for you as well as four months of paid sa and up to twelve months of unpaid and any additional offers that might be important to you like having ra and post stocks on your team lab equipment or conference funds so yeah,22.305092,82.000854,0.25833333333333336,144,23.873686
with,23.183056,23.4225,0.2394449999999999,0,1,1716394601678-ee104f96-6e22-4f19-9b30-b9af27e3e319-cam-audio-1716394602677,B,0,0,7,0,i think we just start with the negotiation i guess so you know thank you yeah so thank you so much for like making the time to meet with me i think out of this meeting my main priority is to make sure that you have what you need to seed and we'd love to retain you at the university so what i can offer you from discussions with our team is that we can we could offer like a buyout of your entire portfolio at a hundred and seventy five thousand or whatever percentage scale to that amount that works for you as well as four months of paid sa and up to twelve months of unpaid and any additional offers that might be important to you like having ra and post stocks on your team lab equipment or conference funds so yeah,22.305092,82.000854,0.25833333333333336,144,23.873686
the,23.4225,23.9225,0.2394439999999988,0,1,1716394601678-ee104f96-6e22-4f19-9b30-b9af27e3e319-cam-audio-1716394602677,B,0,0,7,0,i think we just start with the negotiation i guess so you know thank you yeah so thank you so much for like making the time to meet with me i think out of this meeting my main priority is to make sure that you have what you need to seed and we'd love to retain you at the university so what i can offer you from discussions with our team is that we can we could offer like a buyout of your entire portfolio at a hundred and seventy five thousand or whatever percentage scale to that amount that works for you as well as four months of paid sa and up to twelve months of unpaid and any additional offers that might be important to you like having ra and post stocks on your team lab equipment or conference funds so yeah,22.305092,82.000854,0.25833333333333336,144,23.873686
negotiation,24.460093,24.539907,1.037593000000001,0,1,1716394601678-ee104f96-6e22-4f19-9b30-b9af27e3e319-cam-audio-1716394602677,B,0,0,7,0,i think we just start with the negotiation i guess so you know thank you yeah so thank you so much for like making the time to meet with me i think out of this meeting my main priority is to make sure that you have what you need to seed and we'd love to retain you at the university so what i can offer you from discussions with our team is that we can we could offer like a buyout of your entire portfolio at a hundred and seventy five thousand or whatever percentage scale to that amount that works for you as well as four months of paid sa and up to twelve months of unpaid and any additional offers that might be important to you like having ra and post stocks on your team lab equipment or conference funds so yeah,22.305092,82.000854,0.25833333333333336,144,23.873686
i,24.779352,24.938982,0.3192589999999988,0,1,1716394601678-ee104f96-6e22-4f19-9b30-b9af27e3e319-cam-audio-1716394602677,B,0,0,7,0,i think we just start with the negotiation i guess so you know thank you yeah so thank you so much for like making the time to meet with me i think out of this meeting my main priority is to make sure that you have what you need to seed and we'd love to retain you at the university so what i can offer you from discussions with our team is that we can we could offer like a buyout of your entire portfolio at a hundred and seventy five thousand or whatever percentage scale to that amount that works for you as well as four months of paid sa and up to twelve months of unpaid and any additional offers that might be important to you like having ra and post stocks on your team lab equipment or conference funds so yeah,22.305092,82.000854,0.25833333333333336,144,23.873686
guess,24.938982,25.098612,0.1596299999999999,0,1,1716394601678-ee104f96-6e22-4f19-9b30-b9af27e3e319-cam-audio-1716394602677,B,0,0,7,0,i think we just start with the negotiation i guess so you know thank you yeah so thank you so much for like making the time to meet with me i think out of this meeting my main priority is to make sure that you have what you need to seed and we'd love to retain you at the university so what i can offer you from discussions with our team is that we can we could offer like a buyout of your entire portfolio at a hundred and seventy five thousand or whatever percentage scale to that amount that works for you as well as four months of paid sa and up to twelve months of unpaid and any additional offers that might be important to you like having ra and post stocks on your team lab equipment or conference funds so yeah,22.305092,82.000854,0.25833333333333336,144,23.873686
okay,25.28263,25.44228,11.749535000000002,1,0,1716394601678-324b2168-4b73-4a62-aca9-97c36159e72e-cam-audio-1716394604919,A,1,0,7,0,okay,25.28263,25.44228,0.5,1,19.5675455
so,27.109035,27.268684,2.170053,0,1,1716394601678-ee104f96-6e22-4f19-9b30-b9af27e3e319-cam-audio-1716394602677,B,0,0,7,0,i think we just start with the negotiation i guess so you know thank you yeah so thank you so much for like making the time to meet with me i think out of this meeting my main priority is to make sure that you have what you need to seed and we'd love to retain you at the university so what i can offer you from discussions with our team is that we can we could offer like a buyout of your entire portfolio at a hundred and seventy five thousand or whatever percentage scale to that amount that works for you as well as four months of paid sa and up to twelve months of unpaid and any additional offers that might be important to you like having ra and post stocks on your team lab equipment or conference funds so yeah,22.305092,82.000854,0.25833333333333336,144,23.873686
