Word,Start Time,End Time,start_time_diff,Speaker_A,Speaker_B,SourceFile,Speaker,Backchannel,Overlap,Turn,Contested,Sent,Turn Start,Turn End,Sentiment,word_count,Time_Boundary
hello,3.7904997,4.2692995,0.0,1,0,1716395209566-1c712a8d-cf67-4b4a-b284-52efc95d0b2d-cam-audio-1716395210566,A,0,0,1,0,hello can you hear me yes perfect alright i guess it's supposed to just start,3.7904997,15.760499,1.0,15,3.7904997
can,6.7430997,6.9026995,2.9526000000000003,1,0,1716395209566-1c712a8d-cf67-4b4a-b284-52efc95d0b2d-cam-audio-1716395210566,A,0,0,1,0,hello can you hear me yes perfect alright i guess it's supposed to just start,3.7904997,15.760499,1.0,15,3.7904997
you,6.9026995,7.0622997,0.1595997999999996,1,0,1716395209566-1c712a8d-cf67-4b4a-b284-52efc95d0b2d-cam-audio-1716395210566,A,0,0,1,0,hello can you hear me yes perfect alright i guess it's supposed to just start,3.7904997,15.760499,1.0,15,3.7904997
hear,7.0622997,7.2218995,0.1596001999999998,1,0,1716395209566-1c712a8d-cf67-4b4a-b284-52efc95d0b2d-cam-audio-1716395210566,A,0,0,1,0,hello can you hear me yes perfect alright i guess it's supposed to just start,3.7904997,15.760499,1.0,15,3.7904997
me,7.2218995,7.3814993,0.1595998000000005,1,0,1716395209566-1c712a8d-cf67-4b4a-b284-52efc95d0b2d-cam-audio-1716395210566,A,0,0,1,0,hello can you hear me yes perfect alright i guess it's supposed to just start,3.7904997,15.760499,1.0,15,3.7904997
yes,10.5735,10.653299,3.351600499999999,1,0,1716395209566-1c712a8d-cf67-4b4a-b284-52efc95d0b2d-cam-audio-1716395210566,A,0,0,1,0,hello can you hear me yes perfect alright i guess it's supposed to just start,3.7904997,15.760499,1.0,15,3.7904997
perfect,10.892699,11.291699,0.3191990000000011,1,0,1716395209566-1c712a8d-cf67-4b4a-b284-52efc95d0b2d-cam-audio-1716395210566,A,0,0,1,0,hello can you hear me yes perfect alright i guess it's supposed to just start,3.7904997,15.760499,1.0,15,3.7904997
alright,14.164499,14.244299,3.271799999999999,1,0,1716395209566-1c712a8d-cf67-4b4a-b284-52efc95d0b2d-cam-audio-1716395210566,A,0,0,1,0,hello can you hear me yes perfect alright i guess it's supposed to just start,3.7904997,15.760499,1.0,15,3.7904997
i,14.563499,14.643299,0.3990000000000009,1,0,1716395209566-1c712a8d-cf67-4b4a-b284-52efc95d0b2d-cam-audio-1716395210566,A,0,0,1,0,hello can you hear me yes perfect alright i guess it's supposed to just start,3.7904997,15.760499,1.0,15,3.7904997
guess,14.643299,14.802899,0.0798000000000005,1,0,1716395209566-1c712a8d-cf67-4b4a-b284-52efc95d0b2d-cam-audio-1716395210566,A,0,0,1,0,hello can you hear me yes perfect alright i guess it's supposed to just start,3.7904997,15.760499,1.0,15,3.7904997
it's,14.802899,14.962499,0.1595999999999993,1,0,1716395209566-1c712a8d-cf67-4b4a-b284-52efc95d0b2d-cam-audio-1716395210566,A,0,0,1,0,hello can you hear me yes perfect alright i guess it's supposed to just start,3.7904997,15.760499,1.0,15,3.7904997
supposed,14.962499,15.042299,0.1595999999999993,1,0,1716395209566-1c712a8d-cf67-4b4a-b284-52efc95d0b2d-cam-audio-1716395210566,A,0,0,1,0,hello can you hear me yes perfect alright i guess it's supposed to just start,3.7904997,15.760499,1.0,15,3.7904997
to,15.042299,15.201899,0.0798000000000005,1,0,1716395209566-1c712a8d-cf67-4b4a-b284-52efc95d0b2d-cam-audio-1716395210566,A,0,0,1,0,hello can you hear me yes perfect alright i guess it's supposed to just start,3.7904997,15.760499,1.0,15,3.7904997
just,15.201899,15.521099,0.1595999999999993,1,0,1716395209566-1c712a8d-cf67-4b4a-b284-52efc95d0b2d-cam-audio-1716395210566,A,0,0,1,0,hello can you hear me yes perfect alright i guess it's supposed to just start,3.7904997,15.760499,1.0,15,3.7904997
