Word,Start Time,End Time,start_time_diff,Speaker_A,Speaker_B,SourceFile,Speaker,Backchannel,Overlap,Turn,Contested,Sent,Turn Start,Turn End,Sentiment,word_count,Time_Boundary
can,41.397675,41.556976,0.0,0,1,1716394151038-920cfc35-fe31-44d0-bf10-105793bd1633-cam-audio-1716394152045,B,0,0,1,0,can you hear me yeah i can see you three,41.397675,52.119022,0.0,10,41.397675
you,41.556976,41.795925,0.1593009999999992,0,1,1716394151038-920cfc35-fe31-44d0-bf10-105793bd1633-cam-audio-1716394152045,B,0,0,1,0,can you hear me yeah i can see you three,41.397675,52.119022,0.0,10,41.397675
hear,41.795925,41.955223,0.238948999999998,0,1,1716394151038-920cfc35-fe31-44d0-bf10-105793bd1633-cam-audio-1716394152045,B,0,0,1,0,can you hear me yeah i can see you three,41.397675,52.119022,0.0,10,41.397675
me,41.955223,42.114525,0.1592979999999997,0,1,1716394151038-920cfc35-fe31-44d0-bf10-105793bd1633-cam-audio-1716394152045,B,0,0,1,0,can you hear me yeah i can see you three,41.397675,52.119022,0.0,10,41.397675
yeah,48.108093,48.26768,6.15287,0,1,1716394151038-920cfc35-fe31-44d0-bf10-105793bd1633-cam-audio-1716394152045,B,0,0,1,0,can you hear me yeah i can see you three,41.397675,52.119022,0.0,10,41.397675
i,48.507065,48.586857,0.3989720000000005,0,1,1716394151038-920cfc35-fe31-44d0-bf10-105793bd1633-cam-audio-1716394152045,B,0,0,1,0,can you hear me yeah i can see you three,41.397675,52.119022,0.0,10,41.397675
can,48.586857,48.746445,0.0797920000000047,0,1,1716394151038-920cfc35-fe31-44d0-bf10-105793bd1633-cam-audio-1716394152045,B,0,0,1,0,can you hear me yeah i can see you three,41.397675,52.119022,0.0,10,41.397675
see,48.746445,48.906033,0.1595879999999994,0,1,1716394151038-920cfc35-fe31-44d0-bf10-105793bd1633-cam-audio-1716394152045,B,0,0,1,0,can you hear me yeah i can see you three,41.397675,52.119022,0.0,10,41.397675
you,48.906033,49.06562,0.1595879999999994,0,1,1716394151038-920cfc35-fe31-44d0-bf10-105793bd1633-cam-audio-1716394152045,B,0,0,1,0,can you hear me yeah i can see you three,41.397675,52.119022,0.0,10,41.397675
three,51.619022,52.119022,2.7129890000000003,0,1,1716394151038-920cfc35-fe31-44d0-bf10-105793bd1633-cam-audio-1716394152045,B,0,0,1,0,can you hear me yeah i can see you three,41.397675,52.119022,0.0,10,41.397675
