Word,Start Time,End Time,start_time_diff,Speaker_A,Speaker_B,SourceFile,Speaker,Backchannel,Overlap,Turn,Contested,Sent,Turn Start,Turn End,Sentiment,word_count,Time_Boundary
oh,7.96,8.04,0.0,0,1,1716394832459-db41e853-926f-4c16-9ce7-3a223f7cc9f8-cam-audio-1716394833401,B,0,0,1,0,oh hey one can you hear me hello i can't hear you i can hear you,7.96,43.465,0.0,16,7.96
hey,8.12,8.2,0.1599999999999992,0,1,1716394832459-db41e853-926f-4c16-9ce7-3a223f7cc9f8-cam-audio-1716394833401,B,0,0,1,0,oh hey one can you hear me hello i can't hear you i can hear you,7.96,43.465,0.0,16,7.96
one,8.36,8.44,0.2400000000000002,0,1,1716394832459-db41e853-926f-4c16-9ce7-3a223f7cc9f8-cam-audio-1716394833401,B,0,0,1,0,oh hey one can you hear me hello i can't hear you i can hear you,7.96,43.465,0.0,16,7.96
can,8.679999,8.84,0.319999000000001,0,1,1716394832459-db41e853-926f-4c16-9ce7-3a223f7cc9f8-cam-audio-1716394833401,B,0,0,1,0,oh hey one can you hear me hello i can't hear you i can hear you,7.96,43.465,0.0,16,7.96
you,8.84,8.92,0.1600009999999994,0,1,1716394832459-db41e853-926f-4c16-9ce7-3a223f7cc9f8-cam-audio-1716394833401,B,0,0,1,0,oh hey one can you hear me hello i can't hear you i can hear you,7.96,43.465,0.0,16,7.96
hear,8.92,9.0,0.08,0,1,1716394832459-db41e853-926f-4c16-9ce7-3a223f7cc9f8-cam-audio-1716394833401,B,0,0,1,0,oh hey one can you hear me hello i can't hear you i can hear you,7.96,43.465,0.0,16,7.96
me,9.0,9.16,0.08,0,1,1716394832459-db41e853-926f-4c16-9ce7-3a223f7cc9f8-cam-audio-1716394833401,B,0,0,1,0,oh hey one can you hear me hello i can't hear you i can hear you,7.96,43.465,0.0,16,7.96
hello,14.530499,14.849699,5.530499000000001,0,1,1716394832459-db41e853-926f-4c16-9ce7-3a223f7cc9f8-cam-audio-1716394833401,B,0,0,1,0,oh hey one can you hear me hello i can't hear you i can hear you,7.96,43.465,0.0,16,7.96
i,16.3659,16.5255,1.8354009999999992,0,1,1716394832459-db41e853-926f-4c16-9ce7-3a223f7cc9f8-cam-audio-1716394833401,B,0,0,1,0,oh hey one can you hear me hello i can't hear you i can hear you,7.96,43.465,0.0,16,7.96
can't,16.5255,16.7649,0.159600000000001,0,1,1716394832459-db41e853-926f-4c16-9ce7-3a223f7cc9f8-cam-audio-1716394833401,B,0,0,1,0,oh hey one can you hear me hello i can't hear you i can hear you,7.96,43.465,0.0,16,7.96
