Word,Start Time,End Time,start_time_diff,Speaker_A,Speaker_B,SourceFile,Speaker,Backchannel,Overlap,Turn,Contested,Sent,Turn Start,Turn End,Sentiment,word_count,Time_Boundary
just,0.11942308,0.27865386,0.0,0,1,1716394481617-fc7d2f6f-2385-4713-8d5e-75ccdb643462-cam-audio-1716394482605,B,0,0,1,0,just to double check,0.11942308,1.0748076,0.0,4,0.11942308
to,0.27865386,0.5971154,0.1592307799999999,0,1,1716394481617-fc7d2f6f-2385-4713-8d5e-75ccdb643462-cam-audio-1716394482605,B,0,0,1,0,just to double check,0.11942308,1.0748076,0.0,4,0.11942308
double,0.5971154,0.91557693,0.31846154,0,1,1716394481617-fc7d2f6f-2385-4713-8d5e-75ccdb643462-cam-audio-1716394482605,B,0,0,1,0,just to double check,0.11942308,1.0748076,0.0,4,0.11942308
check,0.91557693,1.0748076,0.31846153,0,1,1716394481617-fc7d2f6f-2385-4713-8d5e-75ccdb643462-cam-audio-1716394482605,B,0,0,1,0,just to double check,0.11942308,1.0748076,0.0,4,0.11942308
yeah,2.032587,2.1920056,0.0,1,0,1716394481617-302900d4-8a64-4ca5-81ab-4f4eb21c7cdf-cam-audio-1716394482603,A,0,0,2,0,yeah can you hear me,2.032587,3.068808,0.0,5,1.5536973
can,2.5108428,2.5905523,0.4782557999999999,1,0,1716394481617-302900d4-8a64-4ca5-81ab-4f4eb21c7cdf-cam-audio-1716394482603,A,0,0,2,0,yeah can you hear me,2.032587,3.068808,0.0,5,1.5536973
you,2.5905523,2.6702616,0.0797095000000003,1,0,1716394481617-302900d4-8a64-4ca5-81ab-4f4eb21c7cdf-cam-audio-1716394482603,A,0,0,2,0,yeah can you hear me,2.032587,3.068808,0.0,5,1.5536973
hear,2.6702616,2.9093895,0.0797092999999997,1,0,1716394481617-302900d4-8a64-4ca5-81ab-4f4eb21c7cdf-cam-audio-1716394482603,A,0,0,2,0,yeah can you hear me,2.032587,3.068808,0.0,5,1.5536973
me,2.9093895,3.068808,0.2391279000000001,1,0,1716394481617-302900d4-8a64-4ca5-81ab-4f4eb21c7cdf-cam-audio-1716394482603,A,0,0,2,0,yeah can you hear me,2.032587,3.068808,0.0,5,1.5536973
yeah,3.4632692,3.5428846,2.54769227,0,1,1716394481617-fc7d2f6f-2385-4713-8d5e-75ccdb643462-cam-audio-1716394482605,B,0,0,3,0,yeah i can hear you perfectly quickly okay yeah so i i guess i'm supposed to with you on on potential sa bad so i was and i was thinking of taking after it's a pretty extended period of time of working so just wanted to discuss control for that and end funding for it possible,3.4632692,32.557434,0.010000000000000031,56,5.896445099999999
