Word,Start Time,End Time,start_time_diff,Speaker_A,Speaker_B,SourceFile,Speaker,Backchannel,Overlap,Turn,Contested,Sent,Turn Start,Turn End,Sentiment,word_count,Time_Boundary
hi,0.68,1.0,0.0,1,0,1716394400495-515d1e33-4cbe-4958-bd9a-5f276c25b815-cam-audio-1716394401473,A,0,0,1,0,hi,0.68,1.0,0.0,1,0.68
hello,1.4778106,1.7973372,0.0,0,1,1716394400495-4811ec69-a66f-4e78-8722-1d553fcc3bb4-cam-audio-1716394401475,B,0,0,2,0,hello hi can you hear me,1.4778106,2.755917,0.0,6,1.2389052999999999
hi,2.036982,2.1168637,0.5591714000000001,0,1,1716394400495-4811ec69-a66f-4e78-8722-1d553fcc3bb4-cam-audio-1716394401475,B,0,0,2,0,hello hi can you hear me,1.4778106,2.755917,0.0,6,1.2389052999999999
can,2.276627,2.3565087,0.2396449999999998,0,1,1716394400495-4811ec69-a66f-4e78-8722-1d553fcc3bb4-cam-audio-1716394401475,B,0,0,2,0,hello hi can you hear me,1.4778106,2.755917,0.0,6,1.2389052999999999
you,2.3565087,2.4363904,0.0798817,0,1,1716394400495-4811ec69-a66f-4e78-8722-1d553fcc3bb4-cam-audio-1716394401475,B,0,0,2,0,hello hi can you hear me,1.4778106,2.755917,0.0,6,1.2389052999999999
hear,2.4363904,2.5961537,0.0798817,0,1,1716394400495-4811ec69-a66f-4e78-8722-1d553fcc3bb4-cam-audio-1716394401475,B,0,0,2,0,hello hi can you hear me,1.4778106,2.755917,0.0,6,1.2389052999999999
me,2.5961537,2.755917,0.1597632999999998,0,1,1716394400495-4811ec69-a66f-4e78-8722-1d553fcc3bb4-cam-audio-1716394401475,B,0,0,2,0,hello hi can you hear me,1.4778106,2.755917,0.0,6,1.2389052999999999
i,3.0,3.1599998,2.32,1,0,1716394400495-515d1e33-4cbe-4958-bd9a-5f276c25b815-cam-audio-1716394401473,A,0,0,3,0,i can hear you,3.0,3.72,0.0,4,2.8779585
can,3.1599998,3.32,0.1599998,1,0,1716394400495-515d1e33-4cbe-4958-bd9a-5f276c25b815-cam-audio-1716394401473,A,0,0,3,0,i can hear you,3.0,3.72,0.0,4,2.8779585
hear,3.32,3.56,0.1600001999999998,1,0,1716394400495-515d1e33-4cbe-4958-bd9a-5f276c25b815-cam-audio-1716394401473,A,0,0,3,0,i can hear you,3.0,3.72,0.0,4,2.8779585
you,3.56,3.72,0.2400000000000002,1,0,1716394400495-515d1e33-4cbe-4958-bd9a-5f276c25b815-cam-audio-1716394401473,A,0,0,3,0,i can hear you,3.0,3.72,0.0,4,2.8779585
so,4.35355,4.85355,1.7573963000000004,0,1,1716394400495-4811ec69-a66f-4e78-8722-1d553fcc3bb4-cam-audio-1716394401475,B,0,0,4,0,so oh okay yeah how are you today,4.35355,12.581361,0.5,8,4.0367750000000004
oh,5.6316566,5.9511833,1.2781066,0,1,1716394400495-4811ec69-a66f-4e78-8722-1d553fcc3bb4-cam-audio-1716394401475,B,0,0,4,0,so oh okay yeah how are you today,4.35355,12.581361,0.5,8,4.0367750000000004
okay,9.785502,9.945266,4.153845399999999,0,1,1716394400495-4811ec69-a66f-4e78-8722-1d553fcc3bb4-cam-audio-1716394401475,B,0,0,4,0,so oh okay yeah how are you today,4.35355,12.581361,0.5,8,4.0367750000000004
yeah,10.504437,10.744082,0.7189350000000001,0,1,1716394400495-4811ec69-a66f-4e78-8722-1d553fcc3bb4-cam-audio-1716394401475,B,0,0,4,0,so oh okay yeah how are you today,4.35355,12.581361,0.5,8,4.0367750000000004
how,11.622781,11.782544,1.1183440000000004,0,1,1716394400495-4811ec69-a66f-4e78-8722-1d553fcc3bb4-cam-audio-1716394401475,B,0,0,4,0,so oh okay yeah how are you today,4.35355,12.581361,0.5,8,4.0367750000000004
are,11.782544,11.942307,0.1597629999999998,0,1,1716394400495-4811ec69-a66f-4e78-8722-1d553fcc3bb4-cam-audio-1716394401475,B,0,0,4,0,so oh okay yeah how are you today,4.35355,12.581361,0.5,8,4.0367750000000004
you,11.942307,12.261834,0.1597629999999998,0,1,1716394400495-4811ec69-a66f-4e78-8722-1d553fcc3bb4-cam-audio-1716394401475,B,0,0,4,0,so oh okay yeah how are you today,4.35355,12.581361,0.5,8,4.0367750000000004
today,12.261834,12.581361,0.3195270000000008,0,1,1716394400495-4811ec69-a66f-4e78-8722-1d553fcc3bb4-cam-audio-1716394401475,B,0,0,4,0,so oh okay yeah how are you today,4.35355,12.581361,0.5,8,4.0367750000000004
oh,12.854477,12.9343605,9.294477,1,0,1716394400495-515d1e33-4cbe-4958-bd9a-5f276c25b815-cam-audio-1716394401473,A,0,0,5,0,oh good i'm am excited to talk to you about what you want from this negotiation,12.854477,18.606106,0.5375,16,12.717918999999998
