Word,Start Time,End Time,start_time_diff,Speaker_A,Speaker_B,SourceFile,Speaker,Backchannel,Overlap,Turn,Contested,Sent,Turn Start,Turn End,Sentiment,word_count,Time_Boundary
hi,4.4291177,4.5089216,0.0,0,1,1716395024278-24a8b470-1de4-48d1-8779-8c532e277d67-cam-audio-1716395024734,B,0,0,1,0,hi can you hear me hi can you hear me hi can you hear me yes i can hear you now it was working,4.4291177,57.68,0.0,24,31.001950349999998
can,4.9079413,5.067549,0.4788236000000001,0,1,1716395024278-24a8b470-1de4-48d1-8779-8c532e277d67-cam-audio-1716395024734,B,0,0,1,0,hi can you hear me hi can you hear me hi can you hear me yes i can hear you now it was working,4.4291177,57.68,0.0,24,31.001950349999998
you,5.067549,5.1473527,0.1596076999999995,0,1,1716395024278-24a8b470-1de4-48d1-8779-8c532e277d67-cam-audio-1716395024734,B,0,0,1,0,hi can you hear me hi can you hear me hi can you hear me yes i can hear you now it was working,4.4291177,57.68,0.0,24,31.001950349999998
hear,5.1473527,5.3867645,0.0798037000000002,0,1,1716395024278-24a8b470-1de4-48d1-8779-8c532e277d67-cam-audio-1716395024734,B,0,0,1,0,hi can you hear me hi can you hear me hi can you hear me yes i can hear you now it was working,4.4291177,57.68,0.0,24,31.001950349999998
me,5.3867645,5.5463724,0.2394118,0,1,1716395024278-24a8b470-1de4-48d1-8779-8c532e277d67-cam-audio-1716395024734,B,0,0,1,0,hi can you hear me hi can you hear me hi can you hear me yes i can hear you now it was working,4.4291177,57.68,0.0,24,31.001950349999998
hi,15.927406,16.007027,10.5406415,0,1,1716395024278-24a8b470-1de4-48d1-8779-8c532e277d67-cam-audio-1716395024734,B,0,0,1,0,hi can you hear me hi can you hear me hi can you hear me yes i can hear you now it was working,4.4291177,57.68,0.0,24,31.001950349999998
can,16.325514,16.405136,0.3981079999999988,0,1,1716395024278-24a8b470-1de4-48d1-8779-8c532e277d67-cam-audio-1716395024734,B,0,0,1,0,hi can you hear me hi can you hear me hi can you hear me yes i can hear you now it was working,4.4291177,57.68,0.0,24,31.001950349999998
you,16.405136,16.644001,0.0796220000000005,0,1,1716395024278-24a8b470-1de4-48d1-8779-8c532e277d67-cam-audio-1716395024734,B,0,0,1,0,hi can you hear me hi can you hear me hi can you hear me yes i can hear you now it was working,4.4291177,57.68,0.0,24,31.001950349999998
hear,16.644001,16.803244,0.2388650000000005,0,1,1716395024278-24a8b470-1de4-48d1-8779-8c532e277d67-cam-audio-1716395024734,B,0,0,1,0,hi can you hear me hi can you hear me hi can you hear me yes i can hear you now it was working,4.4291177,57.68,0.0,24,31.001950349999998
me,16.803244,16.962486,0.159243,0,1,1716395024278-24a8b470-1de4-48d1-8779-8c532e277d67-cam-audio-1716395024734,B,0,0,1,0,hi can you hear me hi can you hear me hi can you hear me yes i can hear you now it was working,4.4291177,57.68,0.0,24,31.001950349999998
hi,33.467106,33.546825,16.663862,0,1,1716395024278-24a8b470-1de4-48d1-8779-8c532e277d67-cam-audio-1716395024734,B,0,0,1,0,hi can you hear me hi can you hear me hi can you hear me yes i can hear you now it was working,4.4291177,57.68,0.0,24,31.001950349999998
