Word,Start Time,End Time,start_time_diff,Speaker_A,Speaker_B,SourceFile,Speaker,Backchannel,Overlap,Turn,Contested,Sent,Turn Start,Turn End,Sentiment,word_count,Time_Boundary
am,3.227801,3.3871987,0.0,0,1,1716395098719-6710b02f-671c-4b90-b15d-90f1e8e7d7c5-cam-audio-1716395099699,B,0,0,1,0,am i audible hello,3.227801,6.017259,0.0,4,3.227801
i,3.4668975,3.5465963,0.2390965,0,1,1716395098719-6710b02f-671c-4b90-b15d-90f1e8e7d7c5-cam-audio-1716395099699,B,0,0,1,0,am i audible hello,3.227801,6.017259,0.0,4,3.227801
audible,3.5465963,3.9450903,0.0796988,0,1,1716395098719-6710b02f-671c-4b90-b15d-90f1e8e7d7c5-cam-audio-1716395099699,B,0,0,1,0,am i audible hello,3.227801,6.017259,0.0,4,3.227801
hello,5.698464,6.017259,2.1518677000000004,0,1,1716395098719-6710b02f-671c-4b90-b15d-90f1e8e7d7c5-cam-audio-1716395099699,B,0,0,1,0,am i audible hello,3.227801,6.017259,0.0,4,3.227801
how's,8.599999,8.84,0.0,1,0,1716395098719-67067052-ffa5-410f-90ad-946bb2fde455-cam-audio-1716395099700,A,0,0,2,0,how's my day,8.599999,9.4,0.0,3,7.308629
my,8.84,9.08,0.2400009999999994,1,0,1716395098719-67067052-ffa5-410f-90ad-946bb2fde455-cam-audio-1716395099700,A,0,0,2,0,how's my day,8.599999,9.4,0.0,3,7.308629
day,9.08,9.4,0.2400000000000002,1,0,1716395098719-67067052-ffa5-410f-90ad-946bb2fde455-cam-audio-1716395099700,A,0,0,2,0,how's my day,8.599999,9.4,0.0,3,7.308629
good,10.081898,10.241295,4.383434,0,1,1716395098719-6710b02f-671c-4b90-b15d-90f1e8e7d7c5-cam-audio-1716395099699,B,0,0,3,0,good how are you how was your day,10.081898,11.835271,0.7,8,9.740949
how,10.4803915,10.56009,0.3984934999999989,0,1,1716395098719-6710b02f-671c-4b90-b15d-90f1e8e7d7c5-cam-audio-1716395099699,B,0,0,3,0,good how are you how was your day,10.081898,11.835271,0.7,8,9.740949
are,10.56009,10.799187,0.079698500000001,0,1,1716395098719-6710b02f-671c-4b90-b15d-90f1e8e7d7c5-cam-audio-1716395099699,B,0,0,3,0,good how are you how was your day,10.081898,11.835271,0.7,8,9.740949
you,10.799187,10.878885,0.2390969999999992,0,1,1716395098719-6710b02f-671c-4b90-b15d-90f1e8e7d7c5-cam-audio-1716395099699,B,0,0,3,0,good how are you how was your day,10.081898,11.835271,0.7,8,9.740949
how,11.117982,11.277379,0.3187949999999997,0,1,1716395098719-6710b02f-671c-4b90-b15d-90f1e8e7d7c5-cam-audio-1716395099699,B,0,0,3,0,good how are you how was your day,10.081898,11.835271,0.7,8,9.740949
was,11.277379,11.436777,0.1593970000000002,0,1,1716395098719-6710b02f-671c-4b90-b15d-90f1e8e7d7c5-cam-audio-1716395099699,B,0,0,3,0,good how are you how was your day,10.081898,11.835271,0.7,8,9.740949
your,11.436777,11.675873,0.1593979999999994,0,1,1716395098719-6710b02f-671c-4b90-b15d-90f1e8e7d7c5-cam-audio-1716395099699,B,0,0,3,0,good how are you how was your day,10.081898,11.835271,0.7,8,9.740949
day,11.675873,11.835271,0.2390959999999999,0,1,1716395098719-6710b02f-671c-4b90-b15d-90f1e8e7d7c5-cam-audio-1716395099699,B,0,0,3,0,good how are you how was your day,10.081898,11.835271,0.7,8,9.740949
i,12.2,12.44,3.119999999999999,1,0,1716395098719-67067052-ffa5-410f-90ad-946bb2fde455-cam-audio-1716395099700,A,0,0,4,0,i doing pretty well thanks for asking,12.2,14.62,0.225,7,12.0176355
doing,12.44,12.679999,0.2400000000000002,1,0,1716395098719-67067052-ffa5-410f-90ad-946bb2fde455-cam-audio-1716395099700,A,0,0,4,0,i doing pretty well thanks for asking,12.2,14.62,0.225,7,12.0176355
