Word,Start Time,End Time,start_time_diff,Speaker_A,Speaker_B,SourceFile,Speaker,Backchannel,Overlap,Turn,Contested,Sent,Turn Start,Turn End,Sentiment,word_count,Time_Boundary
hi,10.103245,10.58245,0.0,0,1,1716394769130-5bc07473-1810-4da7-a57d-d89e4923478b-cam-audio-1716394770093,B,0,0,1,0,hi can you hear me,10.103245,12.993729,0.0,5,10.103245
can,12.274724,12.354613,2.171479000000001,0,1,1716394769130-5bc07473-1810-4da7-a57d-d89e4923478b-cam-audio-1716394770093,B,0,0,1,0,hi can you hear me,10.103245,12.993729,0.0,5,10.103245
you,12.354613,12.594281,0.0798889999999996,0,1,1716394769130-5bc07473-1810-4da7-a57d-d89e4923478b-cam-audio-1716394770093,B,0,0,1,0,hi can you hear me,10.103245,12.993729,0.0,5,10.103245
hear,12.594281,12.754061,0.239668,0,1,1716394769130-5bc07473-1810-4da7-a57d-d89e4923478b-cam-audio-1716394770093,B,0,0,1,0,hi can you hear me,10.103245,12.993729,0.0,5,10.103245
me,12.754061,12.993729,0.1597799999999996,0,1,1716394769130-5bc07473-1810-4da7-a57d-d89e4923478b-cam-audio-1716394770093,B,0,0,1,0,hi can you hear me,10.103245,12.993729,0.0,5,10.103245
yeah,13.349242,13.428939,0.0,1,0,1716394769130-de740010-7216-427a-8b54-ab5bb6079688-cam-audio-1716394770094,A,0,0,2,0,yeah i can hear you,13.349242,14.225909,0.0,5,13.1714855
i,13.588333,13.66803,0.2390910000000001,1,0,1716394769130-de740010-7216-427a-8b54-ab5bb6079688-cam-audio-1716394770094,A,0,0,2,0,yeah i can hear you,13.349242,14.225909,0.0,5,13.1714855
can,13.66803,13.907121,0.0796969999999994,1,0,1716394769130-de740010-7216-427a-8b54-ab5bb6079688-cam-audio-1716394770094,A,0,0,2,0,yeah i can hear you,13.349242,14.225909,0.0,5,13.1714855
hear,13.907121,14.066515,0.2390910000000001,1,0,1716394769130-de740010-7216-427a-8b54-ab5bb6079688-cam-audio-1716394770094,A,0,0,2,0,yeah i can hear you,13.349242,14.225909,0.0,5,13.1714855
you,14.066515,14.225909,0.1593940000000007,1,0,1716394769130-de740010-7216-427a-8b54-ab5bb6079688-cam-audio-1716394770094,A,0,0,2,0,yeah i can hear you,13.349242,14.225909,0.0,5,13.1714855
