Word,Start Time,End Time,start_time_diff,Speaker_A,Speaker_B,SourceFile,Speaker,Backchannel,Overlap,Turn,Contested,Sent,Turn Start,Turn End,Sentiment,word_count,Time_Boundary
i,0.19926035,0.35866866,0.0,1,0,1716394852639-ed4106b1-dbdd-42b7-8b8c-54dd3ebae144-cam-audio-1716394854650,A,0,0,1,0,i,0.19926035,0.35866866,0.0,1,0.19926035
hi,1.3168269,1.3966346,0.0,0,1,1716394852639-512a7da4-a19c-4993-8923-5c201bff74e2-cam-audio-1716394854649,B,0,0,2,0,hi how are you,1.3168269,2.0350962,0.0,4,0.8377477799999999
how,1.55625,1.6360576,0.2394231,0,1,1716394852639-512a7da4-a19c-4993-8923-5c201bff74e2-cam-audio-1716394854649,B,0,0,2,0,hi how are you,1.3168269,2.0350962,0.0,4,0.8377477799999999
are,1.6360576,1.795673,0.0798076,0,1,1716394852639-512a7da4-a19c-4993-8923-5c201bff74e2-cam-audio-1716394854649,B,0,0,2,0,hi how are you,1.3168269,2.0350962,0.0,4,0.8377477799999999
you,1.795673,2.0350962,0.1596154,0,1,1716394852639-512a7da4-a19c-4993-8923-5c201bff74e2-cam-audio-1716394854649,B,0,0,2,0,hi how are you,1.3168269,2.0350962,0.0,4,0.8377477799999999
good,3.1483138,3.3874261,2.94905345,1,0,1716394852639-ed4106b1-dbdd-42b7-8b8c-54dd3ebae144-cam-audio-1716394854650,A,0,0,3,0,good how are you,3.1483138,3.865651,0.7,4,2.591705
how,3.3874261,3.4671302,0.2391122999999999,1,0,1716394852639-ed4106b1-dbdd-42b7-8b8c-54dd3ebae144-cam-audio-1716394854650,A,0,0,3,0,good how are you,3.1483138,3.865651,0.7,4,2.591705
are,3.4671302,3.7062426,0.0797041000000002,1,0,1716394852639-ed4106b1-dbdd-42b7-8b8c-54dd3ebae144-cam-audio-1716394854650,A,0,0,3,0,good how are you,3.1483138,3.865651,0.7,4,2.591705
you,3.7062426,3.865651,0.2391123999999997,1,0,1716394852639-ed4106b1-dbdd-42b7-8b8c-54dd3ebae144-cam-audio-1716394854650,A,0,0,3,0,good how are you,3.1483138,3.865651,0.7,4,2.591705
go,4.8283653,5.2274036,3.0326923,0,1,1716394852639-512a7da4-a19c-4993-8923-5c201bff74e2-cam-audio-1716394854649,B,0,0,4,0,go,4.8283653,5.2274036,0.0,1,4.34700815
so,7.611746,8.111746,3.9055034,1,0,1716394852639-ed4106b1-dbdd-42b7-8b8c-54dd3ebae144-cam-audio-1716394854650,A,0,0,5,0,so i guess i guess i can get started so i know that your one of our star faculty here at this university and i know that you are interested in taking us a about and just going further with your innovation is that correct k so obviously because you're one of our top faculty here we don't wanna lose you to another opportunity and so what we were thinking of was allowing me to take the phil schematic which would be ten k a month for up to six months but on top of that for up to twenty four months you'd be able to take a article unfortunately we'd only be able to pay you a total sixty k of ten k for each of the six months but then for an extended period for up to twenty four months you'd then be able to continue to be on sa medical where you could further develop your research and innovation until you're ready to come back to the university and once you do come back we'd be more than willing to invest in your research and innovation and we'd be more than happy to provide the resources for you to work with outside firms and investors also providing access to research because we are a research based university go heavily on academia so we strongly feels that we'd be able to provide the access to research and no other opportunity could really prevent so you wanted to hear your thoughts,7.611746,123.841995,0.2220679012345679,252,6.4195747999999995
