Word,Start Time,End Time,start_time_diff,Speaker_A,Speaker_B,SourceFile,Speaker,Backchannel,Overlap,Turn,Contested,Sent,Turn Start,Turn End,Sentiment,word_count,Time_Boundary
hello,1.4780526,1.637842,0.0,0,1,1716395294891-28e80318-c304-4b03-9381-86bd8903e244-cam-audio-1716395299552,B,0,0,1,0,hello how's it going i'm doing well,1.4780526,4.753737,0.0,7,1.4780526
how's,1.8775263,1.9574211,0.3994736999999999,0,1,1716395294891-28e80318-c304-4b03-9381-86bd8903e244-cam-audio-1716395299552,B,0,0,1,0,hello how's it going i'm doing well,1.4780526,4.753737,0.0,7,1.4780526
it,1.9574211,2.0373158,0.0798947999999999,0,1,1716395294891-28e80318-c304-4b03-9381-86bd8903e244-cam-audio-1716395299552,B,0,0,1,0,hello how's it going i'm doing well,1.4780526,4.753737,0.0,7,1.4780526
going,2.0373158,2.3568947,0.0798947000000001,0,1,1716395294891-28e80318-c304-4b03-9381-86bd8903e244-cam-audio-1716395299552,B,0,0,1,0,hello how's it going i'm doing well,1.4780526,4.753737,0.0,7,1.4780526
i'm,4.1145787,4.2743683,2.0772629,0,1,1716395294891-28e80318-c304-4b03-9381-86bd8903e244-cam-audio-1716395299552,B,0,0,1,0,hello how's it going i'm doing well,1.4780526,4.753737,0.0,7,1.4780526
doing,4.2743683,4.5939474,0.1597895999999998,0,1,1716395294891-28e80318-c304-4b03-9381-86bd8903e244-cam-audio-1716395299552,B,0,0,1,0,hello how's it going i'm doing well,1.4780526,4.753737,0.0,7,1.4780526
well,4.5939474,4.753737,0.3195791000000003,0,1,1716395294891-28e80318-c304-4b03-9381-86bd8903e244-cam-audio-1716395299552,B,0,0,1,0,hello how's it going i'm doing well,1.4780526,4.753737,0.0,7,1.4780526
hello,6.0885,6.327265,0.0,1,0,1716395294891-01b432f6-d66b-4655-8200-25bef827e588-cam-audio-1716395295876,A,0,0,2,0,hello how you,6.0885,7.0435586,0.0,3,5.4211185
how,6.5660295,6.804794,0.4775295000000001,1,0,1716395294891-01b432f6-d66b-4655-8200-25bef827e588-cam-audio-1716395295876,A,0,0,2,0,hello how you,6.0885,7.0435586,0.0,3,5.4211185
you,6.804794,7.0435586,0.2387645000000002,1,0,1716395294891-01b432f6-d66b-4655-8200-25bef827e588-cam-audio-1716395295876,A,0,0,2,0,hello how you,6.0885,7.0435586,0.0,3,5.4211185
alright,7.4701576,7.629947,2.8762102,0,1,1716395294891-28e80318-c304-4b03-9381-86bd8903e244-cam-audio-1716395299552,B,0,0,3,0,alright so let's see please just be it know about your okay yeah i'm also,7.4701576,30.076931,0.5,15,18.4600783
