Word,Start Time,End Time,start_time_diff,Speaker_A,Speaker_B,SourceFile,Speaker,Backchannel,Overlap,Turn,Contested,Sent,Turn Start,Turn End,Sentiment,word_count,Time_Boundary
hello,7.8747606,8.194548,0.0,0,1,1716395237689-9c110cd1-6e87-4e29-a2d2-e1fe3955cfd5-cam-audio-1716395241664,B,0,0,1,0,hello hi,7.8747606,16.0425,0.0,2,12.884880299999999
hi,15.7233,16.0425,7.8485394,0,1,1716395237689-9c110cd1-6e87-4e29-a2d2-e1fe3955cfd5-cam-audio-1716395241664,B,1,0,1,0,hello hi,7.8747606,16.0425,0.0,2,12.884880299999999
hello,17.575,17.895,0.0,1,0,1716395237689-91d8c598-6197-45c4-b3c7-8b4199acdc3d-cam-audio-1716395238126,A,0,0,1,0,hello,17.575,17.895,0.0,1,17.575
okay,21.1497,21.3093,5.426399999999999,0,1,1716395237689-9c110cd1-6e87-4e29-a2d2-e1fe3955cfd5-cam-audio-1716395241664,B,0,0,2,0,okay i wrote how we'd would to start this but do you wanna like i don't know do wanna begin or,21.1497,27.9539,0.5,21,18.5961
i,21.7881,21.9477,0.6384000000000007,0,1,1716395237689-9c110cd1-6e87-4e29-a2d2-e1fe3955cfd5-cam-audio-1716395241664,B,0,0,2,0,okay i wrote how we'd would to start this but do you wanna like i don't know do wanna begin or,21.1497,27.9539,0.5,21,18.5961
wrote,21.9477,22.426498,0.159600000000001,0,1,1716395237689-9c110cd1-6e87-4e29-a2d2-e1fe3955cfd5-cam-audio-1716395241664,B,0,0,2,0,okay i wrote how we'd would to start this but do you wanna like i don't know do wanna begin or,21.1497,27.9539,0.5,21,18.5961
how,22.426498,22.745699,0.4787979999999976,0,1,1716395237689-9c110cd1-6e87-4e29-a2d2-e1fe3955cfd5-cam-audio-1716395241664,B,0,0,2,0,okay i wrote how we'd would to start this but do you wanna like i don't know do wanna begin or,21.1497,27.9539,0.5,21,18.5961
we'd,22.745699,23.245699,0.3192009999999996,0,1,1716395237689-9c110cd1-6e87-4e29-a2d2-e1fe3955cfd5-cam-audio-1716395241664,B,0,0,2,0,okay i wrote how we'd would to start this but do you wanna like i don't know do wanna begin or,21.1497,27.9539,0.5,21,18.5961
would,23.3841,23.5437,0.6384010000000018,0,1,1716395237689-9c110cd1-6e87-4e29-a2d2-e1fe3955cfd5-cam-audio-1716395241664,B,0,0,2,0,okay i wrote how we'd would to start this but do you wanna like i don't know do wanna begin or,21.1497,27.9539,0.5,21,18.5961
to,23.5437,23.7033,0.159600000000001,0,1,1716395237689-9c110cd1-6e87-4e29-a2d2-e1fe3955cfd5-cam-audio-1716395241664,B,0,0,2,0,okay i wrote how we'd would to start this but do you wanna like i don't know do wanna begin or,21.1497,27.9539,0.5,21,18.5961
