Word,Start Time,End Time,start_time_diff,Speaker_A,Speaker_B,SourceFile,Speaker,Backchannel,Overlap,Turn,Contested,Sent,Turn Start,Turn End,Sentiment,word_count,Time_Boundary
hey,6.12,6.2799997,0.0,1,0,1716394783732-35a17437-324d-4965-bf67-12b11526db68-cam-audio-1716394790503,A,0,0,1,0,hey hello i'm good how are you,6.12,9.96,0.7,7,6.12
hello,6.44,6.7599998,0.3200000000000003,1,0,1716394783732-35a17437-324d-4965-bf67-12b11526db68-cam-audio-1716394790503,A,0,0,1,0,hey hello i'm good how are you,6.12,9.96,0.7,7,6.12
i'm,9.16,9.32,2.72,1,0,1716394783732-35a17437-324d-4965-bf67-12b11526db68-cam-audio-1716394790503,A,0,0,1,0,hey hello i'm good how are you,6.12,9.96,0.7,7,6.12
good,9.32,9.4,0.1600000000000001,1,0,1716394783732-35a17437-324d-4965-bf67-12b11526db68-cam-audio-1716394790503,A,0,0,1,0,hey hello i'm good how are you,6.12,9.96,0.7,7,6.12
how,9.559999,9.639999,0.2399989999999991,1,0,1716394783732-35a17437-324d-4965-bf67-12b11526db68-cam-audio-1716394790503,A,0,0,1,0,hey hello i'm good how are you,6.12,9.96,0.7,7,6.12
are,9.639999,9.8,0.08,1,0,1716394783732-35a17437-324d-4965-bf67-12b11526db68-cam-audio-1716394790503,A,0,0,1,0,hey hello i'm good how are you,6.12,9.96,0.7,7,6.12
you,9.8,9.96,0.1600010000000011,1,0,1716394783732-35a17437-324d-4965-bf67-12b11526db68-cam-audio-1716394790503,A,0,0,1,0,hey hello i'm good how are you,6.12,9.96,0.7,7,6.12
hi,13.46254,13.542436,0.0,0,1,1716394783732-ed6c4b3a-8f91-4de2-a3d7-a52ba60b5dc0-cam-audio-1716394784718,B,0,0,2,0,hi how are you i'm good,13.46254,16.834023,0.7,6,11.71127
how,13.7821245,13.941917,0.3195844999999995,0,1,1716394783732-ed6c4b3a-8f91-4de2-a3d7-a52ba60b5dc0-cam-audio-1716394784718,B,0,0,2,0,hi how are you i'm good,13.46254,16.834023,0.7,6,11.71127
are,13.941917,14.261503,0.1597925,0,1,1716394783732-ed6c4b3a-8f91-4de2-a3d7-a52ba60b5dc0-cam-audio-1716394784718,B,0,0,2,0,hi how are you i'm good,13.46254,16.834023,0.7,6,11.71127
you,14.261503,14.421296,0.3195859999999992,0,1,1716394783732-ed6c4b3a-8f91-4de2-a3d7-a52ba60b5dc0-cam-audio-1716394784718,B,0,0,2,0,hi how are you i'm good,13.46254,16.834023,0.7,6,11.71127
i'm,16.274414,16.59419,2.012911000000001,0,1,1716394783732-ed6c4b3a-8f91-4de2-a3d7-a52ba60b5dc0-cam-audio-1716394784718,B,0,0,2,0,hi how are you i'm good,13.46254,16.834023,0.7,6,11.71127
good,16.59419,16.834023,0.3197760000000009,0,1,1716394783732-ed6c4b3a-8f91-4de2-a3d7-a52ba60b5dc0-cam-audio-1716394784718,B,0,0,2,0,hi how are you i'm good,13.46254,16.834023,0.7,6,11.71127
yeah,17.251057,17.410673,7.451056999999999,1,0,1716394783732-35a17437-324d-4965-bf67-12b11526db68-cam-audio-1716394790503,A,0,0,3,0,yeah we do we do,17.251057,18.52798,0.0,5,17.04254
we,17.650097,17.809711,0.3990399999999994,1,0,1716394783732-35a17437-324d-4965-bf67-12b11526db68-cam-audio-1716394790503,A,0,0,3,0,yeah we do we do,17.251057,18.52798,0.0,5,17.04254
do,17.809711,17.969326,0.1596140000000012,1,0,1716394783732-35a17437-324d-4965-bf67-12b11526db68-cam-audio-1716394790503,A,0,0,3,0,yeah we do we do,17.251057,18.52798,0.0,5,17.04254
