Word,Start Time,End Time,start_time_diff,Speaker_A,Speaker_B,SourceFile,Speaker,Backchannel,Overlap,Turn,Contested,Sent,Turn Start,Turn End,Sentiment,word_count,Time_Boundary
hi,6.2476764,6.6456175,0.0,0,1,1716394940868-5349d99f-1db8-4d3b-9c69-a1fdab8f96eb-cam-audio-1716394943894,B,0,0,1,0,hi,6.2476764,6.6456175,0.0,1,6.2476764
hi,9.4,9.559999,0.0,1,0,1716394940868-b7d813dc-5d36-45e5-b11d-1f13af1ce55e-cam-audio-1716394941842,A,0,0,2,0,hi,9.4,9.559999,0.0,1,8.02280875
where,9.431206,9.510794,3.1835296,0,1,1716394940868-5349d99f-1db8-4d3b-9c69-a1fdab8f96eb-cam-audio-1716394943894,Both,0,1,2,1,where,9.431206,9.510794,0.0,1,9.4956025
am,9.510794,9.6699705,0.0795880000000011,0,1,1716394940868-5349d99f-1db8-4d3b-9c69-a1fdab8f96eb-cam-audio-1716394943894,B,0,0,3,0,am about,9.510794,9.908735,0.0,2,9.510794
about,9.6699705,9.908735,0.1591764999999991,0,1,1716394940868-5349d99f-1db8-4d3b-9c69-a1fdab8f96eb-cam-audio-1716394943894,B,0,0,3,0,am about,9.510794,9.908735,0.0,2,9.510794
are,9.88,10.04,0.4800000000000004,1,0,1716394940868-b7d813dc-5d36-45e5-b11d-1f13af1ce55e-cam-audio-1716394941842,Both,0,1,3,1,are you you,9.88,10.36,0.0,3,9.894367500000001
you,9.908735,10.1475,0.2387645000000002,0,1,1716394940868-5349d99f-1db8-4d3b-9c69-a1fdab8f96eb-cam-audio-1716394943894,Both,0,1,3,1,are you you,9.88,10.36,0.0,3,9.894367500000001
you,10.04,10.36,0.1599999999999983,1,0,1716394940868-b7d813dc-5d36-45e5-b11d-1f13af1ce55e-cam-audio-1716394941842,Both,0,1,3,1,are you you,9.88,10.36,0.0,3,9.894367500000001
i,14.2893,14.369101,4.249300000000002,1,0,1716394940868-b7d813dc-5d36-45e5-b11d-1f13af1ce55e-cam-audio-1716394941842,A,0,0,4,0,i guess we can just start ring yeah okay so i am a leading scientist as you know and i've been doing a lot of research and have restless been working with like the faculty and also like phd students at the university and due to this i've been talking to my doctor he has told me that i'm having issues with my health so i would like to propose a twenty one month gap and break and i believe that this is necessary to my health and also i've been working restless for many years helping students and the faculty so i believe that this time is really needed in addition to that i want to sell my portfolio and this portfolio has the years of research that would really help the university in terms of rank in terms of image and things of by nature so i believe that it is a very valuable piece of information and a lot of other investors are looking into it but i wanna comes to the university first due to my long lasting connection with university and i've been working here for so many years that i just believe that like my research should be should benefit the university instead of other their investors and i am looking to sell it for about four hundred thousand dollars so that is where i wanted talk about today,14.2893,105.15575,0.06666666666666665,235,12.32465
guess,14.369101,14.6085005,0.0798009999999997,1,0,1716394940868-b7d813dc-5d36-45e5-b11d-1f13af1ce55e-cam-audio-1716394941842,A,0,0,4,0,i guess we can just start ring yeah okay so i am a leading scientist as you know and i've been doing a lot of research and have restless been working with like the faculty and also like phd students at the university and due to this i've been talking to my doctor he has told me that i'm having issues with my health so i would like to propose a twenty one month gap and break and i believe that this is necessary to my health and also i've been working restless for many years helping students and the faculty so i believe that this time is really needed in addition to that i want to sell my portfolio and this portfolio has the years of research that would really help the university in terms of rank in terms of image and things of by nature so i believe that it is a very valuable piece of information and a lot of other investors are looking into it but i wanna comes to the university first due to my long lasting connection with university and i've been working here for so many years that i just believe that like my research should be should benefit the university instead of other their investors and i am looking to sell it for about four hundred thousand dollars so that is where i wanted talk about today,14.2893,105.15575,0.06666666666666665,235,12.32465
