Word,Start Time,End Time,start_time_diff,Speaker_A,Speaker_B,SourceFile,Speaker,Backchannel,Overlap,Turn,Contested,Sent,Turn Start,Turn End,Sentiment,word_count,Time_Boundary
ryan,9.8,9.96,0.0,1,0,1716395146310-fa64e36b-7ec5-4b34-95d4-74951a4053de-cam-audio-1716395150123,A,0,0,1,0,ryan,9.8,9.96,0.0,1,9.8
hello,13.986818,14.385303,0.0,0,1,1716395146310-0abd3e3c-46d0-4c64-9be7-99c00a2d7416-cam-audio-1716395147274,B,0,0,2,0,hello okay do we a little bit confused as how,13.986818,25.577175,-0.029166666666666674,10,19.592858
okay,21.093409,21.25276,7.106591000000002,0,1,1716395146310-0abd3e3c-46d0-4c64-9be7-99c00a2d7416-cam-audio-1716395147274,B,0,0,2,0,hello okay do we a little bit confused as how,13.986818,25.577175,-0.029166666666666674,10,19.592858
do,21.491785,21.651136,0.3983759999999989,0,1,1716395146310-0abd3e3c-46d0-4c64-9be7-99c00a2d7416-cam-audio-1716395147274,B,0,0,2,0,hello okay do we a little bit confused as how,13.986818,25.577175,-0.029166666666666674,10,19.592858
we,21.651136,21.810488,0.1593510000000009,0,1,1716395146310-0abd3e3c-46d0-4c64-9be7-99c00a2d7416-cam-audio-1716395147274,B,0,0,2,0,hello okay do we a little bit confused as how,13.986818,25.577175,-0.029166666666666674,10,19.592858
a,23.882046,23.96172,2.230909999999998,0,1,1716395146310-0abd3e3c-46d0-4c64-9be7-99c00a2d7416-cam-audio-1716395147274,B,0,0,2,0,hello okay do we a little bit confused as how,13.986818,25.577175,-0.029166666666666674,10,19.592858
little,23.96172,24.12107,0.0796740000000006,0,1,1716395146310-0abd3e3c-46d0-4c64-9be7-99c00a2d7416-cam-audio-1716395147274,B,0,0,2,0,hello okay do we a little bit confused as how,13.986818,25.577175,-0.029166666666666674,10,19.592858
and,24.083645,24.242966,14.283645,1,0,1716395146310-fa64e36b-7ec5-4b34-95d4-74951a4053de-cam-audio-1716395150123,A,1,0,2,0,and i'm confused to,24.083645,25.198898,-0.4,4,17.0218225
bit,24.12107,24.439774,0.1593499999999998,0,1,1716395146310-0abd3e3c-46d0-4c64-9be7-99c00a2d7416-cam-audio-1716395147274,B,0,1,2,1,hello okay do we a little bit confused as how,13.986818,25.577175,-0.029166666666666674,10,19.592858
i'm,24.402287,24.720932,0.3186420000000005,1,0,1716395146310-fa64e36b-7ec5-4b34-95d4-74951a4053de-cam-audio-1716395150123,A,0,1,2,1,and i'm confused to,24.083645,25.198898,-0.4,4,17.0218225
confused,24.439774,24.678799,0.3187040000000003,0,1,1716395146310-0abd3e3c-46d0-4c64-9be7-99c00a2d7416-cam-audio-1716395147274,B,0,1,2,1,hello okay do we a little bit confused as how,13.986818,25.577175,-0.029166666666666674,10,19.592858
as,24.678799,25.077175,0.2390250000000016,0,1,1716395146310-0abd3e3c-46d0-4c64-9be7-99c00a2d7416-cam-audio-1716395147274,B,0,0,2,1,hello okay do we a little bit confused as how,13.986818,25.577175,-0.029166666666666674,10,19.592858
confused,24.720932,24.959915,0.318645,1,0,1716395146310-fa64e36b-7ec5-4b34-95d4-74951a4053de-cam-audio-1716395150123,A,0,1,2,1,and i'm confused to,24.083645,25.198898,-0.4,4,17.0218225
to,24.959915,25.198898,0.2389829999999975,1,0,1716395146310-fa64e36b-7ec5-4b34-95d4-74951a4053de-cam-audio-1716395150123,A,0,0,2,1,and i'm confused to,24.083645,25.198898,-0.4,4,17.0218225
how,25.077175,25.577175,0.3983759999999989,0,1,1716395146310-0abd3e3c-46d0-4c64-9be7-99c00a2d7416-cam-audio-1716395147274,B,0,1,2,1,hello okay do we a little bit confused as how,13.986818,25.577175,-0.029166666666666674,10,19.592858
this,25.794254,26.03328,0.7170789999999982,0,1,1716395146310-0abd3e3c-46d0-4c64-9be7-99c00a2d7416-cam-audio-1716395147274,B,0,0,3,0,this work so do we just okay so do we i guess do we have first we might have to agree and then do we have to wait the whole thirty minutes to continue,25.794254,56.015697,0.31666666666666665,34,40.949677
work,26.03328,26.272305,0.2390260000000026,0,1,1716395146310-0abd3e3c-46d0-4c64-9be7-99c00a2d7416-cam-audio-1716395147274,B,0,0,3,0,this work so do we just okay so do we i guess do we have first we might have to agree and then do we have to wait the whole thirty minutes to continue,25.794254,56.015697,0.31666666666666665,34,40.949677
so,26.431656,26.670681,0.3983759999999989,0,1,1716395146310-0abd3e3c-46d0-4c64-9be7-99c00a2d7416-cam-audio-1716395147274,B,0,0,3,0,this work so do we just okay so do we i guess do we have first we might have to agree and then do we have to wait the whole thirty minutes to continue,25.794254,56.015697,0.31666666666666665,34,40.949677
do,26.670681,26.830032,0.239024999999998,0,1,1716395146310-0abd3e3c-46d0-4c64-9be7-99c00a2d7416-cam-audio-1716395147274,B,0,0,3,0,this work so do we just okay so do we i guess do we have first we might have to agree and then do we have to wait the whole thirty minutes to continue,25.794254,56.015697,0.31666666666666665,34,40.949677
we,26.830032,26.989384,0.1593510000000009,0,1,1716395146310-0abd3e3c-46d0-4c64-9be7-99c00a2d7416-cam-audio-1716395147274,B,0,0,3,0,this work so do we just okay so do we i guess do we have first we might have to agree and then do we have to wait the whole thirty minutes to continue,25.794254,56.015697,0.31666666666666665,34,40.949677
just,26.989384,27.489384,0.1593520000000019,0,1,1716395146310-0abd3e3c-46d0-4c64-9be7-99c00a2d7416-cam-audio-1716395147274,B,0,0,3,0,this work so do we just okay so do we i guess do we have first we might have to agree and then do we have to wait the whole thirty minutes to continue,25.794254,56.015697,0.31666666666666665,34,40.949677
okay,42.928497,43.0881,15.939113,0,1,1716395146310-0abd3e3c-46d0-4c64-9be7-99c00a2d7416-cam-audio-1716395147274,B,0,0,3,0,this work so do we just okay so do we i guess do we have first we might have to agree and then do we have to wait the whole thirty minutes to continue,25.794254,56.015697,0.31666666666666665,34,40.949677
so,43.3275,43.646698,0.3990030000000004,0,1,1716395146310-0abd3e3c-46d0-4c64-9be7-99c00a2d7416-cam-audio-1716395147274,B,0,0,3,0,this work so do we just okay so do we i guess do we have first we might have to agree and then do we have to wait the whole thirty minutes to continue,25.794254,56.015697,0.31666666666666665,34,40.949677
do,43.646698,43.726498,0.3191980000000001,0,1,1716395146310-0abd3e3c-46d0-4c64-9be7-99c00a2d7416-cam-audio-1716395147274,B,0,0,3,0,this work so do we just okay so do we i guess do we have first we might have to agree and then do we have to wait the whole thirty minutes to continue,25.794254,56.015697,0.31666666666666665,34,40.949677
we,43.726498,43.8861,0.0797999999999987,0,1,1716395146310-0abd3e3c-46d0-4c64-9be7-99c00a2d7416-cam-audio-1716395147274,B,0,0,3,0,this work so do we just okay so do we i guess do we have first we might have to agree and then do we have to wait the whole thirty minutes to continue,25.794254,56.015697,0.31666666666666665,34,40.949677
