Word,Start Time,End Time,start_time_diff,Speaker_A,Speaker_B,SourceFile,Speaker,Backchannel,Overlap,Turn,Contested,Sent,Turn Start,Turn End,Sentiment,word_count,Time_Boundary
hello,19.295,19.535,0.0,1,0,1716394927888-4a39409d-f8dc-4cd3-9218-9b308e546b16-cam-audio-1716394928867,A,0,0,1,0,hello can you hear,19.295,20.175,0.0,4,19.295
can,19.695,19.855,0.3999999999999986,1,0,1716394927888-4a39409d-f8dc-4cd3-9218-9b308e546b16-cam-audio-1716394928867,A,0,0,1,0,hello can you hear,19.295,20.175,0.0,4,19.295
you,19.855,20.015,0.1600000000000001,1,0,1716394927888-4a39409d-f8dc-4cd3-9218-9b308e546b16-cam-audio-1716394928867,A,0,0,1,0,hello can you hear,19.295,20.175,0.0,4,19.295
hear,20.015,20.175,0.1600000000000001,1,0,1716394927888-4a39409d-f8dc-4cd3-9218-9b308e546b16-cam-audio-1716394928867,A,0,0,1,0,hello can you hear,19.295,20.175,0.0,4,19.295
hi,20.076015,20.23561,0.0,0,1,1716394927888-fdb1613a-a308-40c5-a93d-0c8bdf0a422c-cam-audio-1716394929955,Both,0,1,1,1,hi me,20.076015,20.255001,0.0,2,20.1255075
me,20.175,20.255001,0.1600000000000001,1,0,1716394927888-4a39409d-f8dc-4cd3-9218-9b308e546b16-cam-audio-1716394928867,Both,0,1,1,1,hi me,20.076015,20.255001,0.0,2,20.1255075
i,20.475,20.634594,0.3989849999999997,0,1,1716394927888-fdb1613a-a308-40c5-a93d-0c8bdf0a422c-cam-audio-1716394929955,B,0,0,2,0,i can hear you,20.475,21.193172,0.0,4,20.3650005
can,20.634594,20.794188,0.1595939999999984,0,1,1716394927888-fdb1613a-a308-40c5-a93d-0c8bdf0a422c-cam-audio-1716394929955,B,0,0,2,0,i can hear you,20.475,21.193172,0.0,4,20.3650005
hear,20.794188,21.033579,0.1595939999999984,0,1,1716394927888-fdb1613a-a308-40c5-a93d-0c8bdf0a422c-cam-audio-1716394929955,B,0,0,2,0,i can hear you,20.475,21.193172,0.0,4,20.3650005
you,21.033579,21.193172,0.2393910000000012,0,1,1716394927888-fdb1613a-a308-40c5-a93d-0c8bdf0a422c-cam-audio-1716394929955,B,0,0,2,0,i can hear you,20.475,21.193172,0.0,4,20.3650005
i'm,23.215,23.375,3.039999999999999,1,0,1716394927888-4a39409d-f8dc-4cd3-9218-9b308e546b16-cam-audio-1716394928867,A,0,0,3,0,i'm sorry and may may i have your name for the sake of the study gave a camille,23.215,27.055,-0.5,18,22.204086
sorry,23.375,23.455,0.1600000000000001,1,0,1716394927888-4a39409d-f8dc-4cd3-9218-9b308e546b16-cam-audio-1716394928867,A,0,0,3,0,i'm sorry and may may i have your name for the sake of the study gave a camille,23.215,27.055,-0.5,18,22.204086
and,23.695,23.775,0.3200000000000003,1,0,1716394927888-4a39409d-f8dc-4cd3-9218-9b308e546b16-cam-audio-1716394928867,A,0,0,3,0,i'm sorry and may may i have your name for the sake of the study gave a camille,23.215,27.055,-0.5,18,22.204086
may,23.775,23.855,0.0799999999999983,1,0,1716394927888-4a39409d-f8dc-4cd3-9218-9b308e546b16-cam-audio-1716394928867,A,0,0,3,0,i'm sorry and may may i have your name for the sake of the study gave a camille,23.215,27.055,-0.5,18,22.204086
may,24.095001,24.175,0.3200010000000013,1,0,1716394927888-4a39409d-f8dc-4cd3-9218-9b308e546b16-cam-audio-1716394928867,A,0,0,3,0,i'm sorry and may may i have your name for the sake of the study gave a camille,23.215,27.055,-0.5,18,22.204086
i,24.255001,24.335,0.1600000000000001,1,0,1716394927888-4a39409d-f8dc-4cd3-9218-9b308e546b16-cam-audio-1716394928867,A,0,0,3,0,i'm sorry and may may i have your name for the sake of the study gave a camille,23.215,27.055,-0.5,18,22.204086
have,24.335,24.415,0.0799990000000008,1,0,1716394927888-4a39409d-f8dc-4cd3-9218-9b308e546b16-cam-audio-1716394928867,A,0,0,3,0,i'm sorry and may may i have your name for the sake of the study gave a camille,23.215,27.055,-0.5,18,22.204086
your,24.415,24.575,0.0799999999999983,1,0,1716394927888-4a39409d-f8dc-4cd3-9218-9b308e546b16-cam-audio-1716394928867,A,0,0,3,0,i'm sorry and may may i have your name for the sake of the study gave a camille,23.215,27.055,-0.5,18,22.204086
name,24.575,24.975,0.1600000000000001,1,0,1716394927888-4a39409d-f8dc-4cd3-9218-9b308e546b16-cam-audio-1716394928867,A,0,0,3,0,i'm sorry and may may i have your name for the sake of the study gave a camille,23.215,27.055,-0.5,18,22.204086
for,24.975,25.055,0.4000000000000021,1,0,1716394927888-4a39409d-f8dc-4cd3-9218-9b308e546b16-cam-audio-1716394928867,A,0,0,3,0,i'm sorry and may may i have your name for the sake of the study gave a camille,23.215,27.055,-0.5,18,22.204086
the,25.055,25.135,0.0799999999999983,1,0,1716394927888-4a39409d-f8dc-4cd3-9218-9b308e546b16-cam-audio-1716394928867,A,0,0,3,0,i'm sorry and may may i have your name for the sake of the study gave a camille,23.215,27.055,-0.5,18,22.204086
sake,25.135,25.295,0.0800000000000018,1,0,1716394927888-4a39409d-f8dc-4cd3-9218-9b308e546b16-cam-audio-1716394928867,A,0,0,3,0,i'm sorry and may may i have your name for the sake of the study gave a camille,23.215,27.055,-0.5,18,22.204086
of,25.295,25.375,0.1600000000000001,1,0,1716394927888-4a39409d-f8dc-4cd3-9218-9b308e546b16-cam-audio-1716394928867,A,0,0,3,0,i'm sorry and may may i have your name for the sake of the study gave a camille,23.215,27.055,-0.5,18,22.204086
the,25.375,25.615,0.0799999999999983,1,0,1716394927888-4a39409d-f8dc-4cd3-9218-9b308e546b16-cam-audio-1716394928867,A,0,0,3,0,i'm sorry and may may i have your name for the sake of the study gave a camille,23.215,27.055,-0.5,18,22.204086
study,25.615,26.115,0.2399999999999984,1,0,1716394927888-4a39409d-f8dc-4cd3-9218-9b308e546b16-cam-audio-1716394928867,A,0,0,3,0,i'm sorry and may may i have your name for the sake of the study gave a camille,23.215,27.055,-0.5,18,22.204086
