Word,Start Time,End Time,start_time_diff,Speaker_A,Speaker_B,SourceFile,Speaker,Backchannel,Overlap,Turn,Contested,Sent,Turn Start,Turn End,Sentiment,word_count,Time_Boundary
hi,12.255241,12.574596,0.0,0,1,1716396830476-94efdc3a-3f86-41c3-bf7a-fb60f737a28a-cam-audio-1716396831425,B,0,0,1,0,hi,12.255241,12.574596,0.0,1,12.255241
okay,25.505001,25.585,0.0,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,2,0,okay actually start okay i approach my i,25.505001,33.36,0.3333333333333333,8,19.0397985
actually,25.744999,26.065,0.2399979999999999,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,2,0,okay actually start okay i approach my i,25.505001,33.36,0.3333333333333333,8,19.0397985
start,26.065,26.305,0.3200010000000013,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,2,0,okay actually start okay i approach my i,25.505001,33.36,0.3333333333333333,8,19.0397985
okay,29.679998,29.839998,3.614998,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,2,0,okay actually start okay i approach my i,25.505001,33.36,0.3333333333333333,8,19.0397985
i,31.199999,31.439999,1.520000999999997,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,2,0,okay actually start okay i approach my i,25.505001,33.36,0.3333333333333333,8,19.0397985
approach,31.439999,31.839998,0.240000000000002,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,2,0,okay actually start okay i approach my i,25.505001,33.36,0.3333333333333333,8,19.0397985
my,31.839998,32.339996,0.3999990000000011,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,2,0,okay actually start okay i approach my i,25.505001,33.36,0.3333333333333333,8,19.0397985
sure,32.87827,33.19673,20.623029,0,1,1716396830476-94efdc3a-3f86-41c3-bf7a-fb60f737a28a-cam-audio-1716396831425,B,1,0,2,0,sure,32.87827,33.19673,0.5,1,33.119135
i,33.12,33.36,1.280001999999996,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,1,2,1,okay actually start okay i approach my i,25.505001,33.36,0.3333333333333333,8,19.0397985
approach,33.36,33.6,0.240000000000002,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
this,33.6,34.1,0.240000000000002,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
negotiation,35.36,35.68,1.759999999999998,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
with,35.68,35.76,0.3200000000000003,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
the,35.76,35.92,0.0799999999999983,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
