Word,Start Time,End Time,start_time_diff,ClusterID,SegmentID
hi,3.56,4.06,0.0,0,1
okay,14.8550005,15.015,11.295000499999999,0,1
have,15.255,15.495001,0.3999995000000016,0,1
you,15.495001,15.575001,0.24000099999999946,0,1
already,15.575001,15.975,0.08000000000000007,0,1
done,15.975,16.455,0.3999989999999993,0,1
your,16.455,16.955,0.47999999999999865,0,1
deal,17.335,17.655,0.8800000000000026,0,1
notes,17.655,17.975,0.3200000000000003,0,1
i,18.295,18.375,0.6400000000000006,0,1
was,18.375,18.535,0.0799999999999983,0,1
supposed,18.535,18.695,0.16000000000000014,0,1
do,18.695,18.855,0.16000000000000014,0,1
that,18.855,19.175,0.16000000000000014,0,1
beforehand,19.175,19.675,0.3200000000000003,0,1
okay,34.47,34.63,15.294999999999998,0,1
gotcha,40.483715,40.72286,6.013714999999998,0,1
so,40.882286,40.962,0.398571000000004,0,1
i,41.041714,41.20114,0.15942799999999835,0,1
guess,41.20114,41.280857,0.1594260000000034,0,1
we,41.280857,41.440285,0.07971699999999515,0,1
just,41.440285,41.759144,0.15942800000000545,0,1
start,41.759144,42.078,0.31885899999999623,0,1
then,42.078,42.157715,0.3188560000000038,0,1
right,42.39686,42.556286,0.3188599999999937,0,1
okay,55.96317,56.202297,13.566310000000001,0,1
so,56.76026,57.26026,0.7970900000000043,0,1
it's,59.709507,59.948635,2.9492469999999997,0,1
my,59.948635,60.448635,0.2391280000000009,0,1
understanding,60.5066,61.0066,0.5579649999999958,0,1
that,61.064564,61.223984,0.5579639999999984,0,1
you,61.223984,61.54282,0.15942000000000434,0,1
get,61.54282,61.94137,0.31883599999999745,0,1
six,61.94137,62.260204,0.3985500000000002,0,1
months,62.260204,62.760204,0.3188340000000025,0,1
of,62.81817,63.216713,0.5579660000000004,0,1
paid,63.216713,63.45584,0.39854299999999654,0,1
time,63.45584,63.69497,0.23912700000000342,0,1
off,63.69497,64.01381,0.23912999999999585,0,1
at,64.01381,64.173225,0.31884000000000867,0,1
a,64.173225,64.41235,0.15941499999999564,0,1
standard,64.41235,64.89061,0.23912500000000136,0,1
ten,64.89061,65.050026,0.4782599999999917,0,1
thousand,65.050026,65.368866,0.15941600000000733,0,1
dollars,65.368866,65.84712,0.31883999999999446,0,1
per,65.84712,66.08625,0.47825400000000684,0,1
month,66.08625,66.32538,0.23913000000000295,0,1
and,66.32538,66.484795,0.23912999999998874,0,1
you're,66.484795,66.72392,0.15941500000000985,0,1
entitled,66.72392,67.12247,0.23912500000000136,0,1
to,67.12247,67.361595,0.3985500000000002,0,1
that,67.361595,67.52102,0.23912499999998715,0,1
sa,68.095,68.255005,0.7334050000000047,0,1
canonical,68.255005,68.735,0.16000499999999818,0,1
but,68.895004,69.135,0.6399990000000031,0,1
if,69.135,69.295006,0.23999600000000498,0,1
you,69.295006,69.535,0.16000599999999565,0,1
wish,69.535,69.775,0.23999399999999582,0,1
to,69.775,69.935005,0.2400000000000091,0,1
have,69.935005,70.175,0.16000499999999818,0,1
any,70.175,70.415,0.2399949999999933,0,1
more,70.415,70.655,0.2400000000000091,0,1
time,70.655,71.135,0.23999999999999488,0,1
off,71.135,71.295006,0.480000000000004,0,1
then,71.455,71.615005,0.3199999999999932,0,1
that,71.615005,71.775,0.16000499999999818,0,1
would,71.775,71.935005,0.1599950000000092,0,1
have,71.935005,72.095,0.16000499999999818,0,1
to,72.095,72.255005,0.159994999999995,0,1
be,72.255005,72.735,0.16000499999999818,0,1
unpaid,72.735,72.975006,0.4799950000000024,0,1
and,75.375,75.695,2.6400000000000006,0,1
then,75.695,76.195,0.3199999999999932,0,1
the,76.415,76.735,0.7200000000000131,0,1
total,76.735,77.235,0.3199999999999932,0,1
valuation,77.455,77.615005,0.7199999999999989,0,1
of,77.615005,77.855,0.16000499999999818,0,1
your,77.855,78.355,0.2399950000000075,0,1
ip,79.055,79.455,1.2000000000000028,0,1
is,79.455,79.955,0.3999999999999915,0,1
two,80.095,80.255005,0.6400000000000006,0,1
hundred,80.255005,80.415,0.16000499999999818,0,1
and,80.415,80.575005,0.1599950000000092,0,1
seventy,80.575005,81.075005,0.16000499999999818,0,1
five,81.295,81.695,0.7199949999999973,0,1
thousand,81.695,82.175,0.3999999999999915,0,1
dollars,82.175,82.335,0.480000000000004,0,1
is,82.575005,82.735,0.40000500000000727,0,1
that,82.735,83.055,0.159994999999995,0,1
correct,83.055,83.295,0.3200000000000074,0,1
mh,128.45049,128.84927,45.395489999999995,1,2
and,129.08853,129.3278,0.6380399999999895,0,2
so,129.3278,129.56708,0.23927000000000476,0,2
what,129.56708,129.7266,0.23928000000000793,0,2
do,129.7266,129.80634,0.15951999999998634,0,2
you,129.80634,130.04561,0.07974000000001524,0,2
think,130.04561,130.54561,0.23927000000000476,0,2
makes,130.76341,131.08244,0.7177999999999827,0,2
your,131.08244,131.40146,0.3190299999999979,0,2
ip,131.80025,132.27878,0.7178100000000143,0,2
portfolio,132.27878,132.77878,0.47853000000000634,0,2
up,133.63464,133.8739,1.3558599999999785,0,2
to,133.8739,134.11317,0.23926000000000158,0,2
par,134.11317,134.35245,0.23927000000000476,0,2
with,134.35245,134.5917,0.23928000000000793,0,2
the,134.5917,134.83098,0.2392499999999984,0,2
other,134.83098,135.15,0.23928000000000793,0,2
portfolios,135.78806,136.26659,0.9570799999999906,0,2
that,136.26659,136.76659,0.47853000000000634,0,2
researchers,137.15843,137.65843,0.891840000000002,0,2
have,137.71597,138.21597,0.5575399999999888,0,2
gotten,138.67178,138.99037,0.9558100000000138,0,2
that,138.99037,139.30898,0.3185900000000004,0,2
amount,139.30898,139.54793,0.3186099999999783,0,2
for,139.54793,139.70723,0.23895000000001687,0,2
why,139.86653,140.10548,0.31860000000000355,0,2
should,140.10548,140.42407,0.23894999999998845,0,2
yours,140.42407,140.66302,0.3185900000000004,0,2
be,140.66302,140.82233,0.23894999999998845,0,2
valued,140.82233,141.14093,0.15931000000000495,0,2
at,141.14093,141.37988,0.31860000000000355,0,2
that,141.37988,141.69847,0.23895000000001687,0,2
same,142.01707,142.33568,0.6371899999999755,0,2
amount,142.33568,142.57463,0.3186100000000067,0,2
mh,199.48999,199.96999,57.15431000000001,1,3
so,201.73,201.96999,2.240009999999984,0,3
would,201.96999,202.12999,0.23999000000000592,0,3
you,202.12999,202.29,0.1599999999999966,0,3
say,202.29,202.68999,0.16000999999999976,0,3
as,202.68999,202.84999,0.3999900000000025,0,3
a,202.84999,203.34999,0.1599999999999966,0,3
scientist,203.40999,203.90999,0.5600000000000023,0,3
and,204.12999,204.60999,0.7199999999999989,0,3
researcher,204.60999,205.01,0.4800000000000182,0,3
your,205.32999,205.82999,0.7199999999999989,0,3
main,205.96999,206.29,0.6399999999999864,0,3
goal,206.29,206.68999,0.32000999999999635,0,3
is,206.68999,206.84999,0.3999900000000025,0,3
to,206.84999,207.32999,0.1599999999999966,0,3
produce,207.32999,207.82999,0.4800000000000182,0,3
quality,207.96999,208.46999,0.6399999999999864,0,3
research,208.76999,209.25,0.8000000000000114,0,3
or,209.25,209.56999,0.48000999999999294,0,3
to,209.56999,209.73,0.31998999999999,0,3
get,209.73,209.81,0.16000999999999976,0,3
it,209.81,210.04999,0.0800000000000125,0,3
payout,210.04999,210.37,0.23999000000000592,0,3
produce,216.92455,217.16364,6.8745600000000024,0,3
quality,217.16364,217.64182,0.23908999999997604,0,3
research,217.64182,217.8809,0.47818000000000893,0,3
definitely,218.51848,218.91696,0.8766600000000153,0,3
that,219.07635,219.23575,0.5578699999999799,0,3
makes,219.23575,219.47485,0.1594000000000051,0,3
sense,219.47485,219.71394,0.23910000000000764,0,3
so,221.30788,221.62666,1.833030000000008,0,3
in,221.62666,221.78606,0.3187799999999754,0,3
order,221.78606,222.02515,0.1594000000000051,0,3
to,222.02515,222.42363,0.23909000000000447,0,3
produce,222.42363,222.82211,0.3984800000000064,0,3
quality,222.82211,223.32211,0.3984800000000064,0,3
research,223.38,223.5394,0.5578899999999862,0,3
obviously,223.93788,224.09727,0.5578800000000115,0,3
you're,224.25667,224.41606,0.318790000000007,0,3
a,224.41606,224.65515,0.1593899999999735,0,3
very,224.65515,224.81454,0.23909000000000447,0,3
valued,224.81454,225.29272,0.15939000000000192,0,3
faculty,225.29272,225.69121,0.47818000000000893,0,3
member,225.69121,226.01,0.39849000000000956,0,3
at,226.01,226.08969,0.3187899999999786,0,3
our,226.08969,226.24908,0.07968999999999937,0,3
university,226.24908,226.74908,0.15939000000000192,0,3
and,227.78,227.94,1.530920000000009,0,3
we'd,227.94,228.09999,0.1599999999999966,0,3
love,228.09999,228.26,0.15998999999999342,0,3
to,228.26,228.5,0.16000999999999976,0,3
keep,228.5,228.58,0.2400000000000091,0,3
you,228.58,228.73999,0.0800000000000125,0,3
on,228.73999,228.9,0.15998999999999342,0,3
and,228.9,229.14,0.16000999999999976,0,3
support,229.14,229.37999,0.23999999999998067,0,3
you,229.37999,229.7,0.23999000000000592,0,3
in,229.7,230.2,0.32000999999999635,0,3
in,230.34,230.58,0.6400000000000148,0,3
what,230.58,230.73999,0.2400000000000091,0,3
that,230.73999,231.06,0.15998999999999342,0,3
is,231.06,231.3,0.32000999999999635,0,3
and,231.94,232.09999,0.8799999999999955,0,3
so,232.09999,232.34,0.15998999999999342,0,3
since,232.34,232.58,0.24001000000001227,0,3
your,232.58,232.81999,0.2400000000000091,0,3
ultimate,232.81999,233.3,0.2399899999999775,0,3
goal,233.3,233.62,0.48001000000002136,0,3
is,233.62,233.78,0.3199999999999932,0,3
to,233.78,234.09999,0.1599999999999966,0,3
produce,234.09999,234.42,0.31998999999999,0,3
quality,234.42,234.92,0.32000999999999635,0,3
research,234.98,235.3,0.5600000000000023,0,3
and,235.3,235.37999,0.3200000000000216,0,3
you're,235.37999,235.62,0.07998999999998091,0,3
obviously,235.62,235.86,0.24001000000001227,0,3
very,235.86,236.09999,0.2400000000000091,0,3
dedicated,236.09999,236.58,0.2399899999999775,0,3
to,236.58,236.66,0.48001000000002136,0,3
your,236.66,236.98,0.07999999999998408,0,3
studies,236.98,237.37999,0.3199999999999932,0,3
some,239.55449,239.8737,2.5744899999999973,0,3
paid,239.8737,240.1929,0.31921000000002664,0,3
time,240.1929,240.4323,0.31919999999999504,0,3
off,240.4323,240.8313,0.23939999999998918,0,3
such,240.8313,240.99089,0.3990000000000009,0,3
as,240.99089,241.31009,0.15959000000000856,0,3
a,241.31009,241.4697,0.31919999999999504,0,3
sa,241.4697,241.6293,0.15960999999998648,0,3
article,241.6293,242.1293,0.15960000000001173,0,3
for,242.1879,242.34749,0.5586000000000126,0,3
however,242.34749,242.6667,0.15958999999998014,0,3
many,242.6667,242.9061,0.3192099999999982,0,3
months,242.9061,243.4061,0.2394000000000176,0,3
you,243.5445,243.7041,0.6383999999999901,0,3
needed,243.7041,244.0233,0.15960000000001173,0,3
in,244.0233,244.2627,0.31919999999999504,0,3
order,244.2627,244.3425,0.23939999999998918,0,3
to,244.3425,244.7415,0.07980000000000587,0,3
continue,244.7415,245.0607,0.3990000000000009,0,3
working,245.0607,245.3799,0.31919999999999504,0,3
on,245.3799,245.53949,0.31919999999999504,0,3
your,245.53949,245.6991,0.15959000000000856,0,3
project,245.6991,246.0981,0.15960999999998648,0,3
that,246.0981,246.25769,0.3990000000000009,0,3
you've,246.25769,246.75769,0.15959000000000856,0,3
mentioned,246.8163,247.3163,0.5586100000000158,0,3
and,247.7739,248.0931,0.9575999999999851,0,3
continue,248.0931,248.4921,0.31919999999999504,0,3
kind,248.4921,248.6517,0.3990000000000009,0,3
of,248.6517,248.8113,0.15960000000001173,0,3
making,248.8113,249.05069,0.1595999999999833,0,3
your,249.05069,249.2103,0.23939000000001442,0,3
mark,249.2103,249.44969,0.15960999999998648,0,3
on,249.44969,249.6093,0.23939000000001442,0,3
the,249.6093,249.6891,0.15960999999998648,0,3
science,249.76889,250.08809,0.15959000000000856,0,3
world,250.08809,250.40729,0.31919999999999504,0,3
seems,250.40729,250.90729,0.31919999999999504,0,3
more,251.12549,251.62549,0.7182000000000244,0,3
necessary,251.84369,252.34369,0.718199999999996,0,3
rather,252.56189,253.0407,0.718199999999996,0,3
than,253.0407,253.20029,0.47880999999998153,0,3
just,253.20029,253.4397,0.15959000000000856,0,3
a,253.4397,253.6791,0.23940999999999235,0,3
lump,253.6791,253.91849,0.2394000000000176,0,3
sum,253.91849,254.0781,0.239389999999986,0,3
of,254.0781,254.2377,0.1596100000000149,0,3
money,254.2377,254.4771,0.1595999999999833,0,3
wouldn't,254.4771,254.71649,0.2394000000000176,0,3
you,254.71649,254.9559,0.239389999999986,0,3
agree,254.9559,255.1155,0.23941000000002077,0,3
yep,293.93475,294.0941,38.978849999999994,1,4
definitely,294.3331,294.8331,0.39834999999999354,0,4
i,300.9589,301.19778,6.625800000000027,0,4
definitely,301.19778,301.69778,0.23887999999999465,0,4
agree,301.8348,301.99408,0.63701999999995,0,4
with,301.99408,302.0737,0.15928000000002385,0,4
that,302.0737,302.23297,0.07961999999997715,0,4
i,302.3922,302.55148,0.31850000000002865,0,4
definitely,302.55148,302.94962,0.15928000000002385,0,4
agree,302.94962,303.1089,0.3981399999999553,0,4
with,303.1089,303.26816,0.15928000000002385,0,4
that,303.26816,303.4274,0.1592600000000175,0,4
yep,330.665,330.745,27.396839999999997,1,5
definitely,331.065,331.30502,0.39999999999997726,0,5
that,331.545,331.70502,0.4800000000000182,0,5
sounds,331.70502,332.105,0.16001999999997452,0,5
great,332.105,332.265,0.39998000000002776,0,5
as,332.745,332.98502,0.6399999999999864,0,5
the,332.98502,333.14502,0.24002000000001544,0,5
university,333.14502,333.64502,0.15999999999996817,0,5
and,333.86502,334.02502,0.7200000000000273,0,5
as,334.02502,334.105,0.15999999999996817,0,5
a,334.105,334.42502,0.07998000000003458,0,5
representative,334.42502,334.665,0.3200199999999995,0,5
of,334.665,334.745,0.23998000000000275,0,5
the,334.745,334.905,0.07999999999998408,0,5
university,334.905,335.405,0.15999999999996817,0,5
obviously,336.185,336.42502,1.2800000000000296,0,5
we,336.665,336.825,0.4800000000000182,0,5
put,336.825,337.14502,0.15999999999996817,0,5
the,337.14502,337.30502,0.3200199999999995,0,5
physical,337.30502,337.545,0.160000000000025,0,5
and,337.545,337.70502,0.23998000000000275,0,5
mental,337.70502,338.02502,0.16001999999997452,0,5
health,338.02502,338.42502,0.3199999999999932,0,5
of,338.42502,338.58502,0.4000000000000341,0,5
our,338.58502,338.825,0.15999999999996817,0,5
faculty,338.825,339.325,0.23998000000000275,0,5
first,340.19855,340.43756,1.373550000000023,0,5
however,340.67657,340.9953,0.478020000000015,0,5
i'm,341.2343,341.553,0.5577299999999923,0,5
only,341.553,342.053,0.31869999999997844,0,5
authorized,342.27008,342.77008,0.7170800000000099,0,5
to,343.06683,343.56683,0.7967499999999745,0,5
offer,343.70425,344.20425,0.6374200000000201,0,5
payment,344.26196,344.76196,0.5577099999999859,0,5
for,345.29776,345.77582,1.0357999999999947,0,5
the,345.77582,346.27582,0.4780600000000277,0,5
intellectual,346.33353,346.4929,0.5577099999999859,0,5
and,346.4929,346.9929,0.159370000000024,0,5
academic,347.0506,347.36932,0.5576999999999543,0,5
and,347.36932,347.52866,0.31872000000004164,0,5
monetary,347.52866,348.02866,0.15933999999998605,0,5
value,348.0864,348.5864,0.5577400000000239,0,5
of,348.6441,348.88315,0.5576999999999543,0,5
your,348.88315,349.12216,0.2390500000000202,0,5
ip,349.60022,349.83926,0.7170699999999783,0,5
so,350.23764,350.63602,0.6374200000000201,0,5
the,350.63602,350.87503,0.39837999999997464,0,5
university,350.87503,351.37503,0.2390100000000075,0,5
has,351.51242,352.01242,0.637390000000039,0,5
kind,352.32422,352.48358,0.8118000000000052,0,5
of,352.48358,352.72263,0.1593599999999924,0,5
analysts,352.72263,353.12103,0.23904999999996335,0,5
of,353.12103,353.2804,0.39840000000003783,0,5
its,353.2804,353.51944,0.15936999999996715,0,5
own,353.51944,353.83817,0.2390399999999886,0,5
and,353.83817,353.99753,0.3187300000000164,0,5
evaluator,353.99753,354.49753,0.1593599999999924,0,5
of,354.635,354.79437,0.6374700000000075,0,5
its,354.79437,355.03342,0.159370000000024,0,5
own,355.03342,355.27246,0.23904999999996335,0,5
and,357.10516,357.26453,2.071740000000034,0,5
that's,357.26453,357.50357,0.15936999999996715,0,5
not,357.50357,357.66293,0.23904000000004544,0,5
to,357.66293,357.8223,0.1593599999999924,0,5
say,357.8223,358.14102,0.15936999999996715,0,5
that,358.14102,358.38007,0.31872000000004164,0,5
the,358.38007,358.53943,0.23904999999996335,0,5
price,358.53943,358.69882,0.1593599999999924,0,5
of,358.69882,358.7785,0.15939000000003034,0,5
the,358.7785,358.8582,0.0796799999999962,0,5
ip,359.09723,359.41595,0.3187300000000164,0,5
portfolio,359.41595,359.81436,0.3187199999999848,0,5
doesn't,359.81436,360.31436,0.3984100000000126,0,5
you,360.92993,361.0893,1.115569999999991,0,5
know,361.0893,361.16898,0.15936999999996715,0,5
is,361.32834,361.64706,0.23904000000004544,0,5
is,361.64706,361.80643,0.3187199999999848,0,5
your,361.80643,362.20483,0.15936999999996715,0,5
complete,362.20483,362.52356,0.39840000000003783,0,5
value,362.52356,362.76263,0.31872999999995955,0,5
obviously,363.08136,363.24072,0.5578000000000429,0,5
you,363.4001,363.47977,0.31873999999999114,0,5
have,363.47977,363.7188,0.0796699999999646,0,5
so,363.7188,363.7985,0.23903000000001384,0,5
much,363.7985,364.03754,0.07970000000000255,0,5
more,364.03754,364.53754,0.2390399999999886,0,5
potential,364.5953,364.91406,0.5577600000000302,0,5
and,364.91406,365.07343,0.3187599999999975,0,5
we,365.07343,365.31247,0.15936999999996715,0,5
hope,365.31247,365.47183,0.23904000000004544,0,5
that,365.47183,365.71088,0.1593599999999924,0,5
you,365.71088,365.79056,0.23904999999996335,0,5
can,365.79056,366.0296,0.07968000000005304,0,5
