Word,Start Time,End Time,start_time_diff
can,41.397675,41.556976,0.0
you,41.556976,41.795925,0.15930099999999925
hear,41.795925,41.955223,0.23894899999999808
me,41.955223,42.114525,0.15929799999999972
yeah,48.108093,48.26768,6.15287
i,48.507065,48.586857,0.39897200000000055
can,48.586857,48.746445,0.07979200000000475
see,48.746445,48.906033,0.1595879999999994
you,48.906033,49.06562,0.1595879999999994
three,51.619022,52.119022,2.7129890000000003
k,56.486443,56.80562,4.867421
yes,64.00125,64.32034,7.514806999999998
mh,73.573975,74.073975,9.572725000000005
yeah,132.4106,132.73018,58.836624999999984
so,133.28946,133.44925,0.8788600000000031
i'm,133.52914,133.60904,0.2396800000000212
very,133.60904,133.92862,0.07989999999998076
passionate,133.92862,134.32811,0.319580000000002
about,134.32811,134.5678,0.39949000000001433
what,134.5678,134.64769,0.23968999999999596
i,134.72758,134.88739,0.1597799999999836
do,134.88739,135.20697,0.15981000000002155
as,135.20697,135.36676,0.319580000000002
a,135.36676,135.60645,0.15978999999998678
faculty,135.60645,136.08583,0.23968999999999596
here,136.08583,136.24562,0.4793799999999919
i,136.8049,136.96469,0.7190700000000163
have,136.96469,137.12448,0.15978999999998678
you,137.28427,137.36417,0.319580000000002
know,137.36417,137.44406,0.07990000000000919
a,137.60387,137.68376,0.23969999999999914
lot,137.68376,137.84355,0.07989000000000601
of,137.84355,138.00334,0.15978999999998678
creativity,138.00334,138.40282,0.1597900000000152
a,138.48273,138.64252,0.4793899999999951
lot,138.64252,138.72241,0.15978999999998678
of,138.72241,139.20178,0.07989000000000601
publications,139.20178,139.44148,0.47937000000001717
and,139.44148,139.68117,0.23969999999999914
patents,139.68117,140.00075,0.23968999999999596
and,140.56003,140.79971,0.8788600000000031
so,140.79971,140.9595,0.2396799999999928
i,141.0394,141.1992,0.23968999999999596
think,141.1992,141.43889,0.15979999999998995
that,141.43889,141.67857,0.23968999999999596
taking,141.67857,141.91826,0.2396800000000212
this,141.91826,142.15796,0.23968999999999596
about,142.15796,142.55743,0.23969999999999914
would,142.55743,142.79712,0.399470000000008
really,142.79712,143.11671,0.23968999999999596
help,143.11671,143.2765,0.31959000000000515
me,143.2765,143.67598,0.15978999999998678
sort,144.5697,144.7293,1.293200000000013
of,144.7293,144.9687,0.1595999999999833
propel,144.9687,145.2081,0.2394000000000176
what,145.2081,145.36769,0.23939999999998918
i,145.4475,145.6071,0.23939999999998918
can,145.6071,145.68689,0.15960000000001173
do,145.68689,146.0061,0.07979000000000269
if,146.0061,146.08589,0.3192099999999982
when,146.40509,146.4849,0.39898999999999774
i,146.5647,146.7243,0.15960999999998648
come,146.7243,146.8041,0.15960000000001173
back,146.8041,146.9637,0.07980000000000587
to,146.9637,147.12329,0.1595999999999833
the,147.12329,147.2031,0.15959000000000856
university,147.2031,147.7031,0.07981000000000904
so,148.5597,148.9587,1.356599999999986
right,148.9587,149.1183,0.3990000000000009
so,149.8365,149.9961,0.8778000000000077
in,150.4749,150.63449,0.6383999999999901
total,150.63449,150.7941,0.15959000000000856
i,151.0335,151.1133,0.3990100000000041
was,151.1133,151.2729,0.07980000000000587
doing,151.2729,151.5921,0.1595999999999833
some,151.5921,152.07089,0.31919999999999504
financial,152.07089,152.57089,0.4787900000000036
calculations,152.70929,153.10829,0.6384000000000185
and,153.10829,153.60829,0.3990000000000009
overall,155.58209,155.7417,2.473799999999983
based,156.5397,156.6993,0.9576100000000167
on,156.6993,157.0185,0.1595999999999833
my,157.0185,157.0983,0.31919999999999504
numbers,157.0983,157.33769,0.07980000000000587
i,157.5771,157.65689,0.4788000000000068
need,157.65689,157.8165,0.07979000000000269
at,157.8165,158.0559,0.15960999999998648
least,158.0559,158.37509,0.2394000000000176
three,158.69429,158.8539,0.6383899999999869
hundred,158.8539,159.09329,0.1596100000000149
and,159.09329,159.1731,0.239389999999986
fifty,159.1731,159.4923,0.07981000000000904
five,159.4923,159.6519,0.31919999999999504
grants,159.6519,159.8913,0.15960000000001173
grant,160.94435,161.42375,1.292449999999974
for,161.90314,162.14284,0.9587900000000218
to,162.38254,162.54234,0.47939999999999827
fund,162.54234,162.86194,0.15979999999998995
my,162.86194,163.18153,0.3196000000000083
entire,163.18153,163.50113,0.31959000000000515
article,163.50113,163.90063,0.3195999999999799
and,164.61972,164.69963,1.1185900000000117
i,164.85942,164.93933,0.23969999999999914
have,164.93933,165.25893,0.07991000000001236
a,165.25893,165.49863,0.3195999999999799
laid,165.49863,165.65842,0.23969999999999914
out,165.65842,165.89812,0.1597900000000152
plan,165.89812,166.21771,0.23969999999999914
for,166.21771,166.45741,0.31959000000000515
how,166.45741,166.93681,0.23969999999999914
i'm,167.25641,167.41621,0.7989999999999782
going,167.41621,167.576,0.15980000000001837
to,167.576,167.65591,0.15978999999998678
go,167.65591,167.8157,0.07991000000001236
about,167.8157,167.8956,0.15978999999998678
it,167.8956,168.0554,0.07990000000000919
so,168.1353,168.375,0.23969999999999914
nine,168.375,168.6147,0.23969999999999914
months,168.6147,168.7745,0.23969999999999914
i'm,169.0941,169.25389,0.47939999999999827
going,169.25389,169.5735,0.1597900000000152
to,169.5735,170.0735,0.3196099999999831
