Word,Start Time,End Time,start_time_diff
how,52.136623,52.375523,0.0
much,52.375523,52.694057,0.238900000000001
okay,84.14486,84.38453,31.769336999999993
yeah,108.7204,108.800026,24.575540000000004
i,109.03891,109.11854,0.3185100000000034
can,109.11854,109.277794,0.07962999999999454
hear,109.277794,109.43705,0.15925400000000423
you,109.43705,109.51668,0.15925599999999918
not,110.488235,110.647766,1.0511850000000038
able,110.647766,110.8073,0.1595310000000012
to,110.8073,110.96682,0.15953399999999363
see,110.96682,111.046585,0.15952000000000055
you,111.046585,111.206116,0.07976499999999476
though,111.206116,111.36565,0.1595310000000012
can,111.60494,111.68471,0.39882400000000473
you,111.68471,112.00376,0.07976999999999634
can,112.00376,112.08353,0.3190500000000043
you,112.08353,112.16329,0.07976999999999634
see,112.16329,112.32282,0.07976000000000738
me,112.32282,112.48235,0.1595299999999895
oh,114.71577,114.79553,2.3929500000000132
okay,115.03482,115.19435,0.31904999999999006
great,115.67294,115.91223,0.6381200000000007
hi,116.550354,116.63012,0.8774140000000017
hi,120.77788,121.01717,4.2275259999999975
there,121.01717,121.176704,0.2392899999999969
so,125.58072,125.90008,4.563550000000006
i've,126.05975,126.21943,0.4790299999999945
been,126.21943,126.53879,0.1596800000000087
assigned,126.53879,126.85814,0.3193600000000032
the,126.85814,127.01782,0.31935
role,127.01782,127.33717,0.1596799999999945
of,127.33717,127.49685,0.31935
the,127.49685,127.99685,0.1596799999999945
provost,128.05573,128.53476,0.5588800000000163
and,129.81218,130.13153,1.756450000000001
my,130.85008,131.00975,1.0378999999999792
main,131.00975,131.24927,0.15967000000000553
goal,131.24927,131.48878,0.23951999999999884
is,131.48878,131.7283,0.23950999999999567
to,131.7283,131.96782,0.23951999999999884
retain,132.68637,133.1654,0.9580700000000206
you,133.1654,133.56459,0.4790299999999945
as,133.56459,133.72427,0.3991900000000044
a,133.72427,133.96379,0.15967999999998028
stellar,133.96379,134.44283,0.23951999999999884
faculty,134.44283,134.92184,0.4790399999999977
member,134.92184,135.42184,0.4790100000000166
within,136.91782,137.23717,1.995980000000003
the,137.23717,137.39685,0.3193499999999858
university,137.39685,137.89685,0.1596800000000087
so,139.40518,139.90518,2.008330000000001
well,140.44054,140.52019,1.0353599999999972
first,140.67946,140.75911,0.23892000000000735
i,140.99803,141.07768,0.318569999999994
would,141.07768,141.23697,0.07964999999998668
like,141.23697,141.47589,0.15929000000002702
to,141.47589,141.63518,0.23891999999997893
opening,142.43161,142.82982,0.9557200000000137
by,142.82982,142.9891,0.39821000000000595
saying,142.9891,143.22804,0.15927999999999543
that,143.22804,143.46696,0.23893999999998528
you,143.46696,143.62625,0.23892000000000735
were,143.62625,143.78554,0.1592899999999986
very,143.78554,144.02446,0.1592899999999986
you,144.10411,144.18375,0.318569999999994
know,144.18375,144.34303,0.07964000000001192
valuable,144.58197,145.05983,0.3982200000000091
asset,145.05983,145.37839,0.4778599999999926
to,145.37839,145.53767,0.31855999999999085
the,145.53767,145.61732,0.15927999999999543
university,145.61732,146.09518,0.0796500000000151
so,146.25447,146.4934,0.6371499999999912
we,146.4934,146.65268,0.23893000000001052
would,146.65268,146.8916,0.15927999999999543
very,146.8916,147.13054,0.23892000000000735
much,147.13054,147.36946,0.23893999999998528
want,147.36946,147.68803,0.23892000000000735
you,147.68803,147.92697,0.318569999999994
to,147.92697,148.1659,0.2389400000000137
stay,148.1659,148.40482,0.2389299999999821
with,148.40482,148.72339,0.23892000000000735
us,148.72339,148.88268,0.318569999999994
and,149.99768,150.31625,1.2742900000000077
as,150.87375,151.11269,0.8760699999999986
you,151.11269,151.27197,0.23893999999998528
know,151.27197,151.43124,0.15928000000002385
the,152.005,152.085,0.7330299999999852
university,152.16501,152.66501,0.16000999999999976
has,152.725,152.88501,0.5599899999999991
a,152.88501,153.04501,0.16000999999999976
very,153.04501,153.285,0.1599999999999966
open,153.285,153.785,0.23999000000000592
and,153.845,154.005,0.5600000000000023
a,154.485,154.645,0.6400000000000148
very,154.645,155.145,0.1599999999999966
nurturing,155.205,155.68501,0.5600000000000023
environment,155.68501,156.16501,0.48000999999999294
for,156.16501,156.32501,0.47999999999998977
both,156.32501,156.645,0.1599999999999966
you,156.645,156.96501,0.3199900000000184
and,156.96501,157.125,0.32000999999999635
your,157.125,157.365,0.15998999999999342
studies,157.365,157.68501,0.2400000000000091
and,158.485,158.725,1.1200000000000045
we're,158.725,158.96501,0.23999999999998067
very,158.96501,159.46501,0.24001000000001227
much,159.52501,159.845,0.5600000000000023
honest,161.765,162.16501,2.2399899999999775
with,162.16501,162.32501,0.40001000000000886
you,162.32501,162.405,0.1599999999999966
given,162.96501,163.285,0.6400000000000148
the,163.285,163.365,0.31998999999999
current,163.93971,164.25923,0.6547099999999944
circumstances,164.25923,164.75923,0.31952000000001135
you,165.53734,165.61722,1.278109999999998
know,165.61722,165.69711,0.07988000000000284
both,165.85687,166.17639,0.23964999999998327
within,166.17639,166.49593,0.31952000000001135
the,166.49593,166.65569,0.3195399999999893
university,166.65569,167.13498,0.15976000000000568
and,167.13498,167.53438,0.4792900000000202
outside,167.53438,167.69415,0.39939999999998577
of,167.69415,167.93379,0.15977000000000885
the,167.93379,168.17343,0.2396399999999801
society,168.57285,168.89236,0.6390600000000006
right,168.89236,169.05214,0.3195100000000082
now,169.05214,169.2119,0.15978000000001202
we,169.6912,169.93083,0.6390600000000006
will,169.93083,170.33025,0.23962999999997692
try,170.33025,170.49,0.39942000000002054
to,170.49,170.64977,0.1597500000000025
show,170.64977,170.9693,0.15976999999998043
our,170.9693,171.20894,0.3195300000000145
we,171.44858,171.68823,0.4792799999999886
are,171.68823,171.92787,0.2396500000000117
willing,171.92787,172.16753,0.2396400000000085
to,172.16753,172.32729,0.23965999999998644
show,172.32729,172.48705,0.15976000000000568
our,172.48705,172.6468,0.15976000000000568
best,172.6468,173.1468,0.1597500000000025
offer,173.20598,173.6054,0.5591799999999978
to,173.6054,174.00479,0.3994199999999921
retain,174.00479,174.16457,0.399390000000011
you,174.16457,174.66457,0.1597799999999836
after,175.12314,175.62314,0.9585700000000088
the,175.68231,175.76219,0.5591699999999946
you,177.45436,177.5341,1.7720500000000072
know,177.5341,177.61385,0.07973999999998682
this,177.9328,178.17203,0.39869999999999095
opportunity,179.52762,179.84659,1.594820000000027
that,179.84659,180.08582,0.3189699999999789
you,180.08582,180.24529,0.23923000000002048
might,180.24529,180.40477,0.1594699999999989
have,180.40477,180.644,0.15948000000000206
as,180.644,180.80348,0.23922999999999206
this,180.80348,181.0427,0.15948000000000206
historical,181.0427,181.52115,0.23921999999998889
working,182.3983,182.87674,1.3556000000000097
outside,182.87674,183.03622,0.4784400000000062
of,183.03622,183.11597,0.15947999999997364
the,183.11597,183.27545,0.07975000000001842
university,183.27545,183.75389,0.15948000000000206
for,183.75389,183.91338,0.4784400000000062
period,183.91338,184.07286,0.15948999999997682
of,184.07286,184.31207,0.15948000000000206
time,184.31207,184.47156,0.23921000000001413
so,185.66768,186.06638,1.3556099999999844
what,186.06638,186.22586,0.39870000000001937
do,186.22586,186.3056,0.15948000000000206
you,186.3056,186.54483,0.07973999999998682
have,186.54483,186.7043,0.23922999999999206
in,186.7043,186.86378,0.1594699999999989
mind,186.86378,187.02327,0.15948000000000206
do,187.18275,187.34224,0.3189700000000073
you,187.34224,187.50171,0.15949000000000524
have,187.50171,187.6612,0.1594699999999989
anything,187.6612,187.98016,0.15949000000000524
or,188.93706,189.25601,1.2758599999999944
like,189.4155,189.57498,0.4784400000000062
you,189.73447,189.81421,0.3189699999999789
know,189.81421,189.97368,0.07974000000001524
numbers,190.77109,191.1698,0.956879999999984
that,191.1698,191.40903,0.39871000000002255
you,191.40903,191.5685,0.23922999999999206
might,191.5685,191.88747,0.1594699999999989
wanted,191.88747,192.1267,0.3189700000000073
to,192.1267,192.6267,0.23922999999999206
we're,192.85918,193.0982,0.7324800000000096
more,193.0982,193.17787,0.23901999999998225
than,193.17787,193.41689,0.07967000000002145
happy,193.41689,193.73558,0.23901999999998225
to,193.73558,193.89493,0.3186900000000037
to,193.89493,194.21361,0.15934999999998922
to,194.21361,194.5323,0.3186800000000005
to,194.5323,194.85098,0.3186900000000037
work,194.85098,195.35098,0.3186800000000005
with,195.56804,195.80705,0.7170600000000036
you,195.80705,195.9664,0.2390100000000075
on,195.9664,196.20541,0.15934999999998922
that,196.20541,196.36476,0.2390100000000075
so,197.00214,197.24115,0.7967299999999966
mh,202.49951,202.97754,5.497369999999989
mh,206.48312,206.88148,3.983610000000027
right,214.22865,214.38805,7.745529999999974
right,214.62714,214.86624,0.39849000000000956
mh,219.48877,219.88727,4.861629999999991
you,269.37314,269.53284,49.88436999999999
were,269.53284,269.6925,0.15970000000004347
saying,269.6925,269.85217,0.15965999999997393
it's,269.85217,270.0917,0.15967000000000553
three,270.0917,270.25137,0.23953000000000202
hundred,270.25137,270.41104,0.15967000000000553
and,270.41104,270.57074,0.15967000000000553
fifty,270.57074,270.81024,0.15969999999998663
five,270.81024,271.04977,0.23950000000002092
grand,271.3691,271.60864,0.5588599999999815
right,271.84814,272.0078,0.4790399999999977
got,273.76428,273.92395,1.9161399999999844
it,273.92395,274.08362,0.15967000000000553
thank,274.64252,274.88202,0.7185699999999997
you,274.88202,275.0417,0.23950000000002092
i'm,275.28122,275.52072,0.39920000000000755
just,275.52072,275.68042,0.23949999999996407
gonna,275.68042,275.91992,0.15970000000004347
take,275.91992,276.15945,0.23949999999996407
that,276.15945,276.39896,0.23953000000000202
down,276.39896,276.55862,0.23950999999999567
so,277.83606,278.33606,1.4370999999999867
i,278.88864,279.04822,1.0525800000000345
i,279.2078,279.52695,0.31916000000001077
definitely,279.52695,280.02695,0.3191499999999792
appreciate,280.08548,280.32486,0.5585300000000188
your,280.32486,280.48444,0.23937999999998283
efforts,280.48444,280.80362,0.15958000000000538
and,280.80362,281.04297,0.3191800000000171
and,281.04297,281.36215,0.23935000000000173
your,281.36215,281.6015,0.3191799999999603
ability,282.08026,282.31964,0.7181100000000242
of,282.31964,282.559,0.23937999999998283
bringing,282.559,282.87817,0.23936000000003332
all,282.87817,283.11752,0.3191699999999855
the,283.11752,283.3569,0.23935000000000173
resources,283.3569,283.75586,0.23937999999998283
and,283.75586,283.91544,0.3989599999999882
all,283.91544,284.15482,0.15958000000000538
your,284.15482,284.2346,0.23937999999998283
work,285.19208,285.67084,1.0372600000000034
here,285.67084,285.99,0.4787600000000225
at,285.99,286.22937,0.31916000000001077
at,286.22937,286.38895,0.23937000000000808
the,286.38895,286.46875,0.15958000000000538
university,286.54852,287.02728,0.1595699999999738
but,287.82516,288.32516,1.2766399999999862
just,289.5008,289.66037,1.675640000000044
a,289.66037,289.74014,0.1595699999999738
couple,289.74014,289.97952,0.07976999999999634
things,289.97952,290.2189,0.23937999999998283
that,290.2189,290.37848,0.23938000000003967
we,290.37848,290.53806,0.15958000000000538
need,290.53806,290.61786,0.15957999999994854
to,290.61786,290.77744,0.07980000000003429
clear,290.77744,291.0168,0.15958000000000538
out,291.0168,291.0966,0.23935999999997648
first,291.49554,291.73492,0.47874000000001615
off,291.73492,291.8945,0.23937999999998283
we're,292.21365,292.45303,0.47872999999998456
more,292.45303,292.53284,0.23938000000003967
than,292.53284,292.7722,0.07981000000000904
happy,292.7722,293.01157,0.23935999999997648
and,293.7449,293.90482,0.9726999999999748
more,293.90482,294.14462,0.15991999999999962
than,294.14462,294.30453,0.23980000000000246
willing,294.30453,294.70425,0.15991000000002487
to,294.70425,294.9441,0.3997200000000021
to,294.9441,295.26385,0.2398499999999899
to,295.26385,295.5037,0.3197499999999991
work,295.5037,295.66357,0.2398499999999899
with,295.66357,295.82346,0.15987000000001217
you,295.82346,295.98334,0.15989000000001852
you,296.70285,296.86273,0.8793900000000008
know,296.86273,296.9427,0.15987999999998692
down,297.10257,297.18253,0.23984000000001515
a,297.18253,297.3424,0.07995999999997139
row,297.3424,297.42233,0.15987000000001217
but,297.58224,297.74213,0.23984000000001515
that,298.2218,298.54156,0.6395599999999604
final,298.54156,298.86133,0.3197600000000307
number,298.86133,299.26105,0.31977000000000544
is,299.26105,299.5009,0.3997200000000021
something,299.5009,299.82068,0.2398499999999899
that,299.82068,299.98056,0.3197799999999802
we,299.98056,300.14044,0.15988000000004376
wanna,300.14044,300.64044,0.15987999999998692
negotiate,300.70004,300.93988,0.559599999999989
with,300.93988,301.17972,0.23984000000001515
you,301.17972,301.3396,0.2398399999999583
first,302.219,302.37888,1.0392800000000193
and,302.37888,302.6187,0.15987999999998692
foremost,302.6187,302.85855,0.2398200000000088
i,303.0984,303.1783,0.47970000000003665
wanted,303.1783,303.33823,0.07989999999995234
to,303.33823,303.4981,0.1599300000000312
lay,303.4981,303.73795,0.15987000000001217
out,303.73795,303.97775,0.2398499999999899
one,303.97775,304.13766,0.23980000000000246
of,304.13766,304.29755,0.15990999999996802
the,304.29755,304.53738,0.15989000000001852
copyright,305.17694,305.4967,0.8793900000000008
rights,305.4967,305.73654,0.31975999999997384
you,305.97638,306.0563,0.4796800000000303
know,306.0563,306.13626,0.07992000000001553
not,306.29614,306.79614,0.2398399999999583
intellectual,307.01566,307.25546,0.7195200000000455
properties,307.25546,307.75546,0.23980000000000246
ips,309.10443,309.58212,1.8489699999999516
that,309.82098,310.0598,0.7165500000000407
we're,310.0598,310.29868,0.2388199999999756
more,310.29868,310.4579,0.23887999999999465
than,310.4579,310.61713,0.1592200000000048
happy,310.61713,311.0152,0.15922999999997955
to,311.0152,311.17444,0.39807000000001835
to,311.81137,312.0502,0.7961700000000178
work,312.0502,312.28906,0.2388300000000072
with,312.28906,312.44827,0.2388599999999883
you,312.44827,312.68713,0.1592099999999732
on,312.68713,312.92596,0.23886000000004515
so,313.64252,314.14252,0.9553899999999658
well,315.31442,315.55328,1.6718999999999937
part,316.1106,316.2698,0.7961799999999926
of,316.2698,316.42905,0.15919999999999845
your,316.42905,316.6679,0.15925000000004275
agreement,316.6679,316.98636,0.2388499999999567
when,316.98636,317.1456,0.31846000000001595
you,317.1456,317.46405,0.15924000000001115
come,317.46405,317.6233,0.31844999999998436
in,317.6233,318.1233,0.1592499999999859
as,318.1806,318.57867,0.5573000000000548
a,318.57867,318.6583,0.3980699999999615
stella,320.17096,320.40982,1.5922899999999913
a,320.40982,320.48944,0.23886000000004515
faculty,320.48944,320.8875,0.07961999999997715
member,320.8875,321.12634,0.39805999999998676
is,321.12634,321.28558,0.2388400000000388
that,321.28558,321.52444,0.1592399999999543
one,321.52444,321.8429,0.23886000000004515
deep,322.655,323.155,1.1305599999999458
would,323.29498,323.375,0.6399800000000369
say,323.375,323.615,0.08001999999999043
the,323.615,323.85498,0.2400000000000091
majority,323.85498,324.25497,0.23998000000000275
