Word,Start Time,End Time,start_time_diff
hello,1.4778106,1.7973372,0.0
hi,2.036982,2.1168637,0.5591714000000001
can,2.276627,2.3565087,0.23964499999999989
you,2.3565087,2.4363904,0.07988170000000006
hear,2.4363904,2.5961537,0.07988170000000006
me,2.5961537,2.755917,0.15976329999999983
so,4.35355,4.85355,1.7573963000000004
oh,5.6316566,5.9511833,1.2781066
okay,9.785502,9.945266,4.153845399999999
yeah,10.504437,10.744082,0.7189350000000001
how,11.622781,11.782544,1.1183440000000004
are,11.782544,11.942307,0.15976299999999988
you,11.942307,12.261834,0.15976299999999988
today,12.261834,12.581361,0.3195270000000008
yes,17.875,18.195,5.613166
yes,18.995,19.155,1.120000000000001
my,19.395,19.715,0.3999999999999986
plan,19.715,20.035,0.3200000000000003
but,20.755001,20.835,1.0400010000000002
yeah,20.995,21.155,0.23999900000000096
it's,21.395,21.715,0.3999999999999986
so,21.715,22.035,0.3200000000000003
great,22.035,22.275002,0.3200000000000003
to,22.275002,22.435001,0.2400020000000005
meet,22.435001,22.595001,0.15999899999999911
you,22.595001,23.075,0.16000000000000014
since,23.075,23.395,0.4799989999999994
we've,23.395,23.555,0.3200000000000003
met,23.555,23.795,0.16000000000000014
so,23.795,23.955,0.240000000000002
many,23.955,24.195,0.1599999999999966
times,24.195,24.355,0.240000000000002
you,24.595001,24.755001,0.4000009999999996
know,24.755001,24.915,0.16000000000000014
it's,25.154999,25.315,0.3999980000000001
great,25.315,25.555,0.16000100000000117
to,25.555,25.715,0.23999999999999844
see,25.715,25.875,0.16000000000000014
you,25.875,26.195,0.16000000000000014
again,26.195,26.435001,0.3200000000000003
so,38.964676,39.442574,12.769675999999997
yeah,39.601875,39.840824,0.6371990000000025
so,40.079773,40.318726,0.47789800000000326
i,40.478024,40.637325,0.3982509999999948
think,40.637325,40.955925,0.15930099999999925
i,41.115227,41.433823,0.47790200000000027
don't,41.433823,41.593124,0.31859599999999944
know,41.593124,41.752426,0.15930100000000635
if,41.752426,41.911724,0.15930199999999672
you've,41.911724,42.230324,0.15929799999999972
seen,42.230324,42.389626,0.31860000000000355
my,42.389626,42.628574,0.15930199999999672
written,42.628574,42.947174,0.2389480000000006
plan,42.947174,43.186127,0.31859999999999644
but,43.425076,43.902973,0.47790200000000027
just,44.795002,44.955,1.3699259999999995
to,44.955,45.275,0.15999800000000164
reiterate,45.275,45.775,0.3200000000000003
i,46.395,46.555,1.1200000000000045
am,46.555,47.055,0.1599999999999966
a,47.115,47.615,0.5600000000000023
superstar,48.955,49.035,1.8399999999999963
i,49.275,49.355,0.3200000000000003
guess,49.355,49.515,0.0799999999999983
at,49.675003,49.755,0.3200029999999998
the,49.755,49.915,0.07999700000000587
university,49.995003,50.495003,0.24000299999999442
i've,50.715,51.035,0.7199970000000064
published,51.035,51.355,0.3199999999999932
a,51.355,51.515,0.3200000000000003
lot,51.515,51.755,0.1600000000000037
and,51.755,51.835,0.240000000000002
i've,51.995003,52.235,0.24000299999999442
trained,52.235,52.635002,0.23999700000000246
a,52.635002,52.795002,0.40000200000000063
very,52.795002,53.295002,0.1599999999999966
great,54.155,54.655,1.3599980000000045
group,54.795002,55.035,0.6400019999999955
of,55.035,55.515,0.23999799999999993
phd,55.515,55.915,0.480000000000004
students,55.915,56.235,0.3999999999999986
in,56.235,56.395,0.3200000000000003
my,56.395,56.555,0.1600000000000037
lap,56.555,56.715,0.1599999999999966
so,56.875,57.035,0.3200000000000003
i'm,57.115,57.275,0.240000000000002
thinking,57.275,57.515,0.1599999999999966
about,57.515,57.755,0.240000000000002
taking,57.755,57.915,0.240000000000002
a,57.915,58.075,0.1599999999999966
step,58.075,58.235,0.1600000000000037
out,58.235,58.635002,0.1599999999999966
which,58.875,59.115,0.6400000000000006
i,59.275,59.355,0.3999999999999986
think,59.355,59.595,0.0799999999999983
you,59.595,59.755,0.240000000000002
already,60.089737,60.409035,0.49473700000000065
know,60.409035,60.64851,0.3192980000000034
specifically,62.005527,62.40465,1.5964919999999978
in,63.043247,63.202896,1.0377200000000002
terms,63.202896,63.362545,0.1596490000000017
of,63.362545,63.60202,0.1596489999999946
my,63.60202,63.84149,0.23947500000000588
plan,63.84149,63.921318,0.23946999999999719
i'm,64.16079,64.32044,0.31930000000000547
thinking,64.32044,64.63974,0.15964999999999918
about,64.63974,64.87921,0.31929999999999836
twenty,65.35816,65.67746,0.7184199999999947
one,65.67746,65.91693,0.31929999999999836
month,65.91693,66.1564,0.23946999999999719
sa,66.63535,66.795,0.7184200000000089
medical,66.795,67.27395,0.15964999999999918
where,67.51342,67.7529,0.7184199999999947
for,67.912544,68.152016,0.3991240000000005
a,68.152016,68.391495,0.23947200000000635
year,68.391495,68.55114,0.23947900000000288
i'll,68.71079,68.950264,0.3192949999999968
be,68.950264,69.450264,0.2394740000000013
traveling,69.50903,70.00903,0.5587659999999914
since,70.06781,70.38711,0.5587799999999987
that's,70.38711,70.78623,0.3193000000000126
my,70.78623,71.0257,0.39911999999999637
i,71.504654,71.6643,0.7184239999999988
guess,71.6643,71.744125,0.15964599999999507
doctor's,71.9836,72.38272,0.31929999999999836
order,72.38272,72.861664,0.3991200000000106
since,72.861664,73.02132,0.4789439999999985
i,73.18097,73.635,0.3193059999999974
i,74.313675,74.47336,1.1327050000000014
am,74.47336,74.55321,0.15968499999999608
a,74.55321,74.79274,0.07985000000000753
super,74.79274,75.112114,0.2395299999999878
stressed,75.112114,75.2718,0.3193740000000105
at,75.2718,75.43149,0.15968599999999356
my,75.43149,75.59117,0.15968999999999767
current,75.59117,75.990395,0.1596800000000087
job,75.990395,76.07024,0.3992250000000013
so,76.22993,76.30977,0.2395349999999894
i'm,76.46945,76.708984,0.23951999999999884
thinking,76.708984,77.10821,0.23953400000000613
about,77.10821,77.34773,0.39922599999999875
taking,77.34773,77.587265,0.23951999999999884
a,77.587265,77.746956,0.2395350000000036
break,77.746956,77.90664,0.15969099999999514
so,78.22602,78.465546,0.47906400000000815
just,78.465546,78.62524,0.2395259999999979
for,78.62524,78.70508,0.15969400000000178
a,78.70508,78.78493,0.07983999999999014
year,78.78493,78.86477,0.07985000000000753
i'll,79.1043,79.18414,0.31936999999999216
be,79.18414,79.34383,0.07984000000000435
selling,79.34383,79.74305,0.15968999999999767
around,79.74305,79.90273,0.3992199999999997
the,79.90273,80.06242,0.1596800000000087
world,80.06242,80.222115,0.15968999999999767
and,80.78102,81.28102,0.718599999999995
for,81.33992,81.818985,0.5589000000000084
the,81.818985,82.05852,0.4790649999999914
next,82.05852,82.29805,0.2395350000000036
nine,82.29805,82.45773,0.23953000000000202
months,82.45773,82.617424,0.1596799999999945
i'll,82.777115,82.9368,0.3193849999999969
be,82.9368,83.01664,0.1596850000000103
working,83.01664,83.33601,0.07983999999999014
at,83.33601,83.57555,0.31937000000000637
the,83.57555,84.05461,0.2395400000000052
institute,84.05461,84.29414,0.4790599999999898
for,84.29414,84.533676,0.23953000000000202
a,84.533676,84.69336,0.23953600000000108
advanced,84.69336,85.01273,0.1596839999999986
study,85.01273,85.41196,0.31937000000000637
here,85.41196,85.57164,0.39922999999998865
in,85.57164,85.65149,0.1596800000000087
princeton,85.73133,86.21039,0.15968999999999767
and,87.56773,87.80727,1.8363999999999976
really,88.28633,88.52586,0.7186000000000092
looking,89.57728,89.89582,1.2909499999999952
to,89.89582,90.21437,0.3185399999999987
really,90.21437,90.71437,0.3185500000000019
recharge,90.77182,91.01073,0.5574500000000029
and,91.01073,91.32928,0.23890999999998996
just,91.32928,91.82928,0.3185500000000019
spend,92.12564,92.28491,0.7963600000000071
the,92.28491,92.44418,0.15926999999999225
time,92.44418,92.6831,0.15927000000000646
to,92.6831,92.84237,0.23891999999999314
learn,92.84237,93.081276,0.15927000000000646
so,94.11655,94.35546,1.2741800000000012
yeah,94.35546,94.4351,0.23890999999998996
today,94.75364,95.23146,0.39818000000001064
