Word,Start Time,End Time,start_time_diff
hi,0.68,1.0,0.0
i,3.0,3.1599998,2.32
can,3.1599998,3.32,0.15999980000000003
hear,3.32,3.56,0.16000019999999981
you,3.56,3.72,0.2400000000000002
oh,12.854477,12.9343605,9.294476999999999
good,13.094128,13.253895,0.23965100000000028
i'm,13.4935465,13.57343,0.39941850000000123
am,13.57343,13.813082,0.07988349999999933
excited,13.813082,14.2125,0.23965199999999953
to,14.2125,14.372268,0.3994180000000007
talk,14.372268,14.452151,0.1597679999999997
to,14.452151,14.611918,0.07988300000000059
you,14.611918,14.931454,0.15976699999999866
about,14.931454,15.330872,0.31953600000000115
what,16.049826,16.289476,1.118371999999999
you,16.289476,16.449244,0.23965000000000103
want,16.449244,16.76878,0.1597679999999997
from,16.76878,17.088314,0.3195359999999994
this,17.088314,17.588314,0.3195340000000009
negotiation,18.366453,18.606106,1.2781389999999995
yeah,21.0825,21.322151,2.7160469999999997
likewise,27.568264,27.728052,6.485764
i'm,27.967737,28.127525,0.3994730000000004
so,28.127525,28.36721,0.15978799999999893
glad,28.36721,28.447105,0.23968500000000148
that,28.447105,28.68679,0.0798950000000005
you,28.68679,28.846579,0.23968499999999793
felt,28.846579,29.006369,0.15978899999999996
comfortable,29.006369,29.485737,0.159790000000001
just,29.485737,29.645527,0.4793680000000009
to,29.645527,30.145527,0.159790000000001
talk,30.20479,30.364578,0.5592629999999978
to,30.364578,30.444473,0.15978800000000248
me,30.444473,30.764053,0.07989499999999694
about,30.764053,31.003736,0.319580000000002
what,31.003736,31.503736,0.23968299999999942
what,31.563,31.88258,0.5592639999999989
you,31.88258,32.04237,0.319580000000002
want,32.04237,32.28205,0.15978999999999743
in,32.28205,32.361946,0.2396799999999999
your,32.361946,32.60163,0.07989600000000507
future,32.60163,32.76142,0.2396839999999969
to,32.76142,32.92121,0.159790000000001
hold,32.92121,33.160896,0.159790000000001
out,33.160896,33.320683,0.23968599999999896
the,33.640263,33.879948,0.4793669999999963
universe,33.879948,34.27942,0.23968500000000148
is,34.27942,34.678894,0.39947200000000294
really,34.678894,34.91858,0.3994739999999979
happy,34.91858,35.39795,0.23968599999999896
to,35.39795,35.79742,0.47937000000000296
support,35.79742,36.037106,0.3994700000000009
you,36.037106,36.196896,0.23968599999999896
in,36.196896,36.35668,0.159790000000001
your,36.35668,36.51647,0.15978399999999482
goals,36.51647,36.756157,0.159790000000001
in,36.756157,36.915947,0.23968700000000354
any,36.915947,37.155632,0.159790000000001
way,37.155632,37.315422,0.23968499999999437
possible,37.315422,37.79479,0.159790000000001
yeah,107.99,108.23,70.674578
i,108.47,108.63,0.480000000000004
think,108.63,108.79,0.1599999999999966
twenty,109.75,109.99,1.1200000000000045
one,109.99,110.229996,0.23999999999999488
months,110.229996,110.71,0.23999600000000498
of,110.71,110.87,0.4800039999999939
sa,110.87,111.35,0.1600000000000108
is,111.35,111.59,0.47999999999998977
fine,111.59,111.99,0.2400000000000091
the,111.99,112.39,0.3999999999999915
discussion,112.39,112.71,0.4000000000000057
more,112.71,113.03,0.3199999999999932
of,113.03,113.53,0.3200000000000074
is,113.909996,114.07,0.8799960000000056
how,114.07,114.31,0.1600039999999865
much,114.31,114.79,0.2400000000000091
will,114.79,114.95,0.480000000000004
be,114.95,115.27,0.1599999999999966
paid,115.27,115.59,0.3199999999999932
right,116.79,116.95,1.5200000000000102
and,117.19,117.27,0.3999999999999915
then,117.27,117.51,0.0799999999999983
i,117.59,117.75,0.3200000000000074
just,117.75,117.91,0.1599999999999966
wanted,117.91,118.07,0.1599999999999966
to,118.07,118.229996,0.1599999999999966
hear,118.229996,118.39,0.1599960000000067
like,118.47,118.55,0.240003999999999
how,118.63,118.79,0.1599999999999966
much,118.79,119.085,0.1600000000000108
did,119.52247,119.920166,0.7324699999999922
you,119.920166,120.23832,0.3976959999999963
were,121.033714,121.27233,1.1135480000000086
you,121.27233,121.43141,0.23861599999999328
thinking,121.43141,121.90865,0.159080000000003
of,121.90865,122.40865,0.4772399999999948
yeah,150.49051,150.80971,28.581860000000006
for,151.3683,151.6077,0.8777900000000045
the,151.6077,151.6875,0.23939999999998918
ip,152.0067,152.0865,0.3990000000000009
i,152.3259,152.8259,0.31919999999999504
i,153.0441,153.1239,0.718199999999996
cannot,153.1239,153.6027,0.07980000000000587
go,153.6027,153.8421,0.4788000000000068
that,153.8421,154.0815,0.23939999999998918
high,154.0815,154.4007,0.2394000000000176
at,154.4007,154.5603,0.31919999999999504
all,154.5603,154.7997,0.15960000000001173
and,156.8745,157.3745,2.3141999999999996
i,157.7523,157.9119,0.8777999999999793
was,157.9119,158.1513,0.15960000000001173
thinking,158.1513,158.6301,0.23939999999998918
of,158.6301,158.7897,0.4788000000000068
the,158.7897,159.0291,0.15960000000001173
starting,159.0291,159.3483,0.23939999999998918
point,159.3483,159.5079,0.31919999999999504
of,159.5079,159.5877,0.15960000000001173
