Word,Start Time,End Time,start_time_diff
hello,2.0312068,2.3498275,0.0
awesome,9.120517,9.439137,7.0893102
alright,10.6339655,10.872931,1.5134485000000009
so,11.032241,11.510172,0.39827550000000045
i,11.669482,11.828793,0.6372409999999995
think,11.828793,12.067759,0.15931099999999887
we're,12.067759,12.386379,0.23896600000000134
supposed,12.386379,12.54569,0.31861999999999924
to,12.54569,13.023621,0.15931100000000065
negotiate,13.023621,13.523621,0.4779309999999999
for,14.155,14.655,1.131378999999999
nothing,15.195,15.595,1.040000000000001
yeah,18.235,18.475,3.039999999999999
mh,32.79791,33.11682,14.562910000000002
okay,35.349213,35.508667,2.551302999999997
that,37.103233,37.34242,1.7540200000000041
sounds,37.34242,37.501877,0.23918699999999404
good,37.501877,37.66133,0.1594570000000033
and,37.82079,37.980244,0.318913000000002
that's,37.980244,38.378887,0.15945399999999665
a,38.378887,38.618073,0.39864299999999986
very,38.618073,38.936985,0.23918600000000367
valid,38.936985,39.255898,0.3189119999999974
point,39.255898,39.495083,0.318913000000002
what,39.654537,39.813995,0.39863899999999575
you,39.813995,39.97345,0.15945800000000077
brought,39.97345,40.132908,0.15945500000000123
up,40.132908,40.372093,0.15945800000000077
about,40.372093,40.850464,0.2391849999999991
someone,40.850464,41.169376,0.47837100000000277
else,41.169376,41.48829,0.3189119999999974
having,41.48829,41.727474,0.3189139999999995
a,41.727474,41.88693,0.23918400000000162
similar,41.88693,42.20584,0.1594559999999987
patent,42.20584,42.445026,0.31891000000000247
but,43.481495,43.935,1.2756550000000004
i,44.533115,44.77236,1.0516199999999998
don't,44.77236,45.17111,0.23924499999999682
think,45.17111,45.67111,0.3987499999999997
the,46.28759,46.526836,1.1164800000000028
work,46.526836,47.00533,0.2392460000000014
that,47.00533,47.244576,0.47849399999999775
here,47.244576,47.56357,0.2392460000000014
relates,47.56357,47.882565,0.31899399999999645
to,47.882565,48.281307,0.318995000000001
what,48.281307,48.7598,0.3987419999999986
they,48.7598,48.999046,0.4784930000000003
would,48.999046,49.078796,0.2392460000000014
have,49.078796,49.238293,0.0797499999999971
published,49.238293,49.637035,0.15949700000000178
and,50.11553,50.514275,0.8772370000000009
especially,50.514275,50.753517,0.39874499999999813
the,50.753517,50.913017,0.2392420000000044
market,50.913017,51.39151,0.1595000000000013
is,51.39151,51.551006,0.4784929999999932
not,51.551006,51.790253,0.1594960000000043
the,51.790253,51.94975,0.23924699999999888
same,51.94975,52.188995,0.15949700000000178
right,52.188995,52.42824,0.23924499999999682
now,52.42824,52.50799,0.23924500000000393
so,53.624474,53.943466,1.196233999999997
the,55.61819,55.77769,1.9937159999999992
university,55.77769,56.27769,0.1595000000000013
has,56.33593,56.654926,0.5582399999999978
also,56.654926,57.154926,0.3189960000000056
gone,57.213165,57.452415,0.5582389999999933
ahead,57.452415,57.691658,0.2392500000000055
with,57.691658,57.85116,0.23924299999999477
its,57.85116,58.090405,0.15950200000000336
own,58.090405,58.568893,0.23924499999999682
independent,58.568893,59.068893,0.4784880000000058
evaluation,59.286636,59.446133,0.7177429999999987
we've,60.09929,60.418476,0.812654000000002
spoken,60.418476,60.737663,0.31918599999999486
to,60.737663,60.817463,0.31918699999999944
like,60.89726,60.977055,0.1595970000000051
corporate,61.216446,61.69523,0.31918599999999486
buyers,61.69523,62.19523,0.47878400000000454
and,62.253807,62.572994,0.5585769999999997
what,62.572994,63.072994,0.31918699999999944
the,63.929543,64.16893,1.3565490000000011
current,64.16893,64.48812,0.23938700000000068
market,64.48812,64.98812,0.31918999999999187
values,65.20629,65.70629,0.7181700000000006
the,65.76487,65.92447,0.5585800000000063
work,65.92447,66.24365,0.15959999999999752
and,67.041626,67.541626,1.1171559999999943
we,68.23858,68.73858,1.1969540000000052
are,69.036545,69.196144,0.7979650000000049
willing,69.196144,69.43553,0.15959900000000005
to,69.43553,69.51533,0.2393859999999961
offer,69.51533,69.67493,0.07980000000000587
like,69.75472,69.83452,0.2393900000000002
one,69.99411,70.233505,0.2393900000000002
fifty,70.233505,70.632484,0.2393949999999876
k,70.632484,71.132484,0.3989790000000113
for,72.06883,72.56883,1.4363460000000003
the,73.18599,73.58498,1.1171599999999984
entire,73.58498,73.98396,0.39898999999999774
portfolio,73.98396,74.30315,0.39897999999999456
that,108.565865,108.72566,34.581905000000006
makes,108.72566,108.965355,0.15979500000000257
sense,108.965355,109.04526,0.23969499999999755
wait,109.364845,109.44475,0.3994900000000001
could,109.60454,109.68444,0.23969499999999755
i,109.764336,110.00403,0.15979600000000005
understand,110.00403,110.24373,0.23969400000000007
more,110.24373,110.48342,0.23969999999999914
about,110.48342,110.80301,0.23968999999999596
what,110.80301,111.30301,0.31959000000000515
down,111.76179,111.921585,0.9587800000000044
payment,111.921585,112.24117,0.15979499999998836
year,112.24117,112.40097,0.31958500000000356
to,112.40097,112.56077,0.15980000000000416
put,112.56077,112.720566,0.15980000000000416
down,112.720566,112.880356,0.15979600000000005
okay,132.23499,132.39499,19.514424000000005
mh,132.95499,133.275,0.7199999999999989
that,134.155,134.31499,1.2000099999999918
makes,134.31499,134.47499,0.15998999999999342
sense,134.47499,134.635,0.1599999999999966
and,135.03499,135.275,0.5600000000000023
how,135.275,135.435,0.24001000000001227
much,135.435,135.67499,0.1599999999999966
was,135.67499,135.83499,0.23999000000000592
the,135.83499,135.995,0.1599999999999966
board,135.995,136.23499,0.16000999999999976
for,136.23499,136.47499,0.23999000000000592
okay,142.64954,142.80942,6.414549999999991
mh,148.32513,148.64488,5.67559
got,151.36276,151.68253,3.037630000000007
it,151.68253,151.76245,0.31977000000000544
okay,154.4004,154.56029,2.7178699999999765
sure,155.935,156.015,1.5346000000000117
that,156.175,156.33499,0.2400000000000091
makes,156.33499,156.495,0.15998999999999342
sense,156.495,156.575,0.16000999999999976
i,156.735,156.815,0.2400000000000091
mean,156.815,156.895,0.07999999999998408
i,157.055,157.135,0.2400000000000091
can,157.135,157.215,0.07999999999998408
i,157.295,157.375,0.1599999999999966
can,157.375,157.455,0.0800000000000125
see,157.455,157.61499,0.0800000000000125
where,157.61499,157.775,0.15998999999999342
you're,157.775,157.855,0.16000999999999976
coming,157.855,158.095,0.07999999999998408
from,158.095,158.33499,0.2400000000000091
with,158.33499,158.83499,0.23999000000000592
the,158.895,159.375,0.5600100000000054
financial,159.375,159.69499,0.47999999999998977
requirement,159.69499,160.015,0.31998999999999
too,160.015,160.175,0.32000999999999635
so,164.095,164.595,4.0800000000000125
what,165.135,165.295,1.039999999999992
we,165.295,165.535,0.1599999999999966
could,165.535,165.775,0.2400000000000091
do,165.775,166.095,0.2400000000000091
is,166.095,166.595,0.3199999999999932
i,169.38669,169.46657,3.2916899999999885
mean,169.46657,169.54646,0.07988000000000284
one,170.26549,170.42526,0.7989200000000096
fifty,170.42526,170.74483,0.15977000000000885
k,170.74483,170.82472,0.3195699999999988
is,170.82472,170.98451,0.07989000000000601
what,170.98451,171.14429,0.15978999999998678
you,171.14429,171.38396,0.15978000000001202
require,171.38396,171.62364,0.2396699999999896
for,171.62364,171.78342,0.2396799999999928
the,171.78342,171.9432,0.15978000000001202
boat,171.9432,172.18288,0.1597799999999836
and,173.30136,173.54103,1.358159999999998
i,173.7807,173.8606,0.47934000000000765
think,173.8606,174.10027,0.07990000000000919
that's,174.10027,174.26006,0.2396699999999896
what,174.26006,174.33994,0.1597900000000152
the,174.33994,174.49973,0.07988000000000284
university,174.49973,174.99973,0.15978999999998678
was,175.05896,175.37852,0.5592300000000137
willing,175.37852,175.69809,0.3195599999999956
to,175.69809,175.93777,0.3195699999999988
give,175.93777,176.25734,0.2396799999999928
for,176.25734,176.41711,0.3195699999999988
the,176.41711,176.5769,0.15977000000000885
patent,176.5769,176.89647,0.15978999999998678
so,177.05624,177.29591,0.47934000000000765
that,177.29591,177.4557,0.2396699999999896
should,177.4557,177.69537,0.1597900000000152
cover,177.69537,177.93506,0.2396699999999896
the,177.93506,178.09483,0.23968999999999596
cost,178.09483,178.25461,0.15977000000000885
of,178.25461,178.4943,0.15978000000001202
that,178.4943,178.65407,0.23968999999999596
we,179.2932,179.45299,0.7989000000000033
could,179.45299,179.61276,0.15978999999998678
go,179.61276,179.69266,0.15977000000000885
up,179.69266,179.85245,0.07989999999998076
to,179.85245,180.01222,0.1597900000000152
maybe,180.01222,180.33179,0.15977000000000885
one,180.33179,180.57146,0.3195699999999988
seventy,180.57146,180.89102,0.2396699999999896
five,180.89102,181.2106,0.3195599999999956
because,181.2106,181.665,0.319580000000002
it'll,182.42223,182.58165,1.2116300000000138
be,182.58165,182.74107,0.15941999999998302
more,182.74107,182.90048,0.15942000000001144
than,182.90048,183.13962,0.15940999999997985
covering,183.13962,183.45845,0.23914000000002034
just,183.45845,183.61787,0.3188299999999913
the,183.61787,183.77728,0.15942000000001144
boat,183.77728,183.9367,0.15940999999997985
but,184.49467,184.8135,0.7173900000000231
also,184.8135,184.97293,0.3188299999999913
your,185.13235,185.37148,0.31884999999999764
sa,185.37148,185.5309,0.23912999999998874
cervical,185.5309,185.92944,0.15942000000001144
for,185.92944,186.16856,0.398539999999997
six,186.16856,186.4077,0.239120000000014
months,186.4077,186.64682,0.23913999999999191
will,186.64682,186.88596,0.23911999999998557
be,186.88596,187.38596,0.23914000000002034
completely,187.68304,188.08159,0.797079999999994
covered,188.08159,188.32072,0.3985500000000002
by,188.32072,188.48013,0.23912999999998874
the,188.48013,188.63956,0.15941000000000827
university,188.63956,189.13956,0.1594299999999862
