Word,Start Time,End Time,start_time_diff
oh,4.030472,4.110283,0.0
hey,4.2699056,4.429528,0.2394336000000008
what's,4.589151,4.8285847,0.3192453999999998
up,4.8285847,4.9882073,0.2394337000000002
nothing,7.621981,8.100849,2.7933962999999995
much,8.100849,8.499906,0.4788680000000003
so,10.894245,11.394245,2.7933959999999995
okay,22.265,22.425,11.370755
like,25.636932,25.875849,3.371932000000001
how,27.150076,27.388994,1.513143999999997
much,27.388994,27.62791,0.23891800000000174
do,27.62791,27.70755,0.23891599999999968
you,27.70755,27.946468,0.07964000000000127
wanted,27.946468,28.265024,0.2389179999999982
to,28.265024,28.503942,0.31855600000000095
six,38.14028,38.3792,9.875255999999997
hundred,38.3792,38.697758,0.23892000000000024
thousand,38.697758,39.09595,0.318558000000003
did,42.6174,42.77685,3.919642000000003
my,42.77685,43.01602,0.15944999999999965
limit,43.01602,43.334915,0.23916999999999433
is,43.334915,43.834915,0.3188950000000048
two,43.892982,43.972706,0.5580670000000012
hundred,43.972706,44.291603,0.0797239999999988
seventy,44.291603,44.610497,0.31889699999999976
five,44.610497,44.769943,0.31889400000000023
thousand,44.769943,45.168564,0.15944599999999554
because,51.626186,52.126186,6.856242999999999
i'm,52.662598,52.901768,1.0364120000000057
poor,52.901768,53.401768,0.23916999999999433
i,57.947563,58.107437,5.045795000000005
don't,58.107437,58.347244,0.15987399999999496
have,58.347244,58.587055,0.2398070000000061
enough,58.587055,58.826866,0.239810999999996
money,58.826866,59.146614,0.2398110000000031
i,59.46636,59.546295,0.6394939999999991
have,59.546295,59.786106,0.07993499999999898
no,59.786106,59.94598,0.239810999999996
money,59.94598,60.345665,0.15987400000000207
i,65.2218,65.46161,5.275820000000003
i,65.62148,65.8613,0.3996800000000036
can't,65.8613,66.181046,0.2398199999999946
i,66.98041,67.14028,1.1191100000000063
just,67.14028,67.515,0.15986999999999796
i'm,68.275,68.515,1.1347200000000015
just,68.515,68.675,0.23999999999999488
a,68.675,68.835,0.1599999999999966
victim,68.835,69.155,0.1599999999999966
i,69.395,69.475,0.5600000000000023
just,69.475,69.555,0.0799999999999983
i,69.875,69.955,0.4000000000000057
was,69.955,70.034996,0.0799999999999983
they,70.275,70.435,0.3200000000000074
just,70.435,70.675,0.1599999999999966
told,70.675,70.755,0.23999999999999488
me,70.755,70.995,0.0799999999999983
to,70.995,71.235,0.2400000000000091
to,71.235,71.315,0.23999999999999488
thirty,71.315,71.555,0.0799999999999983
five,71.555,71.795,0.2400000000000091
thousand,71.795,72.115,0.23999999999999488
i,72.595,72.755,0.7999999999999972
can't,72.755,72.915,0.1599999999999966
even,72.915,73.155,0.1600000000000108
talk,73.155,73.315,0.23999999999999488
to,73.315,73.555,0.1599999999999966
them,73.555,73.795,0.2400000000000091
wait,90.82051,90.900246,17.265509999999992
so,91.0597,91.5597,0.23919000000000779
do,92.175896,92.33535,1.116195999999988
we,92.33535,92.41508,0.15945400000001086
have,92.41508,92.57454,0.07972999999999786
to,92.57454,92.81372,0.15945999999999572
talk,92.81372,93.0529,0.2391800000000046
about,93.0529,93.212364,0.2391799999999904
this,93.212364,93.37182,0.15946399999999983
for,93.37182,93.690735,0.15945600000000582
twenty,93.690735,94.00964,0.31891500000000406
eight,94.00964,94.24883,0.3189050000000009
minutes,94.24883,94.7272,0.23918999999999357
we,98.810104,98.9697,4.561273999999997
can't,98.9697,99.4697,0.15959600000000762
we,100.08691,100.4859,1.11721
like,100.4859,100.7253,0.39898999999999774
rigid,100.7253,100.8849,0.2394000000000034
a,100.8849,101.3849,0.15959999999999752
decision,101.443504,101.6031,0.5586040000000025
like,101.7627,101.9223,0.31919599999999093
submit,102.2415,102.4809,0.4788000000000068
we,103.3587,103.5183,1.1171999999999969
had,103.5183,103.59811,0.15959999999999752
to,103.59811,103.6779,0.07981000000000904
like,103.757706,103.917305,0.1595959999999934
wait,103.917305,103.9971,0.15959900000000005
for,103.9971,104.1567,0.07979500000000428
twenty,104.1567,104.47591,0.15959999999999752
minutes,104.47591,104.7153,0.3192099999999982
oh,107.6679,107.8275,3.191990000000004
okay,107.98711,108.0669,0.3192099999999982
okay,108.306305,108.465904,0.31919499999999346
we'll,109.5831,109.8225,1.276795000000007
be,109.8225,110.3225,0.2394000000000034
walking,110.5407,110.780106,0.718199999999996
me,110.780106,110.939705,0.23940600000000245
my,110.939705,111.1791,0.15959900000000005
what,111.1791,111.3387,0.2393950000000018
i,116.21932,116.45857,5.040219999999991
don't,116.45857,116.697815,0.2392499999999984
know,116.697815,117.09656,0.23924500000001103
they,117.97379,118.13329,1.2759749999999883
just,118.13329,118.532036,0.1595000000000084
me,118.532036,118.691536,0.3987460000000027
that,118.691536,118.93078,0.1594999999999942
number,118.93078,119.17003,0.23924399999999935
i,119.32952,119.40927,0.39874000000000365
because,119.808014,120.308014,0.47849399999999775
i,120.84475,121.084,1.0367360000000048
thought,121.084,121.24349,0.2392499999999984
there,121.24349,121.32324,0.15948999999999103
was,121.32324,121.40299,0.0797500000000042
a,121.40299,121.56249,0.0797500000000042
lot,121.56249,121.642235,0.1594999999999942
of,121.642235,121.721985,0.07974500000000262
money,121.721985,122.040985,0.0797500000000042
to,122.040985,122.12073,0.3190000000000026
be,122.12073,122.28023,0.07974499999998841
honest,122.28023,122.78023,0.1595000000000084
what,130.9095,131.06909,8.629270000000005
did,131.06909,131.1489,0.15958999999998014
they,131.1489,131.38829,0.07981000000000904
tell,131.38829,131.70749,0.23939000000001442
you,131.70749,131.9469,0.31919999999999504
oh,132.2661,132.5055,0.5586099999999874
my,132.5055,132.7449,0.2394000000000176
gosh,132.7449,133.0641,0.23939999999998918
what,142.8795,143.2785,10.134600000000006
okay,153.53,153.69,10.650499999999994
so,165.28926,165.78926,11.759260000000012
so,166.24683,166.64581,0.9575699999999756
how,166.64581,166.8852,0.398980000000023
much,166.8852,167.28418,0.239389999999986
did,167.28418,167.52357,0.39897999999999456
you,167.52357,167.68317,0.23939000000001442
like,167.76297,167.92256,0.23939999999998918
have,168.40134,168.80032,0.638370000000009
to,168.80032,169.30032,0.39897999999999456
make,169.5185,170.0185,0.7181799999999896
for,170.15688,170.65688,0.6383800000000122
you,171.35382,171.51343,1.196940000000012
to,171.51343,171.59322,0.15960999999998648
like,171.67302,171.7528,0.15959000000000856
break,171.91241,172.41241,0.239389999999986
three,181.41469,181.73346,9.502280000000013
fifty,181.73346,182.13193,0.31877000000000066
five,182.13193,182.61009,0.3984700000000032
i,183.80548,184.04457,1.6735499999999774
can't,184.04457,184.28365,0.23909000000000447
even,184.28365,184.52272,0.2390800000000013
give,184.52272,184.68211,0.23906999999999812
you,184.68211,184.76181,0.15939000000000192
that,184.76181,184.92119,0.07970000000000255
much,184.92119,185.16028,0.15937999999999874
money,185.16028,185.39935,0.23909000000000447
that's,185.47905,185.71812,0.31877000000000066
actually,185.71812,185.9572,0.23906999999999812
crazy,185.9572,186.35567,0.2390800000000013
well,190.51144,190.82983,4.554239999999993
i,194.33203,194.49121,3.82059000000001
can't,194.49121,194.88919,0.1591799999999921
give,194.88919,195.04839,0.3979800000000182
you,195.04839,195.12798,0.15919999999999845
that,195.12798,195.20758,0.07958999999999605
much,195.20758,195.44637,0.07959999999999923
money,195.44637,195.84433,0.2387899999999945
wait,197.43625,197.59543,1.9898799999999994
but,197.75462,197.91382,0.3183699999999874
i,198.07301,198.2322,0.31839000000002216
can,198.2322,198.39139,0.15918999999999528
give,198.39139,198.55058,0.15918999999999528
you,198.55058,198.63017,0.15918999999999528
like,198.70976,198.86896,0.1591799999999921
ten,199.10774,199.34653,0.3979800000000182
thousand,199.34653,199.7445,0.2387899999999945
dollars,199.7445,200.0629,0.3979699999999866
for,200.0629,200.5629,0.31840000000002533
six,200.62006,200.93845,0.5571599999999819
months,200.93845,201.25682,0.31838999999999373
which,201.90964,202.40964,0.9711900000000071
which,203.74722,204.22658,1.8375800000000027
added,204.22658,204.54616,0.479360000000014
up,204.54616,205.04616,0.31957999999997355
with,205.26521,205.425,0.71905000000001
like,205.5848,205.66469,0.31959000000000515
two,205.90437,205.98427,0.3195699999999988
hundred,205.98427,206.22395,0.07990000000000919
seventy,206.22395,206.54353,0.2396799999999928
five,206.54353,206.70332,0.319580000000002
thousand,206.70332,206.94301,0.15978999999998678
that's,207.1028,207.26259,0.39948000000001116
like,207.26259,207.50227,0.15978999999998678
enough,207.50227,207.74196,0.2396800000000212
money,207.74196,207.98164,0.23968999999999596
if,213.89384,214.13353,6.151880000000006
find,214.13353,214.45311,0.23968999999999596
another,214.45311,214.6928,0.319580000000002
job,214.6928,215.17216,0.23968999999999596
we,218.94328,219.02322,4.250479999999982
why,219.10316,219.26303,0.15988000000001534
are,219.26303,219.34297,0.15986999999998375
you,219.34297,219.4229,0.07994000000002188
gonna,219.4229,219.58276,0.07992999999999029
be,219.58276,219.6627,0.159860000000009
in,219.6627,219.74265,0.07993999999999346
a,219.74265,219.98245,0.07994999999999663
boat,219.98245,220.22226,0.23980000000000246
your,224.21902,224.61871,4.23657
burnt,224.61871,225.01839,0.39968999999999255
out,225.01839,225.33812,0.3996800000000178
oh,231.66595,231.90556,6.647559999999999
my,231.90556,232.3049,0.239609999999999
gosh,232.3049,232.8049,0.39933999999999514
well,238.61443,238.6943,6.309529999999995
you,238.77417,238.85403,0.15973999999999933
