Word,Start Time,End Time,start_time_diff
hi,8.649,8.888143,0.0
what's,9.207,9.446142,0.5580000000000016
up,9.446142,9.685286,0.2391419999999993
let's,34.70524,35.10365,25.259098
see,35.10365,35.342697,0.3984099999999984
how,36.139523,36.37857,1.0358729999999952
does,36.37857,36.87857,0.23904700000000645
six,37.334763,37.573807,0.956192999999999
hundred,37.573807,37.81286,0.2390439999999998
thousand,37.81286,38.21127,0.2390529999999984
start,38.21127,38.450317,0.3984099999999984
yeah,43.013718,43.25356,4.802447999999998
oh,48.610054,48.769947,5.596336000000001
that's,48.929844,49.249634,0.3197900000000047
tragic,49.249634,49.649372,0.3197899999999976
that's,51.248325,51.568115,1.9986910000000009
so,51.568115,51.80796,0.3197899999999976
sad,51.80796,51.887905,0.23984500000000253
why,52.127747,52.36759,0.31978699999999805
can't,52.36759,52.52749,0.23984300000000047
you,52.52749,52.76733,0.15990000000000038
increase,52.76733,52.927223,0.23984000000000094
the,52.927223,53.08712,0.15989299999999673
limit,53.08712,53.326965,0.15989700000000084
you're,57.415344,57.81362,4.328223999999999
the,57.81362,57.97293,0.39827600000000274
provost,57.97293,58.37121,0.15930999999999784
or,58.37121,58.530518,0.39827999999999975
university,58.530518,59.00845,0.1593080000000029
i,59.16776,59.247414,0.6372420000000005
feel,59.247414,59.32707,0.0796539999999979
like,59.32707,59.566036,0.07965599999999995
you,59.566036,59.64569,0.2389659999999978
ought,59.64569,59.805,0.079654000000005
have,59.805,59.884655,0.15930999999999784
a,59.884655,59.96431,0.07965500000000247
little,59.96431,60.12362,0.07965499999999537
bit,60.12362,60.282932,0.15931000000000495
more,60.282932,60.44224,0.1593119999999999
money,60.44224,60.681206,0.1593079999999958
than,60.681206,60.840515,0.2389660000000049
that,60.840515,60.920174,0.15930900000000037
talk,65.61983,65.77914,4.77931499999999
it,65.77914,65.858795,0.15931000000000495
up,65.858795,66.018105,0.07965500000000247
with,66.018105,66.097755,0.15931000000000495
the,66.097755,66.177414,0.07965000000000089
university,66.177414,66.677414,0.07965899999999237
i,79.2692,79.42875,13.091785999999999
feel,79.42875,79.58829,0.15954999999999586
like,79.58829,79.74783,0.1595400000000069
i'm,79.82761,79.90738,0.23932000000000642
in,79.90738,79.98715,0.07976999999999634
the,79.98715,80.066925,0.07976999999999634
victim,80.066925,80.46579,0.07977499999999793
now,80.46579,80.70511,0.3988650000000007
because,80.70511,80.864655,0.23932000000000642
i,81.0242,81.18375,0.31908999999998855
wanted,81.18375,81.423065,0.15955000000001007
to,81.423065,81.50284,0.23931499999999062
way,81.50284,81.74216,0.07977500000001214
more,81.74216,81.9017,0.2393199999999922
money,81.9017,82.30057,0.1595400000000069
and,82.30057,82.38034,0.39886999999998807
now,82.38034,82.46011,0.07977000000001055
i'm,82.61966,82.699425,0.2393199999999922
being,82.699425,83.01852,0.07976500000000897
told,83.01852,83.17806,0.31909499999999014
there,83.17806,83.33761,0.1595400000000069
is,83.33761,83.57693,0.15954999999999586
no,83.57693,83.73647,0.23932000000000642
money,83.73647,83.97579,0.1595399999999927
but,84.549545,84.70928,0.8130749999999978
i,84.869026,85.02876,0.31948100000001034
can't,85.02876,85.1885,0.15973400000000026
do,85.1885,85.26837,0.15973999999999933
anything,85.26837,85.7476,0.07986999999999966
because,85.7476,85.90733,0.47923000000000116
i'm,86.06708,86.226814,0.31947999999999865
just,86.226814,86.30669,0.15973400000000026
like,86.38656,86.88656,0.1597459999999984
a,87.02551,87.18526,0.6389499999999941
scientist,87.18526,87.58461,0.1597500000000025
you,87.664474,87.82422,0.4792139999999989
know,87.82422,87.90409,0.1597459999999984
what,87.983955,88.06383,0.15973499999999774
do,88.06383,88.1437,0.07987500000000125
i,88.30344,88.38331,0.239609999999999
know,88.38331,88.543045,0.07986999999999966
