Word,Start Time,End Time,start_time_diff
hello,1.6358999,2.0349,0.0
i'm,5.1470995,5.3865,3.5111996000000003
good,5.3865,5.6259,0.23940049999999946
how,5.9451,6.0248995,0.5586000000000002
are,6.0248995,6.1844997,0.07979950000000002
you,6.1844997,6.4238997,0.15960019999999986
okay,11.211899,11.4513,5.027399300000001
yeah,18.649017,18.968304,7.437118
how,19.36741,19.606876,0.718392999999999
does,19.606876,19.84634,0.23946600000000018
eighty,21.043661,21.362947,1.4367850000000004
thousand,21.362947,21.682232,0.3192859999999982
or,21.682232,21.921698,0.3192850000000007
forty,21.921698,22.240982,0.23946600000000018
percent,22.240982,22.560268,0.3192839999999997
sound,22.560268,22.879555,0.31928600000000174
okay,35.28,35.52,12.719732
what,38.559998,38.8,3.279997999999999
about,38.8,38.879997,0.24000199999999694
i,39.04,39.2,0.240000000000002
give,39.2,39.28,0.1600000000000037
you,39.28,39.44,0.0799999999999983
a,39.44,39.68,0.1599999999999966
three,39.68,39.84,0.240000000000002
months,39.84,40.079998,0.1600000000000037
of,40.079998,40.239998,0.23999799999999993
article,40.239998,40.559998,0.1599999999999966
i,40.8,40.879997,0.5600019999999972
have,40.879997,41.04,0.07999700000000587
ten,41.04,41.28,0.16000299999999612
thousand,41.28,41.52,0.240000000000002
dollars,41.52,41.76,0.240000000000002
a,41.76,41.92,0.23999999999999488
month,41.92,42.16,0.1600000000000037
in,44.335,44.815,2.414999999999999
addition,44.815,44.975,0.4799999999999969
to,44.975,45.475,0.1600000000000037
the,45.934998,46.175,0.9599979999999988
patent,46.175,46.415,0.24000199999999694
pool,46.415,46.655,0.240000000000002
well,56.107277,56.186855,9.692277000000004
think,56.4256,56.66434,0.31832299999999947
about,56.66434,56.903084,0.23873999999999995
what,56.903084,57.062244,0.23874399999999696
you,57.062244,57.22141,0.15915999999999997
can,57.22141,57.38057,0.15916599999999903
do,57.38057,57.88057,0.15915999999999997
in,58.096798,58.25596,0.716228000000001
the,58.25596,58.41512,0.15916200000000202
three,58.41512,58.653862,0.15915999999999997
month,58.653862,58.892605,0.2387419999999949
like,59.68841,59.767994,1.034548000000001
you,59.927155,60.006737,0.23874500000000154
can,60.006737,60.165897,0.07958200000000204
do,60.165897,60.24548,0.15915999999999997
so,60.24548,60.40464,0.07958299999999952
much,60.40464,60.484222,0.15915999999999997
this,60.643383,60.722965,0.23874299999999948
is,60.722965,60.802544,0.07958200000000204
three,60.802544,60.961708,0.0795789999999954
months,60.961708,61.041286,0.15916400000000408
of,61.041286,61.200447,0.07957799999999793
medical,61.200447,61.439194,0.15916099999999744
you,61.598354,61.677933,0.39790700000000356
can,61.677933,61.916676,0.07957900000000251
spend,61.916676,62.15542,0.23874299999999948
time,62.15542,62.314583,0.23874399999999696
let,62.55332,62.632904,0.3978999999999999
me,62.632904,62.792065,0.0795840000000041
ask,62.792065,63.292065,0.15916099999999744
hell,63.349133,63.508293,0.557068000000001
are,63.508293,63.747036,0.15915999999999997
you,63.747036,63.906197,0.23874299999999948
oh,66.850685,67.08943,3.103648999999997
well,67.80566,68.12398,0.9549750000000046
you're,69.57399,69.73376,1.7683299999999917
a,69.73376,69.81364,0.15977000000000885
very,69.81364,70.13316,0.07988000000000284
star,70.13316,70.37281,0.31951999999999714
science,70.37281,70.53257,0.23964999999999748
to,70.53257,70.69234,0.15976000000000568
the,70.69234,70.8521,0.15976999999999464
nineteen,70.8521,71.09174,0.15975999999999146
i,71.2515,71.33139,0.3994
must,71.33139,71.57103,0.07989000000000601
say,71.57103,71.7308,0.2396399999999943
well,74.52666,74.68642,2.9556300000000135
think,74.846176,75.08582,0.31951599999999303
about,75.08582,75.32547,0.2396439999999984
all,75.32547,75.48523,0.23964999999999748
the,75.48523,75.56512,0.15976000000000568
things,75.56512,75.72488,0.0798899999999918
you,75.72488,75.804756,0.15976000000000568
can,75.804756,75.88464,0.07987599999999873
do,75.88464,76.0444,0.07988400000000695
in,76.0444,76.12428,0.15975999999999146
that,76.12428,76.28405,0.07988000000000284
third,76.28405,76.44381,0.15976999999999464
month,76.44381,76.60358,0.15976000000000568
that's,76.9231,77.32251,0.479290000000006
you,77.40239,77.56216,0.4792899999999918
know,77.56216,77.72192,0.15977000000000885
that's,77.88168,78.28109,0.31951999999999714
beyond,78.28109,78.60062,0.39941000000000315
monetary,78.60062,79.07991,0.3195300000000003
value,79.07991,79.47932,0.4792899999999918
if,79.79884,79.9586,0.7189300000000003
you,79.9586,80.11837,0.15976000000000568
think,80.11837,80.35802,0.15976999999999464
about,80.35802,80.51778,0.23964999999999748
it,80.51778,80.59766,0.15976000000000568
you,80.8373,80.99707,0.31951999999999714
can,80.99707,81.23671,0.15976999999999464
learn,81.23671,81.47636,0.2396400000000085
so,81.47636,81.55624,0.23964999999999748
many,81.55624,81.87576,0.07988000000000284
things,81.87576,82.11541,0.31951999999999714
as,82.60914,82.768456,0.7333799999999968
a,82.768456,82.927765,0.159316000000004
scientist,82.927765,83.326035,0.15930899999999326
or,83.64466,83.88362,0.716895000000008
you,83.88362,84.04294,0.23895999999999162
can,84.04294,84.12259,0.15932000000000812
go,84.12259,84.2819,0.07965000000000089
on,84.2819,84.44121,0.15930999999999074
traveling,84.44121,84.94121,0.15931000000000495
with,85.23776,85.47673,0.7965499999999963
your,85.47673,85.63604,0.238970000000009
family,85.63604,86.03432,0.15930999999999074
time,87.14949,87.38845,1.513450000000006
is,87.38845,87.62742,0.23896000000000583
well,87.62742,88.025696,0.2389699999999948
spent,88.025696,88.185005,0.39827599999999563
yeah,88.82224,89.14087,0.7965439999999973
do,89.937416,90.017075,1.1151760000000053
you,90.017075,90.176384,0.07965900000000659
think,90.176384,90.33569,0.15930899999999326
your,90.33569,90.57466,0.15930600000000084
family,90.57466,90.89328,0.2389699999999948
will,90.89328,91.29156,0.3186200000000099
prefer,91.29156,91.45087,0.39827999999999975
you,91.45087,91.95087,0.15930999999999074
you,92.16776,92.24742,0.7168900000000065
know,92.24742,92.40673,0.07966000000000406
earn,92.72535,93.22535,0.47793000000000063
a,93.282936,93.5219,0.5575860000000006
couple,93.5219,93.760864,0.23896399999999574
more,93.760864,94.07948,0.23896399999999574
dollars,94.07948,94.57948,0.3186160000000058
put,94.79639,94.955696,0.7169099999999986
it,94.955696,95.03535,0.15930600000000084
in,95.03535,95.115005,0.07965399999999079
the,95.115005,95.353966,0.07965500000000247
savings,95.353966,95.853966,0.2389610000000033
you,96.725006,96.885,1.3710399999999936
know,96.885,97.045006,0.15999400000001174
or,97.205,97.705,0.3199999999999932
spend,97.76501,97.925,0.5600100000000054
a,97.925,98.005005,0.15998999999999342
quality,98.005005,98.40501,0.08000499999999988
time,98.40501,98.565,0.40000500000000727
with,98.565,98.725006,0.15998999999999342
though,98.725006,98.885,0.16000599999999565
you,99.76501,99.845,1.0400040000000104
know,99.845,99.925,0.07998999999999512
what,99.925,100.08501,0.0799999999999983
four,100.325005,100.565,0.40000500000000727
months,100.565,100.725006,0.2399949999999933
four,101.125,101.365005,0.5600000000000023
months,101.365005,101.44501,0.24000499999999647
ten,101.605,101.76501,0.2399950000000075
thousand,101.76501,102.08501,0.16000999999999976
dollars,102.08501,102.245,0.3199999999999932
a,102.245,102.40501,0.15999000000000763
month,102.40501,102.565,0.16000999999999976
okay,128.53168,128.69145,26.12666999999999
how,129.25064,129.4104,0.7189600000000098
about,129.4104,129.57018,0.15976000000000568
this,129.57018,129.65005,0.1597799999999836
how,129.88971,130.12936,0.3195300000000145
about,130.12936,130.4489,0.23964999999998327
we,132.12645,132.44598,1.9970900000000142
also,132.44598,132.76552,0.3195299999999861
guarantee,132.76552,133.26552,0.3195400000000177
that,133.56436,134.06436,0.7988399999999842
your,134.12355,134.44308,0.559190000000001
kids,134.44308,134.60284,0.3195300000000145
in,134.60284,134.68272,0.15975999999997725
the,134.68272,135.00226,0.07988000000000284
future,135.00226,135.32181,0.3195400000000177
will,135.32181,135.48157,0.31954999999999245
get,135.48157,135.72122,0.15976000000000568
into,135.72122,135.96088,0.23964999999998327
pen,135.96088,136.20052,0.23966000000001486
a,136.20052,136.44017,0.2396400000000085
hundred,136.44017,136.67982,0.23964999999998327
percent,136.67982,136.99936,0.2396500000000117
acceptance,136.99936,137.39877,0.3195399999999893
rate,137.39877,137.55855,0.39941000000001736
guaranteed,138.59703,139.09703,1.1982599999999763
that's,140.29,140.53,1.6929700000000025
think,141.25,141.48999,0.960000000000008
about,141.48999,141.65,0.23999000000000592
the,141.65,141.81,0.16000999999999976
value,141.81,141.97,0.1599999999999966
of,141.97,142.12999,0.1599999999999966
that,142.12999,142.29,0.15998999999999342
plus,142.53,142.84999,0.40001000000000886
you,142.84999,143.09,0.31998999999999
have,143.09,143.48999,0.24001000000001227
your,143.48999,143.81,0.3999900000000025
append,143.81,144.04999,0.32000999999999635
faculty,144.04999,144.53,0.23999000000000592
seventy,145.09,145.40999,1.0400099999999952
five,145.40999,145.73,0.31998999999999
percent,145.73,145.97,0.32000999999999635
off,145.97,146.29,0.2400000000000091
for,146.29,146.37,0.3199999999999932
your,146.37,146.61,0.0800000000000125
kids,146.61,146.84999,0.2400000000000091
in,146.84999,146.93,0.2399899999999775
the,146.93,147.25,0.08001000000001568
future,147.25,147.40999,0.3199999999999932
that's,147.97,148.45,0.7199999999999989
essentially,148.45,148.95,0.47999999999998977
four,149.40999,149.73,0.9599900000000048
years,149.73,149.81,0.32000999999999635
right,150.04999,150.12999,0.3199900000000184
penn,150.45,150.84999,0.40000999999998044
tuition,150.84999,151.01,0.3999900000000025
inflation,151.56999,151.65,0.7199999999999989
in,151.65,151.81,0.08001000000001568
the,151.81,152.20999,0.1599999999999966
future,152.20999,152.37,0.3999900000000025
when,153.02403,153.34293,0.8140400000000056
you,153.34293,153.58209,0.3188999999999851
have,153.58209,153.82126,0.23915999999999826
