Word,Start Time,End Time,start_time_diff
hi,2.514375,2.9134822,0.0
how,3.631875,3.7116964,1.1175000000000002
are,3.7116964,3.8713393,0.07982140000000015
you,3.8713393,4.030982,0.1596428999999997
pretty,6.904554,7.2238393,3.0332147000000003
good,7.2238393,7.3834825,0.31928529999999977
so,14.182419,14.421603,6.9585797
what,14.421603,14.501331,0.23918399999999984
do,14.660789,14.820245,0.23918600000000012
you,14.820245,14.899973,0.1594560000000005
have,14.899973,15.059429,0.07972799999999935
an,15.059429,15.218886,0.1594560000000005
opening,15.218886,15.718886,0.15945699999999974
bid,16.494537,16.813452,1.2756510000000016
unfortunately,25.10519,25.60519,8.610653
no,25.9822,26.4822,0.8770099999999985
because,26.540298,26.859211,0.5580980000000011
the,26.859211,27.098396,0.31891299999999845
other,27.098396,27.417309,0.23918500000000265
scientists,27.417309,27.917309,0.31891299999999845
received,28.469152,28.708586,1.0518430000000016
four,28.708586,28.948019,0.23943399999999926
hundred,28.948019,29.347076,0.23943299999999823
k,29.347076,29.847076,0.39905700000000266
for,30.225,30.703869,0.8779240000000001
less,30.703869,31.023113,0.47886899999999955
valuable,31.023113,31.501982,0.31924399999999764
patents,31.501982,31.90104,0.4788690000000031
that,48.98394,49.22303,17.481957999999995
doesn't,49.22303,49.621513,0.23909000000000447
value,49.621513,50.099693,0.3984829999999988
the,50.099693,50.418484,0.4781800000000018
competitive,50.418484,50.73727,0.3187909999999974
like,50.896667,50.976364,0.47818300000000136
market,51.05606,51.374847,0.15939300000000145
value,51.374847,51.613937,0.3187870000000004
of,51.613937,51.77333,0.23908999999999736
the,51.77333,52.251514,0.15939300000000145
other,52.251514,52.649998,0.47818399999999883
scientists,52.649998,52.96879,0.3984839999999963
you,53.048485,53.287575,0.3984870000000029
see,53.287575,53.446968,0.23908999999999736
four,53.446968,53.686058,0.15939300000000145
hundred,53.686058,54.004845,0.23909000000000447
k,54.004845,54.24394,0.3187870000000004
nineteen,65.00942,65.50942,11.004575000000003
sure,87.36788,87.60769,22.358459999999994
sure,89.92586,90.08573,2.5579800000000006
but,90.245605,90.40548,0.3197449999999975
i,90.48541,90.56535,0.23980500000000404
bring,90.56535,90.80516,0.07993999999999346
that,90.80516,90.965034,0.23981000000000563
well,104.23465,104.39417,13.429490000000001
i'm,104.63347,104.793,0.3988200000000006
i've,105.032295,105.11206,0.3988250000000022
i,105.35135,105.431114,0.31905499999999165
think,105.431114,105.51088,0.07976399999999728
