Word,Start Time,End Time,start_time_diff
yeah,2.032587,2.1920056,0.0
can,2.5108428,2.5905523,0.4782557999999999
you,2.5905523,2.6702616,0.07970950000000032
hear,2.6702616,2.9093895,0.07970929999999976
me,2.9093895,3.068808,0.23912790000000017
cool,8.090494,8.329621,5.1811045
yeah,33.860756,34.02,25.770262000000002
awesome,34.25887,34.497738,0.39811399999999963
thank,34.656982,34.89585,0.3981119999999976
you,34.89585,35.055096,0.23886800000000363
well,35.53283,35.692078,0.6369799999999941
good,36.010567,36.16981,0.47773700000000474
afternoon,36.16981,36.488304,0.15924299999999647
thank,36.72717,36.886414,0.5573600000000027
you,36.886414,37.045662,0.15924400000000105
for,37.045662,37.443775,0.15924799999999806
your,38.080757,38.160378,1.0350949999999983
kendra,38.319622,38.55849,0.2388650000000041
and,38.717735,38.876984,0.39811299999999505
for,38.876984,39.11585,0.15924900000000264
starting,39.11585,39.354717,0.23886600000000158
the,39.354717,39.593586,0.23886699999999905
discussion,39.593586,39.912075,0.2388690000000011
out,39.912075,40.07132,0.3184889999999996
so,41.679108,41.99768,1.7670329999999979
you,41.99768,42.395893,0.3185720000000032
just,42.395893,42.873753,0.3982129999999984
mentioned,42.873753,43.03304,0.47785999999999973
that,43.03304,43.271965,0.15928699999999907
you,43.271965,43.771965,0.23892500000000183
are,43.98875,44.22768,0.7167850000000016
interested,44.22768,44.625893,0.2389299999999963
in,44.625893,44.78518,0.3982129999999984
taking,44.78518,45.103752,0.15928699999999907
spa,45.103752,45.42232,0.3185720000000032
after,45.42232,45.92232,0.3185679999999991
a,46.059467,46.21875,0.6371469999999988
long,46.21875,46.378036,0.15928300000000206
period,46.378036,46.616966,0.1592860000000016
of,46.616966,46.776253,0.2389299999999963
working,46.776253,47.174465,0.15928699999999907
which,47.33375,47.57268,0.557497000000005
is,47.57268,48.07268,0.2389299999999963
completely,48.13018,48.448753,0.5575000000000045
reasonable,48.448753,48.92661,0.31857300000000066
did,49.882324,49.961967,1.4335709999999935
you,49.961967,50.200893,0.07964300000000435
have,50.200893,50.439823,0.2389259999999993
anything,50.439823,50.838036,0.2389299999999963
in,50.838036,50.997322,0.3982130000000055
mind,50.997322,51.497322,0.1592859999999945
the,51.634464,51.79375,0.6371420000000043
that,52.03268,52.191967,0.3982159999999979
the,52.191967,52.35125,0.15928699999999907
university,52.35125,52.82911,0.15928300000000206
can,52.82911,53.22732,0.47785999999999973
negotiate,53.22732,53.46625,0.39820999999999884
with,53.46625,53.76,0.23893000000000342
you,54.119434,54.279186,0.653183999999996
just,54.678562,54.83831,0.5591280000000012
to,54.83831,54.918186,0.15974800000000045
make,54.918186,55.077934,0.07987599999999873
sure,55.077934,55.237686,0.15974800000000045
we're,55.237686,55.317562,0.15975199999999745
on,55.317562,55.397434,0.07987600000000583
the,55.397434,55.557186,0.07987199999999461
same,55.557186,55.716934,0.15975200000000456
page,55.716934,55.956562,0.15974800000000045
yeah,62.50631,62.586185,6.789375999999997
i,62.82581,62.905685,0.3194999999999979
can,62.905685,63.065437,0.07987500000000125
hear,63.065437,63.14531,0.15975200000000456
you,63.14531,63.225185,0.0798729999999992
can,63.46481,63.544685,0.3194999999999979
hear,63.544685,63.704437,0.07987500000000125
me,63.704437,64.02393,0.15975199999999745
alright,64.02393,64.10381,0.31949299999999425
