Word,Start Time,End Time,start_time_diff
how,0.35999998,0.44,0.0
are,0.44,0.52,0.08000002
you,0.52,0.76,0.08000000000000002
okay,4.92,5.08,4.4
let's,5.4,5.64,0.4800000000000004
see,5.64,5.96,0.23999999999999932
what's,6.3599997,6.8399997,0.7199997000000007
on,6.8399997,7.08,0.47999999999999954
the,7.08,7.3999996,0.24000030000000017
side,7.3999996,7.7999997,0.31999960000000005
so,26.858475,27.336527,19.458475399999998
what,27.336527,27.495876,0.4780520000000017
are,27.495876,27.575552,0.15934899999999885
your,27.575552,27.894255,0.07967599999999919
what,27.894255,28.053604,0.31870300000000285
are,28.053604,28.13328,0.15934899999999885
your,28.13328,28.292631,0.07967599999999919
thoughts,28.292631,28.531656,0.1593510000000009
so,28.531656,28.770683,0.2390250000000016
far,28.770683,28.930033,0.23902699999999655
yeah,62.254333,62.334064,33.483650000000004
so,62.57326,62.652996,0.3189269999999951
i'm,62.732727,62.81246,0.15946699999999936
my,62.81246,63.290855,0.0797330000000045
understanding,63.290855,63.530052,0.478394999999999
was,63.530052,63.769253,0.23919699999999722
that,63.769253,64.26926,0.23920100000000133
you,64.32738,64.80578,0.558127000000006
were,64.80578,65.1247,0.4783999999999935
seeking,65.1247,65.36391,0.31892000000000564
like,65.52337,65.6031,0.39866999999999564
the,65.68283,65.8423,0.15945999999999572
six,65.8423,66.24097,0.1594699999999989
month,66.24097,66.74097,0.39867000000000985
sa,67.75588,67.915344,1.5149100000000004
cervical,67.915344,68.31401,0.15946399999999983
and,68.55321,68.792404,0.6378660000000025
that,68.792404,68.95187,0.2391939999999977
one,68.95187,69.111336,0.15946599999999478
with,69.111336,69.270805,0.15946599999999478
if,69.43027,69.7492,0.3189339999999987
paid,69.7492,70.06813,0.3189300000000088
was,70.06813,70.56813,0.3189299999999946
a,70.62626,70.78572,0.5581300000000056
thousand,70.78572,71.18439,0.15945999999999572
a,71.18439,71.423584,0.39866999999999564
month,71.423584,71.583046,0.2391940000000119
and,73.895294,74.054756,2.4717100000000016
then,74.054756,74.37369,0.15946199999999067
for,74.37369,74.69262,0.3189339999999987
the,74.69262,74.931816,0.3189300000000088
patent,74.931816,75.431816,0.23919599999999264
portfolio,75.56968,76.04807,0.6378640000000075
that,76.04807,76.28727,0.4783899999999903
can,76.28727,76.44674,0.23920000000001096
go,76.44674,76.685936,0.1594699999999989
so,77.17973,77.41942,0.7329900000000009
the,77.41942,77.5792,0.23968999999999596
school,77.5792,77.97867,0.1597799999999978
willing,77.97867,78.29824,0.3994699999999938
to,78.29824,78.45802,0.319570000000013
go,78.45802,78.777596,0.1597799999999978
up,78.777596,79.277596,0.31957599999999786
to,79.57653,80.07653,0.7989340000000027
two,80.29556,80.615135,0.7190299999999894
twenty,80.615135,80.85481,0.3195750000000004
five,80.85481,81.0945,0.2396750000000054
k,81.0945,81.334175,0.23968999999999596
so,82.213,82.69235,1.1184999999999974
my,82.69235,83.011925,0.4793500000000108
proposal,83.011925,83.25161,0.3195750000000004
is,83.25161,83.49129,0.23968499999999437
going,83.49129,83.65107,0.239680000000007
to,83.65107,83.890755,0.1597799999999978
be,83.890755,84.390755,0.23968499999999437
approval,84.92936,85.24893,1.038605000000004
of,85.24893,85.40872,0.3195699999999988
the,85.40872,85.6484,0.159790000000001
sp,85.6484,85.88808,0.2396799999999928
i,86.04787,86.127754,0.399470000000008
think,86.127754,86.36744,0.07988399999999274
that,86.36744,86.44733,0.23968600000000606
like,86.52722,86.68701,0.1597799999999978
when,87.406044,87.565834,0.8788239999999945
you're,87.565834,87.88541,0.159790000000001
pouring,87.88541,88.38541,0.31957599999999786
your,88.44466,88.94466,0.5592500000000058
time,89.1637,89.40337,0.7190400000000068
and,89.40337,89.90337,0.2396699999999896
interests,90.04252,90.44198,0.6391500000000008
and,90.44198,90.68166,0.3994600000000048
into,90.68166,91.18166,0.2396799999999928
research,91.400696,91.64038,0.7190360000000027
that,92.37437,92.53414,0.9736740000000026
that,92.53414,92.773796,0.15976999999999464
is,92.773796,93.09334,0.23965600000001075
deserved,93.09334,93.25311,0.3195439999999934
so,93.49277,93.65254,0.3994299999999953
for,93.65254,93.81231,0.15977000000000885
a,93.81231,93.972084,0.15976999999999464
paid,93.972084,94.291626,0.15977399999999875
article,94.291626,94.61117,0.31954199999999844
up,94.61117,94.85082,0.3195440000000076
the,94.85082,95.0106,0.23964999999999748
six,95.0106,95.25025,0.1597799999999978
months,95.25025,95.489914,0.23964999999999748
would,95.489914,95.72957,0.23966400000000476
be,95.72957,95.96922,0.23965599999999654
approved,95.96922,96.208885,0.2396500000000117
but,96.52843,96.688194,0.5592099999999931
then,96.688194,96.92786,0.15976399999999558
for,96.92786,97.08762,0.2396659999999997
the,97.08762,97.58762,0.15976000000000568
portfolio,97.96637,98.44569,0.8787499999999966
it,99.723854,99.80374,1.7574840000000052
is,99.80374,100.30374,0.0798860000000019
our,100.842255,101.241684,1.0385149999999896
desires,101.241684,101.561226,0.399429000000012
like,101.721,101.88077,0.4793159999999972
retain,102.20031,102.59974,0.4793099999999981
you,102.59974,102.759514,0.3994299999999953
as,102.759514,102.91928,0.15977399999999875
a,102.91928,103.079056,0.15976600000000474
faculty,103.079056,103.478485,0.1597759999999937
so,103.63825,103.79803,0.5591940000000051
then,103.79803,104.03768,0.1597799999999978
that,104.03768,104.27734,0.23964999999999748
would,104.27734,104.43711,0.23966000000000065
be,104.43711,104.596886,0.15977000000000885
something,106.13,106.37,1.6928899999999913
that,106.37,106.61,0.2400000000000091
we,106.61,106.77,0.23999999999999488
hope,106.77,106.93,0.1599999999999966
to,106.93,107.43,0.1600000000000108
continue,107.49,107.81,0.5599999999999881
engaging,107.81,108.21,0.3200000000000074
you,108.21,108.37,0.3999999999999915
with,108.37,108.77,0.1600000000000108
post,108.77,109.17,0.3999999999999915
about,109.17,109.57,0.4000000000000057
so,109.97,110.21,0.7999999999999972
for,110.21,110.45,0.23999999999999488
that,110.45,110.61,0.2400000000000091
our,111.33,111.49,0.8799999999999955
proposal,111.49,111.81,0.1599999999999966
of,111.81,111.97,0.3200000000000074
the,111.97,112.45,0.1599999999999966
portfolio,112.45,112.77,0.480000000000004
would,112.77,113.01,0.3199999999999932
