Word,Start Time,End Time,start_time_diff
hi,1.7106521,1.7902173,0.0
i'm,1.9493477,2.108478,0.2386956
doing,2.108478,2.3471737,0.15913029999999995
good,2.3471737,2.5858693,0.23869570000000007
if,31.861826,32.021442,29.5146523
you,32.021442,32.181057,0.15961599999999976
wanna,32.181057,32.34067,0.15961500000000228
just,32.34067,32.580093,0.15961300000000023
jump,32.580093,32.73971,0.23942299999999506
right,32.73971,33.13875,0.15961700000000434
into,33.13875,33.218555,0.3990399999999994
it,33.218555,33.45798,0.07980500000000035
i,36.730095,37.049324,3.5115399999999966
believe,37.049324,37.448364,0.319229
for,37.448364,37.767593,0.3990399999999994
my,37.767593,38.267593,0.319229
for,39.36375,39.523365,1.5961570000000052
my,39.523365,39.762787,0.15961499999999518
patent,39.762787,40.161827,0.2394220000000047
portfolio,40.161827,40.64067,0.3990399999999994
i'd,41.215,41.455,1.053173000000001
like,41.455,41.775,0.23999999999999488
to,41.775,42.275,0.3200000000000003
sell,42.415,42.575,0.6400000000000006
this,42.575,42.735,0.1600000000000037
to,42.735,42.815002,0.1599999999999966
the,42.815002,42.895,0.08000200000000035
university,42.895,43.395,0.07999800000000334
so,43.455,43.615,0.5599999999999952
i,43.695,43.775,0.240000000000002
can,43.775,43.935,0.0799999999999983
fund,43.935,44.095,0.1600000000000037
this,44.095,44.335003,0.1599999999999966
about,44.335003,44.835003,0.24000300000000152
that,45.135002,45.295002,0.7999989999999997
i,45.375,45.615,0.23999799999999993
would,45.615,45.775,0.240000000000002
like,45.775,45.935,0.1599999999999966
to,45.935,46.175003,0.1600000000000037
take,46.175003,46.335003,0.24000299999999442
and,49.055,49.375,2.879997000000003
if,49.375,49.455,0.3200000000000003
you,49.455,49.615,0.0799999999999983
would,49.615,49.775,0.1600000000000037
like,49.775,49.935,0.1599999999999966
to,49.935,50.335,0.1600000000000037
discuss,50.335,50.655,0.3999999999999986
first,51.375,51.455,1.0399999999999991
my,51.615,51.855003,0.240000000000002
reasons,51.855003,52.095,0.24000300000000152
why,52.095,52.255,0.23999699999999535
we're,52.255,52.415,0.1600000000000037
taking,52.415,52.575,0.1599999999999966
the,52.575,52.655,0.1600000000000037
sa,52.655,52.815002,0.0799999999999983
article,52.815002,53.315002,0.16000199999999865
or,53.375,53.875,0.5599980000000002
my,54.415,54.915,1.0399999999999991
what,55.22936,55.388508,0.8143600000000006
i,55.547653,55.7068,0.31829299999999705
believe,55.7068,55.94552,0.15914700000000437
is,55.94552,56.104664,0.2387200000000007
the,56.104664,56.343384,0.15914399999999773
deserved,56.343384,56.66168,0.2387200000000007
price,56.66168,56.9004,0.3182959999999966
of,56.9004,57.059544,0.2387200000000007
my,57.059544,57.298264,0.15914400000000484
patent,57.298264,57.616554,0.2387200000000007
portfolio,57.616554,57.93485,0.3182899999999975
i,58.17357,58.332714,0.5570159999999973
would,58.332714,58.810154,0.15914400000000484
love,59.128445,59.28759,0.7957309999999964
to,59.28759,59.52631,0.1591450000000023
talk,59.52631,59.605885,0.2387200000000007
to,59.605885,59.68546,0.0795749999999984
you,59.68546,59.92418,0.0795749999999984
about,59.92418,60.083324,0.2387200000000007
that,60.083324,60.24247,0.15914399999999773
mh,69.25328,69.65265,9.169956000000006
yes,73.16704,73.56641,3.9137599999999964
yeah,133.9889,134.22836,60.82186
so,134.54764,134.86691,0.5587400000000002
i'm,134.94673,135.266,0.39909000000000106
afraid,135.266,135.50546,0.31926999999998884
i,135.58528,135.72,0.31928000000002044
think,135.8397,135.9993,0.2544199999999819
there's,135.9993,136.1589,0.15960000000001173
been,136.1589,136.3983,0.1595999999999833
a,136.3983,136.7175,0.2394000000000176
slight,136.7175,137.1963,0.31919999999999504
misunderstanding,137.1963,137.3559,0.4788000000000068
and,137.5155,137.5953,0.31919999999999504
i,137.6751,137.8347,0.1595999999999833
apologize,137.8347,138.3135,0.15960000000001173
for,138.3135,138.4731,0.4788000000000068
that,138.4731,138.6327,0.1595999999999833
as,139.9893,140.1489,1.5161999999999978
you,140.1489,140.3085,0.15960000000001173
know,140.3085,140.3883,0.15960000000001173
i,140.5479,140.7075,0.23939999999998918
happen,140.7075,140.8671,0.15960000000001173
been,140.8671,141.0267,0.1595999999999833
pouring,141.0267,141.2661,0.15960000000001173
a,141.2661,141.4257,0.23939999999998918
lot,141.4257,141.5853,0.15960000000001173
of,141.5853,141.7449,0.1595999999999833
hours,141.7449,142.2237,0.15960000000001173
into,142.2237,142.3833,0.4788000000000068
my,142.3833,142.54291,0.1595999999999833
work,142.54291,142.7025,0.1596100000000149
here,142.7025,142.8621,0.15958999999998014
and,143.3409,143.8409,0.6384000000000185
because,144.3783,144.6177,1.037399999999991
i,144.6975,144.7773,0.31919999999999504
want,144.7773,144.9369,0.07980000000000587
to,144.9369,145.0167,0.15960000000001173
i,145.2561,145.4157,0.31919999999999504
feel,145.4157,145.8147,0.1595999999999833
that,145.8147,146.05411,0.3990000000000009
obviously,147.8895,148.1289,2.0748000000000104
it's,148.2885,148.4481,0.3990000000000009
not,148.4481,148.5279,0.15960000000001173
a,148.5279,148.6875,0.07979999999997744
fault,148.6875,148.8471,0.15960000000001173
of,148.8471,149.0067,0.15960000000001173
the,149.0067,149.1663,0.1595999999999833
working,149.1663,149.5653,0.15960000000001173
conditions,149.5653,149.6451,0.3990000000000009
of,149.6451,149.7249,0.07980000000000587
the,149.7249,149.8047,0.07979999999997744
university,149.8047,150.3047,0.07980000000000587
but,150.5229,150.7623,0.718199999999996
i,150.8421,151.0815,0.31919999999999504
feel,151.0815,151.32089,0.2394000000000176
that,151.32089,151.695,0.239389999999986
because,151.81485,151.89474,0.4939600000000155
of,151.89474,151.97464,0.07989000000000601
these,151.97464,152.21434,0.07989999999998076
long,152.21434,152.45403,0.23969999999999914
working,152.45403,152.69371,0.23968999999999596
days,152.69371,152.8535,0.2396800000000212
and,152.8535,153.0932,0.15978999999998678
managing,153.0932,153.5932,0.23969999999999914
my,153.81226,154.05196,0.7190600000000131
lab,154.05196,154.21175,0.23969999999999914
and,154.21175,154.45143,0.15978999999998678
my,154.45143,154.61122,0.2396799999999928
students,154.61122,155.0906,0.1597900000000152
that,155.0906,155.2504,0.4793799999999919
i've,155.41019,155.72977,0.31959000000000515
become,155.72977,156.22977,0.319580000000002
creatively,156.60863,157.10863,0.8788600000000031
burnt,157.3277,157.5674,0.7190699999999879
out,157.5674,157.96687,0.23969999999999914
on,157.96687,158.04677,0.399470000000008
the,158.04677,158.12666,0.07990000000000919
that,158.12666,158.20656,0.07988999999997759
i've,158.28645,158.52615,0.1597900000000152
been,158.52615,158.76584,0.23969999999999914
struggling,158.76584,159.24521,0.23968999999999596
to,159.24521,159.48491,0.47936999999998875
think,159.48491,159.96428,0.23970000000002756
you,160.04417,160.20396,0.5592599999999948
know,160.20396,160.28387,0.15978999999998678
creatively,160.44366,160.94366,0.23969999999999914
about,161.00293,161.50293,0.5592699999999979
innovations,161.6421,161.8019,0.6391700000000071
and,161.8019,161.96169,0.15979999999998995
my,161.96169,162.12149,0.1597900000000152
patents,162.12149,162.52097,0.15979999999998995
and,163.16014,163.63951,1.0386500000000183
my,163.63951,163.87921,0.47936999999998875
plan,163.87921,164.1189,0.23969999999999914
was,164.1189,164.27869,0.23968999999999596
to,164.27869,164.43848,0.1597900000000152
take,164.43848,164.67816,0.15978999999998678
a,164.67816,164.83797,0.2396799999999928
twenty,164.83797,165.15755,0.15981000000002155
month,165.15755,165.31734,0.31957999999997355
a,165.47713,165.71683,0.319580000000002
twenty,165.71683,165.95651,0.23969999999999914
one,165.95651,166.1962,0.2396800000000212
months,166.1962,166.51578,0.23968999999999596
medical,166.51578,166.91527,0.319580000000002
but,167.25,167.41,0.7342199999999934
she,167.41,167.57,0.1599999999999966
know,167.57,167.73001,0.1599999999999966
a,168.21,168.29001,0.6400000000000148
lot,168.29001,168.53,0.08000999999998726
more,168.53,168.69,0.23999000000000592
than,168.69,168.77,0.1599999999999966
the,168.77,168.93001,0.0800000000000125
six,168.93001,169.33,0.16000999999999976
article,169.33,169.73001,0.3999900000000025
but,170.37001,170.69,1.0400099999999952
i,170.85,171.01001,0.4799899999999866
would,171.01001,171.49,0.16000999999999976
not,171.49,171.89,0.479990000000015
rely,171.89,172.13,0.39999999999997726
you,172.29001,172.37001,0.40001000000000886
know,172.37001,172.45001,0.0800000000000125
i,172.61,172.69,0.23999000000000592
do,172.69,172.85,0.07999999999998408
not,172.85,173.09001,0.1599999999999966
expect,173.09001,173.25,0.24001000000001227
the,173.25,173.33,0.15998999999999342
university,173.33,173.83,0.0800000000000125
to,174.05,174.29001,0.7199999999999989
pay,174.29001,174.45001,0.24000999999998385
me,174.45001,174.69,0.1599999999999966
during,174.69,174.93001,0.23999000000000592
this,174.93001,175.17,0.24001000000001227
twenty,175.17,175.33,0.2399899999999775
one,175.33,175.49,0.160000000000025
month,175.49,175.81,0.1599999999999966
article,175.81,176.21,0.3199999999999932
i,177.41,177.49,1.5999999999999943
would,177.49,177.65001,0.0800000000000125
plan,177.65001,177.89,0.16000999999999976
to,177.89,178.21,0.2399899999999775
financially,178.21,178.53,0.3200000000000216
support,178.53,178.93001,0.3199999999999932
myself,178.93001,179.01001,0.40001000000000886
and,179.25,179.33,0.31998999999999
i,179.49,179.57,0.2400000000000091
was,179.57,179.73001,0.07999999999998408
hoping,179.73001,179.97,0.16000999999999976
that,179.97,180.13,0.23999000000000592
i,180.21,180.29001,0.2400000000000091
would,180.29001,180.37001,0.08000999999998726
be,180.37001,180.53,0.0800000000000125
able,180.53,180.69,0.15998999999999342
to,180.69,181.01001,0.1599999999999966
financially,181.01001,181.25,0.32000999999999635
support,181.25,181.49,0.23999000000000592
myself,181.49,181.73001,0.2400000000000091
by,181.73001,181.97,0.24000999999998385
selling,181.97,182.47,0.23999000000000592
my,182.78464,183.10422,0.8146399999999971
entire,183.10422,183.60422,0.319580000000002
portfolio,183.82327,184.32327,0.71905000000001
to,184.62222,184.782,0.7989499999999907
the,184.782,184.94179,0.15978000000001202
university,184.94179,185.44179,0.15978999999998678
for,186.22011,186.61958,1.278320000000008
four,187.65822,187.8979,1.4381099999999947
hundred,187.8979,188.21748,0.2396799999999928
thousand,188.21748,188.53706,0.319580000000002
dollars,188.53706,188.93652,0.319580000000002
yeah,201.2511,201.4905,12.714040000000011
yeah,287.6009,287.7602,86.34980000000002
so,287.99915,288.23807,0.3982499999999618
i,288.31772,288.47702,0.31857000000002245
think,288.47702,288.95493,0.15929999999997335
what,288.95493,289.19388,0.4779100000000085
is,289.19388,289.43283,0.23894999999998845
important,289.43283,289.7514,0.2389500000000453
to,289.7514,289.83105,0.3185699999999656
me,289.83105,290.14966,0.0796500000000151
is,290.14966,290.30896,0.3186099999999783
the,290.30896,290.46826,0.1593000000000302
length,290.46826,290.7072,0.15929999999997335
of,290.7072,290.86652,0.2389400000000137
the,290.86652,291.0258,0.1593199999999797
sa,291.0258,291.10544,0.15928000000002385
article,291.10544,291.58334,0.0796399999999835
i,292.69843,292.85773,1.5929899999999861
plan,292.85773,293.17633,0.1593000000000302
to,293.17633,293.49493,0.31860000000000355
you,293.6542,293.73386,0.4778699999999958
know,293.73386,293.89316,0.07965999999998985
i've,294.1321,294.21176,0.39823999999998705
plan,294.21176,294.37106,0.0796600000000467
to,294.37106,294.76932,0.15929999999997335
attend,294.76932,295.16754,0.3982599999999934
another,295.16754,295.66754,0.3982199999999807
an,295.7251,296.12335,0.5575600000000236
institute,296.12335,296.28265,0.39825000000001864
for,296.28265,296.78265,0.15929999999997335
if,297.3343,297.73367,1.051649999999995
for,297.73367,298.13306,0.3993700000000331
continued,298.13306,298.53244,0.3993899999999826
studies,298.53244,298.9318,0.39938000000000784
for,298.9318,299.09155,0.3993600000000015
a,299.09155,299.17142,0.15974999999997408
bit,299.17142,299.67142,0.07987000000002809
to,299.73056,299.97018,0.5591400000000135
help,299.97018,300.44943,0.23962000000000216
myself,300.44943,300.68906,0.4792499999999791
creatively,300.68906,301.00854,0.23962999999997692
maybe,301.00854,301.32806,0.31947999999999865
charge,301.32806,301.72742,0.31952000000001135
and,301.72742,301.8073,0.3993600000000015
then,301.8073,301.96704,0.07988000000000284
to,301.96704,302.1268,0.15973999999999933
go,302.1268,302.20667,0.15976000000000568
in,302.20667,302.28656,0.07986999999997124
a,302.28656,302.60605,0.07989000000003443
vacation,302.60605,302.84567,0.3194899999999734
with,302.84567,303.00543,0.23962000000000216
my,303.00543,303.16516,0.15976000000000568
partner,303.16516,303.48468,0.15973000000002457
so,304.1237,304.6237,0.9585399999999709
what,304.84256,305.08218,0.7188600000000065
matters,305.08218,305.40167,0.23962000000000216
me,305.40167,305.56143,0.31949000000003025
i,306.12054,306.20044,0.7188699999999812
think,306.20044,306.36017,0.07990000000000919
the,306.36017,306.51993,0.15972999999996773
most,306.51993,306.75955,0.15976000000000568
is,306.75955,307.25955,0.23962000000000216
to,307.31866,307.63818,0.5591100000000324
be,307.63818,307.71805,0.3195199999999545
able,307.71805,307.8778,0.07987000000002809
to,307.8778,308.03754,0.15974999999997408
have,308.03754,308.11743,0.15973999999999933
this,308.11743,308.35706,0.07989000000003443
twenty,308.35706,308.59668,0.23962999999997692
one,308.59668,308.8363,0.23962000000000216
months,308.8363,309.1558,0.23962000000000216
off,309.1558,309.39542,0.319500000000005
and,309.8896,310.04926,0.7337999999999738
so,310.04926,310.1291,0.15966000000003078
i,310.28876,310.68793,0.23950000000002092
understand,310.68793,310.8476,0.3991699999999696
of,310.92743,311.0871,0.23950000000002092
course,311.0871,311.16693,0.15967000000000553
that,311.3266,311.56607,0.23949999999996407
i,311.72574,311.80557,0.3991399999999885
cannot,311.80557,312.04507,0.07983000000001539
be,312.04507,312.20474,0.23950000000002092
that,312.6039,312.76358,0.5588300000000004
cannot,312.76358,313.00308,0.15967999999998028
be,313.00308,313.08292,0.23950000000002092
a,313.08292,313.24258,0.07983999999999014
paid,313.24258,313.4821,0.15965999999997393
article,313.4821,313.9611,0.23952000000002727
for,313.9611,314.04092,0.478999999999985
all,314.04092,314.2006,0.07982000000004064
this,314.2006,314.36026,0.15967999999998028
months,314.36026,314.59976,0.15965999999997393
but,314.75943,315.25943,0.39917000000002645
based,315.39807,315.55774,0.6386400000000094
on,315.55774,315.63757,0.15967000000000553
what,315.63757,315.79724,0.07982999999995855
you're,315.79724,315.9569,0.15967000000000553
saying,315.9569,316.11658,0.15966000000003078
the,316.11658,316.27625,0.15967999999998028
first,316.27625,316.51575,0.15967000000000553
six,316.51575,316.75525,0.23950000000002092
months,316.75525,316.91492,0.23949999999996407
i,317.23425,317.3141,0.478999999999985
could,317.3141,317.5536,0.07985000000002174
receive,317.5536,317.7931,0.23950000000002092
a,317.7931,317.95276,0.23949999999996407
thousand,317.95276,318.2721,0.15966000000003078
dollars,318.2721,318.5116,0.31934000000001106
a,318.5116,318.59143,0.23949999999996407
month,318.59143,318.7511,0.07983000000001539
alright,321.06625,321.1461,2.4748200000000224
and,321.3856,321.70493,0.3193499999999858
with,321.70493,321.94443,0.31932999999997946
without,321.94443,322.3436,0.23950000000002092
understanding,322.3436,322.82257,0.3991699999999696
for,322.82257,323.30157,0.4789700000000039
the,323.30157,323.46124,0.47900000000004184
next,323.46124,323.96124,0.1596699999999487
fifteen,325.14972,325.30893,1.6884800000000268
months,325.30893,325.54776,0.1592099999999732
would,326.58267,326.66226,1.273740000000032
i,326.82147,326.9011,0.23879999999996926
still,326.9011,326.9807,0.07963000000000875
be,326.9807,327.13992,0.07960000000002765
able,327.13992,327.2195,0.1592200000000048
to,327.2195,327.37872,0.07957999999996446
have,327.37872,327.61755,0.1592200000000048
that,327.61755,328.11755,0.2388300000000072
time,329.0505,329.44855,1.4329500000000053
off,329.44855,329.76697,0.398050000000012
given,329.76697,330.0058,0.31842000000000326
yeah,338.6238,338.8632,8.856830000000002
yes,349.7945,349.95407,11.17070000000001
i,350.19345,350.67218,0.3989499999999566
understand,350.67218,350.91156,0.4787300000000414
so,354.12094,354.6002,3.448759999999993
if,354.6002,354.8398,0.47925999999995383
that,354.8398,355.1593,0.23960000000005266
is,355.1593,355.31906,0.31949999999994816
an,355.31906,355.5587,0.15976000000000568
agreement,355.5587,355.7983,0.2396400000000085
the,355.95807,356.1977,0.3993700000000331
twenty,356.1977,356.35742,0.23962999999997692
one,356.35742,356.59705,0.15971999999999298
months,356.59705,356.7568,0.23963000000003376
i,356.99643,357.0763,0.399379999999951
i,357.23605,357.3958,0.23962000000000216
don't,357.3958,357.87506,0.15975000000003092
understand,357.87506,358.03482,0.4792600000000107
that,358.03482,358.27444,0.15976000000000568
the,358.27444,358.51407,0.23962000000000216
remaining,358.51407,358.91342,0.23962999999997692
fifteen,358.91342,359.15305,0.3993499999999699
months,359.15305,359.39267,0.23963000000003376
would,359.39267,359.55243,0.23962000000000216
not,359.55243,359.7122,0.15976000000000568
be,359.7122,360.03168,0.15976999999998043
supported,360.03168,360.3512,0.31947999999999865
if,361.07007,361.2298,1.0383899999999926
you,361.2298,361.38956,0.15973000000002457
wanna,361.38956,361.88956,0.15976000000000568
discuss,361.94867,362.2682,0.5591099999999756
my,364.59912,364.99783,2.650450000000035
portfolio,364.99783,365.31683,0.3987099999999941
i,365.55606,365.71555,0.5582299999999805
also,365.71555,365.95477,0.15949000000000524
would,365.95477,366.194,0.23921999999998889
like,366.194,366.35352,0.23923000000002048
to,366.35352,366.6725,0.15951999999998634
say,366.6725,366.75223,0.3189800000000105
at,366.75223,366.9117,0.07972999999998365
this,366.9117,367.0712,0.1594699999999989
university,367.0712,367.46994,0.15949999999998
you,367.54968,367.70917,0.4784800000000473
i,367.86865,367.9484,0.3189699999999789
feel,367.9484,368.10788,0.07974999999999
very,368.10788,368.60788,0.1594800000000305
supported,368.90533,369.14456,0.7974499999999694
here,369.14456,369.38382,0.23923000000002048
by,369.38382,369.46356,0.23926000000000158
the,369.46356,369.62305,0.0797399999999584
faculty,369.62305,370.12305,0.15949000000000524
and,370.18124,370.34076,0.5581900000000246
the,370.34076,370.84076,0.15951999999998634
administration,371.2977,371.45718,0.9569400000000314
no,398.11188,398.1914,26.814179999999965
i,398.50964,398.74832,0.3977600000000052
think,398.74832,398.90744,0.238679999999988
i,398.987,399.14612,0.23868000000004486
think,399.14612,399.3052,0.15911999999997306
we,399.3052,399.46432,0.1590800000000172
both,399.46432,399.62344,0.15911999999997306
got,399.62344,399.78256,0.1591200000000299
of,399.78256,399.94168,0.15911999999997306
it,399.94168,400.1008,0.1591200000000299
yeah,401.05548,401.29413,1.1137999999999693
yeah,439.5139,439.6732,38.45841999999999
so,439.99176,440.49176,0.47786000000002105
to,441.42548,441.92548,1.4337199999999939
fund,441.98303,442.222,0.557549999999992
my,442.222,442.5406,0.2389699999999948
sa,442.5406,442.69986,0.31860000000000355
tobacco,442.69986,443.0981,0.1592600000000175
which,443.25742,443.73532,0.5575600000000236
on,443.73532,444.23532,0.4778999999999769
is,444.37253,444.77078,0.6372099999999818
something,444.77078,445.0894,0.39825000000001864
i,445.2487,445.3283,0.47791999999998325
need,445.3283,445.56726,0.07960000000002765
right,445.56726,445.72656,0.2389599999999632
now,445.72656,445.8062,0.1593000000000302
i,446.61835,447.11835,0.8917900000000145
would,447.25632,447.75632,0.6379699999999957
vaguely,447.974,448.37274,0.717679999999973
need,448.37274,448.61197,0.39874000000003207
at,448.61197,448.77145,0.23922999999996364
least,448.77145,449.01068,0.1594800000000305
three,449.01068,449.24994,0.23922999999996364
hundred,449.24994,449.5689,0.23926000000000158
fifty,449.5689,449.88788,0.31896000000000413
thousand,449.88788,450.28662,0.3189800000000105
dollars,450.28662,450.68533,0.39874000000003207
which,451.8815,452.2005,1.5948799999999892
know,452.2005,452.43973,0.31899999999996
a,452.43973,452.51947,0.23923000000002048
lot,452.51947,452.7587,0.07974000000001524
more,452.7587,453.15744,0.23922999999996364
than,453.15744,453.4764,0.39874000000003207
the,453.4764,453.71564,0.31896000000000413
offer,453.71564,454.03464,0.23923999999999523
gave,454.03464,454.27386,0.3190000000000168
