Word,Start Time,End Time,start_time_diff
hi,2.278484,2.758165,0.0
i'm,16.759756,16.999023,14.481271999999999
honestly,16.999023,17.499023,0.23926700000000167
quite,17.557318,17.956097,0.5582949999999975
confused,17.956097,18.434635,0.3987790000000011
myself,18.434635,18.594147,0.47853800000000035
so,18.753658,18.992928,0.3190230000000014
i'm,19.15244,19.232195,0.3987819999999971
just,19.232195,19.391708,0.07975500000000224
reading,19.391708,19.710732,0.15951300000000046
through,19.710732,19.95,0.31902399999999886
like,20.029757,20.189268,0.3190249999999999
the,20.348782,20.588049,0.3190249999999999
deal,20.588049,20.907074,0.23926700000000167
notes,20.907074,21.226097,0.3190249999999999
on,21.226097,21.465366,0.31902299999999784
the,21.465366,21.965366,0.23926900000000018
pre,22.661707,23.161707,1.1963410000000003
negotiation,23.539024,24.017561,0.8773170000000015
and,24.017561,24.256828,0.4785369999999993
maybe,24.256828,24.496098,0.23926699999999812
we,24.496098,24.65561,0.2392700000000012
couldn't,24.65561,24.894878,0.15951199999999943
work,24.894878,25.134148,0.23926799999999915
it,25.134148,25.213902,0.2392700000000012
out,25.213902,25.532927,0.07975400000000121
oh,32.17114,32.250965,6.957238
i,32.490437,32.570263,0.31929699999999883
guess,32.570263,32.88956,0.07982599999999707
maybe,32.88956,33.129036,0.31929700000000594
like,33.20886,33.288685,0.31929999999999836
we,33.448334,33.607983,0.2394740000000013
talk,33.607983,33.76763,0.1596489999999946
it,33.76763,33.92728,0.15964699999999965
out,33.92728,34.3264,0.1596500000000063
then,34.3264,34.565876,0.39911999999999637
the,34.565876,34.80535,0.23947600000000335
like,34.965,35.20447,0.3991240000000005
right,35.763245,36.082542,0.7982449999999943
about,37.040436,37.27991,1.277191000000002
the,37.27991,37.519386,0.2394740000000013
deal,37.519386,37.918507,0.23947599999999625
would,37.918507,38.078156,0.39912100000000095
be,38.078156,38.23781,0.1596490000000017
on,38.23781,38.47728,0.1596540000000033
notes,38.47728,38.716755,0.23946999999999719
by,43.839577,43.99915,5.362296999999998
i,44.23851,44.398087,0.39893299999999954
guess,44.398087,44.55766,0.15957699999999875
you,44.55766,44.717236,0.15957300000000174
could,44.717236,44.87681,0.15957600000000127
read,44.87681,45.11617,0.15957399999999922
my,45.11617,45.61617,0.2393599999999978
negotiation,46.073616,46.31298,0.9574460000000045
for,46.31298,46.55234,0.2393640000000019
now,46.55234,47.05234,0.2393599999999978
button,47.66936,48.16936,1.1170199999999966
or,48.945957,49.445957,1.2765970000000024
okay,58.8508,58.93044,9.904843
okay,59.169357,59.248993,0.3185569999999984
yeah,59.48791,59.64719,0.3185530000000014
i,59.80647,59.88611,0.31855999999999796
guess,59.88611,60.125027,0.07964000000000482
you,60.125027,60.204666,0.2389170000000007
could,60.204666,60.36394,0.07963900000000024
read,60.36394,60.52322,0.15927399999999636
it,60.52322,60.60286,0.15928000000000253
and,60.841778,61.001057,0.3185579999999959
then,61.001057,61.160336,0.15927900000000506
we,61.160336,61.319614,0.15927899999999795
could,61.319614,61.55853,0.15927800000000047
figure,61.55853,61.877087,0.23891599999999613
out,61.877087,62.036366,0.31855700000000553
like,117.0615,117.300896,55.18441299999999
red,117.300896,117.5403,0.23939599999999928
blue,117.5403,117.6999,0.2394040000000075
like,117.7797,118.0191,0.2394000000000034
my,118.0191,118.178696,0.23939999999998918
role,118.178696,118.4181,0.15959600000000762
and,118.4181,118.6575,0.2394039999999933
himself,118.6575,118.8171,0.2394000000000034
yeah,120.66854,120.908195,2.011039999999994
yeah,126.18052,126.34029,5.511980000000008
well,126.57994,126.73971,0.3994199999999921
right,128.01785,128.17761,1.4379100000000165
can,128.41727,128.65692,0.3994199999999921
yeah,128.89658,128.97646,0.4793099999999981
you,129.21611,129.29599,0.3195299999999861
can,129.29599,129.53564,0.07988000000000284
tomorrow,129.53564,129.77528,0.2396500000000117
but,129.85518,130.01494,0.3195399999999893
i'm,130.09482,130.17471,0.2396400000000085
the,130.17471,130.33447,0.07989000000000601
provost,130.33447,130.83447,0.15976000000000568
and,130.97354,131.47354,0.6390700000000038
basically,132.09192,132.59192,1.1183799999999735
my,132.73099,132.97064,0.6390700000000038
goal,132.97064,133.1304,0.2396500000000117
is,133.1304,133.29018,0.15976000000000568
to,133.625,133.785,0.49459999999999127
try,133.785,133.945,0.1599999999999966
to,133.945,134.345,0.1599999999999966
maintain,134.345,134.585,0.4000000000000057
like,134.74501,134.825,0.40001000000000886
the,134.985,135.225,0.23999000000000592
talent,135.225,135.545,0.23999999999998067
at,135.545,135.705,0.3199999999999932
the,135.705,135.865,0.160000000000025
university,135.865,136.365,0.1599999999999966
by,137.065,137.38501,1.1999999999999886
proposing,138.265,138.765,1.1999999999999886
a,139.065,139.545,0.8000000000000114
good,139.545,139.865,0.47999999999998977
enough,139.865,140.105,0.3200000000000216
deal,140.105,140.345,0.23999999999998067
so,140.345,140.585,0.2400000000000091
that,140.585,140.825,0.2400000000000091
when,140.825,141.325,0.23999999999998067
you,141.465,141.705,0.6400000000000148
go,141.705,141.785,0.2400000000000091
on,141.785,141.945,0.07999999999998408
your,141.945,142.265,0.1599999999999966
cervical,142.265,142.765,0.3199999999999932
you're,143.625,144.02501,1.3600000000000136
more,144.02501,144.425,0.40001000000000886
inclined,144.425,144.66501,0.3999900000000025
to,144.66501,144.825,0.24000999999998385
come,144.825,145.065,0.15998999999999342
back,145.065,145.465,0.2400000000000091
and,145.465,145.705,0.4000000000000057
work,145.705,146.02501,0.2400000000000091
for,146.02501,146.185,0.32000999999999635
the,146.185,146.345,0.15998999999999342
university,146.345,146.845,0.1599999999999966
and,147.465,147.625,1.1200000000000045
i'm,147.705,147.865,0.2400000000000091
doing,147.865,148.185,0.1599999999999966
that,148.185,148.345,0.3199999999999932
by,149.56,149.8,1.375
using,149.8,150.28,0.2400000000000091
the,150.28,150.78,0.47999999999998977
ip,151.31999,151.56,1.0399899999999889
plan,151.56,151.88,0.24001000000001227
that,151.88,152.12,0.3199999999999932
they,152.12,152.36,0.2400000000000091
gave,152.36,152.6,0.2400000000000091
me,152.6,152.68,0.23999999999998067
which,152.84,153.0,0.2400000000000091
is,153.0,153.16,0.1599999999999966
basically,153.16,153.64,0.1599999999999966
a,153.64,153.88,0.47999999999998977
max,153.88,154.2,0.2400000000000091
of,154.2,154.36,0.3199999999999932
two,154.36,154.52,0.160000000000025
hundred,154.52,154.76,0.1599999999999966
and,154.76,154.92,0.23999999999998067
seventy,154.92,155.31999,0.1599999999999966
five,155.31999,155.56,0.3999900000000025
thousand,156.04,156.52,0.720010000000002
dollars,156.52,157.02,0.4800000000000182
and,157.64,157.95999,1.1199999999999761
the,157.95999,158.28,0.3199900000000184
ip,158.68,159.18,0.720010000000002
portfolio,159.48,159.88,0.799999999999983
which,159.88,160.28,0.4000000000000057
you,160.28,160.6,0.4000000000000057
can,160.6,161.0,0.3199999999999932
buy,161.0,161.16,0.4000000000000057
a,161.16,161.4,0.1599999999999966
share,161.4,161.72,0.2400000000000091
out,161.72,161.8,0.3199999999999932
of,161.8,162.3,0.0800000000000125
and,162.52,163.02,0.7199999999999989
the,164.13332,164.2927,1.6133199999999874
given,164.2927,164.61147,0.15937999999999874
rate,164.61147,164.93024,0.31877000000000066
for,164.93024,165.3287,0.31877000000000066
your,165.3287,165.72716,0.39846000000000004
six,165.72716,165.88655,0.39846000000000004
well,166.4444,166.60378,0.7172400000000039
a,166.84285,167.00224,0.39844999999999686
minimum,167.00224,167.4007,0.15939000000000192
of,167.4007,167.56009,0.39846000000000004
six,167.56009,167.87886,0.15939000000000192
months,167.87886,168.11794,0.31877000000000066
leave,168.67578,169.17578,0.7969200000000001
paid,169.393,169.87115,0.7172199999999975
would,169.87115,170.03055,0.4781499999999994
be,170.03055,170.34932,0.1594000000000051
ten,170.34932,170.5087,0.31877000000000066
thousand,170.5087,170.90717,0.15937999999999874
per,170.90717,171.14624,0.3984700000000032
month,171.14624,171.64624,0.23906999999999812
for,171.78378,172.02286,0.6375400000000013
those,172.02286,172.18224,0.2390800000000013
six,172.18224,172.42131,0.15937999999999874
months,172.42131,172.66039,0.23906999999999812
and,172.66039,172.89948,0.2390800000000013
anything,172.89948,173.37762,0.23909000000000447
after,173.37762,173.6964,0.47813999999999623
would,173.6964,173.85577,0.31878000000000384
be,173.85577,174.35577,0.15936999999999557
unpaid,174.41362,174.73239,0.557850000000002
but,175.21054,175.60901,0.7969200000000001
you,176.00746,176.16685,0.7969200000000001
would,176.16685,176.40593,0.15939000000000192
have,176.40593,176.5653,0.2390800000000013
the,176.5653,176.88408,0.15936999999999557
opportunity,176.88408,177.36224,0.31878000000000384
to,177.36224,177.681,0.4781600000000026
extend,177.681,178.07947,0.3187599999999975
your,178.07947,178.47794,0.3984699999999748
medical,178.47794,178.95609,0.3984700000000032
if,179.36934,179.608,0.8914000000000044
need,179.608,179.92624,0.2386600000000101
be,179.92624,180.1649,0.31824000000000296
and,180.56268,180.88092,0.6364399999999932
we,180.88092,181.04004,0.31824000000000296
could,181.04004,181.54004,0.15912000000000148
negotiate,181.59692,181.8356,0.5568800000000067
the,181.8356,181.99472,0.238679999999988
credits,181.99472,182.23338,0.15912000000000148
of,182.23338,182.47206,0.2386600000000101
the,182.47206,182.63116,0.238679999999988
buyout,182.63116,183.02896,0.15909999999999513
as,183.02896,183.18806,0.3978000000000179
well,183.18806,183.42674,0.15909999999999513
yes,193.475,193.63501,10.286939999999987
i,193.955,194.195,0.4800000000000182
believe,194.195,194.43501,0.23999999999998067
so,194.43501,194.675,0.24001000000001227
i,196.115,196.195,1.6799900000000036
wasn't,196.195,196.695,0.07999999999998408
sorry,197.07501,197.315,0.8800099999999986
i,197.71501,197.79501,0.6400000000000148
wasn't,197.79501,198.115,0.07999999999998408
quite,198.115,198.515,0.3199900000000184
sure,198.515,198.755,0.39999999999997726
when,198.755,198.835,0.2400000000000091
i,198.99501,199.07501,0.24001000000001227
read,199.07501,199.235,0.07999999999998408
that,199.235,199.395,0.15999000000002184
if,199.395,199.475,0.1599999999999966
i,199.55501,199.79501,0.16000999999999976
interpreted,199.79501,200.27501,0.23999999999998067
it,200.27501,200.77501,0.4800000000000182
correctly,200.99501,201.315,0.7199999999999989
but,201.475,201.975,0.4799899999999866
they,202.035,202.27501,0.5600000000000023
said,202.27501,202.43501,0.24001000000001227
the,202.43501,202.675,0.1599999999999966
maximum,202.675,203.175,0.23999000000000592
amount,203.395,203.55501,0.7199999999999989
i,203.71501,204.035,0.32000999999999635
couldn't,204.035,204.27501,0.31998999999999
give,205.57,205.81001,1.5349999999999966
out,205.81001,206.05,0.24001000000001227
was,206.05,206.21,0.23999000000000592
four,206.21,206.29001,0.1599999999999966
hundred,206.29001,206.53001,0.08000999999998726
and,206.53001,206.69,0.2400000000000091
seventy,206.69,207.01001,0.15998999999999342
five,207.01001,207.25,0.32000999999999635
k,207.25,207.33,0.23999000000000592
i,207.49,207.65001,0.2400000000000091
can't,207.65001,208.05,0.16000999999999976
exceed,208.05,208.29001,0.3999900000000025
that,208.29001,208.45001,0.24000999999998385
okay,257.7461,257.9056,49.45609000000002
i,259.59338,259.7527,1.847280000000012
definitely,259.7527,260.23053,0.1593199999999797
hear,260.23053,260.46945,0.4778299999999831
you,260.46945,260.70837,0.23892000000000735
i'm,261.34552,261.58447,0.876070000000027
pretty,261.58447,261.8234,0.23894999999998845
sure,261.8234,262.06232,0.2389299999999821
that,262.06232,262.2216,0.23892000000000735
the,262.2216,262.3809,0.15928000000002385
other,262.3809,262.6198,0.15929999999997335
