Word,Start Time,End Time,start_time_diff
i,2.6730926,2.8326802,0.0
know,2.8326802,2.9922678,0.15958760000000005
what,3.0720618,3.2316494,0.2393816000000002
happened,3.2316494,3.5508246,0.1595875999999996
okay,4.268969,4.4285564,1.0373196000000005
so,4.5881443,4.8275256,0.3191752999999995
forty,4.8275256,5.066907,0.23938130000000069
k,5.066907,5.226495,0.2393813999999992
for,5.226495,5.386082,0.15958800000000029
four,5.386082,5.54567,0.15958700000000015
months,5.54567,5.7052574,0.15958800000000029
paid,5.7052574,5.9446387,0.1595873999999995
leave,5.9446387,6.1042266,0.2393812999999998
a,6.263814,6.423402,0.3191753000000004
ten,6.423402,6.9021645,0.15958800000000029
k,6.9021645,7.0617523,0.4787624999999993
per,7.0617523,7.2213397,0.1595878000000006
month,7.2213397,7.3809276,0.1595873999999995
forty,7.620309,7.939484,0.3989693000000001
percent,7.939484,8.019278,0.31917500000000043
of,8.019278,8.0990715,0.0797939999999997
ip,8.338453,8.498041,0.31917499999999954
bought,8.498041,8.657628,0.15958800000000117
for,8.657628,8.737422,0.15958700000000015
a,8.737422,8.817216,0.0797939999999997
hundred,8.817216,9.056598,0.0797939999999997
and,9.056598,9.216186,0.2393819999999991
ten,9.216186,9.455566,0.15958800000000117
k,9.455566,9.615154,0.23937999999999882
yes,10.014123,10.173711,0.5585570000000004
the,10.333299,10.492887,0.31917600000000057
trip,10.492887,10.732267,0.1595879999999994
take,10.732267,11.051443,0.2393800000000006
place,11.051443,11.21103,0.31917600000000057
and,11.450412,11.61,0.39896899999999924
then,11.61,12.11,0.1595879999999994
on,12.24835,12.567525,0.6383500000000009
return,12.567525,12.647319,0.31917499999999954
to,12.647319,12.806907,0.0797939999999997
the,12.806907,12.886701,0.15958800000000117
university,12.966495,13.365463,0.1595879999999994
you,13.525051,13.684639,0.5585559999999994
get,13.684639,13.764432,0.15958800000000117
a,13.764432,14.083608,0.07979299999999867
return,14.083608,14.322989,0.31917600000000057
fund,14.322989,14.482576,0.23938099999999984
of,14.482576,14.721958,0.15958700000000015
twenty,14.721958,14.96134,0.23938200000000087
k,14.96134,15.120927,0.2393819999999991
perfect,18.095,18.575,3.133659999999999
when,42.731174,42.890785,24.636174000000004
you're,42.890785,43.21,0.15961099999999817
you're,43.21,43.60902,0.3192149999999998
ready,43.60902,44.10902,0.39902000000000015
sounds,88.26707,88.58623,44.65805
good,88.58623,88.8256,0.31915999999999656
so,89.06497,89.224556,0.47874000000000194
i'm,89.304344,89.46393,0.23937399999999798
just,89.46393,89.54372,0.15958600000000445
gonna,89.54372,89.78309,0.07978999999998848
hit,89.78309,89.86288,0.23937000000000808
like,89.94267,90.10225,0.15958000000000538
rene,90.26183,90.76183,0.31915999999999656
negotiation,90.97995,91.13953,0.718119999999999
early,91.13953,91.63953,0.15957999999999117
bye,92.33639,92.65555,1.196860000000001
bye,92.81513,92.97471,0.47874000000000194
you,93.45345,93.692825,0.6383200000000073
