Word,Start Time,End Time,start_time_diff
how,0.44,0.59999996,0.0
are,0.59999996,0.84,0.15999996
you,0.84,1.0,0.24000003999999997
pretty,3.56,3.9599998,2.72
good,3.9599998,4.12,0.3999997999999998
alright,5.48,5.72,1.5200002000000006
so,6.2799997,6.7799997,0.7999996999999999
we,8.2,8.36,1.920000299999999
just,8.36,8.679999,0.16000000000000014
start,8.679999,9.08,0.31999900000000103
i,9.16,9.32,0.4800009999999997
guess,9.32,9.559999,0.16000000000000014
alright,13.175,13.415,3.8550000000000004
so,14.215,14.715,1.0399999999999991
let's,16.295,16.535,2.080000000000002
see,16.535,16.695,0.23999999999999844
so,17.015,17.515,0.4800000000000004
what,17.575,17.815,0.5599999999999987
like,17.975,18.215,0.40000000000000213
would,19.335,19.575,1.3599999999999994
you,19.575,19.735,0.23999999999999844
want,19.735,20.055,0.16000000000000014
okay,83.740005,83.98,64.005005
okay,99.274994,99.435,15.53498900000001
so,99.674995,99.915,0.40000099999998895
what's,99.915,100.155,0.24000500000001068
what's,100.155,100.395,0.23999999999999488
the,100.395,100.555,0.23999999999999488
total,100.555,100.875,0.1600000000000108
then,100.875,101.115,0.3199999999999932
that,101.115,101.274994,0.23999999999999488
you're,101.274994,101.595,0.15999400000001174
asking,101.595,101.915,0.32000599999999224
for,101.915,102.155,0.3200000000000074
got,152.02626,152.26576,50.11126
it,152.26576,152.42542,0.2394999999999925
okay,154.58084,154.74051,2.3150799999999947
so,155.37915,155.61864,0.798310000000015
unfortunately,156.73627,157.13542,1.3571199999999806
like,157.29507,157.37491,0.5588000000000193
the,157.45474,157.69423,0.1596699999999771
university,157.69423,158.19423,0.23949000000001774
hasn't,158.4127,158.8917,0.7184699999999964
like,159.05135,159.29083,0.6386500000000126
authorized,159.92949,160.24881,0.8781399999999735
me,160.24881,160.32864,0.3193200000000047
to,160.32864,160.56813,0.07983000000001539
give,160.56813,160.88745,0.23948999999998932
that,160.88745,161.12694,0.3193200000000047
much,161.12694,161.36644,0.23948999999998932
money,161.36644,161.68576,0.23950000000002092
but,163.29642,163.6155,1.9299800000000005
like,163.8548,164.0941,0.5583799999999997
i'm,164.57271,164.89178,0.7179099999999892
allowed,164.89178,165.13109,0.3190700000000106
to,165.13109,165.3704,0.23930999999998903
buy,165.3704,165.60971,0.23930999999998903
like,165.76924,166.00854,0.39884000000000697
not,167.12532,167.36462,1.3560799999999915
the,167.36462,167.60393,0.23930000000001428
full,167.60393,168.10393,0.23930999999998903
amount,168.24208,168.48138,0.638149999999996
of,168.48138,168.64091,0.23930000000001428
your,168.64091,169.14091,0.1595299999999895
intellectual,169.59814,169.83745,0.9572300000000098
property,169.83745,170.15652,0.23930999999998903
because,170.4756,170.63515,0.638149999999996
that,170.63515,170.79468,0.15955000000002428
means,170.79468,171.03398,0.1595299999999895
you'd,171.03398,171.35306,0.23930000000001428
still,171.35306,171.5126,0.3190799999999854
be,171.5126,171.67213,0.1595399999999927
in,171.67213,171.99121,0.15953000000001794
possession,171.99121,172.15076,0.3190799999999854
of,172.15076,172.39006,0.15954999999999586
some,172.39006,172.46982,0.23930000000001428
of,172.46982,172.62936,0.07975999999999317
it,172.62936,172.70914,0.1595399999999927
and,172.86867,172.94844,0.23931000000001745
then,172.94844,173.10797,0.07976999999999634
you,173.10797,173.18774,0.1595299999999895
could,173.18774,173.26752,0.07976999999999634
like,173.34727,173.42705,0.15953000000001794
sell,173.50682,173.66635,0.15954999999999586
it,173.66635,173.90565,0.1595299999999895
elsewhere,173.90565,174.40565,0.23930000000001428
so,176.39432,176.89432,2.488669999999985
we,176.95358,177.03348,0.5592599999999948
can,177.03348,177.27316,0.07990000000000919
work,177.27316,177.51285,0.2396799999999928
something,177.51285,177.75253,0.23968999999999596
out,177.75253,177.91232,0.2396800000000212
with,177.91232,178.23189,0.15978999999998678
that,178.23189,178.47157,0.3195699999999988
give,178.79115,178.95094,0.5592599999999948
you,178.95094,179.11073,0.1597900000000152
like,179.27052,179.43031,0.319580000000002
i,180.22926,180.38905,0.9587400000000059
can,180.38905,180.62874,0.15978999999998678
buy,180.62874,180.86842,0.23968999999999596
like,181.02821,181.188,0.399470000000008
fifty,181.50758,181.98695,0.47936999999998875
percent,181.98695,182.14674,0.47937000000001717
of,182.14674,182.30652,0.15978999999998678
the,182.30652,182.38641,0.15978000000001202
ip,182.706,183.10547,0.39947999999998274
for,183.10547,183.18536,0.399470000000008
like,183.34515,183.42505,0.2396799999999928
a,183.50494,183.66473,0.1597900000000152
hundred,183.66473,183.82452,0.15978999999998678
and,183.82452,184.06421,0.1597900000000152
ten,184.06421,184.3039,0.23968999999999596
k,184.3039,184.54358,0.23968999999999596
and,184.94305,185.02295,0.6391500000000008
then,185.02295,185.18274,0.07990000000000919
i,185.26263,185.42242,0.2396799999999928
can,185.42242,185.58221,0.15978999999998678
also,185.58221,185.8219,0.1597900000000152
give,185.8219,185.98169,0.23968999999999596
you,185.98169,186.06158,0.15978999999998678
like,186.22137,186.30127,0.2396800000000212
paid,186.94041,187.33989,0.7190400000000068
leave,187.33989,187.81926,0.39947999999998274
as,187.81926,188.13884,0.47937000000001717
well,188.13884,188.37852,0.31957999999997355
depending,189.41716,189.57695,1.278320000000008
on,189.57695,189.81664,0.1597900000000152
how,189.81664,189.89653,0.23968999999999596
many,189.89653,190.13622,0.07989000000000601
months,190.13622,190.53569,0.23968999999999596
you,190.53569,190.69548,0.39946999999997956
want,190.69548,190.93515,0.1597900000000152
leave,191.3493,191.6685,0.6538199999999961
for,191.6685,191.90791,0.31919999999999504
twenty,200.7657,201.00511,9.097200000000015
one,201.00511,201.2445,0.23940999999999235
months,201.2445,201.4839,0.239389999999986
i,205.7931,206.0325,4.548600000000022
can,206.0325,206.19211,0.23939999999998918
give,206.19211,206.4315,0.1596100000000149
you,206.4315,206.9315,0.239389999999986
four,207.40427,207.7236,0.972769999999997
months,207.7236,207.88327,0.3193300000000079
of,207.88327,208.12279,0.15967000000000553
paid,208.12279,208.36229,0.23951999999999884
leave,208.36229,208.6018,0.2394999999999925
and,208.84131,209.00098,0.47901999999999134
then,209.00098,209.50098,0.15967000000000553
the,209.55983,209.79935,0.5588500000000067
rest,209.79935,209.95901,0.23951999999999884
of,209.95901,210.11868,0.15966000000000236
it,210.11868,210.5977,0.15967000000000553
unpaid,210.5977,210.8372,0.47901999999999134
leave,210.8372,211.07672,0.2394999999999925
so,216.3459,216.50557,5.508700000000005
the,216.50557,216.74509,0.15967000000000553
paid,216.74509,216.90475,0.23951999999999884
leave,216.90475,217.38377,0.15966000000000236
would,217.38377,217.70311,0.47901999999999134
be,217.70311,218.1023,0.31934000000001106
at,218.1023,218.42163,0.3991900000000044
ten,218.42163,218.66115,0.31932999999997946
k,218.66115,218.90065,0.23951999999999884
per,218.90065,219.06033,0.23950000000002092
month,219.06033,219.29984,0.15967999999998028
the,237.715,238.215,18.65467000000001
intellectual,238.515,239.015,0.799999999999983
property,239.235,239.735,0.7200000000000273
portfolio,239.875,240.19499,0.6399999999999864
so,240.355,240.515,0.47999999999998977
i,240.595,240.75499,0.2400000000000091
could,240.75499,240.915,0.15998999999999342
buy,240.915,241.31499,0.16000999999999976
fifty,241.31499,241.715,0.3999900000000025
percent,241.715,241.875,0.40001000000000886
of,241.875,242.03499,0.1599999999999966
it,242.03499,242.11499,0.15998999999999342
so,242.355,242.515,0.32000999999999635
it'd,242.515,242.75499,0.1599999999999966
give,242.75499,242.83499,0.23999000000000592
you,242.83499,242.995,0.0800000000000125
money,242.995,243.235,0.16000999999999976
but,243.39499,243.555,0.3999900000000025
then,243.555,243.715,0.16000999999999976
you'd,243.715,243.95499,0.1599999999999966
have,243.95499,244.45499,0.23999000000000592
still,245.075,245.155,1.1200099999999793
like,245.235,245.31499,0.160000000000025
the,245.39499,245.635,0.15998999999999342
rest,245.635,245.795,0.24000999999998385
of,245.795,245.875,0.1599999999999966
the,245.875,246.275,0.0800000000000125
portfolio,246.275,246.515,0.4000000000000057
that,246.515,246.67499,0.23999999999998067
you,246.67499,246.83499,0.15999000000002184
could,246.83499,246.915,0.1599999999999966
like,246.995,247.155,0.16000999999999976
potentially,247.88876,247.9686,0.8937599999999861
like,248.12827,248.20811,0.23950999999999567
sell,248.52745,248.76697,0.3991800000000012
later,248.76697,249.0863,0.23951999999999884
to,249.0863,249.16614,0.3193300000000079
the,249.16614,249.3258,0.07984000000001856
university,249.3258,249.72499,0.15965999999997393
for,249.72499,249.88466,0.3991900000000044
more,249.88466,250.12418,0.15967000000000553
money,250.12418,250.62418,0.23951999999999884
or,251.32172,251.56122,1.1975400000000036
to,251.56122,251.64105,0.2394999999999925
like,251.7209,251.80074,0.1596800000000087
other,251.9604,252.4604,0.2394999999999925
places,252.91844,253.31761,0.9580400000000111
i,271.1246,271.2841,18.206159999999983
don't,271.2841,271.5233,0.15950000000003683
know,271.5233,271.68277,0.23919999999998254
i,271.922,272.08145,0.39870000000001937
think,272.08145,272.32068,0.15944999999999254
it's,272.32068,272.48013,0.23922999999996364
it,274.23434,274.47357,1.913659999999993
doesn't,274.47357,274.71277,0.23923000000002048
not,274.71277,274.87225,0.23919999999998254
say,274.87225,275.11145,0.1594800000000305
yours,275.11145,275.1912,0.23919999999998254
worries,275.1912,275.4304,0.07974999999999
i,286.43887,286.75745,11.247670000000028
i,286.91675,286.9964,0.47787999999997055
don't,286.9964,287.07605,0.0796500000000151
know,287.07605,287.23535,0.0796500000000151
if,287.23535,287.315,0.15929999999997335
it's,287.315,287.4743,0.0796500000000151
like,287.4743,287.6336,0.1593000000000302
if,287.6336,288.1115,0.15929999999997335
there's,288.1115,288.2708,0.4778999999999769
i,288.74872,288.82837,0.6372200000000134
don't,288.82837,288.98767,0.0796500000000151
think,288.98767,289.38593,0.15929999999997335
there's,289.38593,289.54523,0.3982599999999934
like,289.62485,289.7045,0.23892000000000735
an,289.78415,290.1824,0.1593000000000302
actual,290.1824,290.501,0.3982499999999618
amount,290.501,290.58066,0.31860000000000355
of,290.58066,290.89926,0.0796600000000467
money,290.89926,291.29752,0.31860000000000355
that,291.29752,291.45682,0.3982599999999934
it,291.45682,291.53647,0.15929999999997335
is,291.53647,291.61612,0.0796500000000151
i,291.85507,291.93472,0.31860000000000355
think,291.93472,292.09402,0.0796500000000151
it's,292.09402,292.2533,0.15929999999997335
like,292.33295,292.49225,0.2389299999999821
your,293.14453,293.64453,0.8115799999999922
ideas,293.70242,294.20242,0.5578900000000431
