Word,Start Time,End Time,start_time_diff
can,7.16,7.3199997,0.0
you,7.3199997,7.56,0.1599997000000002
see,7.56,7.72,0.24000029999999928
me,7.72,7.8799996,0.16000000000000014
now,7.8799996,8.2,0.1599995999999999
hello,10.04,10.2,2.1600003999999995
did,10.36,10.5199995,0.3200000000000003
you,10.5199995,10.679999,0.1599995000000014
hear,10.679999,10.84,0.15999949999999963
anything,10.84,11.16,0.1600009999999994
i,11.24,11.4,0.40000000000000036
said,11.4,11.639999,0.16000000000000014
oh,14.606587,14.925318,3.206586999999999
okay,15.5627775,15.64246,0.9561904999999999
i,15.881508,15.96119,0.3187305000000009
will,15.96119,16.200237,0.07968200000000003
repeat,16.200237,16.439285,0.23904700000000112
this,16.439285,16.59865,0.23904800000000037
so,17.793888,17.953255,1.3546029999999973
what,17.953255,18.11262,0.1593669999999996
i,18.1923,18.271984,0.23904500000000084
was,18.271984,18.431349,0.07968400000000031
saying,18.431349,18.829762,0.1593650000000011
was,18.829762,19.329762,0.3984129999999979
we,19.865635,20.025,1.0358730000000023
want,20.025,20.104683,0.15936499999999754
we're,20.264048,20.503094,0.23904800000000037
gonna,20.503094,20.821825,0.23904600000000187
help,20.821825,21.060871,0.31873099999999965
you,21.060871,21.379602,0.23904599999999832
have,21.379602,21.61865,0.31873099999999965
that,21.61865,22.11865,0.23904800000000037
financial,22.176428,22.676428,0.5577780000000025
stability,22.813889,23.212301,0.6374609999999983
considering,24.726269,25.044998,1.9123799999999989
that,25.044998,25.204365,0.31872900000000115
you,25.204365,25.284046,0.1593669999999996
are,25.284046,25.443413,0.07968100000000078
taking,25.443413,25.762142,0.1593669999999996
twenty,25.762142,26.00119,0.31872900000000115
one,26.00119,26.240238,0.23904800000000037
months,26.240238,26.399603,0.23904800000000037
of,26.399603,26.638649,0.15936499999999754
of,26.638649,26.95738,0.23904600000000187
leave,26.95738,27.196428,0.31873099999999965
we,27.76907,27.848696,0.8116899999999987
are,27.848696,28.08758,0.07962600000000108
hoping,28.08758,28.485718,0.23888399999999876
that,28.485718,28.644974,0.39813799999999944
you,28.644974,28.804228,0.15925600000000273
could,28.804228,29.043112,0.15925399999999712
consider,29.043112,29.361622,0.23888400000000232
taking,29.361622,29.680134,0.31850999999999985
twenty,29.680134,29.998644,0.31851199999999835
four,29.998644,30.498644,0.31850999999999985
and,30.715292,30.954176,0.7166480000000028
us,30.954176,31.272686,0.23888399999999876
connecting,31.272686,31.591196,0.31850999999999985
you,31.591196,31.83008,0.31850999999999985
with,31.83008,31.989334,0.23888399999999876
one,31.989334,32.14859,0.15925400000000067
of,32.14859,32.228218,0.15925599999999918
our,32.228218,32.467102,0.07962799999999959
other,32.467102,32.944866,0.23888399999999876
advanced,32.944866,33.422634,0.4777640000000005
research,33.422634,33.741142,0.47776800000000463
entities,33.741142,33.9004,0.31850800000000135
that,33.9004,34.059654,0.15925799999999413
we're,34.059654,34.378166,0.15925400000000423
connected,34.378166,34.617046,0.31851199999999835
with,34.617046,34.93556,0.23888000000000176
to,34.93556,35.174442,0.3185140000000004
offer,35.174442,35.49295,0.2388819999999967
you,35.49295,35.57258,0.31850800000000135
a,35.57258,35.811462,0.07963000000000164
paid,35.811462,36.28923,0.2388819999999967
three,36.28923,36.52811,0.47776800000000463
month,36.52811,37.02811,0.23887999999999465
research,37.56327,37.96141,1.0351600000000047
opportunity,37.96141,38.46141,0.39813999999999794
or,38.518803,38.67806,0.5573929999999976
even,38.67806,38.916943,0.15925700000000376
just,38.916943,39.076195,0.2388830000000013
getting,39.076195,39.394707,0.15925199999999506
paid,39.394707,39.71322,0.31851199999999835
for,39.71322,39.872475,0.31851300000000293
you,39.872475,40.11136,0.1592550000000017
doing,40.11136,40.429867,0.23888499999999624
whatever,40.429867,40.929867,0.31850700000000387
you,40.98726,41.146515,0.5573929999999976
will,41.146515,41.30577,0.1592550000000017
be,41.30577,41.3854,0.1592550000000017
doing,41.3854,41.70391,0.07962999999999454
with,41.70391,41.78354,0.3185100000000034
your,41.78354,42.102047,0.07963000000000164
research,42.102047,42.261303,0.31850699999999676
and,42.75422,42.993282,0.6521729999999977
that,42.993282,43.152657,0.2390620000000041
is,43.152657,43.39172,0.15937499999999716
completely,43.39172,43.551094,0.23906300000000158
up,43.551094,43.630783,0.15937399999999968
to,43.630783,43.790157,0.0796890000000019
you,43.790157,43.869843,0.15937399999999968
to,43.869843,44.108906,0.07968600000000237
decide,44.108906,44.427658,0.23906299999999447
if,44.427658,44.507343,0.3187520000000035
you,44.507343,44.666718,0.07968499999999779
wanna,44.666718,44.90578,0.15937500000000426
work,44.90578,45.40578,0.239061999999997
x,45.54328,45.782345,0.6375000000000028
amount,45.782345,45.94172,0.23906499999999653
of,45.94172,46.101093,0.15937499999999716
hours,46.101093,46.260468,0.1593730000000022
a,46.260468,46.419846,0.15937500000000426
day,46.419846,46.658905,0.1593779999999967
like,46.818283,46.977657,0.39843700000000126
that,47.13703,47.296406,0.3187470000000019
is,47.296406,47.615158,0.15937599999999463
you,47.615158,47.774532,0.3187520000000035
to,47.774532,47.933907,0.15937399999999968
manage,47.933907,48.433907,0.15937499999999716
connecting,48.969845,49.288593,1.0359380000000016
with,49.288593,49.527657,0.31874799999999937
other,49.527657,50.005783,0.23906399999999906
professionals,50.005783,50.244843,0.47812600000000316
in,50.244843,50.32453,0.23906000000000205
the,50.32453,50.483906,0.07968699999999984
spirit,50.483906,50.64328,0.15937599999999463
to,50.64328,50.882343,0.15937399999999968
give,50.882343,50.962032,0.23906300000000158
you,50.962032,51.121407,0.0796890000000019
that,51.121407,51.440155,0.15937499999999716
pay,51.440155,51.91828,0.31874799999999937
to,51.91828,52.23703,0.4781250000000057
hit,52.23703,52.396408,0.3187499999999943
that,52.396408,52.635468,0.1593780000000038
target,52.635468,52.95422,0.23906000000000205
range,52.95422,53.113594,0.31875199999999637
that,53.113594,53.193283,0.15937399999999968
you're,53.193283,53.432343,0.0796890000000019
speaking,53.432343,53.751095,0.23906000000000205
on,53.751095,53.91047,0.31875199999999637
and,54.627655,54.707344,0.8765599999999978
to,54.707344,54.946407,0.0796890000000019
make,54.946407,55.10578,0.23906300000000158
up,55.10578,55.18547,0.1593730000000022
that,55.18547,55.42453,0.07968999999999937
twenty,55.42453,55.663593,0.23905999999999494
thousand,55.663593,55.902657,0.23906300000000158
dollar,55.902657,56.221405,0.23906399999999906
gap,56.221405,56.301094,0.31874799999999937
we,56.46047,56.540157,0.23906500000000364
can,56.540157,56.619843,0.07968699999999984
even,56.619843,56.858906,0.07968600000000237
go,56.858906,57.177658,0.23906299999999447
above,57.177658,57.416718,0.3187520000000035
that,57.416718,57.576096,0.23906000000000205
we,59.18559,59.26532,1.7688719999999947
do,59.26532,59.424786,0.07973000000000496
not,59.424786,59.663982,0.15946599999999478
have,59.663982,59.743717,0.23919599999999974
the,59.743717,59.90318,0.07973499999999945
funds,59.90318,60.301846,0.15946300000000235
right,60.301846,60.541042,0.39866599999999863
now,60.541042,60.859974,0.23919599999999974
to,60.859974,61.09917,0.31893200000000377
offer,61.09917,61.338367,0.23919599999999974
you,61.338367,61.838367,0.23919699999999722
above,61.896496,62.135693,0.558129000000001
three,62.135693,62.29516,0.23919700000000432
hundred,62.29516,62.773556,0.15946699999999936
three,62.773556,62.93302,0.4783959999999965
hundred,62.93302,63.092484,0.15946399999999983
and,63.092484,63.331684,0.15946399999999983
thirty,63.331684,63.57088,0.23920000000000385
five,63.57088,63.810078,0.23919599999999974
thousand,63.810078,64.12901,0.2391979999999947
dollars,64.12901,64.62901,0.31893199999999666
for,64.92634,65.165535,0.7973300000000023
that,65.165535,65.325,0.23919500000000937
twenty,65.325,65.56419,0.1594649999999973
one,65.56419,65.72366,0.23918999999999357
month,65.72366,65.96286,0.1594699999999989
paid,65.96286,66.20206,0.23920000000001096
leave,66.20206,66.44125,0.23919999999999675
however,66.760185,67.260185,0.558125000000004
especially,67.87644,68.035904,1.1162549999999953
if,68.035904,68.11564,0.15946399999999983
you,68.11564,68.354836,0.07973599999999692
consider,68.354836,68.67377,0.23919600000000685
taking,68.67377,68.9927,0.3189339999999987
twenty,68.9927,69.31163,0.3189299999999946
four,69.31163,69.63056,0.3189299999999946
months,69.63056,69.94949,0.3189300000000088
of,69.94949,70.108955,0.3189299999999946
paid,70.108955,70.34815,0.1594649999999973
leave,70.34815,70.50762,0.23919500000000937
we,70.82655,70.986015,0.4783999999999935
can,70.986015,71.30495,0.1594649999999973
connect,71.30495,71.384674,0.3189350000000104
to,71.384674,71.46441,0.0797239999999988
you,71.46441,71.62388,0.07973599999999692
for,71.62388,71.78334,0.1594699999999989
those,71.78334,72.02254,0.15945999999999572
three,72.02254,72.18201,0.23920000000001096
months,72.18201,72.4212,0.1594699999999989
to,72.915,73.075,0.7329900000000009
get,73.075,73.155,0.1599999999999966
a,73.155,73.314995,0.0799999999999983
pay,73.314995,73.555,0.159994999999995
over,73.555,73.795,0.24000500000001068
twenty,73.795,74.034996,0.23999999999999488
thousand,74.034996,74.354996,0.23999600000000498
dollars,74.354996,74.674995,0.3199999999999932
to,74.674995,74.915,0.3199989999999957
bridge,74.915,75.155,0.24000500000001068
that,75.155,75.314995,0.23999999999999488
gap,75.314995,75.395,0.159994999999995
if,75.555,75.715,0.24000500000001068
that,75.715,75.875,0.1599999999999966
makes,75.875,76.115,0.1599999999999966
sense,76.115,76.275,0.23999999999999488
well,92.348145,92.50768,16.233145000000007
considering,93.06607,93.46491,0.7179249999999939
that,93.46491,93.704216,0.39884000000000697
you,93.704216,94.02329,0.23930599999999913
have,94.02329,94.10306,0.3190740000000005
i,94.422134,94.58167,0.39884399999999687
wouldn't,94.58167,94.820984,0.1595360000000028
i,95.06029,95.14005,0.4786199999999923
wouldn't,95.14005,95.379364,0.07976000000000738
say,95.379364,95.5389,0.23931399999999314
that's,95.5389,95.69844,0.1595360000000028
not,95.69844,95.85797,0.1595400000000069
like,95.85797,96.01751,0.1595299999999895
a,96.01751,96.09728,0.1595400000000069
it's,96.25682,96.41636,0.23931000000000324
not,96.41636,96.496124,0.1595399999999927
a,96.496124,96.73543,0.07976399999999728
guarantee,96.73543,97.21404,0.23930599999999913
from,97.21404,97.37358,0.4786100000000033
our,97.37358,97.53312,0.1595400000000069
university,97.53312,98.03312,0.1595399999999927
