Word,Start Time,End Time,start_time_diff
i'm,2.76,3.0,0.0
happy,3.0,3.24,0.2400000000000002
with,3.24,3.3999999,0.2400000000000002
new,3.3999999,3.48,0.15999989999999986
with,3.48,3.6399999,0.08000009999999991
you,3.6399999,3.8799999,0.15999989999999986
today,3.8799999,4.38,0.2400000000000002
so,4.8399997,5.24,0.9599997999999998
we,5.24,5.72,0.4000003000000003
we,6.92,7.08,1.6799999999999997
are,7.08,7.3999996,0.16000000000000014
really,7.3999996,7.7999997,0.31999960000000005
excited,7.7999997,8.2,0.40000009999999975
about,8.2,8.44,0.4000002999999994
having,8.44,8.76,0.2400000000000002
you,8.76,9.16,0.3200000000000003
stay,9.16,9.24,0.40000000000000036
at,9.24,9.4,0.08000000000000007
our,9.4,9.48,0.16000000000000014
university,9.48,9.98,0.08000000000000007
and,10.679999,11.179999,1.199999
i'd,12.12,12.28,1.4400009999999988
like,12.28,12.44,0.16000000000000014
to,12.44,12.679999,0.16000000000000014
offer,12.679999,12.92,0.23999900000000096
you,12.92,13.0,0.24000099999999946
the,13.0,13.24,0.08000000000000007
starting,13.24,13.74,0.2400000000000002
bid,13.88,14.38,0.6400000000000006
of,14.759999,15.259999,0.8799989999999998
forty,16.134819,16.454613,1.3748199999999997
five,16.454613,16.694458,0.31979399999999814
thousand,16.694458,17.0942,0.23984500000000253
dollars,17.0942,17.334045,0.3997419999999998
which,17.493942,17.57389,0.3997419999999998
is,17.57389,17.813736,0.07994799999999813
seven,17.813736,18.053581,0.239846
thousand,18.053581,18.533272,0.23984500000000253
five,18.533272,18.853067,0.479690999999999
hundred,18.853067,19.353067,0.31979499999999916
dollars,19.572603,20.052294,0.7195360000000015
for,20.052294,20.21219,0.479690999999999
each,20.21219,20.452036,0.15989599999999982
month,20.452036,20.77183,0.239846
of,20.77183,21.011675,0.3197940000000017
mathematical,21.011675,21.411417,0.23984499999999898
for,21.411417,21.651262,0.3997419999999998
six,21.651262,21.971056,0.23984499999999898
months,21.971056,22.210901,0.3197940000000017
how,22.77054,22.930439,0.7994839999999996
