Word,Start Time,End Time,start_time_diff
do,21.92596,22.085194,0.0
wanna,22.085194,22.164808,0.15923400000000143
i,22.244423,22.32404,0.15922899999999984
go,22.32404,22.403654,0.07961699999999894
on,22.403654,22.483269,0.07961399999999941
in,22.483269,22.562885,0.07961500000000044
the,22.562885,23.040577,0.07961600000000146
order,23.040577,23.279423,0.47769199999999756
of,23.279423,23.438654,0.23884600000000233
the,23.438654,23.6775,0.15923099999999835
questions,23.6775,24.075577,0.23884599999999878
that's,24.314423,24.553268,0.636923000000003
like,24.553268,24.792114,0.23884499999999775
what's,24.792114,25.030962,0.23884600000000233
said,25.030962,25.269808,0.23884799999999728
alright,26.862116,27.100962,1.8311540000000015
thirty,29.264704,29.662401,2.402587999999998
one,29.662401,29.82148,0.39769700000000086
okay,93.964165,94.20399,64.30176399999999
so,94.6037,95.1037,0.6395350000000093
looking,95.48306,95.72289,0.8793599999999913
at,95.72289,95.882774,0.23983000000001198
the,95.882774,96.042656,0.15988399999999103
university,96.042656,96.542656,0.15988199999999608
guidelines,96.6822,97.16185,0.6395440000000008
they,97.32173,97.56156,0.6395300000000077
can't,97.56156,97.96127,0.23982999999999777
pay,97.96127,98.281044,0.3997099999999989
more,98.281044,98.440926,0.31977399999999534
than,98.440926,98.7607,0.1598820000000103
two,98.7607,98.92058,0.31977399999999534
hundred,98.92058,99.16041,0.15988000000000113
seventy,99.16041,99.48017,0.23982999999999777
five,99.48017,99.98017,0.31976000000000226
k,100.43948,100.93948,0.9593100000000021
for,101.2389,101.7389,0.7994199999999978
each,101.95838,102.27815,0.7194800000000043
person's,102.27815,102.77815,0.31976999999999123
patent,102.837746,103.3174,0.5595959999999991
just,103.3174,103.55723,0.4796540000000107
due,103.55723,103.71711,0.23982999999999777
to,103.71711,103.79705,0.15988000000000113
the,103.79705,104.03688,0.07993999999999346
rules,104.03688,104.53688,0.23982999999999777
of,104.916245,105.076126,0.8793650000000071
the,105.076126,105.23601,0.1598809999999986
ip,105.47584,105.79561,0.399714000000003
committee,105.79561,106.11538,0.31976999999999123
to,106.11538,106.61538,0.31977000000000544
because,107.16928,107.32906,1.0538999999999987
of,107.32906,107.48884,0.1597799999999978
two,107.48884,107.72851,0.1597799999999978
things,107.72851,107.88829,0.23967000000000382
i,108.12796,108.36762,0.39945000000000164
believe,108.36762,108.60729,0.23966000000000065
when,108.60729,108.767075,0.23967000000000382
is,108.767075,108.84696,0.1597849999999994
that,108.84696,109.16652,0.07988499999999021
they,109.16652,109.24641,0.31956000000000984
don't,109.24641,109.56597,0.0798899999999918
want,109.56597,109.80563,0.3195599999999956
to,109.80563,109.965416,0.23966000000000065
like,110.0453,110.205086,0.23967000000000382
commercial,110.92409,111.40343,0.8787900000000093
pen,111.40343,111.722984,0.47933999999999344
and,111.722984,112.12243,0.31955399999999656
turn,112.12243,112.44199,0.3994459999999975
pen,112.44199,112.94199,0.31956000000000984
into,113.00122,113.50122,0.5592299999999994
or,113.640335,113.72022,0.6391149999999897
like,113.80011,113.95989,0.15977500000001044
i,114.27945,114.35934,0.47933999999999344
don't,114.35934,114.439224,0.07989000000000601
know,114.439224,114.51912,0.07988399999999274
if,114.51912,114.678894,0.07989600000000507
this,114.678894,114.75879,0.15977399999999875
is,114.75879,115.07835,0.07989600000000507
penn,115.07835,115.3979,0.3195599999999956
actually,115.3979,115.55768,0.31955000000000666
but,115.79735,115.95713,0.3994499999999874
turn,115.95713,116.116905,0.15978000000001202
the,116.116905,116.616905,0.15977499999999623
currently,117.15547,117.55492,1.0385649999999913
university,117.55492,118.05492,0.39945000000000164
into,118.4337,118.513596,0.8787800000000061
like,118.67337,118.75326,0.23967000000000382
a,118.91304,119.072815,0.2396699999999896
more,119.072815,119.2326,0.15977500000001044
like,119.312485,119.39238,0.2396699999999896
commercial,119.791824,120.19127,0.4793390000000102
business,120.19127,120.67061,0.3994459999999975
so,121.2445,121.40383,1.0532299999999992
that's,121.40383,121.64283,0.15932999999999709
one,121.64283,121.881836,0.23900000000000432
reason,121.881836,122.2005,0.23900600000000338
and,122.2005,122.4395,0.3186639999999983
two,122.4395,122.59883,0.2389999999999901
and,122.59883,122.9175,0.1593300000000113
allows,122.9175,123.3955,0.31866999999999734
for,123.3955,123.8955,0.47799999999999443
r,124.909164,124.98883,1.5136640000000057
and,124.98883,125.14816,0.07966599999998891
d,125.3075,125.8075,0.31867000000001156
and,126.104164,126.18383,0.7966639999999927
like,126.34317,126.42284,0.23900600000000338
patent,126.58217,127.08217,0.23900000000000432
buyout,127.458496,127.958496,0.8763259999999917
from,128.01617,128.33484,0.5576739999999916
also,128.33484,128.57384,0.31867000000002577
like,128.6535,128.73317,0.31865999999999417
multiple,128.97217,129.3705,0.31866999999999734
scientists,129.3705,129.76883,0.3983299999999872
and,129.76883,129.92816,0.3983300000000156
multiple,129.92816,130.42816,0.15932999999998287
researchers,130.48584,130.96384,0.5576800000000048
that,130.96384,131.12317,0.47800000000000864
wants,131.12317,131.44183,0.15932999999998287
too,131.44183,131.68083,0.3186600000000226
so,132.07916,132.2385,0.6373299999999915
it's,132.2385,132.39783,0.15933999999998605
not,132.39783,132.55716,0.1593300000000113
dev,132.55716,132.63684,0.1593300000000113
voting,132.63684,132.87584,0.0796799999999962
too,132.87584,133.03517,0.23900000000000432
much,133.03517,133.27417,0.15932999999998287
money,133.27417,133.6725,0.23900000000000432
into,133.6725,133.83183,0.3983300000000156
one,133.83183,134.23016,0.15932999999998287
researcher,134.23016,134.46916,0.3983300000000156
so,134.70816,134.94717,0.4779999999999802
that's,134.94717,135.02684,0.2390100000000075
like,135.1065,135.26584,0.1593300000000113
one,135.84,136.08,0.7334999999999923
i,136.4,136.56,0.5600000000000023
think,136.56,136.64,0.1599999999999966
like,136.8,137.12,0.2400000000000091
terms,137.12,137.51999,0.3199999999999932
and,137.51999,138.0,0.3999900000000025
conditions,138.0,138.23999,0.48000999999999294
that,138.23999,138.56,0.23999000000000592
they're,138.56,138.95999,0.32000999999999635
referring,138.95999,139.36,0.3999900000000025
to,139.36,139.51999,0.40001000000000886
and,140.87999,141.37999,1.5199899999999786
that's,142.23999,142.56,1.3600000000000136
why,142.56,142.79999,0.32000999999999635
i,143.04,143.2,0.47999999999998977
was,143.2,143.28,0.1599999999999966
thinking,143.28,143.76,0.0800000000000125
offering,143.76,144.08,0.47999999999998977
like,144.23999,144.31999,0.479990000000015
around,144.64,144.79999,0.40000999999998044
like,144.87999,144.95999,0.23999000000000592
two,145.04,145.2,0.16000999999999976
hundred,145.2,145.59999,0.1599999999999966
k,145.59999,146.09999,0.3999900000000025
for,146.72,147.22,1.1200100000000077
the,147.68,147.76,0.960000000000008
ip,148.08,148.48,0.4000000000000057
portfolio,148.48,148.98,0.39999999999997726
because,149.2,149.655,0.7199999999999989
of,150.01416,150.1738,0.8141600000000153
two,150.1738,150.41324,0.159639999999996
reasons,150.41324,150.81232,0.23944000000000187
one,150.97194,151.05176,0.5586999999999875
is,151.2114,151.2912,0.23946000000000822
like,151.37102,151.53064,0.15961999999998966
what,151.61046,151.7701,0.23944000000000187
you,151.7701,151.92972,0.15964000000002443
said,151.92972,152.16916,0.15961999999998966
earlier,152.16916,152.40862,0.23944000000000187
the,152.64806,152.8875,0.4788999999999817
previous,152.8875,153.28658,0.23944000000000187
hold,153.28658,153.60583,0.3990799999999979
for,153.60583,154.08472,0.3192500000000109
four,154.08472,154.32416,0.4788900000000069
hundred,154.32416,154.82416,0.23944000000000187
to,154.88287,155.28194,0.5587099999999907
complete,155.28194,155.5214,0.3990699999999947
private,155.5214,155.92046,0.23946000000000822
company,155.92046,156.23972,0.39905999999999153
this,156.6388,156.79843,0.718340000000012
would,156.79843,157.11769,0.15962999999999283
allow,157.11769,157.35713,0.3192600000000141
like,157.43695,157.59657,0.31925999999998567
at,157.7562,157.91583,0.3192500000000109
least,157.91583,158.07545,0.15962999999999283
hopefully,158.23509,158.55435,0.3192600000000141
like,158.71397,158.87361,0.4788799999999753
somewhere,159.3525,159.8525,0.6385300000000029
between,160.39009,160.46991,1.0375899999999945
like,160.54971,160.62953,0.15962000000001808
forty,160.78917,161.10843,0.23946000000000822
and,161.10843,161.34787,0.31925999999998567
fifty,161.34787,161.74695,0.23944000000000187
percent,161.74695,161.90657,0.3990799999999979
of,161.90657,162.06621,0.15961999999998966
the,162.06621,162.56621,0.15964000000002443
ip,163.11888,163.4382,1.0526699999999778
portfolio,163.4382,163.9382,0.3193200000000047
funding,163.997,164.497,0.5588000000000193
to,164.55579,164.79526,0.5587899999999877
be,164.79526,165.29526,0.2394700000000114
from,165.43388,165.93388,0.6386199999999747
the,166.15233,166.23216,0.7184500000000185
university,166.31198,166.81198,0.15964999999999918
and,166.9506,167.11026,0.6386200000000031
then,167.11026,167.26991,0.15966000000000236
the,167.26991,167.42958,0.15964999999999918
rest,167.42958,167.74889,0.1596699999999771
we,169.18578,169.34544,1.7562000000000069
can,169.34544,169.58492,0.15966000000000236
also,169.58492,170.06389,0.23948000000001457
discuss,170.06389,170.22354,0.47896999999997547
but,170.3832,170.62268,0.31931000000000154
that,170.62268,170.86217,0.23948000000001457
could,170.86217,171.02182,0.23948999999998932
be,171.02182,171.26129,0.15964999999999918
a,171.26129,171.74026,0.2394700000000114
combination,171.74026,171.8201,0.4789700000000039
of,171.8201,171.89992,0.07983999999999014
like,171.97975,172.05957,0.15964999999999918
private,172.21922,172.61836,0.2394700000000114
companies,172.61836,173.09734,0.3991399999999885
and,173.09734,173.59734,0.47898000000000707
vcs,173.81578,174.31578,0.7184399999999869
or,174.53423,175.03423,0.7184500000000185
on,177.50371,178.00371,2.9694800000000043
times,178.14288,178.46246,0.6391699999999787
they,215.03502,215.354,36.89214000000001
talked,215.354,215.67297,0.3189800000000105
yeah,215.67297,215.75272,0.3189699999999789
they,215.91222,215.99196,0.2392499999999984
talked,215.99196,216.15144,0.07974000000001524
a,216.15144,216.55017,0.15948000000000206
us,216.55017,217.05017,0.3987300000000005
mh,400.84607,401.34607,184.2959
is,404.1176,404.27722,3.2715299999999843
this,404.27722,404.357,0.15962000000001808
a,404.357,404.5166,0.07978000000002794
valid,404.5166,405.0166,0.1595999999999549
apart,405.15494,405.65494,0.6383400000000279
from,405.7135,405.95288,0.55856
the,405.95288,406.45288,0.23937999999998283
ip,408.1073,408.58606,2.154420000000016
portfolio,408.58606,408.90524,0.47875999999996566
funding,408.90524,409.30423,0.3191800000000171
oh,423.65155,423.89035,14.746309999999994
so,424.44757,424.68637,0.7960199999999986
i'm,427.33658,427.49634,2.8890100000000416
like,427.57623,427.65613,0.23964999999998327
kind,427.736,427.89575,0.15976999999998043
of,427.89575,428.2153,0.15975000000003092
confused,428.2153,428.45496,0.31954999999999245
because,428.93427,429.17392,0.718970000000013
they,429.17392,429.33368,0.23964999999998327
wrote,429.33368,429.6532,0.15976000000000568
something,429.6532,429.97275,0.31952000000001135
about,429.97275,430.1325,0.31954999999999245
the,430.1325,430.29227,0.15974999999997408
sa,430.29227,430.37216,0.15976999999998043
about,430.37216,430.77158,0.07989000000003443
like,430.93134,431.01123,0.5591799999999694
how,431.171,431.671,0.23966000000001486
penn,432.20947,432.60892,1.038470000000018
or,432.60892,432.68878,0.39945000000000164
the,432.68878,432.84857,0.07985999999999649
universe,432.84857,432.92844,0.15978999999998678
university,432.92844,433.42844,0.07987000000002809
doesn't,433.5675,434.0675,0.6390599999999722
offer,434.606,435.0853,1.038499999999999
six,435.0853,435.32495,0.4793000000000234
months,435.32495,435.5646,0.23964999999998327
of,435.5646,435.80426,0.23964999999998327
paid,435.80426,436.0439,0.23966000000001486
sa,436.0439,436.20367,0.2396400000000085
tobacco,436.20367,436.70367,0.15976999999998043
up,436.92264,437.1623,0.718970000000013
for,437.1623,437.40192,0.23966000000001486
up,437.40192,437.64157,0.23962000000000216
to,437.64157,437.80136,0.23964999999998327
ten,437.80136,438.04102,0.15978999999998678
k,438.04102,438.36053,0.23966000000001486
that,438.9348,439.0947,0.8937799999999925
means,439.0947,439.25458,0.15989999999999327
like,439.3345,439.41443,0.23980000000000246
fifty,439.5743,439.81412,0.23980000000000246
thousand,439.81412,440.31412,0.2398200000000088
dollars,440.37366,440.77335,0.55953999999997
for,440.77335,440.9332,0.399690000000021
six,440.9332,441.25296,0.15985000000000582
months,441.25296,441.65262,0.31975999999997384
for,441.65262,441.97238,0.3996600000000399
if,441.97238,442.13223,0.31975999999997384
it,442.13223,442.37204,0.15985000000000582
was,442.37204,442.85165,0.23981000000003405
months,442.85165,443.09146,0.47960999999997966
but,443.65103,444.0507,0.7993799999999851
you,444.0507,444.2905,0.3996700000000146
can,444.2905,444.5303,0.23980000000000246
have,444.5303,444.61023,0.23980000000000246
a,444.61023,444.85004,0.07992999999999029
article,444.85004,445.24973,0.2398099999999772
up,445.24973,445.4096,0.399690000000021
to,445.4096,445.48953,0.15987000000001217
like,445.56946,445.6494,0.15985999999998057
twenty,445.80927,446.04907,0.23981000000003405
four,446.04907,446.28888,0.2397999999999456
months,446.28888,446.44876,0.23981000000003405
but,446.60864,446.68857,0.31975999999997384
i,446.84845,446.92838,0.23981000000003405
think,446.92838,447.0083,0.07992999999999029
the,447.0083,447.2481,0.07992000000001553
payments,447.2481,447.4879,0.23980000000000246
are,447.4879,447.72772,0.23980000000000246
just,447.72772,447.8876,0.23981999999995196
gonna,447.8876,448.04745,0.15988000000004376
be,448.04745,448.20734,0.15985000000000582
like,448.20734,448.28726,0.15988999999996167
a,448.36722,448.60703,0.15987999999998692
extended,448.60703,449.00668,0.23981000000003405
across,449.00668,449.32645,0.3996500000000083
at,449.32645,449.56625,0.31977000000000544
so,464.11102,464.34988,14.784569999999974
as,464.34988,464.58875,0.2388599999999883
we,464.58875,464.748,0.2388700000000199
if,464.748,464.8276,0.1592499999999859
you,464.8276,464.98685,0.07960000000002765
go,464.98685,465.06647,0.1592499999999859
to,465.06647,465.30536,0.07961999999997715
other,465.30536,465.78308,0.23889000000002625
universities,465.78308,466.10156,0.4777199999999766
they,466.2608,466.34042,0.47772000000003345
don't,466.34042,466.57928,0.07961999999997715
offer,466.57928,467.057,0.2388599999999883
some,467.057,467.21628,0.47772000000003345
articles,467.21628,467.694,0.159279999999967
okay,475.57654,475.8154,8.36026000000004
this,515.0082,515.2471,39.431659999999965
radical,515.2471,515.72485,0.23890000000005784
comes,515.72485,516.04333,0.47774999999990087
out,516.04333,516.2026,0.3184800000000223
of,516.2026,516.3619,0.15926999999999225
the,516.3619,516.76,0.1593000000000302
ip,517.15814,517.5563,0.7962400000000116
portfolio,517.5563,518.03406,0.39815999999996166
money,518.03406,518.53406,0.4777599999999893
is,519.3877,519.6266,1.3536400000000413
what,519.6266,519.8655,0.23890000000005784
this,519.8655,520.0247,0.23889999999994416
said,520.0247,520.2636,0.1592000000000553
okay,521.29877,521.458,1.2740699999999379
that's,521.6969,522.09503,0.3981300000000374
interesting,522.09503,522.5728,0.3981299999999237
because,523.38434,523.5438,1.2893100000000004
i,523.7033,523.8628,0.318960000000061
interpreted,523.8628,524.102,0.15949999999998
it,524.102,524.2615,0.23919999999998254
has,524.2615,524.34125,0.15949999999998
like,524.42096,524.58044,0.15946000000008098
two,524.58044,524.8197,0.1594799999999168
separate,524.8197,525.0589,0.23926000000005843
like,525.2184,525.45764,0.39869999999996253
but,526.0955,526.4145,0.8771000000000413
i,529.6041,529.7636,3.5086000000000013
don't,529.7636,529.9231,0.15949999999998
know,529.9231,530.00287,0.15949999999998
if,530.00287,530.16235,0.07977000000005319
mine,530.16235,530.40155,0.1594799999999168
had,530.40155,530.56104,0.23920000000009622
anything,530.56104,530.9597,0.15949000000000524
like,531.0395,531.1192,0.4784599999999273
related,531.35846,531.8369,0.318960000000061
to,531.8369,532.0761,0.47843999999997777
that,532.0761,532.3153,0.23919999999998254
yeah,582.21497,582.455,50.13887
yeah,582.695,582.935,0.48003000000005613
oh,589.65497,589.815,6.959969999999998
like,589.975,590.055,0.3200299999999743
if,590.21497,590.295,0.23996999999997115
you,590.295,590.455,0.08002999999996518
wanna,590.455,590.615,0.16000000000008185
do,590.615,590.695,0.15999999999996817
like,590.77496,590.855,0.15995999999995547
wander,591.015,591.33496,0.2400400000000218
than,591.33496,591.495,0.3199600000000373
six,591.495,591.815,0.16003999999998086
months,591.815,592.055,0.32000000000005
no,600.7581,600.83777,8.943099999999959
no,601.07666,601.15625,0.318559999999934
that,601.39514,601.47473,0.3184800000000223
was,601.47473,601.7136,0.0795900000000529
smooth,601.7136,602.2136,0.2388700000000199
and,636.8699,637.1894,35.15629999999999
then,637.1894,637.4291,0.31949999999994816
after,637.4291,637.74866,0.23969999999997071
this,637.74866,637.98834,0.31956000000002405
about,637.98834,638.38776,0.2396800000000212
is,638.38776,638.54755,0.3994199999999637
when,638.54755,638.62744,0.15979000000004362
you,638.62744,638.78723,0.07988999999997759
come,638.78723,638.947,0.15979000000004362
back,638.947,639.0269,0.15976999999998043
to,639.0269,639.1867,0.07989999999995234
the,639.1867,639.3465,0.15980000000001837
university,639.3465,639.8258,0.15980000000001837
and,639.8258,639.9057,0.47929999999996653
then,639.9057,640.3052,0.07990000000006603
from,640.3052,640.54486,0.3994999999999891
the,640.54486,641.04486,0.23965999999995802
pad,641.26385,641.58344,0.7189900000000762
okay,642.1427,642.3823,0.8788499999999431
wait,655.7937,655.87335,13.650999999999954
is,656.03265,656.11224,0.2389500000000453
it,656.11224,656.3512,0.0795900000000529
trip,656.3512,656.5105,0.23895999999990636
like,656.5105,656.66974,0.1593000000000302
a,656.66974,656.82904,0.159240000000068
pretzel,656.82904,657.1476,0.1592999999999165
trip,657.1476,657.22723,0.3185600000000477
or,657.3069,657.3865,0.1593000000000302
is,657.3865,657.4661,0.07959999999991396
it,657.4661,657.6254,0.07960000000002765
like,657.6254,657.8643,0.1593000000000302
a,657.8643,657.944,0.23889999999994416
work,657.944,658.2625,0.07970000000000255
trip,658.2625,658.50146,0.3185000000000855
mh,700.1248,700.60406,41.862300000000005
okay,703.6393,703.9588,3.514499999999998
so,704.9972,705.4972,1.3578999999999724
here's,706.7695,707.089,1.772299999999973
of,707.089,707.2487,0.31950000000006185
my,707.2487,707.7487,0.1596999999999298
initial,707.88776,708.12744,0.6390599999999722
thoughts,708.12744,708.44696,0.2396800000000212
i,709.6452,709.80493,1.5177600000000666
think,709.80493,709.8848,0.15972999999996773
like,709.9647,710.20435,0.15976999999998043
penn,710.28424,710.78424,0.31953999999996086
recognizes,710.8434,711.3227,0.5591600000000199
the,711.3227,711.5623,0.4793000000000802
importance,711.5623,712.0623,0.23959999999999582
of,712.1215,712.28125,0.5591999999999189
like,712.44104,712.52094,0.31954000000007454
having,712.68066,713.18066,0.23961999999994532
faculty,713.4795,713.9795,0.7988400000000411
that,714.0387,714.1984,0.5591999999999189
is,714.1984,714.43805,0.15970000000004347
not,714.43805,714.67773,0.23964999999998327
only,714.67773,714.83746,0.2396800000000212
like,714.99725,715.15704,0.31952000000001135
mentally,715.5564,715.9558,0.5591500000000451
like,716.1156,716.1955,0.5591999999999189
well,716.3552,716.75464,0.23959999999999582
in,716.75464,716.99426,0.3994400000000269
terms,716.99426,717.23395,0.239620000000059
of,717.23395,717.3937,0.23968999999999596
the,717.3937,717.8937,0.15974999999991724
sense,717.9529,718.1126,0.5592000000000326
of,718.1126,718.2724,0.15970000000004347
wellness,718.2724,718.512,0.15979999999990468
but,718.6718,718.91144,0.3994000000000142
also,718.91144,719.23096,0.2396400000000085
like,719.31085,719.47064,0.39940999999998894
having,720.363,720.6815,1.052150000000097
time,720.6815,720.8408,0.3184999999999718
to,720.8408,721.00006,0.1592999999999165
take,721.00006,721.239,0.1592600000000175
away,721.239,721.63715,0.23894000000007054
and,721.63715,721.9557,0.3981499999999869
being,721.9557,722.27423,0.31854999999995925
able,722.27423,722.59283,0.31853000000000975
to,722.59283,723.0706,0.3186000000000604
understand,723.0706,723.3095,0.47776999999996406
and,723.3095,723.7077,0.23889999999994416
recoup,723.7077,724.2077,0.39820000000008804
and,724.3448,724.58374,0.6370999999999185
also,724.58374,725.0615,0.23894000000007054
during,725.0615,725.3004,0.4777599999999893
that,725.3004,725.53937,0.23889999999994416
time,725.53937,725.8579,0.2389699999999948
use,725.8579,726.3357,0.31853000000000975
as,726.3357,726.495,0.477800000000002
like,726.65424,726.81354,0.3185399999999845
a,727.371,727.6099,0.716760000000022
sense,727.6099,727.76917,0.23890000000005784
of,727.76917,727.8488,0.15926999999999225
like,728.00806,728.0877,0.2388899999999694
understanding,728.64514,729.123,0.637079999999969
and,729.123,729.3619,0.4778600000000779
being,729.3619,729.6804,0.23889999999994416
able,729.6804,729.9194,0.3184999999999718
to,729.9194,730.0786,0.23900000000003274
come,730.0786,730.3175,0.1592000000000553
back,730.3175,730.6361,0.23889999999994416
with,730.6361,730.7157,0.3186000000000604
a,730.7157,730.95465,0.07959999999991396
better,730.95465,731.19354,0.2389500000000453
mindset,731.19354,731.6713,0.2388899999999694
and,731.6713,731.751,0.4777599999999893
also,731.751,731.98987,0.07970000000000255
like,732.1492,732.2288,0.39819999999997435
better,732.38806,732.54736,0.23886000000004515
like,732.7066,732.8659,0.3185399999999845
health,733.2797,733.7797,0.5731000000000677
overall,733.9988,734.23846,0.7190999999999121
in,734.23846,734.47815,0.2396600000000717
work,734.47815,734.7977,0.23968999999999596
to,734.7977,735.0374,0.3195499999999356
contribute,735.0374,735.4369,0.2397000000000844
better,735.4369,735.8363,0.3994999999999891
results,735.8363,736.3157,0.3994000000000142
to,736.3157,736.8157,0.47939999999994143
your,736.87494,737.1146,0.5592400000000453
study,737.1146,737.3543,0.23965999999995802
obviously,737.6739,738.0733,0.5593000000000075
so,738.71246,739.21246,1.0385599999999613
we,740.47015,740.7098,1.757690000000025
are,740.7098,740.86957,0.23964999999998327
able,740.86957,741.18915,0.15976999999998043
to,741.18915,741.68915,0.31958000000008724
authorize,741.7484,742.2484,0.5592499999999063
that,742.3876,742.8876,0.6392000000000735
paid,743.0267,743.42615,0.6390999999999849
about,743.42615,743.8256,0.39945000000000164
but,744.0653,744.4648,0.6391499999999724
it,744.70447,745.02405,0.6391700000000355
can't,745.02405,745.50336,0.31957999999997355
be,745.50336,745.90283,0.47931000000005497
up,745.90283,745.9827,0.39946999999995114
to,745.9827,746.1425,0.07987000000002809
like,746.1425,746.3023,0.15980000000001837
two,746.3023,746.3822,0.15979999999990468
hundred,746.3822,746.6219,0.07990000000006603
sixty,746.6219,747.02136,0.23969999999997071
k,747.02136,747.42084,0.3994599999999764
from,747.42084,747.92084,0.3994800000000396
just,748.2347,748.47437,0.8138599999999769
the,748.47437,748.63416,0.23967000000004646
pull,748.63416,749.03357,0.15978999999992993
itself,749.03357,749.27325,0.3994100000001026
it,749.433,749.5928,0.39942999999993845
would,749.5928,749.75256,0.15980000000001837
just,749.75256,749.91235,0.15976000000000568
be,749.91235,750.152,0.15978999999992993
sixty,750.152,750.63135,0.23965000000009695
k,750.63135,751.13135,0.479349999999954
for,751.4302,751.9302,0.7988500000000158
six,752.1492,752.46875,0.7189999999999372
months,752.46875,752.7084,0.3195500000000493
or,752.7084,752.86816,0.23964999999998327
i,752.94806,753.02795,0.2396600000000717
think,753.02795,753.26764,0.07988999999997759
you,753.26764,753.3475,0.23968999999999596
can,753.3475,753.66705,0.07985999999993965
expand,753.66705,753.90674,0.3195500000000493
that,753.90674,754.22626,0.23968999999999596
outwards,754.22626,754.70557,0.31952000000001135
which,755.10504,755.34467,0.8787800000000061
i,755.50446,755.58435,0.3994199999999637
think,755.58435,755.82404,0.07988999999997759
sixty,755.82404,756.22345,0.23968999999999596
thousand,756.22345,756.72345,0.39940999999998894
is,756.86255,757.36255,0.6391000000000986
enough,758.5402,758.77985,1.6776499999999714
to,758.77985,759.0994,0.23964999999998327
supplement,759.0994,759.41895,0.3195499999999356
like,759.49884,759.6586,0.3994400000000269
guess,759.7385,759.8184,0.2396600000000717
like,759.97815,760.05804,0.23964999999998327
the,760.13794,760.4575,0.15978999999992993
initial,760.4575,760.69714,0.31956000000002405
funding,760.69714,761.0167,0.2396400000000085
needed,761.0167,761.41614,0.31956000000002405
for,761.41614,761.7357,0.3994400000000269
trips,761.7357,761.97534,0.31955999999991036
but,762.62836,762.78766,0.8926600000000917
also,762.9469,763.26544,0.3185399999999845
in,763.9821,764.22107,1.035199999999918
terms,764.22107,764.45996,0.23897000000010848
of,764.45996,764.53955,0.2388899999999694
like,764.69885,764.7785,0.2388899999999694
research,765.097,765.2563,0.3981499999999869
since,765.4155,765.5748,0.3184999999999718
this,765.5748,765.8137,0.1593000000000302
is,765.8137,765.8934,0.23890000000005784
a,765.8934,766.0526,0.07970000000000255
more,766.0526,766.21185,0.1591999999999416
like,766.2915,766.37115,0.23890000000005784
personal,766.5304,767.00824,0.23889999999994416
trip,767.00824,767.3267,0.4778400000000147
not,767.7249,767.9638,0.7166600000000471
all,767.9638,768.1231,0.23889999999994416
the,768.1231,768.28235,0.1593000000000302
funding,768.28235,768.76013,0.15924999999992906
can,768.76013,769.1583,0.4777800000000525
become,769.1583,769.55646,0.3981700000000501
out,769.55646,769.71576,0.39815999999996166
of,769.71576,769.95465,0.1593000000000302
penn,769.95465,770.45465,0.2388899999999694
for,771.22876,771.38806,1.2741099999999506
like,771.5473,771.62695,0.3185399999999845
you,771.7862,771.86584,0.23890000000005784
and,771.86584,772.02515,0.07964000000004035
your,772.02515,772.1844,0.15931000000000495
partner,772.1844,772.5029,0.15924999999992906
especially,772.9011,773.14,0.7167000000000598
because,773.14,773.29926,0.23889999999994416
your,773.29926,773.4585,0.1592600000000175
partner,773.4585,773.77704,0.1592399999999543
doesn't,773.77704,774.016,0.3185400000000982
work,774.016,774.2549,0.23895999999990636
for,774.2549,774.4938,0.23890000000005784
penn,774.4938,774.8919,0.23889999999994416
can't,774.8919,775.13086,0.39809999999999945
fund,775.13086,775.36975,0.23896000000002005
like,775.36975,775.44934,0.2388899999999694
the,775.44934,775.7679,0.0795900000000529
entirety,775.7679,775.9272,0.3185600000000477
of,775.9272,776.0864,0.1592999999999165
it,776.0864,776.2457,0.1592000000000553
for,776.2457,776.40497,0.1593000000000302
both,776.40497,776.64386,0.15926999999999225
of,776.64386,776.80316,0.2388899999999694
you,776.80316,777.04205,0.1593000000000302
so,778.01373,778.2532,1.2105699999999615
i,778.33295,778.4926,0.31921999999997297
would,778.4926,778.8916,0.15965000000005602
recommend,778.8916,778.97144,0.3990000000000009
like,779.13104,779.2109,0.23943999999994503
shortening,779.5301,779.92914,0.3990599999999631
that,779.92914,780.1686,0.3990400000000136
possibly,780.1686,780.6686,0.23946000000000822
in,781.1262,781.2859,0.9576000000000704
order,781.2859,781.52527,0.1596999999999298
to,781.52527,781.6051,0.23937000000000808
like,781.6849,781.7647,0.15962999999999283
fund,781.84454,782.0839,0.15964000000008127
the,782.0839,782.4032,0.23935999999991964
remaining,782.4032,782.9032,0.31929999999999836
at,783.12146,783.6003,0.7182599999999866
aspects,783.6003,784.1003,0.47883999999999105
of,784.2388,784.31854,0.6385000000000218
your,784.31854,784.558,0.07974000000001524
trip,784.558,785.0368,0.23946000000000822
is,785.0368,785.1964,0.47879999999997835
what,785.1964,785.43585,0.15960000000006858
i'm,785.5157,785.91473,0.31929999999999836
spending,785.91473,786.23395,0.39902999999992517
and,786.7926,787.03204,0.8778700000000299
then,787.03204,787.51086,0.23944000000005872
in,787.51086,787.7503,0.47881999999992786
terms,787.7503,787.9897,0.23944000000005872
of,787.9897,788.1493,0.23939999999993233
the,788.2291,788.30896,0.23940000000004602
ie,788.38873,788.6282,0.15962999999999283
