Word,Start Time,End Time,start_time_diff
so,0.75841665,1.1575832,0.0
really,2.1155832,2.5147498,1.35716655
talk,2.5147498,2.9139166,0.39916660000000004
about,2.9139166,3.4139166,0.3991667999999997
the,3.7122498,3.8719165,0.7983332000000001
sa,3.8719165,4.1114163,0.15966670000000027
cervical,4.1114163,4.6114163,0.23949979999999993
correct,5.1492496,5.3887496,1.0378333
awesome,7.2249165,7.5442495,2.0756669
so,7.7837496,8.02325,0.5588331000000002
i,8.182917,8.26275,0.3991673999999996
was,8.26275,8.74175,0.07983300000000071
hoping,8.74175,9.24175,0.4789999999999992
for,9.540083,10.040083,0.7983329999999995
actually,10.817416,10.977082,1.2773330000000005
i,11.216582,11.296416,0.399166000000001
can,11.296416,11.456082,0.07983399999999996
just,11.456082,11.615749,0.15966599999999964
talk,11.615749,11.775416,0.1596669999999989
about,11.775416,11.935082,0.15966700000000067
how,12.094749,12.1745825,0.3193330000000003
do,12.1745825,12.2544155,0.07983349999999945
you,12.2544155,12.3342495,0.07983300000000071
wanna,12.3342495,12.57375,0.07983399999999996
do,12.57375,12.733416,0.23950050000000012
this,12.733416,12.81325,0.15966599999999964
like,12.972916,13.132583,0.2394999999999996
we,13.29225,13.372083,0.31933399999999956
can,13.372083,13.531749,0.07983300000000071
talk,13.531749,13.771249,0.15966599999999964
about,13.771249,14.271249,0.2394999999999996
we're,15.380193,15.880193,1.608944000000001
first,17.609423,18.087116,2.2292299999999994
yeah,25.650578,25.889423,8.041155
totally,26.844807,27.083654,1.194229
totally,27.242886,27.561346,0.3980789999999992
so,27.800194,28.300194,0.5573080000000026
basically,29.329285,29.829285,1.5290909999999975
for,30.527336,30.687077,1.1980509999999995
me,30.687077,30.766947,0.15974100000000035
like,31.006557,31.086428,0.3194800000000022
the,31.166298,31.326038,0.15974100000000035
questions,31.326038,31.64552,0.15973999999999933
of,31.64552,31.80526,0.3194820000000007
like,31.88513,32.04487,0.239609999999999
how,32.44422,32.603962,0.5590900000000012
much,32.603962,33.103962,0.15974200000000138
is,33.16305,33.322792,0.5590879999999956
the,33.322792,33.482533,0.15974200000000138
price,33.482533,33.642273,0.1597409999999968
of,33.642273,33.72214,0.15974000000000643
the,33.72214,33.802013,0.07986700000000013
ip,34.041622,34.44097,0.3194819999999936
portfolio,34.44097,34.840324,0.39934800000000337
because,36.597466,36.677338,2.156495999999997
i,36.757206,36.916946,0.15973999999999933
think,36.916946,36.99682,0.15974000000000643
we,36.99682,37.076687,0.07987399999999667
okay,37.3163,37.396168,0.31947999999999865
cool,37.63578,37.71565,0.31947999999999865
so,38.35461,38.67409,0.7188300000000041
i,38.83383,38.99357,0.479219999999998
think,38.99357,39.23318,0.15973999999999933
the,39.23318,39.39292,0.239609999999999
value,39.39292,39.712402,0.15973999999999933
of,39.712402,39.872143,0.3194820000000007
my,39.872143,40.271492,0.1597410000000039
portfolio,40.271492,40.670845,0.39934900000000084
is,40.670845,41.170845,0.39935299999999785
probably,41.48391,41.98391,0.8130650000000017
around,42.201096,42.36047,0.7171859999999981
like,42.44016,42.519844,0.23906399999999906
five,42.679222,42.91828,0.2390620000000041
hundred,42.91828,43.237034,0.239058
fifty,43.237034,43.476097,0.3187539999999984
six,43.63547,43.874535,0.3984359999999967
hundred,43.874535,44.113594,0.23906500000000364
thousand,44.113594,44.51203,0.23905899999999747
dollars,44.51203,45.01203,0.3984360000000038
because,45.62766,45.866722,1.115629999999996
and,46.10578,46.18547,0.4781200000000041
the,46.18547,46.344845,0.07968999999999937
reason,46.344845,46.50422,0.15937499999999716
i,46.583908,46.743282,0.23906300000000158
say,46.743282,46.902657,0.15937399999999968
that,46.902657,47.14172,0.15937499999999716
is,47.14172,47.460472,0.23906300000000158
because,47.460472,47.77922,0.3187520000000035
my,49.37297,49.771408,1.9124979999999994
coworker,49.771408,50.169846,0.39843799999999874
like,50.32922,50.40891,0.5578119999999984
my,50.488594,50.727657,0.15937399999999968
colleague,50.727657,51.126095,0.23906300000000158
he,51.763596,52.263596,1.035938999999999
actually,52.48078,52.799534,0.7171840000000032
sold,52.799534,52.958908,0.3187539999999984
his,52.958908,53.118282,0.15937399999999968
thing,53.118282,53.277657,0.15937399999999968
like,53.437035,53.59641,0.31875300000000095
his,53.676094,53.97,0.23905899999999747
portfolio,54.249207,54.408752,0.5731129999999993
to,54.408752,54.5683,0.15954500000000138
a,54.5683,54.72784,0.1595480000000009
private,54.72784,55.046932,0.1595399999999998
company,55.046932,55.546932,0.3190919999999977
for,55.605343,56.083977,0.5584109999999995
four,56.083977,56.323296,0.47863399999999956
hundred,56.323296,56.562614,0.23931900000000184
thousand,56.562614,56.881706,0.23931800000000436
and,57.121025,57.59966,0.5584109999999995
it's,57.59966,57.759205,0.47863499999999704
like,57.91875,57.998524,0.31909000000000276
very,58.237843,58.47716,0.3190929999999952
clear,58.47716,58.716476,0.23931699999999978
that,58.716476,58.955795,0.2393160000000023
my,58.955795,59.35466,0.23931900000000184
patents,59.35466,59.67375,0.3988650000000007
and,59.67375,59.833298,0.31908999999999565
stuff,59.833298,59.91307,0.1595480000000009
especially,60.31193,60.471478,0.4786319999999975
with,60.471478,60.950115,0.1595480000000009
my,60.950115,61.34898,0.4786369999999991
future,61.34898,61.508522,0.3988650000000007
work,61.508522,61.668068,0.15954200000000185
in,61.668068,61.74784,0.15954599999999886
the,61.74784,61.907387,0.0797719999999984
field,61.907387,62.407387,0.15954700000000344
are,62.78489,63.103977,0.8775029999999973
worth,63.103977,63.42307,0.31908700000000323
more,63.42307,63.582615,0.3190930000000023
than,63.582615,63.74216,0.15954499999999427
four,63.74216,63.98148,0.15954500000000138
hundred,63.98148,64.30057,0.2393199999999993
like,65.0983,65.17807,1.116819999999997
they're,65.25784,65.49716,0.1595400000000069
worth,65.49716,65.73648,0.2393199999999922
more,65.73648,65.89603,0.23932000000000642
than,65.89603,66.05557,0.15954999999999586
his,66.05557,66.55557,0.1595400000000069
portfolio,67.01284,67.33193,0.9572699999999941
is,67.33193,67.57125,0.31909000000000276
so,68.22422,68.70235,0.8922900000000027
the,68.70235,68.86172,0.47812999999999306
fact,68.86172,69.100784,0.15937000000000978
that,69.100784,69.18047,0.23906399999999906
the,69.18047,69.57891,0.07968599999999526
competitive,69.57891,70.07891,0.3984399999999937
valuation,70.2961,70.7961,0.7171900000000022
to,70.853905,71.01328,0.5578050000000019
the,71.01328,71.17266,0.15937499999999716
private,71.17266,71.5711,0.15937999999999874
companies,71.5711,72.0711,0.3984400000000079
is,72.12891,72.447655,0.5578100000000035
four,72.447655,72.60703,0.31874499999999273
hundred,72.60703,72.92578,0.15937499999999716
thousand,72.92578,73.24453,0.3187500000000085
dollars,73.24453,73.563286,0.3187499999999943
for,73.563286,73.96172,0.3187560000000076
a,73.96172,74.12109,0.3984339999999946
lesser,74.12109,74.43984,0.15936999999999557
body,74.43984,74.67891,0.3187500000000085
of,74.67891,74.91797,0.23906999999999812
work,74.91797,75.157036,0.23905999999999494
definitely,75.71484,76.11328,0.7968699999999984
tells,76.11328,76.35235,0.3984400000000079
me,76.35235,76.51172,0.23906999999999812
that,76.51172,76.6711,0.15936999999999557
i,76.750786,76.91016,0.23906600000000822
think,76.91016,77.14922,0.15937399999999968
that,77.14922,77.64922,0.23905999999999494
it's,77.86641,78.18516,0.7171900000000022
only,78.18516,78.583595,0.3187499999999943
fair,78.583595,78.822655,0.3984350000000063
for,78.822655,78.98203,0.23905999999999494
me,78.98203,79.22109,0.15937499999999716
to,79.22109,79.72109,0.23906000000000915
ask,79.77891,80.177345,0.5578199999999924
for,80.177345,80.677345,0.3984350000000063
more,80.97422,81.21328,0.796875
for,81.21328,81.45235,0.23905999999999494
my,81.45235,81.771095,0.23906999999999812
same,81.771095,82.08984,0.31874500000000694
body,82.08984,82.24922,0.31874499999999273
of,82.24922,82.40859,0.15937999999999874
work,82.40859,82.64766,0.15937000000000978
special,85.37835,85.69809,2.9697599999999937
terms,85.69809,85.85796,0.3197399999999959
and,85.85796,86.257645,0.15987000000001217
conditions,86.257645,86.41751,0.39968499999999096
i,86.65732,86.73725,0.399675000000002
don't,86.73725,86.897125,0.0799300000000045
really,86.897125,87.057,0.15987499999999955
know,87.057,87.216866,0.15987499999999955
what,87.216866,87.37674,0.15986599999999385
that's,87.37674,87.77641,0.15987400000000207
referring,87.77641,88.09616,0.3996700000000004
to,88.09616,88.33597,0.3197499999999991
to,88.33597,88.4159,0.23981000000000563
be,88.4159,88.57577,0.07992999999999029
honest,88.57577,88.815575,0.15987000000001217
but,88.97545,89.05538,0.3996799999999894
if,89.05538,89.215256,0.0799300000000045
you,89.215256,89.45506,0.15987599999999702
have,89.45506,89.534996,0.23980400000000657
anything,89.534996,89.93468,0.07993600000000356
to,89.93468,90.17448,0.3996839999999935
contribute,90.17448,90.41428,0.23980000000000246
to,90.41428,90.57416,0.23980000000000246
that,90.57416,90.813965,0.15988000000000113
point,90.813965,91.05377,0.23980499999998983
feel,92.17287,92.412674,1.3589050000000071
free,92.412674,92.65248,0.23980399999999236
you,116.060684,116.22038,23.64801
can,116.22038,116.45992,0.15969600000001094
say,116.45992,116.53977,0.23953999999999098
it's,116.93902,117.17856,0.4791000000000025
fine,117.17856,117.418106,0.2395400000000052
i,140.94258,141.18167,23.764019999999988
see,141.18167,141.50046,0.23909000000000447
i,177.07928,177.55852,35.897610000000014
see,177.55852,177.95786,0.4792399999999759
unfortunately,179.63513,179.95462,2.0766100000000165
for,180.11435,180.43384,0.479219999999998
