Word,Start Time,End Time,start_time_diff
hey,6.12,6.2799997,0.0
hello,6.44,6.7599998,0.3200000000000003
i'm,9.16,9.32,2.7199999999999998
good,9.32,9.4,0.16000000000000014
how,9.559999,9.639999,0.23999899999999919
are,9.639999,9.8,0.08000000000000007
you,9.8,9.96,0.16000100000000117
yeah,17.251057,17.410673,7.451056999999999
we,17.650097,17.809711,0.3990399999999994
do,17.809711,17.969326,0.15961400000000125
we,18.128942,18.288557,0.3192309999999985
do,18.288557,18.52798,0.15961500000000228
okay,108.99591,109.0755,90.707353
so,109.31426,109.553024,0.31835000000000946
can,109.553024,109.632614,0.2387639999999891
you,109.632614,109.791794,0.07959000000001026
tell,109.791794,109.871376,0.1591799999999921
me,109.871376,110.030556,0.07958200000000204
i,110.26932,110.34891,0.3979439999999954
guess,110.34891,110.50809,0.07959000000001026
before,111.4783,111.95604,1.1293900000000008
we,111.95604,112.11529,0.47773999999999717
get,112.11529,112.27453,0.1592500000000001
to,112.27453,112.43378,0.15923999999999694
kind,112.43378,112.5134,0.1592500000000001
of,112.5134,112.911514,0.07962000000000558
discussing,112.911514,113.23,0.39811399999999253
this,113.23,113.38925,0.31848600000000715
what,113.94661,114.10585,0.7166100000000029
do,114.10585,114.18547,0.15923999999999694
you,114.18547,114.34472,0.07961999999999136
think,114.34472,114.82246,0.1592500000000001
is,114.82246,115.220566,0.4777400000000114
your,115.220566,115.53906,0.3981059999999985
optimal,115.53906,116.03906,0.31849400000000117
best,116.49453,116.89265,0.9554699999999912
goal,116.89265,117.05189,0.3981200000000058
like,117.211136,117.29076,0.31848599999999294
what,117.450005,117.529625,0.2388690000000082
are,117.529625,117.609245,0.07961999999999136
you,117.609245,117.848114,0.07962000000000558
really,117.848114,118.08698,0.238868999999994
looking,118.08698,118.40547,0.23886600000000158
forward,118.40547,118.90547,0.31848999999999705
for,119.28133,119.599815,0.875860000000003
here,119.599815,119.838684,0.3184850000000097
as,128.53549,128.69484,8.935675000000003
in,128.69484,128.7745,0.15934999999998922
the,128.7745,129.0932,0.07965999999998985
severity,129.0932,129.49156,0.31870000000000687
so,154.17433,154.41415,25.08113
how,154.41415,154.57404,0.2398200000000088
long,154.57404,154.73392,0.1598899999999901
do,154.73392,154.81386,0.15988000000001534
you,154.81386,154.97374,0.07993999999999346
need,154.97374,155.13362,0.15987999999998692
a,155.13362,155.37344,0.15988000000001534
so,164.64662,164.96638,9.513000000000005
we,164.96638,165.12627,0.31975999999997384
wouldn't,165.12627,165.44603,0.15989000000001852
be,165.44603,165.68585,0.31976000000000226
able,165.68585,166.00562,0.23981999999998038
to,166.00562,166.24545,0.31977000000000544
a,166.24545,166.74545,0.23983000000001198
for,167.13982,167.45961,0.8943699999999808
twenty,167.45961,167.69946,0.3197900000000118
one,167.69946,167.9393,0.2398499999999899
months,167.9393,168.17915,0.23984000000001515
of,168.17915,168.49895,0.2398499999999899
paid,168.49895,168.81874,0.31980000000001496
leave,168.81874,169.05858,0.31978999999998337
i,169.29843,169.45833,0.47969000000000506
hope,169.45833,169.53827,0.15989999999999327
you,169.53827,169.93802,0.07994000000002188
understand,169.93802,170.17786,0.3997499999999832
this,170.17786,170.33775,0.23984000000001515
okay,210.8596,211.0191,40.68173999999999
i,211.33809,211.49759,0.47848999999999364
see,211.49759,211.65709,0.1595000000000084
what,211.65709,211.73683,0.1595000000000084
you're,211.73683,211.89633,0.07973999999998682
saying,211.89633,212.05583,0.1595000000000084
but,212.29507,212.37483,0.39874000000000365
unfortunately,212.77357,213.27357,0.4784999999999968
my,215.00653,215.24579,2.2329599999999914
goal,215.24579,215.48503,0.23926000000000158
here,215.48503,215.96352,0.23923999999999523
is,215.96352,216.20277,0.47848999999999364
that,216.20277,216.44202,0.2392499999999984
i,216.52176,216.68126,0.31899000000001365
want,216.68126,216.76102,0.1595000000000084
you,216.76102,216.9205,0.07975999999999317
to,216.9205,217.08,0.15948000000000206
keep,217.08,217.2395,0.1595000000000084
working,217.2395,217.5585,0.15949999999998
with,217.5585,217.71799,0.3190000000000168
us,217.71799,217.87749,0.15948999999997682
and,220.0307,220.5307,2.31271000000001
so,221.30669,221.80669,1.2759900000000073
firstly,222.10417,222.60417,0.7974800000000073
tell,223.38016,223.53966,1.2759899999999789
me,223.53966,223.69916,0.1595000000000084
what,223.69916,223.9384,0.1595000000000084
you,223.9384,224.17764,0.23923999999999523
think,224.17764,224.41689,0.23923999999999523
is,224.41689,224.91689,0.2392499999999984
right,227.7031,228.02226,3.286210000000011
price,228.02226,228.50102,0.31915999999998235
for,228.50102,228.74042,0.4787600000000225
your,228.74042,228.9798,0.23939999999998918
payments,228.9798,229.37875,0.23938000000001125
okay,258.82806,258.98795,29.848259999999982
so,259.38763,259.78735,0.5595700000000079
we,259.78735,260.02716,0.3997200000000021
would,260.02716,260.267,0.2398099999999772
not,260.267,260.42688,0.23984000000001515
be,260.42688,260.58676,0.15987999999998692
able,260.58676,260.82657,0.15988000000004376
to,260.82657,260.98645,0.2398099999999772
do,260.98645,261.14633,0.15987999999998692
that,261.14633,261.62598,0.15987999999998692
regardless,261.62598,261.86578,0.4796500000000492
unfortunately,262.2655,262.7655,0.6395199999999477
i'm,263.4646,263.62448,1.199100000000044
not,263.62448,263.78436,0.15987999999998692
even,263.78436,264.264,0.15987999999998692
authorized,264.264,264.5038,0.4796400000000176
to,264.5038,264.58374,0.23980000000000246
do,264.58374,264.82358,0.07993999999996504
that,264.82358,265.32358,0.23984000000001515
at,266.26248,266.6622,1.4388999999999896
at,266.6622,266.82208,0.3997200000000021
four,266.82208,266.98196,0.15988000000004376
hundred,266.98196,267.30173,0.15987999999998692
thousand,267.30173,267.54153,0.31977000000000544
dollars,267.54153,267.8613,0.23980000000000246
i,270.035,270.195,2.493470000000002
i,270.355,270.435,0.3199999999999932
i,270.595,270.755,0.2400000000000091
can't,270.755,270.835,0.15999999999996817
even,270.835,271.155,0.07999999999998408
kind,271.155,271.23502,0.3199999999999932
of,271.23502,271.73502,0.08002000000004728
negotiate,271.795,272.115,0.5599799999999959
with,272.115,272.275,0.3199999999999932
you,272.275,272.435,0.15999999999996817
on,272.435,272.515,0.160000000000025
a,272.515,272.675,0.07999999999998408
fair,272.675,273.075,0.160000000000025
scale,273.075,273.315,0.39999999999997726
because,274.515,274.755,1.4399999999999977
we're,274.755,274.835,0.2400000000000091
like,274.995,275.075,0.2400000000000091
i,275.315,275.795,0.3199999999999932
simply,275.795,276.275,0.4800000000000182
the,276.275,276.675,0.47999999999996135
