Word,Start Time,End Time,start_time_diff
how,0.19973683,0.27963158,0.0
are,0.27963158,0.5193158,0.07989474999999999
you,0.5193158,0.6791053,0.23968422
yeah,2.8362632,2.916158,2.3169474
i,3.155842,3.2357368,0.31957879999999994
can,3.2357368,3.3955264,0.07989480000000038
hear,3.3955264,3.475421,0.15978959999999987
can,3.6352105,3.795,0.23968409999999984
hear,3.795,4.034684,0.15978950000000003
me,4.034684,4.1145787,0.23968400000000045
perfect,5.712474,6.0320525,1.67779
carry,6.3516316,6.5913157,0.6391575999999999
you,6.5913157,6.7511053,0.23968409999999984
good,8.988158,9.227842,2.3968423000000003
alright,11.784473,11.944263,2.796315
you,12.183948,12.683948,0.3994749999999989
get,12.823105,13.142684,0.6391570000000009
started,13.142684,13.462263,0.31957899999999917
if,13.462263,13.542158,0.31957900000000095
you,13.542158,13.701947,0.0798950000000005
want,13.701947,13.941631,0.15978899999999996
to,13.941631,14.101421,0.23968399999999868
okay,24.90062,25.140266,10.958989
sure,31.378035,31.616962,6.477415000000001
about,32.254105,32.493034,0.8760700000000021
four,32.493034,32.731964,0.23892899999999884
hundred,32.731964,33.231964,0.2389299999999963
k,33.289463,33.528393,0.557499
okay,45.088387,45.247498,11.798924
okay,46.759083,46.83864,1.6706959999999995
i,47.156868,47.39554,0.39778500000000605
completely,48.11155,48.61155,0.9546819999999983
understand,48.66845,48.90712,0.5568999999999988
that,48.90712,48.986675,0.23866999999999905
i,49.225346,49.304905,0.3182260000000028
just,49.304905,49.543575,0.07955899999999616
think,49.543575,49.70269,0.23866999999999905
a,49.70269,49.8618,0.1591149999999999
few,49.8618,50.100475,0.1591100000000054
things,50.100475,50.18003,0.23867500000000064
so,50.4187,50.89604,0.3182249999999982
i,51.055157,51.21427,0.636457
am,51.21427,51.5325,0.15911299999999784
a,51.5325,51.850727,0.3182299999999998
star,51.850727,52.089397,0.31822700000000026
scientist,52.089397,52.56674,0.23866999999999905
and,52.56674,52.646297,0.47734300000000474
i,52.805412,52.884968,0.238671999999994
do,52.884968,53.12364,0.07955600000000373
add,53.12364,53.36231,0.2386720000000011
a,53.36231,53.521423,0.23866999999999905
lot,53.521423,53.68054,0.15911299999999784
to,53.68054,53.839653,0.15911700000000195
the,53.839653,54.078323,0.15911299999999784
field,54.078323,54.316994,0.23866999999999905
i,54.88944,55.048992,0.811117000000003
also,55.048992,55.3681,0.15955199999999792
own,55.3681,55.766983,0.31910799999999995
teaching,55.766983,55.926537,0.398883000000005
a,55.926537,56.086086,0.15955399999999997
bunch,56.086086,56.24564,0.1595489999999984
of,56.24564,56.405193,0.15955399999999997
phd,56.405193,56.905193,0.1595529999999954
students,57.043407,57.543407,0.6382140000000049
from,58.0805,58.240055,1.0370929999999987
this,58.240055,58.39961,0.15955499999999745
university,58.39961,58.89961,0.15955500000000455
which,59.117596,59.356926,0.7179859999999962
greatly,59.356926,59.676033,0.23933000000000249
benefits,59.676033,60.074913,0.31910699999999537
the,60.473797,60.63335,0.7977640000000008
university,60.63335,61.11201,0.1595530000000025
as,61.11201,61.35134,0.47865999999999786
a,61.35134,61.51089,0.23933000000000249
whole,61.51089,61.670444,0.15955000000000297
also,62.787315,62.94687,1.2764249999999961
i,63.1862,63.265976,0.39888499999999993
feel,63.265976,63.42553,0.07977600000000251
that,63.42553,63.585083,0.15955399999999997
i,63.66486,63.744637,0.23932999999999538
am,63.744637,63.90419,0.07977699999999999
doing,63.90419,64.14352,0.1595530000000025
a,64.14352,64.38285,0.23932999999999538
lot,64.38285,64.88285,0.2393300000000096
better,65.18061,65.5795,0.7977599999999967
