Word,Start Time,End Time,start_time_diff
how's,1.4,1.64,0.0
it,1.64,1.8,0.24
going,1.8,2.04,0.16000000000000014
good,4.52,4.7599998,2.7199999999999998
yep,18.679937,18.919178,14.159937
yes,34.179947,34.259842,15.50001
for,34.579422,34.739212,0.39947500000000247
the,34.739212,35.138683,0.159790000000001
the,35.138683,35.53816,0.39947099999999836
portfolio,35.53816,35.857735,0.3994769999999974
the,36.337105,36.837105,0.7989450000000033
okay,37.695316,37.855103,1.3582109999999972
yeah,38.574158,38.654053,0.8788419999999988
so,38.893738,39.053528,0.319580000000002
were,39.053528,39.13342,0.159790000000001
you,39.13342,39.373104,0.07989200000000096
trying,39.373104,39.61279,0.2396839999999969
to,39.61279,40.11279,0.23968599999999896
sell,41.13079,41.63079,1.5180000000000007
all,42.105,42.344997,0.9742099999999994
of,42.344997,42.824997,0.23999700000000246
your,42.824997,43.225,0.480000000000004
portfolio,43.225,43.725,0.4000029999999981
or,43.864998,44.364998,0.6399979999999985
a,44.745,45.065,0.8800019999999975
percentage,45.065,45.385,0.3200000000000003
of,45.385,45.545,0.3200000000000003
it,45.545,45.704998,0.1600000000000037
k,69.81167,69.97089,24.266670000000005
i'm,71.00578,71.165,1.194109999999995
i'm,71.32422,71.56304,0.3184399999999954
prepared,71.56304,71.801865,0.23882000000000403
to,71.801865,72.199905,0.23882500000000562
offer,72.199905,72.51833,0.3980399999999946
you,72.51833,72.75716,0.31842500000000484
two,72.75716,72.916374,0.238829999999993
hundred,72.916374,73.314415,0.15921400000000574
thousand,73.314415,73.79206,0.3980409999999921
for,73.79206,74.29206,0.47764500000000965
for,74.826965,75.06579,1.0349049999999949
all,75.06579,75.225006,0.23882500000000562
of,75.225006,75.30461,0.15921599999998648
it,75.30461,75.543434,0.07960400000000334
if,75.543434,75.62304,0.23882400000000814
you,75.62304,75.78226,0.07960599999999829
would,75.78226,75.941475,0.1592199999999906
like,75.941475,76.02108,0.15921500000000322
to,76.02108,76.1803,0.07960500000000081
go,76.1803,76.33951,0.1592200000000048
all,76.33951,76.57834,0.15921000000000163
in,76.57834,76.73755,0.238829999999993
how,77.77245,77.85206,1.194110000000009
does,77.85206,78.01128,0.07960999999998819
that,78.01128,78.2501,0.1592200000000048
sound,78.2501,78.48892,0.23882000000000403
really,89.88998,90.367744,11.639879999999991
what,92.99545,93.313965,3.105470000000011
what,93.313965,93.63248,0.3185149999999908
would,93.63248,93.79173,0.318515000000005
be,93.79173,93.87136,0.1592500000000001
a,93.87136,94.03062,0.07962999999999454
fair,94.03062,94.2695,0.1592600000000033
number,94.2695,94.50838,0.23887999999999465
to,94.50838,94.588005,0.23888000000000886
you,94.588005,94.66763,0.07962499999999295
what,94.82689,94.986145,0.23888500000001045
do,94.986145,95.06577,0.1592549999999875
you,95.06577,95.22503,0.07962500000000716
think,95.22503,95.384285,0.1592600000000033
i'm,121.0419,121.5419,25.816869999999994
not,121.999504,122.499504,0.9576040000000035
authorized,122.5581,122.877304,0.5585959999999943
to,122.877304,123.377304,0.31920399999999916
to,123.5157,123.755104,0.6383960000000002
even,123.755104,124.255104,0.2394040000000075
come,124.3935,124.632904,0.6383960000000002
close,124.632904,124.8723,0.2394039999999933
to,124.8723,125.0319,0.23939599999999928
that,125.0319,125.2713,0.15959999999999752
number,125.2713,125.510704,0.2394000000000034
but,127.28311,127.78311,2.011809999999997
i,128.0022,128.16199,0.7190899999999942
we,128.3218,128.40169,0.3196000000000083
do,128.40169,128.64137,0.07989000000000601
value,128.64137,129.14137,0.2396799999999928
you,129.28056,129.78056,0.6391900000000135
at,129.91974,130.07954,0.6391799999999819
this,130.07954,130.57954,0.15980000000001837
organization,130.79863,130.95842,0.7190899999999942
and,131.11821,131.61821,0.319580000000002
you,131.91719,131.99709,0.7989800000000002
know,131.99709,132.077,0.07989999999998076
i,132.31668,132.39658,0.31959000000000515
think,132.39658,132.63628,0.07990000000000919
that,132.63628,132.87598,0.23969999999999914
our,132.87598,132.95587,0.23969999999999914
you,136.55127,136.63118,3.6752899999999897
know,136.63118,136.79097,0.07991000000001236
we,136.95076,137.03067,0.319580000000002
can,137.03067,137.19046,0.07990999999998394
make,137.19046,137.35025,0.1597900000000152
up,137.35025,137.51006,0.15978999999998678
for,137.51006,137.66985,0.15981000000002155
that,137.66985,137.90955,0.15978999999998678
with,137.90955,138.06934,0.23969999999999914
possibly,138.70853,139.20853,0.7989800000000002
the,139.5075,139.7472,0.7989699999999971
your,140.14668,140.46628,0.6391800000000103
somatic,140.46628,140.94566,0.3196000000000083
leave,140.94566,141.18536,0.4793799999999919
if,141.99916,142.23878,1.0534999999999854
we,142.23878,142.39853,0.23962000000000216
can,142.39853,142.87776,0.1597500000000025
just,142.87776,143.37776,0.47923000000000116
leave,143.6765,143.83624,0.7987400000000093
it,143.83624,143.9161,0.15973999999999933
at,143.9161,144.07585,0.07985999999999649
two,144.07585,144.2356,0.1597500000000025
hundred,144.2356,144.55508,0.1597500000000025
thousand,144.55508,144.87459,0.31947999999999865
right,144.87459,145.1142,0.3195100000000082
now,145.1142,145.27394,0.239609999999999
that's,145.43369,145.59343,0.31949000000000183
as,146.71165,146.8714,1.277959999999979
far,146.8714,147.03114,0.1597500000000025
as,147.03114,147.11101,0.15973999999999933
i,147.27075,147.35063,0.239609999999999
can,147.35063,147.51038,0.07988000000000284
go,147.51038,147.75,0.1597500000000025
and,149.02795,149.26758,1.5175700000000063
we,149.26758,149.34744,0.23963000000000534
can,149.34744,149.50719,0.07985999999999649
talk,149.50719,149.82669,0.1597500000000025
about,149.82669,149.98643,0.319500000000005
you,150.46567,150.70528,0.6389799999999752
have,150.70528,150.78516,0.239609999999999
an,150.78516,151.10464,0.07988000000000284
upcoming,151.10464,151.34427,0.31947999999999865
you're,152.06311,152.30273,0.9584700000000055
taking,152.30273,152.80273,0.23962000000000216
time,152.86185,153.10146,0.5591200000000072
off,153.10146,153.2612,0.239609999999999
correct,153.50082,153.66057,0.3993600000000015
how,157.1925,157.35237,3.691679999999991
long,157.35237,157.5922,0.15987000000001217
did,157.5922,157.75206,0.23982999999998356
you,157.75206,157.832,0.159860000000009
wanna,157.832,158.23167,0.07993999999999346
take,158.23167,158.4715,0.3996700000000146
off,158.4715,158.63136,0.23982999999998356
twenty,164.62662,164.94637,6.155120000000011
one,164.94637,165.18617,0.3197499999999991
months,165.18617,165.42598,0.23980000000000246
okay,165.90561,166.06548,0.7194399999999916
