Word,Start Time,End Time,start_time_diff
hello,3.9569817,4.3566766,0.0
how,6.035396,6.1952744,2.0784143000000004
are,6.1952744,6.355152,0.1598783999999993
you,6.355152,6.5949693,0.15987760000000062
hear,8.433567,8.673384,2.0784149999999997
you,8.673384,8.833262,0.2398170000000004
how's,13.32439,13.483902,4.651005999999999
is,13.483902,13.563659,0.1595120000000012
your,13.563659,13.72317,0.07975699999999897
morning,13.72317,14.042195,0.15951100000000018
it's,17.39195,17.551464,3.6687800000000017
been,17.551464,17.950245,0.15951399999999794
alright,17.950245,18.109756,0.3987809999999996
i'm,18.349024,18.849024,0.3987790000000011
i'm,19.06683,19.385853,0.7178059999999995
till,19.385853,19.885853,0.3190230000000014
i'm,30.08916,30.248714,10.703306999999999
just,30.248714,30.408268,0.15955399999999997
looking,30.408268,30.567822,0.15955399999999997
at,30.567822,30.80715,0.15955399999999997
the,30.80715,31.206032,0.23932800000000043
the,31.206032,31.365585,0.3988820000000004
dealer,31.365585,31.604916,0.15955299999999895
notes,31.604916,31.844246,0.23933099999999996
on,31.844246,31.92402,0.23932999999999893
the,31.92402,32.163353,0.07977400000000046
side,32.163353,32.482456,0.23933300000000202
because,32.482456,32.562233,0.31910299999999836
i,32.721786,32.801563,0.23933000000000249
didn't,32.801563,33.040894,0.07977699999999999
see,33.040894,33.200447,0.23933099999999996
hi,41.835,41.915,8.794106
well,42.155,42.235,0.3200000000000003
well,42.395,42.475,0.240000000000002
how,42.555,42.635,0.1599999999999966
are,42.635,42.795,0.0799999999999983
you,42.795,42.875,0.1600000000000037
doing,42.875,43.274998,0.0799999999999983
today,43.274998,43.434998,0.3999979999999965
miss,43.755,43.915,0.48000200000000603
provost,43.995,44.475,0.23999999999999488
thank,48.075,48.315,4.080000000000005
you,48.315,48.555,0.23999999999999488
yeah,75.35169,75.591156,27.036690000000007
so,75.910446,76.410446,0.5587559999999883
in,76.70866,77.02795,0.7982140000000015
terms,77.02795,77.42705,0.3192900000000094
of,77.42705,77.82616,0.39909999999999
like,78.06562,78.14545,0.6385700000000014
why,78.63878,78.87772,0.5731600000000014
i'm,79.037025,79.19633,0.39824500000000285
taking,79.19633,79.35563,0.15930500000000336
it,79.35563,79.51492,0.15930000000000177
i,80.07248,80.15212,0.7168499999999938
don't,80.15212,80.23177,0.07963999999999771
know,80.23177,80.311424,0.07965000000000089
like,80.391075,80.470726,0.15930500000000336
how,80.63003,80.70968,0.23895500000000425
much,80.70968,81.107925,0.07965000000000089
information,81.107925,81.26723,0.39824499999998864
you,81.26723,81.42653,0.15930500000000336
have,81.42653,81.665474,0.15930000000000177
about,81.665474,81.745125,0.2389440000000036
me,81.745125,81.90443,0.07965099999999836
but,82.06373,82.56373,0.31860500000000513
at,82.93987,83.099174,0.8761399999999924
least,83.099174,83.178825,0.15930400000000589
like,83.25848,83.33813,0.15930600000000084
from,83.41778,83.57707,0.15929999999998756
what,83.57707,83.65672,0.1592900000000128
i,83.816025,83.895676,0.23895499999999004
know,83.895676,83.97533,0.07965099999999836
i've,84.29392,84.77183,0.39824400000000537
been,84.77183,84.93112,0.4779099999999943
like,85.01077,85.09042,0.2389399999999995
working,85.170074,85.40903,0.15930400000000589
