Word,Start Time,End Time,start_time_diff
hi,2.44,2.76,0.0
good,4.68,4.8399997,2.2399999999999998
how,5.0,5.08,0.3200000000000003
are,5.08,5.24,0.08000000000000007
you,5.24,5.4,0.16000000000000014
yeah,16.775,17.095,11.534999999999998
so,17.975,18.215,1.2000000000000028
you're,18.215,18.375,0.23999999999999844
the,18.375,18.615,0.16000000000000014
scientist,18.615,19.095,0.23999999999999844
okay,22.855,23.015,4.240000000000002
so,23.335,23.494999,0.4800000000000004
i,23.654999,23.814999,0.31999899999999926
have,23.814999,23.895,0.16000000000000014
a,23.895,24.055,0.08000099999999932
few,24.055,24.294998,0.16000000000000014
notes,24.294998,24.615,0.23999799999999993
let,25.575,25.735,1.2800019999999996
me,25.735,26.235,0.16000000000000014
refer,26.294998,26.455,0.5599980000000002
to,26.455,26.615,0.16000199999999865
those,26.615,26.855,0.16000000000000014
okay,28.869396,29.029053,2.254396
so,29.587845,29.7475,0.7184490000000032
i,29.907156,30.146639,0.319310999999999
understand,30.146639,30.38612,0.2394829999999999
that,30.38612,30.625603,0.23948099999999783
you,30.625603,30.78526,0.23948300000000344
wanna,30.78526,31.104568,0.15965699999999927
go,31.104568,31.344051,0.3193079999999995
on,31.344051,31.503708,0.2394829999999999
a,31.503708,31.663363,0.15965699999999927
sa,31.663363,31.823017,0.15965500000000077
about,31.823017,32.301983,0.15965399999999974
leave,32.301983,32.801983,0.4789659999999998
for,33.02043,33.259914,0.7184469999999976
six,33.259914,33.579224,0.23948400000000447
months,33.579224,33.898533,0.31931000000000154
yeah,37.01181,37.251293,3.4325859999999935
right,37.570602,37.810085,0.558792000000004
nine,47.87791,48.11715,10.307307999999999
to,48.11715,48.61715,0.23924000000000234
six,49.074112,49.313354,0.9569619999999972
but,49.552593,49.63234,0.47848100000000215
okay,49.95133,50.190567,0.398736999999997
okay,52.98171,53.1412,3.030380000000001
yeah,53.300697,53.38044,0.3189869999999999
mine,53.619682,53.93867,0.31898499999999785
okay,54.17791,54.337402,0.5582279999999997
okay,54.4969,54.576645,0.31898999999999944
that's,54.736137,54.815884,0.2392370000000028
fine,54.815884,54.89563,0.07974699999999757
okay,56.18424,56.263813,1.3683560000000057
for,56.42296,56.66168,0.2387200000000007
twenty,56.66168,56.9004,0.2387199999999936
one,56.9004,56.97997,0.2387200000000007
and,57.21869,57.377834,0.3182900000000046
it,57.377834,57.616554,0.15914399999999773
still,57.616554,57.775703,0.2387200000000007
says,57.775703,57.93485,0.15914899999999932
like,58.01442,58.093994,0.23871700000000118
the,58.17357,58.41229,0.1591499999999968
ten,58.41229,58.571434,0.2387200000000007
thousand,58.571434,58.9693,0.15914400000000484
per,58.9693,59.20802,0.3978659999999934
month,59.20802,59.367165,0.2387200000000007
what,62.390945,62.55009,3.1829250000000044
is,62.55009,62.709236,0.1591449999999952
this,62.709236,63.186676,0.1591459999999998
well,68.93394,69.25349,6.22470400000001
ours,69.25349,69.41326,0.31954999999999245
says,69.41326,69.73281,0.15976999999999464
different,69.73281,70.13225,0.31955000000000666
things,70.13225,70.4518,0.39943999999999846
oh,72.928314,73.08809,2.796064000000001
okay,73.32776,73.56742,0.3994459999999975
okay,76.2836,76.52326,2.955840000000009
do,79.23944,79.399216,2.955839999999995
you,79.399216,79.4791,0.1597759999999937
wanna,79.4791,79.718765,0.07988400000000695
like,79.79865,79.87854,0.31954999999999245
start,80.1182,80.6182,0.31955000000000666
explaining,80.75731,81.07686,0.6391100000000023
like,81.156746,81.23663,0.39943599999999435
what,81.39641,81.63607,0.23966400000000476
you,81.63607,81.87573,0.23966000000000065
are,81.87573,81.95562,0.23966000000000065
let,82.03551,82.115395,0.1597799999999978
me,82.115395,82.41,0.07988500000000442
mh,88.770004,89.25,6.654608999999994
right,92.130005,92.37,3.360000999999997
okay,94.93,95.170006,2.79999500000001
so,96.130005,96.630005,1.2000049999999902
i'm,97.185,97.34499,1.0549950000000052
not,97.34499,97.505,0.15998999999999342
in,97.505,97.905,0.16000999999999976
position,97.905,98.145,0.4000000000000057
or,98.384995,98.545,0.4799950000000024
like,98.704994,98.784996,0.3199989999999957
the,98.865,99.024994,0.16000599999999565
university,99.024994,99.505,0.15999400000001174
is,99.505,99.585,0.48000599999998883
not,99.585,99.744995,0.0799999999999983
in,99.744995,100.145,0.1599950000000092
position,100.145,100.305,0.40000499999999306
to,100.305,100.465,0.1600000000000108
give,100.465,100.965,0.1599999999999966
that,101.024994,101.424995,0.5599940000000032
much,101.424995,101.924995,0.40000099999998895
to,102.064995,102.225,0.6400000000000006
you,102.225,102.545,0.16000499999999818
for,102.545,102.704994,0.3200000000000074
your,102.704994,102.945,0.15999399999999753
patent,102.945,103.185,0.24000599999999395
but,103.825,104.325,0.8800000000000097
i,104.865,105.024994,1.039999999999992
am,105.024994,105.265,0.15999400000001174
willing,105.265,105.585,0.24000599999999395
to,105.585,105.905,0.3199999999999932
work,105.905,106.405,0.3200000000000074
with,106.545,106.865,0.6400000000000006
you,106.865,107.265,0.3199999999999932
and,107.265,107.585,0.4000000000000057
rather,107.585,107.905,0.3199999999999932
than,107.905,108.30499,0.3200000000000074
buying,108.30499,108.545,0.3999900000000025
out,108.545,108.784996,0.24000999999999806
your,108.784996,109.104996,0.23999600000000498
whole,109.104996,109.604996,0.3199999999999932
patent,109.744995,110.145,0.6399990000000031
or,110.145,110.30499,0.40000499999999306
your,110.30499,110.465,0.15999000000000763
whole,110.465,110.545,0.16000999999999976
like,110.704994,110.865,0.23999399999999582
portfolio,111.185,111.505,0.48000600000000304
i'm,111.91956,112.07921,0.7345600000000019
willing,112.07921,112.31869,0.15964999999999918
to,112.31869,112.47833,0.23948000000000036
buy,112.47833,112.71781,0.159639999999996
part,112.71781,112.87746,0.23948000000000036
of,112.87746,112.95728,0.15964999999999918
it,112.95728,113.35641,0.079819999999998
for,113.35641,113.85641,0.39912999999999954
up,113.91518,114.07483,0.5587700000000098
to,114.07483,114.234474,0.15964999999999918
a,114.234474,114.39413,0.15964400000000012
hundred,114.39413,114.6336,0.15965599999999824
and,114.6336,114.87307,0.23946999999999719
fifty,114.87307,115.19237,0.23946999999999719
thousand,115.19237,115.69237,0.31929999999999836
for,116.23009,116.70904,1.0377200000000073
ideally,116.70904,117.10816,0.47894999999999754
fifty,117.10816,117.50728,0.39911999999999637
four,117.50728,117.826584,0.39911999999999637
point,117.826584,118.066055,0.3193040000000025
five,118.066055,118.46518,0.23947100000000887
percent,118.46518,118.78448,0.39912499999999795
of,118.78448,118.94412,0.31929999999999836
your,118.94412,119.18359,0.159639999999996
patent,119.18359,119.662544,0.23946999999999719
portfolio,119.662544,120.06167,0.47895400000000166
mh,124.13272,124.37219,4.470176000000009
for,124.611664,125.111664,0.4789439999999985
yep,126.4605,126.6995,1.8488359999999915
that,153.16315,153.32292,26.702650000000006
okay,153.64247,153.80225,0.4793200000000013
i,154.04192,154.1218,0.39945000000000164
can,154.1218,154.20169,0.07988000000000284
see,154.20169,154.36147,0.07989000000000601
where,154.36147,154.52124,0.1597799999999836
you're,154.52124,154.68102,0.15977000000000885
coming,154.68102,155.00056,0.1597799999999836
from,155.00056,155.24022,0.3195400000000177
oh,156.91786,157.07764,1.9172999999999831
okay,157.15753,157.3173,0.23967000000001804
this,157.47708,157.55696,0.31954999999999245
is,157.55696,157.71674,0.07988000000000284
weird,157.71674,157.79663,0.1597799999999836
because,157.9564,158.03629,0.23966000000001486
i,158.11618,158.35585,0.15978000000001202
prepared,158.35585,158.51562,0.2396699999999896
for,158.51562,158.6754,0.15977000000000885
the,158.6754,158.91505,0.1597799999999836
six,158.91505,159.07483,0.2396500000000117
months,159.07483,159.3145,0.1597799999999836
of,159.3145,159.47427,0.23967000000001804
article,159.47427,159.79382,0.15976999999998043
but,160.03348,160.43292,0.5592100000000073
i,163.06921,163.22899,3.035730000000001
am,163.22899,163.46866,0.15978000000001202
willing,163.46866,163.70831,0.2396699999999896
to,163.70831,164.02786,0.2396500000000117
approve,164.02786,164.26753,0.31954999999999245
your,164.26753,164.58708,0.2396699999999896
twenty,164.58708,164.82674,0.31954999999999245
one,164.82674,164.98651,0.23966000000001486
months,164.98651,165.22618,0.15977000000000885
of,165.22618,165.38596,0.2396699999999896
article,165.38596,165.7854,0.15978000000001202
and,166.5184,167.0184,1.1324400000000026
like,168.9894,169.1488,2.470999999999975
