Word,Start Time,End Time,start_time_diff
hi,1.3168269,1.3966346,0.0
how,1.55625,1.6360576,0.2394231
are,1.6360576,1.795673,0.07980760000000009
you,1.795673,2.0350962,0.15961540000000007
go,4.8283653,5.2274036,3.0326923
yeah,38.083324,38.323166,33.254958699999996
so,126.62351,127.12351,88.540186
come,127.834236,128.3124,1.2107260000000082
understanding,128.3124,128.8124,0.4781639999999925
excuse,129.2687,129.4281,0.9562999999999988
me,129.4281,129.5875,0.1594000000000051
if,131.65952,131.7392,2.2314199999999857
i,131.89859,132.05798,0.23907000000002654
wanted,132.05798,132.21736,0.1593899999999735
to,132.21736,132.69553,0.15938000000002717
correctly,132.69553,133.19553,0.47816999999997734
i,135.00662,135.16602,2.311090000000007
can,135.16602,135.3254,0.1594000000000051
take,135.3254,135.48479,0.15937999999999874
us,135.48479,135.56448,0.15939000000000192
a,135.56448,135.64418,0.07968999999999937
backlog,135.64418,136.12233,0.07970000000000255
twenty,136.12233,136.36142,0.4781499999999994
four,136.36142,136.68019,0.23909000000000447
months,136.68019,136.83957,0.31877000000000066
for,136.99896,137.39743,0.31877000000000066
six,137.39743,137.55681,0.3984700000000032
months,137.55681,137.7959,0.15937999999999874
that,137.7959,137.95528,0.23908999999997604
will,137.95528,138.03497,0.15937999999999874
be,138.03497,138.19435,0.07968999999999937
paid,138.19435,138.43344,0.15937999999999874
and,141.48,141.64,3.285650000000004
then,141.64,142.14,0.1599999999999966
like,142.84,142.92,1.200000000000017
regarding,143.16,143.4,0.3199999999999932
the,143.4,143.72,0.2400000000000091
investment,143.72,143.96,0.3199999999999932
that,144.04,144.2,0.3199999999999932
would,144.2,144.28,0.1599999999999966
only,144.28,144.52,0.0800000000000125
happen,144.52,144.68,0.2400000000000091
it,144.68,144.84,0.1599999999999966
after,144.84,145.08,0.1599999999999966
i,145.31999,145.48,0.4799899999999866
come,145.48,145.64,0.16000999999999976
back,145.64,145.8,0.1599999999999966
in,145.8,145.95999,0.160000000000025
sa,145.95999,146.12,0.15998999999999342
symbolic,146.12,146.52,0.16000999999999976
okay,150.52,150.76,4.400000000000006
sorry,173.66771,173.9869,23.14770999999999
is,175.98183,176.22122,2.3141200000000026
there,176.22122,176.4606,0.239389999999986
like,176.4606,176.7,0.23938000000001125
do,177.09898,177.17877,0.6383800000000122
you,177.17877,177.41817,0.07978999999997427
have,177.41817,177.49797,0.2394000000000176
like,177.65756,177.81715,0.239389999999986
or,179.2535,179.73228,1.595940000000013
if,179.73228,179.89188,0.4787800000000004
i,180.05147,180.53024,0.31918999999999187
chose,180.53024,180.92923,0.47876999999999725
to,180.92923,181.00903,0.39898999999999774
or,181.16862,181.32822,0.23939000000001442
like,181.40802,181.56761,0.23939999999998918
if,181.807,181.9666,0.39897999999999456
you,181.9666,182.12619,0.15960000000001173
guys,182.12619,182.36559,0.15959000000000856
chose,182.36559,182.60497,0.23939999999998918
to,182.60497,182.84436,0.23938000000001125
invest,182.84436,183.08376,0.239389999999986
in,183.08376,183.56253,0.2394000000000176
the,183.56253,183.80193,0.47876999999999725
patent,183.80193,184.12111,0.23939999999998918
do,185.25226,185.33194,1.4503300000000081
you,185.33194,185.65063,0.0796799999999962
know,185.65063,185.81,0.3186900000000037
if,185.81,186.31,0.15936999999999557
you,187.16452,187.32387,1.354520000000008
would,187.32387,187.48322,0.15934999999998922
be,187.48322,187.72226,0.15934999999998922
investing,187.72226,187.96129,0.23904000000001702
in,187.96129,188.12064,0.23902999999998542
full,188.12064,188.28,0.15935000000001764
or,188.28,188.35968,0.1593599999999924
if,188.35968,188.43935,0.0796799999999962
you,188.43935,188.51903,0.07966999999999302
would,188.51903,188.59871,0.0796799999999962
only,188.59871,188.83774,0.07968000000002462
wanna,188.83774,188.91742,0.23902999999998542
to,188.91742,188.9971,0.0796799999999962
take,188.9971,189.07677,0.0796799999999962
a,189.07677,189.23613,0.07967000000002145
share,189.23613,189.3158,0.1593599999999924
of,189.3158,189.47516,0.07966999999999302
it,189.47516,189.6345,0.1593599999999924
and,216.59363,216.75293,27.118470000000002
