Word,Start Time,End Time,start_time_diff
i,0.19926035,0.35866866,0.0
good,3.1483138,3.3874261,2.94905345
how,3.3874261,3.4671302,0.23911229999999994
are,3.4671302,3.7062426,0.07970410000000028
you,3.7062426,3.865651,0.23911239999999978
so,7.611746,8.111746,3.9055034
i,9.285533,9.444941,1.673786999999999
guess,9.444941,9.763758,0.15940800000000088
i,9.843462,9.923166,0.39852100000000057
guess,9.923166,10.082574,0.07970399999999955
i,10.162278,10.241982,0.23911200000000044
can,10.241982,10.401391,0.07970399999999955
get,10.401391,10.720207,0.15940900000000013
started,10.720207,11.118728,0.318816
so,15.038809,15.277857,4.318602
i,15.437222,15.516905,0.3984129999999997
know,15.516905,15.755952,0.07968299999999928
that,15.755952,16.25595,0.23904700000000112
your,16.31373,16.81373,0.557777999999999
one,17.190237,17.429285,0.8765070000000001
of,17.429285,17.58865,0.23904800000000037
our,17.58865,18.066746,0.1593650000000011
star,18.066746,18.385475,0.4780959999999972
faculty,18.385475,18.885475,0.31872900000000115
here,19.10262,19.421349,0.7171450000000021
at,19.421349,19.660397,0.3187289999999976
this,19.660397,20.160397,0.23904800000000037
university,21.572777,22.072777,1.9123799999999989
and,22.60865,23.10865,1.0358730000000023
i,26.114681,26.194365,3.506031
know,26.194365,26.43341,0.07968400000000031
that,26.43341,26.831825,0.2390449999999973
you,26.831825,27.331825,0.39841499999999996
are,28.839647,29.239145,2.007822000000001
interested,29.239145,29.398945,0.39949800000000124
in,29.398945,29.718542,0.1598000000000006
taking,29.718542,29.95824,0.31959699999999813
us,29.95824,30.11804,0.23969800000000063
a,30.11804,30.27784,0.1598000000000006
about,30.27784,30.77784,0.1598000000000006
and,31.71603,32.21603,1.4381899999999987
just,33.39392,33.89392,1.6778900000000014
going,34.192913,34.59241,0.7989929999999958
further,34.59241,35.071808,0.39949700000000377
with,35.071808,35.391407,0.4793979999999962
your,35.391407,35.891407,0.31959900000000374
innovation,36.3502,36.4301,0.958793
is,36.589897,36.6698,0.2396969999999996
that,36.6698,36.909496,0.07990300000000161
correct,36.909496,37.149197,0.23969599999999502
k,39.146683,39.30648,2.237187000000006
so,39.54618,39.78588,0.39949699999999666
obviously,41.70347,42.023064,2.1572900000000033
because,42.342663,42.50246,0.6391929999999988
you're,42.50246,42.74216,0.15979699999999752
one,42.74216,42.82206,0.23969999999999914
of,42.82206,42.981857,0.07990000000000208
our,42.981857,43.221558,0.15979699999999752
top,43.221558,43.541153,0.23970100000000372
faculty,43.541153,44.020554,0.31959499999999963
here,44.020554,44.18035,0.47940099999999575
we,44.675,44.835,0.6544460000000001
don't,44.835,44.995,0.1600000000000037
wanna,44.995,45.495,0.1599999999999966
lose,45.954998,46.274998,0.9599980000000059
you,46.274998,46.594997,0.3199999999999932
to,46.594997,46.995,0.3199990000000028
another,46.995,47.495,0.4000029999999981
opportunity,47.555,47.875,0.5600000000000023
and,48.035,48.195,0.4799999999999969
so,48.195,48.695,0.1600000000000037
what,48.835,49.074997,0.6400000000000006
we,49.074997,49.155,0.23999700000000246
were,49.155,49.315,0.08000299999999783
thinking,49.315,49.815,0.1599999999999966
of,50.274998,50.594997,0.9599979999999988
was,50.594997,51.094997,0.3199990000000028
allowing,51.394997,51.714996,0.7999999999999972
me,51.714996,51.795,0.3199990000000028
to,51.795,52.035,0.0800040000000024
take,52.035,52.195,0.23999999999999488
the,52.195,52.434998,0.1600000000000037
phil,52.434998,52.754997,0.23999799999999993
schematic,52.754997,53.074997,0.3199990000000028
which,53.155,53.315,0.4000029999999981
would,53.315,53.555,0.1599999999999966
be,53.555,54.055,0.240000000000002
ten,54.114998,54.274998,0.5599980000000002
k,54.274998,54.434998,0.1599999999999966
a,54.434998,54.594997,0.1600000000000037
month,54.594997,55.094997,0.15999899999999911
for,55.635,55.714996,1.0400029999999987
up,55.714996,55.875,0.07999600000000129
to,55.875,56.034996,0.1600040000000007
six,56.034996,56.274998,0.15999599999999958
